Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR1300471,22-Jul-15,30-May-14,19591980,1959198000,19591980,100,1127,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300471,SRX554276,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621561,SAMN02740601,simple,2950,Symbiodinium sp.,MMETSP1371,,,,,,,no,,,,,NCGR,SRA167331,,public,20981432B34518226792220D8F5A82A6,F4A4565AC13BF2D534F399A08A61441B
SRR1300472,22-Jul-15,31-May-14,18294955,1829495500,18294955,100,1095,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300472,SRX554277,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621562,SAMN02739989,simple,2969,Oxyrrhis marina,MMETSP1424,,,,,,,no,,,,,NCGR,SRA167331,,public,E541E70B6C62E78A71D5E04FEFBFEF79,C9F6F5056DAF22F504C22632F0C4CB88
SRR1300473,22-Jul-15,31-May-14,19966975,1996697500,19966975,100,1188,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300473,SRX554278,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621563,SAMN02739990,simple,2969,Oxyrrhis marina,MMETSP1425,,,,,,,no,,,,,NCGR,SRA167331,,public,7CC5DBAF43E5D9ABDD1551E0D1ECBB37,AC1408265792CDD95B5EFEEFD3ADC73C
SRR1300474,22-Jul-15,31-May-14,23289414,4657882800,23289414,200,2843,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300474,SRX554279,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621564,SAMN02739991,simple,2969,Oxyrrhis marina,MMETSP1426,,,,,,,no,,,,,NCGR,SRA167331,,public,6BF10F6ADDFB578E78D4E7B0A36348CD,EE41A626FE80594A452F81706CB55421
SRR1300475,22-Jul-15,31-May-14,22738024,2273802400,22738024,100,1399,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300475,SRX554280,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621565,SAMN02740606,simple,933848,Elphidium margaritaceum,MMETSP1385,,,,,,,no,,,,,NCGR,SRA167331,,public,F29F8643176E5D09704AA05DD53E5F93,4FAF9968C6B184D4136CD0D6A6CD8C3F
SRR1300476,22-Jul-15,31-May-14,19788124,1978812400,19788124,100,1247,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300476,SRX554281,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621566,SAMN02740002,simple,67004,Thalassiosira weissflogii,MMETSP1405,,,,,,,no,,,,,NCGR,SRA167331,,public,AD37C5D9BD8C0737B46CBCCF3D1E27E7,A423BADB05CE2C68875D42A891386795
SRR1300477,22-Jul-15,31-May-14,23487721,2348772100,23487721,100,1482,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300477,SRX554282,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621567,SAMN02740003,simple,67004,Thalassiosira weissflogii,MMETSP1406,,,,,,,no,,,,,NCGR,SRA167331,,public,38E3CDF579DC2B56ADB2B2B6CE6A8592,CA706E1C4F00ECED60C643DA8F328D79
SRR1300478,22-Jul-15,31-May-14,20032366,2003236600,20032366,100,1143,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300478,SRX554283,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621568,SAMN02740004,simple,67004,Thalassiosira weissflogii,MMETSP1407,,,,,,,no,,,,,NCGR,SRA167331,,public,84D344DDC2BDB0A8C58BF8A2CF1243D0,72967869FAB0D4294772502A2092394E
SRR1300479,22-Jul-15,31-May-14,25158093,2515809300,25158093,100,1583,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300479,SRX554284,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621570,SAMN02740005,simple,67004,Thalassiosira weissflogii,MMETSP1408,,,,,,,no,,,,,NCGR,SRA167331,,public,F3CCCBD392CB308FA442F7ACA3476E01,1BBA2CEE1A1D99179D3D6F62C7C6611F
SRR1300480,22-Jul-15,31-May-14,22907864,2290786400,22907864,100,1443,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300480,SRX554285,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621569,SAMN02740006,simple,67004,Thalassiosira weissflogii,MMETSP1409,,,,,,,no,,,,,NCGR,SRA167331,,public,5672AAE3171391BC465A98B4446BEC11,26CAA09931DC6D21CCAAEC0BEA6BB4CB
