Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR1300516,22-Jul-15,31-May-14,12377327,1237732700,12377327,100,689,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300516,SRX554321,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621601,SAMN02740612,simple,38835,Pterosperma,MMETSP1438,,,,,,,no,,,,,NCGR,SRA167331,,public,9869F04AE6160DE9F781AE65F87AA146,4CE0EC6355B8F201A4428ED3B63E949D
SRR1300518,22-Jul-15,31-May-14,26319762,2631976200,26319762,100,1709,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300518,SRX554323,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621602,SAMN02740068,simple,66791,Gonyaulax spinifera,MMETSP1439,,,,,,,no,,,,,NCGR,SRA167331,,public,227D812A3E30657451D13D78D350F659,7BF2A8F935C1839F9379C6DC4BD234AD
SRR1300519,22-Jul-15,31-May-14,22695683,2269568300,22695683,100,1460,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300519,SRX554324,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621603,SAMN02740147,simple,89957,Polarella glacialis,MMETSP1440,,,,,,,no,,,,,NCGR,SRA167331,,public,85DC0F6D8EAB505C65C664771EC9008A,C49EC27CB8792B64E5F4784D602F8D08
SRR1300520,22-Jul-15,31-May-14,27337205,2733720500,27337205,100,1796,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300520,SRX554325,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621604,SAMN02740065,simple,192219,Heterocapsa arctica,MMETSP1441,,,,,,,no,,,,,NCGR,SRA167331,,public,D0CBECFC06C02DF0505E9F64953B4A17,590A7327BD13FE305F56D8C3DAFC09A7
SRR1300521,22-Jul-15,31-May-14,26745370,2674537000,26745370,100,1714,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300521,SRX554326,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621605,SAMN02740613,simple,1486917,Craspedostauros australis,MMETSP1442,,,,,,,no,,,,,NCGR,SRA167331,,public,8DD2E3F095442736D7F0F9C62CDFC933,93743EF83FFCE10EB7C1469AEFA9B4EA
SRR1300522,22-Jul-15,31-May-14,29104683,2910468300,29104683,100,1826,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300522,SRX554327,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621606,SAMN02740146,simple,186043,Entomoneis sp.,MMETSP1443,,,,,,,no,,,,,NCGR,SRA167331,,public,28E6D93751335B192344EC735BA65C48,35227DE2B3732546E689D9D57B697779
SRR1300523,22-Jul-15,31-May-14,23823227,2382322700,23823227,100,1573,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300523,SRX554328,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621607,SAMN02740094,simple,33657,Phaeocystis antarctica,MMETSP1444,,,,,,,no,,,,,NCGR,SRA167331,,public,636C72926CB2518BD257E1317AC218D6,4EFDFD09B3975F2E42F241F35EF5FFAE
SRR1300524,22-Jul-15,31-May-14,28572209,2857220900,28572209,100,1847,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300524,SRX554329,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621609,SAMN02740165,simple,36898,Pyramimonas sp.,MMETSP1445,,,,,,,no,,,,,NCGR,SRA167331,,public,0C0270B489B119F49385E54B4E3E0567,6EA158FAD8ABAE17D8D184A67EED8693
SRR1300525,22-Jul-15,31-May-14,21006933,2100693300,21006933,100,1353,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300525,SRX554330,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621608,SAMN02740121,simple,100272,uncultured eukaryote,MMETSP1446,,,,,,,no,,,,,NCGR,SRA167331,,public,9A4EEF2174E5E95AD3D2916A4A6BEE08,E4A2283E0ED2C46AD48CFB468A830114
SRR1300526,22-Jul-15,31-May-14,22427141,2242714100,22427141,100,1446,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300526,SRX554331,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621610,SAMN02740134,simple,420782,Chaetoceros dichaeta,MMETSP1447,,,,,,,no,,,,,NCGR,SRA167331,,public,BA812DF10AAAD4B53D13B002E2AAC8F8,ABC2FF898E8E98CC6A319ACD7768CBDD
SRR1300527,22-Jul-15,31-May-14,34453610,3445361000,34453610,100,2237,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300527,SRX554332,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621611,SAMN02740152,simple,420275,Attheya septentrionalis,MMETSP1449,,,,,,,no,,,,,NCGR,SRA167331,,public,855634146259871ECD41403514757581,47A4C097EE5DAA9CBC30C925CB53A050
SRR1300528,22-Jul-15,31-May-14,24364954,2436495400,24364954,100,1649,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300528,SRX554333,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621612,SAMN02740227,simple,753684,Madagascaria erythrocladioides,MMETSP1450,,,,,,,no,,,,,NCGR,SRA167331,,public,D73EC04C1DDBDB5B4CE79BF330771514,0469CFDC26372B2C2ED1E2B86460BE9B
SRR1300529,22-Jul-15,31-May-14,19251318,1925131800,19251318,100,1212,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300529,SRX554334,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621613,SAMN02740218,simple,100272,uncultured eukaryote,MMETSP1453,,,,,,,no,,,,,NCGR,SRA167331,,public,D6FE94FC62E6FDD74F2DD6B245AE5BC9,068CD3F549B7F0EB6283A469BF1D9ECE
