Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR1300538,22-Jul-15,31-May-14,22707979,2270797900,22707979,100,1500,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300538,SRX554343,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621622,SAMN02740109,simple,100272,uncultured eukaryote,MMETSP1470,,,,,,,no,,,,,NCGR,SRA167331,,public,EACB8A608B53F4255302DCC824BCC3AA,FE841398FCCCCC38737A524D74E492B2
SRR1300539,22-Jul-15,31-May-14,25382377,2538237700,25382377,100,1694,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300539,SRX554344,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621621,SAMN02739986,simple,100272,uncultured eukaryote,MMETSP1469,,,,,,,no,,,,,NCGR,SRA167331,,public,5E8A14C7D202B9BE13DB259DAE885E4C,539C972C6402DAD2FE157590C4CE87CE
SRR1300540,22-Jul-15,31-May-14,19427207,1942720700,19427207,100,1221,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300540,SRX554345,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621623,SAMN02740097,simple,118079,Phaeocystis cordata,MMETSP1465,,,,,,,no,,,,,NCGR,SRA167331,,public,6EB4FE93F986583FB5840A9E3F6629D8,11DDE434028D27D622CEC2FCBA0AC2D8
SRR1300541,22-Jul-15,31-May-14,23215885,2321588500,23215885,100,1445,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300541,SRX554346,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621624,SAMN02740615,simple,41880,Pycnococcus provasolii,MMETSP1471,,,,,,,no,,,,,NCGR,SRA167331,,public,AF55D903B2A28EBCDF63047CF19326B0,93FE193CDB26734BA0CD46304B014B31
SRR1300542,22-Jul-15,31-May-14,22031401,2203140100,22031401,100,1458,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300542,SRX554347,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621625,SAMN02740192,simple,41880,Pycnococcus provasolii,MMETSP1472,,,,,,,no,,,,,NCGR,SRA167331,,public,D85561A4FCDEB27811BFA5E50FCB48EE,EF32FE27A437B54EB02C4F4D043BFE02
SRR1300543,22-Jul-15,31-May-14,27689005,2768900500,27689005,100,1830,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300543,SRX554348,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621626,SAMN02740219,simple,29646,Stichococcus,MMETSP1473,,,,,,,no,,,,,NCGR,SRA167331,,public,96413D8F0B9ABCD7B53781C67FB740AC,B109005C0C512D41B1F21AE5448BD2DD
SRR1300544,22-Jul-15,31-May-14,29605516,2960551600,29605516,100,1907,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300544,SRX554349,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621627,SAMN02740230,simple,97494,Imantonia,MMETSP1474,,,,,,,no,,,,,NCGR,SRA167331,,public,30C5F96A2A3CC4298E8042A99D813896,026A7DB7A44D1B9E8BD3509A75388A42
SRR1300545,22-Jul-15,31-May-14,28238185,2823818500,28238185,100,1857,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300545,SRX554350,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621628,SAMN02740141,simple,100272,uncultured eukaryote,MMETSP1475,,,,,,,no,,,,,NCGR,SRA167331,,public,98E0817F5E2D7848BC6EA72C3C096673,603AC126484FDDFD43D41049C61205B5
SRR1328074,22-Jul-15,3-Jun-14,295248,59049600,295248,200,35,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1328074,SRX566754,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS626644,SAMN02740362,simple,33649,Thalassionema nitzschioides,MMETSP0693,,,,,,,no,,,,,NCGR,SRA168603,,public,8B163CF9497E30898B39D0A410BC1E13,8AA778C319A0328244A9045EE60AD45C
SRR1328075,22-Jul-15,3-Jun-14,5079688,507968800,5079688,100,244,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1328075,SRX566755,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP042159,PRJNA248394,,248394,SRS626644,SAMN02740362,simple,33649,Thalassionema nitzschioides,MMETSP0693,,,,,,,no,,,,,NCGR,SRA168603,,public,B1FEBF6912491CE534C5C47B5D9BC1BB,E97520DBEA437D16958E48E5BDDAD009
