Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR1300350,22-Jul-15,24-Jul-15,35802371,3580237100,35802371,100,2369,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300350,SRX554155,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621441,SAMN02740539,simple,464988,Hemiselmis andersenii,MMETSP1041,,,,,,,no,,,,,NCGR,SRA167331,,public,AECEB29B1115671E3F41BECCB2B4F2FD,8791DA85CD0F328E1867E36933FF7CDE
SRR1300351,22-Jul-15,24-Jul-15,24684994,2468499400,24684994,100,1581,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300351,SRX554156,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621442,SAMN02740540,simple,464988,Hemiselmis andersenii,MMETSP1042,,,,,,,no,,,,,NCGR,SRA167331,,public,5454F0E5D283475FAAE4D445F18ACFC4,4DCE23ACB7DC8950AD3DF9C0B96B7DF2
SRR1300352,22-Jul-15,24-Jul-15,27208262,2720826200,27208262,100,1747,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300352,SRX554157,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621443,SAMN02740541,simple,464988,Hemiselmis andersenii,MMETSP1043,,,,,,,no,,,,,NCGR,SRA167331,,public,A241CDD683640CAF6B611B9BFFB005F5,831669DF9223542CFDCC6B4DB35C34E4
SRR1300353,22-Jul-15,24-Jul-15,27160752,2716075200,27160752,100,1726,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300353,SRX554158,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621444,SAMN02740542,simple,52970,Rhodomonas salina,MMETSP1047,,,,,,,no,,,,,NCGR,SRA167331,,public,BE1F0B87F0F78D54E832E15AA7322A0C,76294718B3280B68DB20EC41820E7406
SRR1300354,22-Jul-15,24-Jul-15,26229338,2622933800,26229338,100,1629,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300354,SRX554159,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621445,SAMN02740543,simple,3032,Hanusia phi,MMETSP1048,,,,,,,no,,,,,NCGR,SRA167331,,public,1B2C846E46B2DDE29BA751931562F887,CFD5C1F3D34321BBB6C39B96EE0E0DF2
SRR1300355,22-Jul-15,24-Jul-15,24257811,2425781100,24257811,100,1460,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300355,SRX554160,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621446,SAMN02740544,simple,77928,Proteomonas sulcata,MMETSP1049,,,,,,,no,,,,,NCGR,SRA167331,,public,071D4A66173C228D1EED9A49335BF572,BEC1D2BC84120CD9765A12570CC894B4
SRR1300356,22-Jul-15,24-Jul-15,28026812,2802681200,28026812,100,1770,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300356,SRX554161,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621448,SAMN02740545,simple,233186,Cryptomonas curvata,MMETSP1050,,,,,,,no,,,,,NCGR,SRA167331,,public,903B50A2CA2C9A6BCAE9C28F6A1C0082,B3BFE3B058F74E6E1F282E9313BA5BB0
SRR1300357,22-Jul-15,24-Jul-15,30027026,3002702600,30027026,100,1836,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300357,SRX554162,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621447,SAMN02740546,simple,227086,Bigelowiella natans,MMETSP1052,,,,,,,no,,,,,NCGR,SRA167331,,public,F802C3CD29828720C90D8F449E4AC7EF,A7D3AD8B1605919ADA76CEEC5CFFD1FD
SRR1300358,22-Jul-15,24-Jul-15,30806700,3080670000,30806700,100,1876,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300358,SRX554163,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621449,SAMN02740547,simple,227086,Bigelowiella natans,MMETSP1054,,,,,,,no,,,,,NCGR,SRA167331,,public,0C2CDC6044EE3EB9B5A0A9E0E05206C1,BF94426C1B13F8F2BF145532D7E5F914
SRR1300359,22-Jul-15,29-May-14,24042141,2404214100,24042141,100,1456,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300359,SRX554164,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621450,SAMN02740548,simple,227086,Bigelowiella natans,MMETSP1055,,,,,,,no,,,,,NCGR,SRA167331,,public,AFF5161159ED6A4AF042483F9EBFFA06,331BB5C1C7962F3B165DE408D6EAC335
