Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR1296936,22-Jul-15,26-Jul-15,33293219,3329321900,33293219,100,2094,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1296936,SRX551343,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS619052,SAMN02740332,simple,626734,Schmidingerella taraikaensis,MMETSP0434,,,,,,,no,,,,,NCGR,SRA166822,,public,6B42DD4CE89325E6972BB7C642417F61,F1824D0CB81A3E319AFC94C6CF5BECEE
SRR1296937,22-Jul-15,26-Jul-15,18304970,1830497000,18304970,100,1172,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1296937,SRX551344,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS619053,SAMN02739978,simple,33640,Asterionellopsis glacialis,MMETSP0705,,,,,,,no,,,,,NCGR,SRA166822,,public,A4E1838C575D40284A555C39219C4C95,FDC0B1A23A4E8A1EBE7F5A9300AE5E78
SRR1296938,22-Jul-15,26-Jul-15,55499875,5549987500,55499875,100,3529,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1296938,SRX551345,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS619054,SAMN02740488,simple,230516,Chaetoceros curvisetus,MMETSP0716,,,,,,,no,,,,,NCGR,SRA166822,,public,731939E0B74CBA64933870D9AE87C40A,15557F310B6F835572C954B3D776565A
SRR1296939,22-Jul-15,26-Jul-15,21391863,2139186300,21391863,100,1374,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1296939,SRX551346,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS619055,SAMN02740491,simple,230516,Chaetoceros curvisetus,MMETSP0719,,,,,,,no,,,,,NCGR,SRA166822,,public,AFA930CF9BD93EFC311AB8F7C934327B,B64554ABF9512053C94E9BF817D1666C
SRR1296940,22-Jul-15,26-Jul-15,20750713,2075071300,20750713,100,1258,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1296940,SRX551347,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS619056,SAMN02740476,simple,1078864,Stereomyxa ramosa,MMETSP0439,,,,,,,no,,,,,NCGR,SRA166822,,public,E548D77EDED51B6948A8DCF44C57556B,83A91CB98B07283357F2E1F601410561
SRR1296941,22-Jul-15,26-Jul-15,23425214,2342521400,23425214,100,1472,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1296941,SRX551348,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS619058,SAMN02740036,simple,400756,Durinskia baltica,MMETSP0117_2,,,,,,,no,,,,,NCGR,SRA166822,,public,54394EB8B9507292B3F804BB14FB7F35,037F5D4CA15B69F18AEC0B332C68D9B9
SRR1296942,22-Jul-15,26-Jul-15,22880865,2288086500,22880865,100,1469,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1296942,SRX551349,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS619057,SAMN02740043,simple,160619,Kryptoperidinium foliaceum,MMETSP0118_2,,,,,,,no,,,,,NCGR,SRA166822,,public,C156AA0100D724510B1D5A639ECF94BD,BD93F1E9D859F5A3D9C6879914E9C634
SRR1296943,22-Jul-15,26-Jul-15,18550219,3710043800,18550219,200,2242,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1296943,SRX551350,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS619059,SAMN02740079,simple,109239,Alexandrium margalefii,MMETSP0661,,,,,,,no,,,,,NCGR,SRA166822,,public,A4297FACDB355F7B62C2B23989B08DC6,660786DAE042741E03E020797002257F
SRR1296944,22-Jul-15,26-Jul-15,18092676,1809267600,18092676,100,1075,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1296944,SRX551351,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS619060,SAMN02740025,simple,35679,Pelagococcus subviridis,MMETSP0882,,,,,,,no,,,,,NCGR,SRA166822,,public,6FF1CE3A64E82F305F998E7BEB91B428,5AEB9D30D20DE9E1D2674BFF7790DFD5
SRR1296945,22-Jul-15,26-Jul-15,17009786,1700978600,17009786,100,1037,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1296945,SRX551352,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS619061,SAMN02740022,simple,35679,Pelagococcus subviridis,MMETSP0883,,,,,,,no,,,,,NCGR,SRA166822,,public,490CF81103415070738DA9BC85AFE0D2,1F8DBBF3114333B696A03733253B54D4
SRR1296946,22-Jul-15,26-Jul-15,16294439,1629443900,16294439,100,966,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1296946,SRX551353,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS619062,SAMN02740023,simple,35679,Pelagococcus subviridis,MMETSP0884,,,,,,,no,,,,,NCGR,SRA166822,,public,D745DB0A7EFBDF7A8A3B879F0FA965AC,B217488B2B2D31503187D5831B6CC56D
SRR1296947,22-Jul-15,26-Jul-15,24445276,2444527600,24445276,100,1482,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1296947,SRX551354,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS619063,SAMN02740113,simple,67808,Gymnochlora,MMETSP0110_2,,,,,,,no,,,,,NCGR,SRA166822,,public,59EA55663E6A4A16AE484F50C74DAD42,9C389F823511C3174194EEF4CB5222D1
SRR1296948,22-Jul-15,26-Jul-15,23497990,2349799000,23497990,100,1480,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1296948,SRX551355,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS619064,SAMN02740087,simple,91324,Lotharella globosa,MMETSP0111_2,,,,,,,no,,,,,NCGR,SRA166822,,public,913C35CBF67078E415DC94B2ED90D647,8AB0326C31DDCC2514AD7334368AD6ED
SRR1296949,22-Jul-15,26-Jul-15,24008927,2400892700,24008927,100,1511,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1296949,SRX551356,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS619065,SAMN02740088,simple,91324,Lotharella globosa,MMETSP0112_2,,,,,,,no,,,,,NCGR,SRA166822,,public,B00B3A40A30CA8C50C687FBCBCB589DE,BB6FD01510545DF02B48C71DEE77845A
SRR1296950,22-Jul-15,26-Jul-15,21741448,2174144800,21741448,100,1278,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1296950,SRX551357,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS619066,SAMN02740107,simple,552664,Norrisiella sphaerica,MMETSP0113_2,,,,,,,no,,,,,NCGR,SRA166822,,public,8BD75FA8F440B4F31643F1B71EEB5BF5,710B32B45A7004E0F4A202BD80299F3E
SRR1296951,22-Jul-15,26-Jul-15,33537420,3353742000,33537420,100,2074,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1296951,SRX551358,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS619067,SAMN02740142,simple,197538,Strombidium inclinatum,MMETSP0208,,,,,,,no,,,,,NCGR,SRA166822,,public,0678C6FEFA028CD6856853F545D19E1A,7B8BC6712A255A661D88E3CF808E7604
SRR1296952,22-Jul-15,26-Jul-15,24322690,2432269000,24322690,100,1511,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1296952,SRX551359,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS619068,SAMN02740385,simple,156230,Karenia brevis,MMETSP0031,,,,,,,no,,,,,NCGR,SRA166822,,public,3C28461670DD5E7A08C08E51CAF79186,6327697A2FA05FA25DA36B6DF1CAF7D1
SRR1296953,22-Jul-15,26-Jul-15,36466592,3646659200,36466592,100,2347,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1296953,SRX551360,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS619069,SAMN02740500,simple,385413,Thalassiosira minuscula,MMETSP0737,,,,,,,no,,,,,NCGR,SRA166822,,public,D67DC4C797B4EA557C076BCF070880A6,013B65A95D9AC161028F97560FA6A228
SRR1296954,22-Jul-15,26-Jul-15,28354444,2835444400,28354444,100,1835,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1296954,SRX551361,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS619070,SAMN02740501,simple,385413,Thalassiosira minuscula,MMETSP0738,,,,,,,no,,,,,NCGR,SRA166822,,public,3E16CF52DD52B4C71B26B4FDA901BFCA,820F4CA4B89A8561C7BE18DC960015A5
SRR1296955,22-Jul-15,26-Jul-15,22669277,2266927700,22669277,100,1374,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1296955,SRX551362,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS619072,SAMN02740502,simple,385413,Thalassiosira minuscula,MMETSP0739,,,,,,,no,,,,,NCGR,SRA166822,,public,659026522D1528BA0D16510AA1AAABDE,879012AF915DF000684D2FD65F6DF065
SRR1296956,22-Jul-15,26-Jul-15,15202953,1520295300,15202953,100,925,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1296956,SRX551363,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS619071,SAMN02740503,simple,385413,Thalassiosira minuscula,MMETSP0740,,,,,,,no,,,,,NCGR,SRA166822,,public,74B6777FE33A99E99CEFCD52CE0DF71B,DE56DD05B12C59D5FBF0F9EECA1718F3
SRR1296957,22-Jul-15,26-Jul-15,15820915,1582091500,15820915,100,897,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1296957,SRX551364,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS619074,SAMN02740039,simple,210454,Grammatophora oceanica,MMETSP0009_2,,,,,,,no,,,,,NCGR,SRA166822,,public,488B7B74A15F161C9EA5B4CE1FE7296A,5A088F63467848D3B54FC3ED045702B2
SRR1296958,22-Jul-15,26-Jul-15,23930123,2393012300,23930123,100,1440,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1296958,SRX551365,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS619073,SAMN02740311,simple,145168,Thraustochytrium sp.,MMETSP0199_2,,,,,,,no,,,,,NCGR,SRA166822,,public,7B6EF780E67F7964CBFA2DF3A9C958FA,1F855E36384D981CBC1C43093DAB9A2C
SRR1296959,22-Jul-15,26-Jul-15,16435301,1643530100,16435301,100,939,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1296959,SRX551366,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS619075,SAMN02740193,simple,160265,Thalassiosira antarctica,MMETSP0902,,,,,,,no,,,,,NCGR,SRA166822,,public,E67DE8087F37F102844D40F4D42B5A65,BE74B90932C1F37B837441F18BA8F2FE
SRR1296960,22-Jul-15,26-Jul-15,20055724,2005572400,20055724,100,1259,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1296960,SRX551367,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS619076,SAMN02740464,simple,2866,Crypthecodinium cohnii,MMETSP0323_2,,,,,,,no,,,,,NCGR,SRA166822,,public,72C7A9BC30B2D727DFA31BB4B7E9D8B6,057441E97EAB1E17517A6FCB1E08CABC
SRR1296961,22-Jul-15,26-Jul-15,24565460,2456546000,24565460,100,1539,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1296961,SRX551368,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS619077,SAMN02740467,simple,2866,Crypthecodinium cohnii,MMETSP0326_2,,,,,,,no,,,,,NCGR,SRA166822,,public,092FDA6AE11F54DFAB88D23E1E62C7C4,E941F4B69464143AA5B2DD348267311C
SRR1296962,22-Jul-15,26-Jul-15,15932686,1593268600,15932686,100,913,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1296962,SRX551369,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS619078,SAMN02740194,simple,160265,Thalassiosira antarctica,MMETSP0903,,,,,,,no,,,,,NCGR,SRA166822,,public,91A292697501514B0176EB0202F08843,32890B4A1443AF329D7B7A6BE5823324
SRR1296963,22-Jul-15,26-Jul-15,20150089,2015008900,20150089,100,1253,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1296963,SRX551370,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS619079,SAMN02740363,simple,33640,Asterionellopsis glacialis,MMETSP0713,,,,,,,no,,,,,NCGR,SRA166822,,public,D35E07EF080A7E9FEF0FE273C7067D71,324FAF92E435A63FE4CBBBB4034B9F3F
SRR1296964,22-Jul-15,26-Jul-15,19938503,1993850300,19938503,100,1220,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1296964,SRX551371,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS619080,SAMN02740361,simple,1118495,Dactyliosolen fragilissimus,MMETSP0580,,,,,,,no,,,,,NCGR,SRA166822,,public,82D4DEE48A4B084DB3EEEFF11C8152CC,2B0502CC0281C401B556C5919B4FFE10
SRR1296965,22-Jul-15,26-Jul-15,24617742,2461774200,24617742,100,1520,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1296965,SRX551372,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS619081,SAMN02740196,simple,160265,Thalassiosira antarctica,MMETSP0905,,,,,,,no,,,,,NCGR,SRA166822,,public,DB722B63FA6B6CFB415D15BF613E67A6,D6564C17975EF1A164DC93C09B275558
SRR1296966,22-Jul-15,26-Jul-15,17623723,1762372300,17623723,100,985,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1296966,SRX551373,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS619082,SAMN02740293,simple,186038,Fragilariopsis kerguelensis,MMETSP0907,,,,,,,no,,,,,NCGR,SRA166822,,public,716D9BB74604453468085777B6C4EC00,8A570F4748F7717C1F0A5593840AC985
SRR1296967,22-Jul-15,26-Jul-15,14565303,1456530300,14565303,100,811,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1296967,SRX551374,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS619083,SAMN02740294,simple,186038,Fragilariopsis kerguelensis,MMETSP0908,,,,,,,no,,,,,NCGR,SRA166822,,public,0D35FF8BCDBFFA3597C89C020E46009E,1881976557B060BFFA18A9DF5AE3E024
