Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR1300411,22-Jul-15,30-May-14,18936041,1893604100,18936041,100,1137,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300411,SRX554216,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621500,SAMN02739983,simple,4773,Schizochytrium aggregatum,MMETSP0963,,,,,,,no,,,,,NCGR,SRA167331,,public,C0F85AC74B901D7FF62D36B9409E2E5F,5B7BC4803C639089A7C681A05A784F48
SRR1300412,22-Jul-15,30-May-14,18808182,1880818200,18808182,100,1133,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300412,SRX554217,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621502,SAMN02739985,simple,4773,Schizochytrium aggregatum,MMETSP0965,,,,,,,no,,,,,NCGR,SRA167331,,public,C16921B3D2D79F9A0277D2AC090ECB37,8800429A37DC0B7F4941144C515532A0
SRR1300413,22-Jul-15,30-May-14,10761790,1076179000,10761790,100,591,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300413,SRX554218,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621503,SAMN02740279,simple,215587,Aplanochytrium stocchinoi,MMETSP1347,,,,,,,no,,,,,NCGR,SRA167331,,public,5C7F45347E4EF9D6F0606E3D99969812,99E6949B1BC8C707921755FB322050E9
SRR1300414,22-Jul-15,30-May-14,21463006,2146300600,21463006,100,1181,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300414,SRX554219,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621504,SAMN02740281,simple,215587,Aplanochytrium stocchinoi,MMETSP1349,,,,,,,no,,,,,NCGR,SRA167331,,public,805AF560041E58B31D5A57151303F1B5,607C7E1801ADD1400763E4CFD4FB3F5A
SRR1300415,22-Jul-15,30-May-14,17806006,1780600600,17806006,100,1120,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300415,SRX554220,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621505,SAMN02739976,simple,156173,Haptolina brevifila,MMETSP1094,,,,,,,no,,,,,NCGR,SRA167331,,public,79851C44EE659EB0F8D0A5A1E136A686,A2513AFABDDFEE3085A5E8538734B4B9
SRR1300416,22-Jul-15,30-May-14,25445474,2544547400,25445474,100,1554,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300416,SRX554221,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621506,SAMN02740021,simple,89044,Spumella elongata,MMETSP1098,,,,,,,no,,,,,NCGR,SRA167331,,public,999CFA4574BC8B8AD35685B40AC54A88,21850D4BC0C9430BEE275759D817A1B8
SRR1300417,22-Jul-15,30-May-14,11182199,1118219900,11182199,100,689,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300417,SRX554222,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621508,SAMN02740550,simple,33652,Cafeteria,MMETSP1104,,,,,,,no,,,,,NCGR,SRA167331,,public,AC85B44331DA575C37A755ECF4D4DC88,1E74BD07AE7AD17DC116916830AF44EB
SRR1300418,22-Jul-15,30-May-14,18694275,1869427500,18694275,100,1085,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300418,SRX554223,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621507,SAMN02740551,simple,36770,Paraphysomonas vestita,MMETSP1107,,,,,,,no,,,,,NCGR,SRA167331,,public,F970BB241D51556792F3599EC95A12CE,549A5917FC985A32CB725F7FDBC669BB
SRR1300419,22-Jul-15,30-May-14,18960925,1896092500,18960925,100,1213,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300419,SRX554224,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621509,SAMN02740552,simple,312471,Neobodo designis,MMETSP1114,,,,,,,no,,,,,NCGR,SRA167331,,public,5B44F9EF257B10EFCC690442A69DDF4C,BD4A74DA6DD48728232BCAEDE74073CA
SRR1300420,22-Jul-15,30-May-14,24861010,2486101000,24861010,100,1608,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300420,SRX554225,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621510,SAMN02740549,simple,38832,Micromonas,MMETSP1082,,,,,,,no,,,,,NCGR,SRA167331,,public,4B01851AC81DD4AF48E591F3FD62ABE1,023A2AC4D8818443D58EA865E0482BFA
