Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR1300443,22-Jul-15,30-May-14,10179908,1017990800,10179908,100,603,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300443,SRX554248,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621533,SAMN02740198,simple,1077150,Erythrolobus australicus,MMETSP1353,,,,,,,no,,,,,NCGR,SRA167331,,public,6133DC8627D39EB93A21709DB079726C,95A67A665D3D018CA60C4D156F9C93E0
SRR1300444,22-Jul-15,30-May-14,12912509,1291250900,12912509,100,759,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300444,SRX554249,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621534,SAMN02740208,simple,708628,Erythrolobus madagascarensis,MMETSP1354,,,,,,,no,,,,,NCGR,SRA167331,,public,EFCA1E383950F687EB9E5E3E710964F9,B8DB9515B12DAC84CF2ED951FBA3CDD1
SRR1300445,22-Jul-15,30-May-14,26275221,2627522100,26275221,100,1609,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300445,SRX554250,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621538,SAMN02740587,simple,342563,Fabrea salina,MMETSP1345,,,,,,,no,,,,,NCGR,SRA167331,,public,CAFD9FFA0873E9A659B618D822C67500,2B35A6706EE676FA0638FE5B3C414369
SRR1300446,22-Jul-15,30-May-14,11192891,1119289100,11192891,100,655,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300446,SRX554251,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621535,SAMN02740315,simple,265543,Minutocellus polymorphus,MMETSP1322,,,,,,,no,,,,,NCGR,SRA167331,,public,1D7A2A32524F3F893E6FB8746ACBDECD,4F0B8EC0273008CE37DA6CF4715E1194
SRR1300447,22-Jul-15,30-May-14,20868431,2086843100,20868431,100,1286,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300447,SRX554252,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621536,SAMN02740580,simple,35687,Dictyocha speculum,MMETSP1174,,,,,,,no,,,,,NCGR,SRA167331,,public,6B7E9D4A81D5FF040EEFBC6B4FD66A52,70D5B19051DB1A847FEA427763B43462
SRR1300448,22-Jul-15,30-May-14,15768765,1576876500,15768765,100,933,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300448,SRX554253,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621537,SAMN02740206,simple,515479,Licmophora paradoxa,MMETSP1360,,,,,,,no,,,,,NCGR,SRA167331,,public,CE3228364FA4CFD0787BE6CF3A5AB164,5E17B680B1746000A3F5E7FC2B3E2364
SRR1300449,22-Jul-15,30-May-14,26489101,2648910100,26489101,100,1625,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300449,SRX554254,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621539,SAMN02740236,simple,210615,Staurosira,MMETSP1361,,,,,,,no,,,,,NCGR,SRA167331,,public,E1E8C167E51971E9D008CA30F25892C4,C621DABD99C395EE4CFB0533ED779B3F
SRR1300450,22-Jul-15,30-May-14,19930703,1993070300,19930703,100,1135,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300450,SRX554255,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621540,SAMN02740137,simple,163516,Leptocylindrus danicus,MMETSP1362,,,,,,,no,,,,,NCGR,SRA167331,,public,5B4DD6CAD1EB214B856FACDE5D815790,4663D45DC028F706E31669150D42724A
SRR1300451,22-Jul-15,30-May-14,13221196,1322119600,13221196,100,749,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300451,SRX554256,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621541,SAMN02740108,simple,33640,Asterionellopsis glacialis,MMETSP1394,,,,,,,no,,,,,NCGR,SRA167331,,public,0536E49E6C3A2267650DC47513FA6969,876D548CC2342C945DAB6034ACFAE9FA
SRR1300452,22-Jul-15,30-May-14,17181029,1718102900,17181029,100,1002,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300452,SRX554257,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621542,SAMN02740374,simple,476441,Pseudo-nitzschia heimii,MMETSP1423,,,,,,,no,,,,,NCGR,SRA167331,,public,9E4EF6C2D538277CCE47AACC2C200CA7,9C8D5B85BA859307D5486A135283138E
