,EvaluationMetric,SoftwareSource,Description,Reference
1,SampleName,MMETSP ID,678 MMETSP ID,https://github.com/ljcohen/MMETSP/blob/master/notebooks/MMETSP_imicrobe_NCBI-SRA_sample_id_verification.ipynb
2,Run.x,SRA ID,719 SRA ID,https://github.com/ljcohen/MMETSP/blob/master/notebooks/MMETSP_imicrobe_NCBI-SRA_sample_id_verification.ipynb
3,ReleaseDate,NCBI,,https://www.ncbi.nlm.nih.gov/sra/docs/submitmeta/
4,LoadDate,NCBI,,https://www.ncbi.nlm.nih.gov/sra/docs/submitmeta/
5,spots,NCBI,reads,https://www.ncbi.nlm.nih.gov/sra/docs/submitmeta/
6,bases,NCBI,bases,https://www.ncbi.nlm.nih.gov/sra/docs/submitmeta/
7,spots_with_mates,NCBI,,https://www.ncbi.nlm.nih.gov/sra/docs/submitmeta/
8,avgLength,NCBI,,https://www.ncbi.nlm.nih.gov/sra/docs/submitmeta/
9,size_MB,NCBI,,https://www.ncbi.nlm.nih.gov/sra/docs/submitmeta/
10,download_path,NCBI,,https://www.ncbi.nlm.nih.gov/sra/docs/submitmeta/
11,Experiment,NCBI,,https://www.ncbi.nlm.nih.gov/sra/docs/submitmeta/
12,LibraryStrategy,NCBI,,https://www.ncbi.nlm.nih.gov/sra/docs/submitmeta/
13,LibrarySelection,NCBI,,https://www.ncbi.nlm.nih.gov/sra/docs/submitmeta/
14,LibrarySource,NCBI,,https://www.ncbi.nlm.nih.gov/sra/docs/submitmeta/
15,LibraryLayout,NCBI,,https://www.ncbi.nlm.nih.gov/sra/docs/submitmeta/
16,Platform,NCBI,,https://www.ncbi.nlm.nih.gov/sra/docs/submitmeta/
17,Model,NCBI,sequencing instrument model,https://www.ncbi.nlm.nih.gov/sra/docs/submitmeta/
18,SRAStudy,NCBI,,https://www.ncbi.nlm.nih.gov/sra/docs/submitmeta/
19,BioProject,NCBI,,https://www.ncbi.nlm.nih.gov/sra/docs/submitmeta/
20,ProjectID,NCBI,,https://www.ncbi.nlm.nih.gov/sra/docs/submitmeta/
21,Sample,NCBI,,https://www.ncbi.nlm.nih.gov/sra/docs/submitmeta/
22,BioSample,NCBI,,https://www.ncbi.nlm.nih.gov/sra/docs/submitmeta/
23,SampleType,NCBI,,https://www.ncbi.nlm.nih.gov/sra/docs/submitmeta/
24,TaxID,NCBI,,https://www.ncbi.nlm.nih.gov/sra/docs/submitmeta/
25,ScientificName,NCBI,,https://www.ncbi.nlm.nih.gov/sra/docs/submitmeta/
26,CenterName,NCBI,,https://www.ncbi.nlm.nih.gov/sra/docs/submitmeta/
