"","SampleName","Run.x","ReleaseDate","LoadDate","spots","bases","spots_with_mates","avgLength","size_MB","AssemblyName","download_path","Experiment","LibraryName","LibraryStrategy","LibrarySelection","LibrarySource","LibraryLayout","InsertSize","InsertDev","Platform","Model","SRAStudy","BioProject","Study_Pubmed_id","ProjectID","Sample","BioSample","SampleType","TaxID","ScientificName","g1k_pop_code","source","g1k_analysis_group","Subject_ID","Sex","Disease","Tumor","Affection_Status","Analyte_Type","Histological_Type","Body_Site","CenterName","Submission","dbgap_study_accession","Consent","RunHash","ReadHash","Investigator","HighLevelClassification","Phylum","Class","Order","Family","Genus","Species","Strain","Input.Reads","Surviving.Reads","Percent.Surviving","assembly.x","n_seqs.x","smallest.x","largest.x","n_bases.x","mean_len.x","n_under_200.x","n_over_1k.x","n_over_10k.x","n_with_orf.x","mean_orf_percent.x","n90.x","n70.x","n50.x","n30.x","n10.x","gc.x","gc_skew.x","at_skew.x","cpg_ratio.x","bases_n.x","proportion_n.x","linguistic_complexity.x","fragments","fragments_mapped","p_fragments_mapped","good_mappings","p_good_mapping","bad_mappings","potential_bridges","bases_uncovered","p_bases_uncovered","contigs_uncovbase","p_contigs_uncovbase","contigs_uncovered","p_contigs_uncovered","contigs_lowcovered","p_contigs_lowcovered","contigs_segmented","p_contigs_segmented","score.x","optimal_score.x","cutoff.x","assembly.y","n_seqs.y","smallest.y","largest.y","n_bases.y","mean_len.y","n_under_200.y","n_over_1k.y","n_over_10k.y","n_with_orf.y","mean_orf_percent.y","n90.y","n70.y","n50.y","n30.y","n10.y","gc.y","gc_skew.y","at_skew.y","cpg_ratio.y","bases_n.y","proportion_n.y","linguistic_complexity.y","CRBB_hits","n_contigs_with_CRBB","p_contigs_with_CRBB","rbh_per_reference","n_refs_with_CRBB","p_refs_with_CRBB","cov25","p_cov25","cov50","p_cov50","cov75","p_cov75","cov85","p_cov85","cov95","p_cov95","reference_coverage","score.y","optimal_score.y","cutoff.y","Run.y","Complete_eukaryotic","Fragmented_eukaryotic","Missing_eukaryotic","Total_eukaryotic","Complete_eukaryotic_BUSCO_perc","Complete_protist","Fragmented_protist","Missing_protist","Total_protist","Complete_protist_BUSCO_perc","Unique_kmers","num_reads_kept_diginorm","total_reads_before_diginorm","perc_kept_diginorm","num_kmers_reads_diginorm","fp_rate_diginorm"
"1","MMETSP0004","SRR1296863","7/22/15","7/26/15",24803955,2480395500,24803955,100,1604,NA,"http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1296863","SRX551270",NA,"RNA-Seq","RANDOM PCR","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP042159","PRJNA248394",NA,248394,"SRS618979","SAMN02740048","simple",2985,"Ochromonas",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"NCGR","SRA166822",NA,"public","82BF373F8FEED509B752B76617E99AE5","BE7B899A61C3C5B642CBD90ABA78FDE2","DavidCaron","Stramenopila(SAR,Chromalveolata)","Ochrophyta","Synurophyceae","Ochromonadales","Ochromonadaceae","Ochromonas","sp.","CCMP1393",24803955,24700588,99.58,"/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0/MMETSP0004.trinity_out_2.2.0.Trinity.fasta",33559,201,17276,27919170,831.94285,0,9448,3,16820,81.26381,351,785,1259,1859,3011,0.47964,0.01147,0.00866,2.01124,0,0,0.15919,24700588,23318105,0.94403,21079542,0.8534,2238563,23176,829586,0.02971,11990,0.35728,1021,0.03042,19756,0.58869,1807,0.05385,0.38093,0.49164,0.52275,"/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP0004.trinity_out_2.2.0.Trinity.fasta",33559,201,17276,27919170,831.94285,0,9448,3,16820,81.26381,351,785,1259,1859,3011,0.47964,0.01147,0.00866,2.01124,0,0,0.15919,22915,22915,0.68283,0.94196,16105,0.66202,7972,0.3277,6665,0.27398,5382,0.22124,4811,0.19776,4121,0.1694,0.25967,NA,NA,NA,"MMETSP0004",210,48,45,303,0.693069306931,168,31,35,234,0.717948717948718,19837761,16287761,49504503,"32.9%",68379508,0
"2","MMETSP0005","SRR1296767","7/22/15","7/27/15",28100060,2810006000,28100060,100,1794,NA,"http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1296767","SRX551174",NA,"RNA-Seq","RANDOM PCR","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP042159","PRJNA248394",NA,248394,"SRS618883","SAMN02740049","simple",2985,"Ochromonas",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"NCGR","SRA166822",NA,"public","EC37D89B4143750CC90A333DE009D3EA","0450A2DCF3E1C1A7806DC172B25C3820","DavidCaron","Stramenopila(SAR,Chromalveolata)","Ochrophyta","Synurophyceae","Ochromonadales","Ochromonadaceae","Ochromonas","sp.","CCMP1393",28100060,28054262,99.84,"/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0/MMETSP0005.trinity_out_2.2.0.Trinity.fasta",32824,201,11058,27684811,843.43197,0,9573,2,16407,80.15649,352,803,1283,1894,3042,0.478,0.01152,0.00794,2.01424,0,0,0.16132,28054262,26448367,0.94276,24055068,0.85745,2393299,21238,1048788,0.03788,11615,0.35386,1351,0.04116,17943,0.54664,2106,0.06416,0.38214,0.48691,0.46347,"/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP0005.trinity_out_2.2.0.Trinity.fasta",32824,201,11058,27684811,843.43197,0,9573,2,16407,80.15649,352,803,1283,1894,3042,0.478,0.01152,0.00794,2.01424,0,0,0.16132,23686,23686,0.72161,0.94619,16389,0.6547,8228,0.32869,6929,0.27679,5631,0.22494,5042,0.20141,4229,0.16894,0.26011,NA,NA,NA,"MMETSP0005",204,47,52,303,0.673267326733,161,33,40,234,0.688034188034188,20350054,17691329,56153336,"31.5%",79131023,0
"3","MMETSP0006","SRR1296917","7/22/15","7/26/15",21466210,2146621000,21466210,100,1426,NA,"http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1296917","SRX551324",NA,"RNA-Seq","RANDOM PCR","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP042159","PRJNA248394",NA,248394,"SRS619034","SAMN02740300","simple",97485,"Prymnesium parvum",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"NCGR","SRA166822",NA,"public","F8806E89E26340014EC08263DD6080B5","BB3E9B7A3AD34ADFCBE578ED857B087C","DavidCaron","Haptophyta(Hacrobia,Chromalveolata)","Haptophyta","Prymnesiophyceae","Prymensiales","Prymenesiaceae","Prymnesium","parvum","Texoma1",21466210,21377723,99.59,"/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0/MMETSP0006.trinity_out_2.2.0.Trinity.fasta",47463,201,15370,33886777,713.96197,0,10216,2,20242,80.79508,309,634,1012,1519,2645,0.58919,0.01182,0.00532,2.23626,0,0,0.13729,21377723,19821580,0.92721,17545564,0.82074,2276016,24858,928073,0.02739,13489,0.2842,1286,0.02709,31515,0.66399,2069,0.04359,0.38143,0.48273,0.4516,"/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP0006.trinity_out_2.2.0.Trinity.fasta",47463,201,15370,33886777,713.96197,0,10216,2,20242,80.79508,309,634,1012,1519,2645,0.58919,0.01182,0.00532,2.23626,0,0,0.13729,29555,29555,0.6227,0.95382,22367,0.72184,11303,0.36478,10284,0.33189,8940,0.28852,8188,0.26425,7149,0.23072,0.3069,NA,NA,NA,"MMETSP0006",169,77,57,303,0.557755775578,151,40,43,234,0.645299145299145,25286098,18575869,42843795,"43.4%",93740474,0
"4","MMETSP0007","SRR1296769","7/22/15","7/27/15",20174360,2017436000,20174360,100,1319,NA,"http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1296769","SRX551176",NA,"RNA-Seq","RANDOM PCR","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP042159","PRJNA248394",NA,248394,"SRS618885","SAMN02740301","simple",97485,"Prymnesium parvum",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"NCGR","SRA166822",NA,"public","9493DC81A71B43A960828D426D57BC72","2F070395CDE29249B9579E295711AAEE","DavidCaron","Haptophyta(Hacrobia,Chromalveolata)","Haptophyta","Prymnesiophyceae","Prymensiales","Prymenesiaceae","Prymnesium","parvum","Texoma1",20174360,20169675,99.98,"/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0/MMETSP0007.trinity_out_2.2.0.Trinity.fasta",30922,201,6567,16617786,537.40981,0,3245,0,7980,71.0195,268,447,668,944,1452,0.56437,0.00932,0.00334,2.20076,0,0,0.11257,20169675,18532100,0.91881,16820090,0.83393,1712010,14807,774702,0.04662,9752,0.31537,1987,0.06426,16773,0.54243,3401,0.10999,0.27164,0.40947,0.21245,"/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP0007.trinity_out_2.2.0.Trinity.fasta",30922,201,6567,16617786,537.40981,0,3245,0,7980,71.0195,268,447,668,944,1452,0.56437,0.00932,0.00334,2.20076,0,0,0.11257,23494,23494,0.75978,1.10472,18401,0.86524,9230,0.43401,8827,0.41506,7893,0.37114,7411,0.34847,6689,0.31452,0.43664,NA,NA,NA,"MMETSP0007",92,63,148,303,0.303630363036,93,27,114,234,0.397435897435897,12496793,12104182,40343316,"30.0%",65289000,0
"5","MMETSP0008","SRR1294411","7/22/15","12/30/15",22076599,4415319800,22076599,200,2866,NA,"http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294411","SRX549025",NA,"RNA-Seq","RANDOM PCR","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP042159","PRJNA248394",NA,248394,"SRS616863","SAMN02740302","simple",97485,"Prymnesium parvum",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"NCGR","SRA166613",NA,"public","A0F6697F3D0C7566713F940B44931A6E","E8DE36C2BBB99E78A1CCC6268C103D50","DavidCaron","Haptophyta(Hacrobia,Chromalveolata)","Haptophyta","Prymnesiophyceae","Prymensiales","Prymenesiaceae","Prymnesium","parvum","Texoma1",22076599,21753675,98.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,56,58,303,0.623762376238,148,42,44,234,0.632478632478632,22149727,NA,NA,NA,NA,NA
"6","MMETSP0008","SRR1294412","7/22/15","12/30/15",27052143,2705214300,27052143,100,1723,NA,"http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294412","SRX549026",NA,"RNA-Seq","RANDOM PCR","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP042159","PRJNA248394",NA,248394,"SRS616863","SAMN02740302","simple",97485,"Prymnesium parvum",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"NCGR","SRA166613",NA,"public","A14C9E1BF1A091D1CA1B9A22938DE655","518DDFDAB09AA3C65FD442E6DF53FEFB","DavidCaron","Haptophyta(Hacrobia,Chromalveolata)","Haptophyta","Prymnesiophyceae","Prymensiales","Prymenesiaceae","Prymnesium","parvum","Texoma1",27052143,27008131,99.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,56,58,303,0.623762376238,148,42,44,234,0.632478632478632,22149727,NA,NA,NA,NA,NA
"7","MMETSP0009","SRR1296957","7/22/15","7/26/15",15820915,1582091500,15820915,100,897,NA,"http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1296957","SRX551364",NA,"RNA-Seq","RANDOM PCR","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP042159","PRJNA248394",NA,248394,"SRS619074","SAMN02740039","simple",210454,"Grammatophora oceanica",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"NCGR","SRA166822",NA,"public","488B7B74A15F161C9EA5B4CE1FE7296A","5A088F63467848D3B54FC3ED045702B2","GingerArmbrust","Stramenopila(SAR,Chromalveolata)","Bacillariophyta","Bacillariophyceae","Striatellales","Striatellaceae","Grammatophora","oceanica","CCMP410",15820915,15804295,99.89,"/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0/MMETSP0009.trinity_out_2.2.0.Trinity.fasta",54275,201,10587,35069494,646.14452,0,9649,1,18643,80.37076,277,533,927,1473,2563,0.49247,0.01043,0.00664,1.89583,0,0,0.1287,15804295,13786319,0.87231,11672015,0.73853,2114304,32745,1265282,0.03608,17999,0.33163,2225,0.04099,36756,0.67722,2943,0.05422,0.25534,0.37249,0.32094,"/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP0009.trinity_out_2.2.0.Trinity.fasta",54275,201,10587,35069494,646.14452,0,9649,1,18643,80.37076,277,533,927,1473,2563,0.49247,0.01043,0.00664,1.89583,0,0,0.1287,35648,35648,0.6568,1.1652,24403,0.79764,12669,0.4141,11512,0.37628,9981,0.32624,9294,0.30379,8425,0.27538,0.43164,NA,NA,NA,"MMETSP0009",141,91,71,303,0.465346534653,111,48,75,234,0.474358974358974,30074483,NA,NA,NA,NA,NA
"8","MMETSP0010","SRR1294401","7/22/15","12/30/15",11591751,2318350200,11591751,200,1474,NA,"http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294401","SRX549015",NA,"RNA-Seq","RANDOM PCR","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP042159","PRJNA248394",NA,248394,"SRS616853","SAMN02740059","simple",216773,"Corethron hystrix",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"NCGR","SRA166613",NA,"public","6FCFE976128B6A0784512799BB0A8A58","323F80718DE707EBDB883A9768038666","GingerArmbrust","Stramenopila(SAR,Chromalveolata)","Bacillariophyta","Coscinodiscophyceae","Corethrales","Corethraceae","Corethron","hystrix","308",11591751,11427243,98.58,"/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0/MMETSP0010.trinity_out_2.2.0.Trinity.fasta",43375,201,13866,52360772,1207.16477,0,20418,25,25589,67.98617,564,1236,1785,2460,3918,0.45756,0.00607,0.00395,1.96431,0,0,0.21122,11427243,10683479,0.93491,9868447,0.86359,815032,10662,8850810,0.16904,26389,0.60839,7981,0.184,32573,0.75096,2841,0.0655,0.2509,0.52124,0.19415,"/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP0010.trinity_out_2.2.0.Trinity.fasta",43375,201,13866,52360772,1207.16477,0,20418,25,25589,67.98617,564,1236,1785,2460,3918,0.45756,0.00607,0.00395,1.96431,0,0,0.21122,28187,28187,0.64984,1.2546,15575,0.69324,7955,0.35407,7606,0.33854,7106,0.31629,6857,0.3052,6513,0.28989,0.37943,NA,NA,NA,"MMETSP0010",223,42,38,303,0.73597359736,176,32,26,234,0.752136752136752,24840436,6857204,23018992,"29.8%",93465267,0
"9","MMETSP0011","SRR1294402","7/22/15","12/30/15",21210275,4242055000,21210275,200,2729,NA,"http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294402","SRX549016",NA,"RNA-Seq","RANDOM PCR","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP042159","PRJNA248394",NA,248394,"SRS616854","SAMN02740381","simple",101924,"Rhodosorus marinus",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"NCGR","SRA166613",NA,"public","C1CB6551BAE88F022065EF65FFEDF176","38DE72A5A5BFDAECEB28162DA5390EC1","GingerArmbrust","Rhodophyta(Archaeplastida)","Rhodophyta","Rhodellophyceae","Stylonematales","Stylonemataceae","Rhodosorus","marinus","CCMP769",21210275,20907447,98.57,"/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0/MMETSP0011.trinity_out_2.2.0.Trinity.fasta",45875,201,18160,105774618,2305.71374,0,33521,104,31789,41.82596,1382,2430,3298,4347,6140,0.50236,0.01142,0.00157,1.91785,0,0,0.36186,20907447,19536298,0.93442,18646073,0.89184,890225,8230,51082795,0.48294,38400,0.83706,18903,0.41205,32182,0.70151,4514,0.0984,0.10862,0.48111,0.2075,"/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP0011.trinity_out_2.2.0.Trinity.fasta",45875,201,18160,105774618,2305.71374,0,33521,104,31789,41.82596,1382,2430,3298,4347,6140,0.50236,0.01142,0.00157,1.91785,0,0,0.36186,39291,39291,0.85648,2.68198,9290,0.63413,4683,0.31966,4326,0.29529,3891,0.2656,3682,0.25133,3418,0.23331,0.36216,NA,NA,NA,"MMETSP0011",280,11,12,303,0.924092409241,197,17,20,234,0.841880341880342,19018154,8322546,42117685,"19.8%",138863843,0
"10","MMETSP0013","SRR1294403","7/22/15","12/30/15",18396019,3679203800,18396019,200,2332,NA,"http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294403","SRX549017",NA,"RNA-Seq","RANDOM PCR","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP042159","PRJNA248394",NA,248394,"SRS616855","SAMN02740269","simple",2843,"Skeletonema costatum",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"NCGR","SRA166613",NA,"public","89C3122AB213D4CB22B659E261600623","957B8685B82E59B4E135A451828A7540","GingerArmbrust","Stramenopila(SAR,Chromalveolata)","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Skeletonemaceae","Skeletonema","costatum","1716",18396019,18131726,98.56,"/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0/MMETSP0013.trinity_out_2.2.0.Trinity.fasta",38251,201,17601,48371657,1264.58542,0,17110,24,23110,77.94483,566,1298,2000,2979,5013,0.45474,0.00815,0.00884,1.80212,0,0,0.21659,18131726,17246647,0.95119,16119430,0.88902,1127217,15807,4583113,0.09475,22613,0.59117,4864,0.12716,22909,0.59891,2958,0.07733,0.27803,0.54385,0.40044,"/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP0013.trinity_out_2.2.0.Trinity.fasta",38251,201,17601,48371657,1264.58542,0,17110,24,23110,77.94483,566,1298,2000,2979,5013,0.45474,0.00815,0.00884,1.80212,0,0,0.21659,26811,26811,0.70092,0.69769,16876,0.43916,8483,0.22075,7689,0.20009,6848,0.1782,6458,0.16805,5942,0.15463,0.23095,NA,NA,NA,"MMETSP0013",254,19,30,303,0.838283828383,217,10,7,234,0.927350427350427,33217106,10050139,36527735,"27.5%",128035793,0
