,total_annotated_contigs,unique_annotations,annotations_w_false_crbb,total_OrthoDB,unique_OrthoDB,false_crbb_OrthoDB,total_Pfam,unique_Pfam,false_crbb_Pfam,total_Rfam,unique_Rfam,false_crbb_Rfam
MMETSP0004,26851,12707,2246,15073,8726,1582,39033,5284,763,134,37,7
MMETSP0005,26252,12246,1748,14760,8499,1183,39209,5213,619,467,143,31
MMETSP0006,36795,17810,4691,19610,11816,3210,46579,7783,1624,100,32,3
MMETSP0007,17308,7773,1368,8469,5057,931,15538,3680,452,659,219,65
MMETSP0008,48347,22066,,24759,15661,,34876,8410,,307,100,
MMETSP0009,36990,12576,,11802,6984,,43743,7350,,152,45,
MMETSP0010,35765,14801,3675,19185,11862,2705,57818,8880,1252,483,135,65
MMETSP0011,38133,16586,817,26881,18933,700,166005,11552,203,782,210,118
MMETSP0013,31753,12577,1821,14684,8374,1121,66257,8480,1119,312,84,39
MMETSP0014,53016,19486,3120,33805,17288,2516,92636,12527,965,635,203,89
MMETSP0015,51417,24795,6710,33140,20329,5834,81144,10390,1499,366,119,68
MMETSP0017,38737,14834,2574,16727,10208,1476,105732,10325,1798,378,98,44
MMETSP0018,6042,4717,727,5490,4748,697,586,118,21,148,56,15
MMETSP0019,24612,10952,1287,10929,6882,839,41871,5789,509,390,122,39
MMETSP0020,26400,11136,233,10783,7097,152,41578,5384,91,130,40,3
MMETSP0027,128617,43859,12249,39042,22751,5600,167725,25520,7449,190,35,6
MMETSP0029,127091,43358,11847,38914,22669,5479,166920,25215,7168,171,29,3
MMETSP0030,129305,44440,7219,39478,23082,3294,170333,25798,4375,218,47,11
MMETSP0031,119168,40672,12039,36984,21846,5886,151246,22901,6950,195,33,9
MMETSP0033,27486,17600,3170,20081,12841,2280,52255,5814,955,588,192,48
MMETSP0034,57517,33422,6279,46751,29153,4882,110439,12951,1594,1211,388,160
MMETSP0038,70622,30343,10551,44041,26274,8077,123574,12872,3311,466,149,46
MMETSP0039,75943,30262,18228,39334,22120,12493,93033,12033,6985,505,223,103
MMETSP0040,29136,14679,3010,14925,9045,2031,41828,7107,1023,329,120,27
MMETSP0041,33419,16852,3442,17451,10487,2284,52909,8137,1253,382,129,54
MMETSP0042,28240,14199,1205,14136,8931,913,56860,7335,330,351,92,27
MMETSP0043,50212,25970,7911,29440,16933,4979,84462,11203,3362,436,132,55
MMETSP0044,207,120,68,121,94,45,126,15,11,54,17,16
MMETSP0045,13254,6576,490,5944,3852,385,14990,3093,110,109,34,3
MMETSP0046,46067,20339,4202,27581,16586,2804,147078,11943,1647,334,83,47
MMETSP0047,52967,27966,9104,31691,18027,5599,87811,11793,3838,410,129,77
MMETSP0052,27320,15803,1602,20098,13321,1483,23398,3138,125,283,70,14
MMETSP0053,82698,39545,11073,51678,27990,7580,96807,15918,4033,95,23,5
MMETSP0055,75869,36366,11202,47719,26022,7621,81303,13980,4028,106,27,10
MMETSP0056,88206,41888,8053,55817,29463,5674,107556,17384,2733,410,121,30
MMETSP0057,91148,44581,12535,59595,32706,8756,103674,16587,4315,128,26,9
MMETSP0058,30823,15928,3174,16511,9986,2100,66201,7688,1177,116,31,17
MMETSP0059,30448,15683,2860,16086,9665,1892,63941,7678,1070,141,34,20
MMETSP0063,28019,15389,3012,19855,12015,2356,35568,4968,709,301,63,23
MMETSP0086,22956,10343,2696,11108,7409,1925,22797,3856,829,355,106,28
MMETSP0087,43691,21895,3687,24785,15045,2429,66966,8667,1407,568,161,48
MMETSP0088,3044,1705,,1613,1269,,1595,508,,88,27,
MMETSP0090,22308,10156,817,10913,6296,580,36038,5339,285,168,58,10
MMETSP0091,20472,8692,668,8624,5337,486,23626,4560,204,263,80,23
MMETSP0092,7520,3569,,3336,2441,,3876,1342,,156,53,
MMETSP0093,87678,39808,8688,50214,25308,5691,120425,18498,3458,284,60,14
MMETSP0095,89039,42116,8159,53351,27717,5501,130062,18751,3179,315,71,25
MMETSP0096,88707,41875,9660,52583,27865,6430,121429,18010,3767,271,63,15
MMETSP0097,91240,43724,7276,56216,29228,5053,142499,19322,2671,312,62,26
MMETSP0098,28501,17606,,19745,15614,,75215,5295,,378,114,
MMETSP0099,12642,6970,,6133,4018,,22114,3371,,107,39,
MMETSP0100,14774,7997,1080,7089,4663,654,29449,3834,446,134,48,15
MMETSP0101,41594,19286,5982,20492,12458,3723,66544,9530,2632,675,235,66
MMETSP0102,28846,11752,2646,12965,7763,1738,43795,5338,1032,527,169,29
MMETSP0103,31591,16108,6521,14956,9612,3808,53524,7925,3085,349,120,41
MMETSP0104,24785,11210,,10823,6971,,46070,5450,,297,89,
MMETSP0105,30780,16898,,17391,11661,,55549,6749,,672,214,
MMETSP0106,30124,15910,,17346,11406,,64359,6427,,628,188,
MMETSP0107,52348,23319,4193,25660,15849,2731,76223,11107,1621,685,215,66
MMETSP0108,58549,28636,4806,30793,18981,2964,100024,14090,2029,647,175,35
MMETSP0109,29620,16244,1492,17571,10631,1138,62292,7636,407,213,71,25
MMETSP0110,21138,11109,,9993,6424,,49689,5856,,123,40,
MMETSP0111,30375,15598,,16395,9811,,48587,7301,,455,139,
MMETSP0112,17654,9422,2133,10049,6087,1455,32414,4384,737,346,97,31
MMETSP0113,22648,10693,43,9759,6255,31,31598,5266,14,200,56,0
MMETSP0114,28003,14809,4151,14976,9620,2619,55142,6128,1712,79,22,7
MMETSP0115,25197,16548,,19975,13224,,37934,3924,,487,156,
MMETSP0116,96103,41943,10976,50484,27294,7272,115678,18821,4248,293,40,20
MMETSP0117,77751,37078,17695,40053,23434,10684,81145,16493,7832,870,248,42
MMETSP0118,101265,47090,13710,59944,32600,9420,114471,19372,4926,239,57,20
MMETSP0119,86611,43712,10444,55385,31582,7590,100063,16542,3301,1026,288,84
MMETSP0120,101268,44427,7297,52475,28271,4741,139977,21189,2964,292,54,9
MMETSP0121,37674,17298,1747,21365,12511,1511,32339,6235,345,230,64,7
MMETSP0123,17163,9166,2180,9661,7068,1662,15909,2474,528,302,108,43
MMETSP0125,18083,9928,1956,10564,7928,1575,21386,2789,410,335,99,32
MMETSP0126,64070,32374,14456,35211,23436,9672,59373,11435,5392,679,222,44
MMETSP0127,61950,21856,7221,21603,14266,4218,62078,11203,3562,281,85,14
MMETSP0132,10081,4339,1427,4340,3169,1031,7513,1948,530,19,7,2
MMETSP0133,9393,4056,,4029,2969,,6908,1828,,9,4,
MMETSP0134,11051,4482,,4483,3284,,8914,2082,,19,6,
MMETSP0135,16138,6037,,6212,4458,,12585,2977,,35,14,
MMETSP0139,21791,10187,21,11182,6160,12,34322,5031,8,87,26,0
MMETSP0140,21715,9913,67,10928,5989,48,33872,5050,20,173,53,0
MMETSP0141,21298,9902,886,10829,5921,614,32544,4984,302,150,48,12
MMETSP0142,21248,10095,31,11117,6066,20,34334,4987,10,195,58,0
MMETSP0143,76535,38582,9261,47036,28471,6685,80515,12984,2803,159,45,15
MMETSP0145,51411,26308,10732,31971,20095,8022,45841,7666,2945,118,35,9
MMETSP0146,58241,29611,,36338,22471,,53751,9079,,116,28,
MMETSP0147,58230,29248,,35225,21348,,53645,9480,,127,34,
MMETSP0149,21857,9457,1083,9068,5392,632,34077,5160,519,79,20,5
MMETSP0150,23716,10408,26,10212,5877,17,37483,5840,27,75,25,0
MMETSP0151,35599,19392,5502,19954,13198,3713,51052,7323,1916,476,135,36
MMETSP0152,29750,11630,,10197,6347,,37273,6672,,74,24,
MMETSP0154,33366,12959,2171,11673,7189,1271,43115,7581,1095,85,32,12
MMETSP0156,26731,11826,1075,10013,6000,588,48085,7202,556,101,31,16
MMETSP0158,26524,12001,813,10106,6078,433,49129,7351,441,106,29,10
MMETSP0160,30537,14938,3120,16596,9903,2299,34626,6354,924,491,137,34
MMETSP0161,33040,18356,3468,19428,12765,2586,45306,6882,945,571,159,34
MMETSP0164,36405,19002,5030,20850,12499,3611,39761,7811,1532,356,96,25
MMETSP0166,21909,12252,2521,11175,7462,1436,52266,5969,1184,151,55,32
MMETSP0167,20910,13679,2346,16656,11800,2136,28933,3203,254,247,104,28
MMETSP0168,20776,14138,1077,15751,10028,783,64146,5526,302,371,86,33
MMETSP0169,21845,8468,114,9759,5842,81,10807,3124,33,77,27,0
MMETSP0171,37100,15671,1972,17966,10631,1488,41163,7428,601,164,46,12
MMETSP0173,19097,10288,1806,9915,6304,1084,35282,4928,769,600,196,38
MMETSP0174,42607,14477,1649,13855,8347,947,51065,8969,880,101,46,21
MMETSP0176,43338,14520,1687,13892,8373,970,49102,8931,869,188,58,9
MMETSP0186,1257,933,648,906,732,500,991,225,153,96,29,6
