,false_crbb_num_transcripts
MMETSP1347,812
MMETSP0603,5341
MMETSP0469,101484
MMETSP1075,57113
MMETSP1369,46402
MMETSP0707,659
MMETSP1367,28584
MMETSP1159,911
MMETSP0908,15448
MMETSP1154,14809
MMETSP1180,8862
MMETSP1081,563
MMETSP0562,19151
MMETSP0939,1740
MMETSP1418,140
MMETSP0503,49747
MMETSP0317,8753
MMETSP0796,22805
MMETSP0038,59717
MMETSP0895,9044
MMETSP1474,19461
MMETSP1071,5923
MMETSP0989,35873
MMETSP1460,551
MMETSP0027,86357
MMETSP1164,9390
MMETSP0416,11124
MMETSP0150,399
MMETSP0492,707
MMETSP1395,14928
MMETSP0910,14698
MMETSP0955,5278
MMETSP1066,22650
MMETSP1371,36700
MMETSP0166,12531
MMETSP0268,6990
MMETSP1106,11774
MMETSP0143,44388
MMETSP1321,10656
MMETSP0527,96257
MMETSP0174,11430
MMETSP0689,22517
MMETSP1438,25567
MMETSP0786,7926
MMETSP1353,2378
MMETSP1362,7819
MMETSP0096,59224
MMETSP0201,99473
MMETSP0158,5005
MMETSP1424,24867
MMETSP0413,13745
MMETSP0063,12763
MMETSP0125,6018
MMETSP0817,12535
MMETSP1363,13140
MMETSP0936,474
MMETSP0415,37108
MMETSP1172,2351
MMETSP0382,41554
MMETSP0971,369
MMETSP1063,8540
MMETSP0296,1007
MMETSP0960,600
MMETSP0789,188
MMETSP1140,10791
MMETSP0034,23543
MMETSP0734,15361
MMETSP0946,16648
MMETSP1128,5296
MMETSP0573,36356
MMETSP1352,9578
MMETSP0738,5094
MMETSP1080,312
MMETSP1085,443
MMETSP0904,11694
MMETSP1334,21502
MMETSP0329,167
MMETSP1057,63
MMETSP0229,144
MMETSP0965,10032
MMETSP0880,211
MMETSP0368,43024
MMETSP0724,7675
MMETSP1361,5585
MMETSP1160,5030
MMETSP1100,45765
MMETSP1035,50437
MMETSP1034,55157
MMETSP0010,21159
MMETSP0890,1242
MMETSP1324,10567
MMETSP1391,18290
MMETSP1400,2260
MMETSP0739,15538
MMETSP1049,16616
MMETSP1033,54746
MMETSP0086,11787
MMETSP1393,11925
MMETSP0161,13589
MMETSP0439,145
MMETSP1411,7296
MMETSP0893,4151
MMETSP1105,10584
MMETSP1122,31677
MMETSP0800,5966
MMETSP0270,62175
MMETSP1384,29372
MMETSP1330,7406
MMETSP1068,16826
MMETSP0472,95901
MMETSP0397,5034
MMETSP0580,4291
MMETSP1336,7073
MMETSP1425,27907
MMETSP0972,261
MMETSP0168,4585
MMETSP0932,963
MMETSP0031,83289
MMETSP0173,7996
MMETSP1142,8090
MMETSP0434,14543
MMETSP0648,74890
MMETSP0901,6050
MMETSP0123,7937
MMETSP0964,8721
MMETSP0751,79
MMETSP0973,9693
MMETSP1041,21517
MMETSP1322,12706
MMETSP0269,43224
MMETSP1450,19530
MMETSP0320,6162
MMETSP0820,11282
MMETSP0020,1133
MMETSP1433,12012
MMETSP0176,11837
MMETSP1067,18776
MMETSP1446,3056
MMETSP1444,21683
MMETSP1125,36276
MMETSP1310,12714
MMETSP0950,16387
MMETSP1047,43228
MMETSP0055,56933
MMETSP0206,9615
