,kept,total,perc_kept,num_kmers,fp_rate
MMETSP1049,22774553,48481524,47.0%,141670604,0.000
MMETSP1086,9777725,39222685,24.9%,60033859,0.000
MMETSP0439,387976,421140,92.1%,6535015,0.000
MMETSP1387,15117709,49083373,30.8%,60090969,0.000
MMETSP1139,12424262,39975477,31.1%,61711332,0.000
MMETSP0988,24948850,55538501,44.9%,144434753,0.000
MMETSP1033,42840835,69305917,61.8%,202736614,0.001
MMETSP1110,42186815,56002858,75.3%,192895030,0.001
MMETSP0897,11486865,52872230,21.7%,64177297,0.000
MMETSP1364,20310790,52792038,38.5%,93726129,0.000
MMETSP1164,16372398,49711578,32.9%,82235357,0.000
MMETSP1443,11719921,58162295,20.2%,64396505,0.000
MMETSP0014,13248325,33312866,39.8%,164619725,0.001
MMETSP1032,41715463,65927229,63.3%,193739212,0.001
MMETSP1360,15759815,31067143,50.7%,69329295,0.000
MMETSP0706,14807891,60701899,24.4%,128172371,0.000
MMETSP1440,24870457,45381253,54.8%,137240349,0.000
MMETSP1060,22419604,75977013,29.5%,97680257,0.000
MMETSP1066,25248728,66047959,38.2%,136533166,0.000
MMETSP0010,6857204,23018992,29.8%,93465267,0.000
MMETSP0901,659602,696603,94.7%,11105020,0.000
MMETSP0149,16561914,52716620,31.4%,69867152,0.000
MMETSP0287,24863782,83430002,29.8%,127018292,0.000
MMETSP0087,24769069,60038788,41.3%,107614623,0.000
MMETSP0133,7366107,22108840,33.3%,68554666,0.000
MMETSP1442,14221721,53471042,26.6%,70775517,0.000
MMETSP1147,5375958,64037504,8.4%,32244023,0.000
MMETSP0173,11539406,38317694,30.1%,66490712,0.000
MMETSP0107,24966354,70699528,35.3%,122158380,0.000
MMETSP0004,16287761,49504503,32.9%,68379508,0.000
MMETSP1043,17949172,54413578,33.0%,98918722,0.000
MMETSP1472,9086900,43953274,20.7%,56825979,0.000
MMETSP1007,11315427,27751567,40.8%,65921939,0.000
MMETSP1013,20152086,52731678,38.2%,110963232,0.000
MMETSP0267,37617,37617,100.0%,1118642,0.000
MMETSP1322,12175222,22033828,55.3%,58381091,0.000
MMETSP1362,16409979,39849835,41.2%,70087937,0.000
MMETSP0371,33916170,42529011,79.7%,202280462,0.001
MMETSP1377,33979720,42749757,79.5%,354920192,0.008
MMETSP1468,19095877,56011774,34.1%,113636189,0.000
MMETSP0415,14483313,35373977,40.9%,99157506,0.000
MMETSP1052,21871802,60052737,36.4%,104541462,0.000
MMETSP1161,9525891,41971436,22.7%,47864257,0.000
MMETSP1438,12446444,24733935,50.3%,79737681,0.000
MMETSP1433,6819082,61845431,11.0%,74333834,0.000
MMETSP1437,10252682,21249619,48.2%,60342740,0.000
MMETSP0436,16580665,55009801,30.1%,99576545,0.000
