"","SampleName","n_seqs","total_annotation_names","unique_annotation_names","total_annotated_contigs","unique_annotations","annotations_w_false_crbb","total_OrthoDB","unique_OrthoDB","false_crbb_OrthoDB","total_Pfam","unique_Pfam","false_crbb_Pfam","total_Rfam","unique_Rfam","false_crbb_Rfam"
"1","MMETSP0004",33559,54240,15412,26851,12707,2246,15073,8726,1582,39033,5284,763,134,37,7
"2","MMETSP0005",32824,54436,15033,26252,12246,1748,14760,8499,1183,39209,5213,619,467,143,31
"3","MMETSP0006",47463,66289,18969,36795,17810,4691,19610,11816,3210,46579,7783,1624,100,32,3
"4","MMETSP0007",30922,24666,9480,17308,7773,1368,8469,5057,931,15538,3680,452,659,219,65
"5","MMETSP0009",54275,55697,13106,36990,12576,NA,11802,6984,NA,43743,7350,NA,152,45,NA
"6","MMETSP0010",43375,77486,14760,35765,14801,3675,19185,11862,2705,57818,8880,1252,483,135,65
"7","MMETSP0011",45875,193668,10984,38133,16586,817,26881,18933,700,166005,11552,203,782,210,118
"8","MMETSP0013",38251,81253,12909,31753,12577,1821,14684,8374,1121,66257,8480,1119,312,84,39
"9","MMETSP0014",63046,127076,20623,53016,19486,3120,33805,17288,2516,92636,12527,965,635,203,89
"10","MMETSP0015",63642,114650,22897,51417,24795,6710,33140,20329,5834,81144,10390,1499,366,119,68
"11","MMETSP0017",46484,122837,13833,38737,14834,2574,16727,10208,1476,105732,10325,1798,378,98,44
"12","MMETSP0018",19640,6224,5147,6042,4717,727,5490,4748,697,586,118,21,148,56,15
"13","MMETSP0019",34469,53190,12313,24612,10952,1287,10929,6882,839,41871,5789,509,390,122,39
"14","MMETSP0020",2399,52491,12162,26400,11136,233,10783,7097,152,41578,5384,91,130,40,3
"15","MMETSP0027",162399,206957,34108,128617,43859,12249,39042,22751,5600,167725,25520,7449,190,35,6
"16","MMETSP0029",160017,206005,33979,127091,43358,11847,38914,22669,5479,166920,25215,7168,171,29,3
"17","MMETSP0030",98850,210029,34445,129305,44440,7219,39478,23082,3294,170333,25798,4375,218,47,11
"18","MMETSP0031",151377,188425,32527,119168,40672,12039,36984,21846,5886,151246,22901,6950,195,33,9
"19","MMETSP0033",31615,72924,19048,27486,17600,3170,20081,12841,2280,52255,5814,955,588,192,48
"20","MMETSP0034",73008,158401,28767,57517,33422,6279,46751,29153,4882,110439,12951,1594,1211,388,160
"21","MMETSP0038",90051,168081,27498,70622,30343,10551,44041,26274,8077,123574,12872,3311,466,149,46
"22","MMETSP0039",154322,132872,31204,75943,30262,18228,39334,22120,12493,93033,12033,6985,505,223,103
"23","MMETSP0040",37737,57082,15825,29136,14679,3010,14925,9045,2031,41828,7107,1023,329,120,27
"24","MMETSP0041",41011,70742,18522,33419,16852,3442,17451,10487,2284,52909,8137,1253,382,129,54
"25","MMETSP0042",35570,71347,15247,28240,14199,1205,14136,8931,913,56860,7335,330,351,92,27
"26","MMETSP0043",63330,114338,26904,50212,25970,7911,29440,16933,4979,84462,11203,3362,436,132,55
"27","MMETSP0044",266,301,200,207,120,68,121,94,45,126,15,11,54,17,16
"28","MMETSP0045",17857,21043,8044,13254,6576,490,5944,3852,385,14990,3093,110,109,34,3
"29","MMETSP0046",52725,174993,19286,46067,20339,4202,27581,16586,2804,147078,11943,1647,334,83,47
"30","MMETSP0047",68249,119912,29110,52967,27966,9104,31691,18027,5599,87811,11793,3838,410,129,77
"31","MMETSP0052",35064,43779,17226,27320,15803,1602,20098,13321,1483,23398,3138,125,283,70,14
"32","MMETSP0053",119667,148580,35942,82698,39545,11073,51678,27990,7580,96807,15918,4033,95,23,5
"33","MMETSP0055",109610,129128,33894,75869,36366,11202,47719,26022,7621,81303,13980,4028,106,27,10
"34","MMETSP0056",129657,163783,37790,88206,41888,8053,55817,29463,5674,107556,17384,2733,410,121,30
"35","MMETSP0057",132248,163397,39043,91148,44581,12535,59595,32706,8756,103674,16587,4315,128,26,9
"36","MMETSP0058",50667,82828,17623,30823,15928,3174,16511,9986,2100,66201,7688,1177,116,31,17
"37","MMETSP0059",51327,80168,17422,30448,15683,2860,16086,9665,1892,63941,7678,1070,141,34,20
"38","MMETSP0063",45607,55724,18251,28019,15389,3012,19855,12015,2356,35568,4968,709,301,63,23
"39","MMETSP0086",30668,34260,12143,22956,10343,2696,11108,7409,1925,22797,3856,829,355,106,28
"40","MMETSP0087",51229,92319,23073,43691,21895,3687,24785,15045,2429,66966,8667,1407,568,161,48
"41","MMETSP0090",27381,47119,12124,22308,10156,817,10913,6296,580,36038,5339,285,168,58,10
"42","MMETSP0091",25981,32513,10025,20472,8692,668,8624,5337,486,23626,4560,204,263,80,23
"43","MMETSP0093",110519,170923,38126,87678,39808,8688,50214,25308,5691,120425,18498,3458,284,60,14
"44","MMETSP0095",112256,183728,38962,89039,42116,8159,53351,27717,5501,130062,18751,3179,315,71,25
"45","MMETSP0096",109825,174283,38507,88707,41875,9660,52583,27865,6430,121429,18010,3767,271,63,15
"46","MMETSP0097",116587,199027,39959,91240,43724,7276,56216,29228,5053,142499,19322,2671,312,62,26
"47","MMETSP0098",45351,95338,17342,28501,17606,NA,19745,15614,NA,75215,5295,NA,378,114,NA
"48","MMETSP0099",17555,28354,8689,12642,6970,NA,6133,4018,NA,22114,3371,NA,107,39,NA
"49","MMETSP0100",20798,36672,9822,14774,7997,1080,7089,4663,654,29449,3834,446,134,48,15
"50","MMETSP0101",54783,87711,19508,41594,19286,5982,20492,12458,3723,66544,9530,2632,675,235,66
"51","MMETSP0102",35999,57287,12990,28846,11752,2646,12965,7763,1738,43795,5338,1032,527,169,29
"52","MMETSP0103",38037,68829,16679,31591,16108,6521,14956,9612,3808,53524,7925,3085,349,120,41
"53","MMETSP0104",29752,57190,12575,24785,11210,NA,10823,6971,NA,46070,5450,NA,297,89,NA
"54","MMETSP0105",37731,73612,18982,30780,16898,NA,17391,11661,NA,55549,6749,NA,672,214,NA
"55","MMETSP0106",36426,82333,17885,30124,15910,NA,17346,11406,NA,64359,6427,NA,628,188,NA
"56","MMETSP0107",66173,102568,23729,52348,23319,4193,25660,15849,2731,76223,11107,1621,685,215,66
"57","MMETSP0108",76291,131464,28694,58549,28636,4806,30793,18981,2964,100024,14090,2029,647,175,35
"58","MMETSP0109",35061,80076,17897,29620,16244,1492,17571,10631,1138,62292,7636,407,213,71,25
"59","MMETSP0110",3367,59805,12299,21138,11109,NA,9993,6424,NA,49689,5856,NA,123,40,NA
"60","MMETSP0111",39306,65437,17222,30375,15598,NA,16395,9811,NA,48587,7301,NA,455,139,NA
"61","MMETSP0112",23258,42809,11129,17654,9422,2133,10049,6087,1455,32414,4384,737,346,97,31
"62","MMETSP0113",2389,41557,12065,22648,10693,43,9759,6255,31,31598,5266,14,200,56,0
"63","MMETSP0114",36363,70197,16436,28003,14809,4151,14976,9620,2619,55142,6128,1712,79,22,7
"64","MMETSP0116",128413,166455,39303,96103,41943,10976,50484,27294,7272,115678,18821,4248,293,40,20
"65","MMETSP0117",128035,122068,36063,77751,37078,17695,40053,23434,10684,81145,16493,7832,870,248,42
"66","MMETSP0118",130753,174654,42014,101265,47090,13710,59944,32600,9420,114471,19372,4926,239,57,20
"67","MMETSP0119",123721,156474,39851,86611,43712,10444,55385,31582,7590,100063,16542,3301,1026,288,84
"68","MMETSP0120",134492,192744,40198,101268,44427,7297,52475,28271,4741,139977,21189,2964,292,54,9
"69","MMETSP0121",53496,53934,18786,37674,17298,1747,21365,12511,1511,32339,6235,345,230,64,7
"70","MMETSP0123",38054,25872,10682,17163,9166,2180,9661,7068,1662,15909,2474,528,302,108,43
"71","MMETSP0125",41818,32285,10855,18083,9928,1956,10564,7928,1575,21386,2789,410,335,99,32
"72","MMETSP0126",119699,95263,32373,64070,32374,14456,35211,23436,9672,59373,11435,5392,679,222,44
"73","MMETSP0127",83965,83962,20791,61950,21856,7221,21603,14266,4218,62078,11203,3562,281,85,14
"74","MMETSP0132",16419,11872,4726,10081,4339,1427,4340,3169,1031,7513,1948,530,19,7,2
"75","MMETSP0139",819,45591,12198,21791,10187,21,11182,6160,12,34322,5031,8,87,26,0
"76","MMETSP0140",1619,44973,11955,21715,9913,67,10928,5989,48,33872,5050,20,173,53,0
"77","MMETSP0141",28457,43523,11996,21298,9902,886,10829,5921,614,32544,4984,302,150,48,12
"78","MMETSP0142",1456,45646,12097,21248,10095,31,11117,6066,20,34334,4987,10,195,58,0
"79","MMETSP0143",95064,127710,33139,76535,38582,9261,47036,28471,6685,80515,12984,2803,159,45,15
"80","MMETSP0145",68584,77930,24823,51411,26308,10732,31971,20095,8022,45841,7666,2945,118,35,9
"81","MMETSP0146",76269,90205,27369,58241,29611,NA,36338,22471,NA,53751,9079,NA,116,28,NA
"82","MMETSP0147",76587,88997,27625,58230,29248,NA,35225,21348,NA,53645,9480,NA,127,34,NA
"83","MMETSP0149",27809,43224,10918,21857,9457,1083,9068,5392,632,34077,5160,519,79,20,5
"84","MMETSP0150",2013,47770,11868,23716,10408,26,10212,5877,17,37483,5840,27,75,25,0
"85","MMETSP0151",45281,71482,19232,35599,19392,5502,19954,13198,3713,51052,7323,1916,476,135,36
"86","MMETSP0152",39510,47544,11913,29750,11630,NA,10197,6347,NA,37273,6672,NA,74,24,NA
"87","MMETSP0154",44023,54873,13046,33366,12959,2171,11673,7189,1271,43115,7581,1095,85,32,12
"88","MMETSP0156",32947,58199,12067,26731,11826,1075,10013,6000,588,48085,7202,556,101,31,16
