"","Input.Reads","score.x","Complete_BUSCO_perc","n_refs_with_CRBB","mean_orf_percent.y","linguistic_complexity.y","Phylum"
"1",28100060,0.45083,0.515151515,13855,80.16813,0.15876,"Ochrophyta"
"2",20174360,0.38822,0.244755245,12663,69.79312,0.11781,"Haptophyta"
"3",26748951,0.38185,0.503496503,29,93.47106,0.12739,"Dinophyta"
"4",26789927,0.39925,0.522144522,959,93.51972,0.12848,"Dinophyta"
"5",26865219,0.4026,0.51048951,86,93.39758,0.12749,"Dinophyta"
"6",18367767,0.00064,0,183,93.45259,0.06102,"Dinophyta"
"7",31827728,0.47009,0.610722611,17863,74.20221,0.15554,"Chlorophyta"
"8",30039807,0.39962,0.655011655,22629,89.29229,0.1511,"Unknown"
"9",24216257,0.37671,0.51981352,52373,94.65695,0.1211,"Dinophyta"
"10",28871474,0.40559,0.564102564,54467,94.60181,0.12723,"Dinophyta"
"11",40555230,0.38888,0.545454545,15652,83.37389,0.13376,"Ochrophyta"
"12",20003253,0.38585,0.300699301,11490,87.83151,0.13656,"Ochrophyta"
"13",19545981,0.49256,0.540792541,12499,83.98794,0.15837,"Ochrophyta"
"14",21464994,0.50186,0.522144522,12003,81.30902,0.18384,"Ochrophyta"
"15",38095096,0.33276,0.575757576,32058,83.91164,0.13647,"Cryptophyta"
"16",38546139,0.50803,0.741258741,17498,82.03174,0.21032,"Cercozoa"
"17",30863126,0.45458,0.386946387,14159,91.13145,0.13881,"Cryptophyta"
"18",32463643,0.47256,0.543123543,11043,38.76954,0.1554,"Ciliophora"
"19",36786580,0.40899,0.384615385,8714,36.74085,0.14099,"Ciliophora"
"20",40789469,0.3097,0.655011655,23024,62.54158,0.10968,"Ciliophora"
"21",21751016,0.28837,0.629370629,21453,90.56772,0.10976,"Ciliophora"
"22",37107358,0.37285,0.456876457,43669,86.90316,0.11882,"Haptophyta"
"23",14367015,0.26754,0.317016317,22967,87.98199,0.10192,"Haptophyta"
"24",18661217,0.32091,0.372960373,28362,87.12016,0.10639,"Haptophyta"
"25",19522742,0.28837,0.407925408,26336,88.85496,0.1031,"Haptophyta"
"26",26360693,0.4593,0.636363636,11474,82.85326,0.17733,"Bacillariophyta"
"27",25757656,0.46169,0.668997669,12855,80.07876,0.19983,"Bacillariophyta"
"28",22839663,0.36292,0.573426573,14678,84.7677,0.1336,"Bacillariophyta"
"29",23573411,0.37958,0.65034965,15016,84.08394,0.14319,"Bacillariophyta"
"30",26264741,0.50633,0.680652681,14971,79.11132,0.19635,"Bacillariophyta"
"31",28552179,0.51569,0.701631702,15378,79.04783,0.20615,"Bacillariophyta"
"32",27188668,0.35538,0.358974359,12531,74.1836,0.13884,"Rhodophyta"
"33",32009172,0.52324,0.72027972,12668,84.45538,0.18501,"Unknown"
"34",25730477,0.09489,0.034965035,11654,87.66165,0.08809,"Bacillariophyta"
"35",28360699,0.37323,0.487179487,20037,80.15028,0.14883,"Bacillariophyta"
"36",26969803,0.35913,0.627039627,18604,77.37379,0.15544,"Bacillariophyta"
"37",24443795,0.35831,0.559440559,18802,76.79493,0.14965,"Bacillariophyta"
"38",6819524,0.00174,0.011655012,338,92.35965,0.07415,"Cercozoa"
"39",27975540,0.37745,0.538461538,56843,92.65921,0.12404,"Dinophyta"
"40",22055450,0.36491,0.454545455,44011,90.67829,0.11422,"Dinophyta"
"41",26039134,0.47724,0.578088578,1182,21.22224,0.13295,"Ciliophora"
"42",32637722,0.45596,0.482517483,12306,35.8627,0.15216,"Ciliophora"
"43",36032186,0.32932,0.638694639,17510,80.07978,0.15357,"Ciliophora"
"44",21540771,0.44666,0.575757576,31145,90.52722,0.13949,"Dinophyta"
"45",23434796,0.34545,0.48951049,50752,95.01649,0.11587,"Dinophyta"
"46",26123949,0.53877,0.566433566,30847,92.32323,0.17007,"Dinophyta"
"47",28648014,0.5405,0.603729604,31498,91.74818,0.16684,"Dinophyta"
"48",34244332,0.18506,0.289044289,36545,94.83025,0.09327,"Dinophyta"
"49",29323736,0.34283,0.526806527,53983,92.28024,0.1169,"Dinophyta"
"50",36147274,0.34107,0.564102564,64047,92.94023,0.1328,"Dinophyta"
"51",25239347,0.39309,0.188811189,22067,80.25336,0.1127,"Haptophyta"
"52",41716814,0.4562,0.470862471,25189,79.41391,0.1459,"Haptophyta"
"53",24445873,0.35933,0.564102564,17462,73.83977,0.14768,"Apicomplexa"
"54",21596941,0.42787,0.475524476,17434,72.92489,0.13015,"Unknown"
"55",32622070,0.36919,0.365967366,16406,79.8908,0.11718,"Ochrophyta"
"56",31175731,0.36406,0.454545455,20640,79.61412,0.12488,"Ochrophyta"
"57",23209198,0.34325,0.342657343,16277,79.74871,0.11735,"Ochrophyta"
"58",28094148,0.36185,0.41025641,17289,78.78708,0.11731,"Ochrophyta"
"59",23516287,0.38916,0.738927739,15551,72.68069,0.15954,"Glaucophyta"
"60",16946559,0.45671,0.657342657,6187,57.39364,0.21694,"Rhodophyta"
"61",20182060,0.40899,0.438228438,7448,79.33387,0.16366,"Rhodophyta"
"62",19649048,0.39715,0.347319347,11926,80.48552,0.13314,"Rhodophyta"
"63",17791645,0.32213,0.517482517,6987,64.00666,0.18167,"Rhodophyta"
"64",31863209,0.50175,0.24009324,8483,83.25517,0.166,"Bacillariophyta"
"65",16387244,0.50948,0.230769231,7504,84.03032,0.15494,"Bacillariophyta"
"66",39169175,0.449,0.680652681,14119,79.73469,0.20985,"Bacillariophyta"
"67",42447333,0.43356,0.557109557,14498,79.07423,0.20903,"Bacillariophyta"
"68",30911642,0.41088,0.613053613,14558,76.66445,0.17308,"Bacillariophyta"
"69",28002788,0.46148,0.554778555,9284,73.5841,0.18658,"Bacillariophyta"
"70",38231833,0.51503,0.687645688,11498,76.42246,0.24039,"Bacillariophyta"
"71",11312320,0.01874,0.202797203,8415,92.97027,0.09972,"Dinophyta"
"72",40630878,0.53414,0.596736597,13165,80.43986,0.2088,"Bacillariophyta"
"73",27042993,0.02814,0.193473193,3192,91.22644,0.10929,"Dinophyta"
"74",23109623,0.36997,0.592074592,47562,91.86404,0.13386,"Dinophyta"
"75",22831746,0.35001,0.587412587,47653,91.82991,0.13129,"Dinophyta"
"76",24488163,0.34288,0.592074592,49453,91.0217,0.12689,"Dinophyta"
"77",20622130,0.26053,0.533799534,44599,91.92579,0.12039,"Dinophyta"
