('Erythrolobus_australicus', 'SRR1300443')
('Erythrolobus_madagascarensis', 'SRR1300444')
('Fabrea_salina', 'SRR1300445')
('Minutocellus_polymorphus', 'SRR1300446')
('Dictyocha_speculum', 'SRR1300447')
('Licmophora_paradoxa', 'SRR1300448')
('Staurosira', 'SRR1300449')
('Leptocylindrus_danicus', 'SRR1300450')
('Asterionellopsis_glacialis', 'SRR1300451')
('Pseudo-nitzschia_heimii', 'SRR1300452')
('Bathycoccus_prasinos', 'SRR1300453')
('Micromonas', 'SRR1300454')
('Micromonas_pusilla', 'SRR1300455')
('Micromonas_pusilla', 'SRR1300456')
('Micromonas_pusilla', 'SRR1300457')
('Micromonas_pusilla', 'SRR1300458')
('Moneuplotes_crassus', 'SRR1300459')
('Pseudokeronopsis', 'SRR1300460')
('Climacostomum_virens', 'SRR1300461')
('Skeletonema_marinoi', 'SRR1300462')
('Chaetoceros_sp.', 'SRR1300463')
('Pseudo-nitzschia_delicatissima', 'SRR1300464')
('Prorocentrum_lima', 'SRR1300465')
('Prorocentrum_micans', 'SRR1300466')
('Pyrocystis_lunula', 'SRR1300467')
('Lessardia_elongata', 'SRR1300468')
('Gyrodinium_dominans', 'SRR1300469')
('Symbiodinium_sp.', 'SRR1300470')
('Symbiodinium_sp.', 'SRR1300471')
('Oxyrrhis_marina', 'SRR1300472')
('Oxyrrhis_marina', 'SRR1300473')
('Oxyrrhis_marina', 'SRR1300474')
('Elphidium_margaritaceum', 'SRR1300475')
('Thalassiosira_weissflogii', 'SRR1300476')
('Thalassiosira_weissflogii', 'SRR1300477')
('Thalassiosira_weissflogii', 'SRR1300478')
('Thalassiosira_weissflogii', 'SRR1300479')
('Thalassiosira_weissflogii', 'SRR1300480')
('Thalassiosira_weissflogii', 'SRR1300481')
('Thalassiosira_weissflogii', 'SRR1300482')
('Thalassiosira_weissflogii', 'SRR1300483')
('Thalassiosira_weissflogii', 'SRR1300484')
('Thalassiosira_weissflogii', 'SRR1300485')
('Thalassiosira_weissflogii', 'SRR1300486')
('Thalassiosira_weissflogii', 'SRR1300487')
('Thalassiosira_weissflogii', 'SRR1300488')
('Thalassiosira_weissflogii', 'SRR1300489')
('Thalassiosira_weissflogii', 'SRR1300490')
('Thalassiosira_weissflogii', 'SRR1300491')
('Triceratium_dubium', 'SRR1300492')
('uncultured_eukaryote', 'SRR1300494')
('uncultured_eukaryote', 'SRR1300495')
('uncultured_eukaryote', 'SRR1300496')
('Partenskyella_glossopodia', 'SRR1300497')
('Bolidomonas', 'SRR1300498')
('uncultured_eukaryote', 'SRR1300499')
('Pinguiococcus_pyrenoidosus', 'SRR1300500')
('Sarcinochrysis', 'SRR1300501')
