assembly,n_seqs,smallest,largest,n_bases,mean_len,n_under_200,n_over_1k,n_over_10k,n_with_orf,mean_orf_percent,n90,n70,n50,n30,n10,gc,gc_skew,at_skew,cpg_ratio,bases_n,proportion_n,linguistic_complexity,CRBB_hits,n_contigs_with_CRBB,p_contigs_with_CRBB,rbh_per_reference,n_refs_with_CRBB,p_refs_with_CRBB,cov25,p_cov25,cov50,p_cov50,cov75,p_cov75,cov85,p_cov85,cov95,p_cov95,reference_coverage,score,optimal_score,cutoff,SampleName,Run
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP0271.nt.fa,106264,150,18933,117126237,1083.72243,11390,45658,103,69333,84.76853,631,1213,1725,2397,4295,0.5946600000000001,0.00172,0.0009,2.06026,284754,0.00243,0.18823,93504,93504,0.87992,0.61035,67785,0.44247,37697,0.24606999999999998,35210,0.22983,29477,0.19241,24850,0.16221,12950,0.08453,0.35226,,,,MMETSP0271,MMETSP0271
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP1366.nt.fa.fixed.fa,36792,150,12093,30992217,814.70798,5940,11474,2,19862,84.22165,477,982,1432,2033,3642,0.68757,-0.0042899999999999995,0.0008900000000000001,2.35278,53605,0.00173,0.13510999999999998,31362,31362,0.85241,0.60047,29508,0.56497,14522,0.27804,13566,0.25974,10924,0.20915999999999998,8765,0.16782,3887,0.07442,0.27545,,,,MMETSP1366,MMETSP1366
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP1103.nt.fa.fixed.fa,19457,150,12410,25474774,1296.42643,1450,9579,15,12579,84.51162,716,1355,1980,2972,5180,0.44551999999999997,-0.008709999999999999,-0.0008900000000000001,1.79777,41450,0.0016300000000000002,0.23081999999999997,18110,18110,0.9307700000000001,0.67072,17666,0.65427,8794,0.32569000000000004,8533,0.31603000000000003,7603,0.28158,6393,0.23676999999999998,2593,0.09602999999999999,0.365,,,,MMETSP1103,MMETSP1103
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP0014.nt.fa.fixed.fa,46582,150,16843,88191331,1882.39921,2972,32562,105,37292,77.40103,1149,1930,2658,3620,5680,0.47666000000000003,-0.00128,0.00158,1.8859700000000001,465590,0.00528,0.28954,43048,43048,0.9241299999999999,0.6828,23939,0.37971,13944,0.22116999999999998,11964,0.18977,9312,0.1477,7422,0.11772,3343,0.053020000000000005,0.28402,,,,MMETSP0014,MMETSP0014
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP0916.nt.fa,21990,150,23792,15879726,697.4300599999999,3143,4822,8,11111,92.22205,368,752,1185,1818,3816,0.6864600000000001,-0.00283,0.00435,2.51891,17458,0.0011,0.1145,20196,20196,0.9184200000000001,0.61711,19113,0.58401,9418,0.28776999999999997,8775,0.26813000000000003,6474,0.19782,4625,0.14132,1602,0.04895,0.27051,,,,MMETSP0916,MMETSP0916
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP1358.nt.fa.fixed.fa,25166,150,14222,25808342,1002.09159,3424,10317,9,14345,79.54741999999999,627,1186,1649,2320,4036,0.47672,-0.0022600000000000003,-0.00195,1.94661,61777,0.0023899999999999998,0.18637,19982,19982,0.79401,0.55499,18469,0.51297,9041,0.25111,8903,0.24728000000000003,8437,0.23434000000000002,8013,0.22255999999999998,6286,0.17459000000000002,0.30851999999999996,,,,MMETSP1358,MMETSP1358
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP0164.nt.fa.fixed.fa,31292,150,6888,23330441,724.00054,3900,8707,0,14635,75.54146999999999,392,834,1169,1572,2465,0.60487,-0.0034799999999999996,0.0035700000000000003,2.21916,84502,0.0036200000000000004,0.141,28906,28906,0.92375,0.5402600000000001,27924,0.5219,13640,0.25493000000000005,12926,0.24159,10823,0.20228,9260,0.17307,5598,0.10463,0.29998,,,,MMETSP0164,MMETSP0164
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP0727.nt.fa.fixed.fa,19120,150,19836,30827910,1604.05136,917,11800,33,15214,76.2516,903,1576,2255,3186,5255,0.50352,1e-05,0.00352,1.9559799999999998,39921,0.0012900000000000001,0.26466,18504,18504,0.96778,0.61841,12987,0.43403,7389,0.24694000000000002,6936,0.2318,6051,0.20223,5300,0.17712999999999998,2851,0.09527999999999999,0.36758,,,,MMETSP0727,MMETSP0727
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP0384.nt.fa.fixed.fa,106664,150,13283,101639755,936.08141,10268,41321,13,68539,86.92564,554,1030,1433,1925,2998,0.62249,-0.00018,0.00186,2.03672,180685,0.0017800000000000001,0.16762,96877,96877,0.9082399999999999,0.52718,78284,0.426,42054,0.22885,40229,0.21891999999999998,35955,0.19566,32511,0.17692,23318,0.12689,0.32834,,,,MMETSP0384,MMETSP0384
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP1402.nt.fa.fixed.fa,9730,150,17679,11226522,1135.0369,1056,4053,7,6224,81.58111,626,1277,1962,2895,4785,0.65383,-0.0029,-0.00072,2.6072,15526,0.0013800000000000002,0.16477999999999998,8763,8763,0.9006200000000001,0.5584399999999999,8471,0.53983,4151,0.26453000000000004,3921,0.24986999999999998,3275,0.20870999999999998,2727,0.17378,1356,0.08641,0.29684,,,,MMETSP1402,MMETSP1402
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP1154.nt.fa.fixed.fa,42638,150,15695,43598135,1007.99869,3584,17151,4,29614,82.67184,600,1031,1453,2037,3434,0.69248,-0.00209,0.00086,2.36499,83077,0.0019100000000000002,0.15903,40002,40002,0.9381799999999999,0.76569,28681,0.54899,16228,0.31063,15206,0.29106,12681,0.24273000000000003,10319,0.19752,4969,0.09511,0.35825,,,,MMETSP1154,MMETSP1154
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP0091.nt.fa,18491,150,6073,14089365,728.01855,3643,5349,0,8327,75.02338,427,962,1377,1902,3059,0.42391999999999996,-0.00837,-0.0052,1.72364,61362,0.00436,0.14456,15781,15781,0.85344,0.60741,15244,0.5867399999999999,7530,0.28983000000000003,7282,0.28028000000000003,6336,0.24386999999999998,5339,0.2055,2699,0.10388,0.30709000000000003,,,,MMETSP0091,MMETSP0091
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP0043.nt.fa.fixed.fa,38813,150,20110,35267761,889.6395,4260,11955,45,22391,83.65599,488,933,1401,2175,4528,0.60438,-0.00164,0.0011300000000000001,1.8436400000000002,374059,0.01061,0.15729,37050,37050,0.9545799999999999,0.58503,31251,0.49346,16554,0.26139,15850,0.25028,12700,0.20054,9736,0.15373,3907,0.061689999999999995,0.32024,,,,MMETSP0043,MMETSP0043
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP0368.nt.fa.fixed.fa,77388,150,16728,76758489,972.96198,8484,32762,10,50691,85.30163,610,1100,1497,1973,2914,0.6181800000000001,-0.00045,0.00245,2.11634,154298,0.00201,0.17435,68234,68234,0.88171,0.6374,52208,0.48768999999999996,28771,0.26876,27222,0.25429,23206,0.21678000000000003,19883,0.18573,10722,0.10016,0.35855,,,,MMETSP0368,MMETSP0368
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP0941.nt.fa.fixed.fa,10230,150,20504,14919878,1420.51574,2307,5365,17,6481,74.20461999999999,1050,1844,2622,3627,5937,0.58181,-0.00179,-0.00056,2.07878,13331,0.0008900000000000001,0.23493000000000003,7963,7963,0.7784,0.56467,7756,0.54999,3778,0.26791,3660,0.25954,3314,0.235,3010,0.21344000000000002,1653,0.11722,0.30108,,,,MMETSP0941,MMETSP0941
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP0993.nt.fa.fixed.fa,59752,150,13870,44356519,703.25778,13566,15338,9,23183,80.39183,355,1012,1554,2292,4571,0.57157,-0.00646,-0.00392,2.10813,84198,0.0019,0.13295,48784,48784,0.8164399999999999,0.54566,42556,0.47600000000000003,20727,0.23184000000000002,18344,0.20518000000000003,14325,0.16022999999999998,12048,0.13476,7276,0.08138,0.25336,,,,MMETSP0993,MMETSP0993
