Sample	Input Reads	Surviving Reads	Percent Surviving
SRR1300371	22202199	22179510	99.90
SRR1300370	20264809	20244656	99.90
SRR1300373	14943164	14928287	99.90
SRR1300372	21636280	21615174	99.90
SRR1300375	20768235	20743751	99.88
SRR1300374	22594397	22591755	99.99
SRR1300377	25504015	25502818	100.00
SRR1300376	18367414	18333128	99.81
SRR1300379	21413545	21388626	99.88
SRR1300378	22470384	22447391	99.90
SRR1296730	21820169	21809632	99.95
SRR1296928	14032283	13602653	96.94
SRR1296929	24984128	24976071	99.97
SRR1296924	25730477	25726418	99.98
SRR1296925	28360699	28355110	99.98
SRR1296926	26969803	26960381	99.97
SRR1296927	24443795	24441382	99.99
SRR1296920	22839663	22836808	99.99
SRR1296921	23573411	23567702	99.98
SRR1296922	26264741	26262593	99.99
SRR1296923	28552179	28548319	99.99
SRR1300292	10076000	10075439	99.99
SRR1300293	32759013	32756357	99.99
SRR1300290	19905566	19904332	99.99
SRR1300291	31399429	31397265	99.99
SRR1300296	34031847	33999941	99.91
SRR1300297	29124288	29121209	99.99
SRR1300294	26389270	26343370	99.83
SRR1300295	25321979	25320544	99.99
SRR1300298	32333559	32277917	99.83
SRR1300299	20239281	20213605	99.87
SRR1300223	26334945	26334325	100.00
SRR1300514	10632693	10618425	99.87
SRR1300516	12377327	12359966	99.86
SRR1300458	18886293	18268944	96.73
SRR1300459	17471807	17458451	99.92
SRR1300512	12139478	12118136	99.82
SRR1300454	21328638	20630382	96.73
SRR1300455	21997808	21278952	96.73
SRR1300456	19188178	18558086	96.72
SRR1300457	18875788	18284387	96.87
SRR1300519	22695683	22685747	99.96
SRR1300518	26319762	26306769	99.95
SRR1300452	17181029	17170611	99.94
SRR1300453	21543470	21528110	99.93
SRR1300222	13697132	13696405	99.99
SRR1294416	3351971	3350448	99.95
SRR1294417	3373255	3371950	99.96
SRR1294414	4564026	4557405	99.85
SRR1294415	3393295	3391793	99.96
SRR1294412	27052143	27008131	99.84
SRR1294413	20690432	20664784	99.88
SRR1294410	22296557	21977268	98.57
SRR1294411	22076599	21753675	98.54
SRR1294418	3393607	3392285	99.96
SRR1294419	23305112	23239681	99.72
SRR1296779	13520570	13505829	99.89
SRR1296778	12102460	12101327	99.99
SRR1296775	13864482	13837459	99.81
SRR1296774	20195880	20195362	100.00
SRR1296777	16176764	16146332	99.81
SRR1296776	19140554	19106375	99.82
SRR1296771	28700973	28696267	99.98
SRR1296770	43171474	43166702	99.99
SRR1296773	24869668	24865825	99.98
SRR1296772	32083995	32078726	99.98
SRR1300509	30160953	30145777	99.95
SRR1296894	31231475	31178697	99.83
SRR1296895	24216257	24188855	99.89
SRR1296896	28871474	28838250	99.88
SRR1296897	23523548	23496034	99.88
SRR1296890	37516145	37466493	99.87
SRR1296891	32010529	31886226	99.61
SRR1296892	32486634	32365314	99.63
SRR1296893	29128195	29126963	100.00
SRR1296898	33579814	33542471	99.89
SRR1296899	27508269	27501736	99.98
SRR1296699	29168542	29111039	99.80
SRR1300339	33298564	33163026	99.59
SRR1300338	29107777	28989278	99.59
SRR1300335	21881642	21798398	99.62
SRR1300334	27617643	27615619	99.99
SRR1300337	28421406	28419747	99.99
SRR1300336	19724194	19717575	99.97
SRR1300331	25600062	25599097	100.00
SRR1300330	36061680	36057688	99.99
SRR1300333	39358540	39190452	99.57
SRR1300332	22767092	22764266	99.99
SRR1296968	18927712	18924305	99.98
SRR1296969	14205627	14203833	99.99
SRR1296960	20055724	20044203	99.94
SRR1296961	24565460	24552601	99.95
SRR1296962	15932686	15924117	99.95
SRR1296963	20150089	20124988	99.88
SRR1296964	19938503	19916820	99.89
