,MMETSP_id,NCGR,DIB
0,MMETSP1385,2120,6925
1,MMETSP1144,2848,5306
2,MMETSP0471,1290,5345
3,MMETSP0957,578,2930
4,MMETSP1058,700,2260
5,MMETSP1136,3421,7510
6,MMETSP1399,625,1728
7,MMETSP1420,1000,3436
8,MMETSP1361,987,3605
9,MMETSP0939,1000,1701
10,MMETSP0009,1125,3766
11,MMETSP0167,1800,4986
12,MMETSP0327,1522,2412
13,MMETSP1459,719,2677
14,MMETSP1452,1749,4824
15,MMETSP0088,4830,1061
16,MMETSP1161,745,3482
17,MMETSP1412,8268,3
18,MMETSP1353,647,2785
19,MMETSP0209,927,3765
20,MMETSP1085,595,1828
21,MMETSP0817,1898,6184
22,MMETSP1321,1086,3916
23,MMETSP1460,646,2405
24,MMETSP0315,1190,4642
25,MMETSP0288,1144,4377
26,MMETSP1176,737,3153
27,MMETSP0881,961,3180
28,MMETSP0795,826,1872
29,MMETSP0766,1680,7319
30,MMETSP1018,172,772
31,MMETSP0142,945,2794
32,MMETSP0917,2797,5277
33,MMETSP0879,1011,3307
34,MMETSP0603,779,2786
35,MMETSP1405,1047,3793
36,MMETSP1104,1964,7060
37,MMETSP0965,1342,4561
38,MMETSP1336,844,2743
39,MMETSP1404,824,3245
40,MMETSP1345,761,3285
41,MMETSP0878,968,3273
42,MMETSP0916,1974,5329
43,MMETSP0143,3199,10310
44,MMETSP1019,175,4425
45,MMETSP0794,1088,6654
46,MMETSP0880,956,3138
47,MMETSP1177,728,4630
48,MMETSP0449,1195,3138
49,MMETSP0308,1433,6617
50,MMETSP0964,1405,4636
51,MMETSP0997,1804,6856
52,MMETSP1105,1926,4112
53,MMETSP0208,1290,4541
54,MMETSP1352,1059,3530
55,MMETSP1413,1047,3500
56,MMETSP1160,829,3271
57,MMETSP1005,702,2695
58,MMETSP0314,1727,4595
59,MMETSP1320,1097,3839
60,MMETSP0043,2500,9859
61,MMETSP0816,1277,4653
62,MMETSP1084,803,3044
63,MMETSP1159,915,2062
64,MMETSP0938,893,1662
65,MMETSP1360,1341,4427
66,MMETSP1393,659,3638
67,MMETSP1421,1034,3519
68,MMETSP0941,757,2833
69,MMETSP1453,952,3555
70,MMETSP0326,1295,3300
71,MMETSP0171,1619,4550
72,MMETSP0409,1324,8576
73,MMETSP1384,2277,8394
74,MMETSP1137,1880,5076
75,MMETSP1059,625,2409
76,MMETSP0956,1003,3187
77,MMETSP0103,1571,7370
78,MMETSP1451,1285,5142
79,MMETSP0948,1736,4697
80,MMETSP1047,2193,8269
81,MMETSP1129,1420,3348
82,MMETSP0417,1100,3931
83,MMETSP1423,948,3089
84,MMETSP1362,674,2381
85,MMETSP0233,163,3609
86,MMETSP0740,989,4618
87,MMETSP1446,1030,4038
88,MMETSP0954,1419,3330
89,MMETSP1386,741,2431
90,MMETSP1434,649,2305
91,MMETSP0173,1068,4104
92,MMETSP1147,41,365
93,MMETSP1107,777,7564
94,MMETSP1091,1836,7325
95,MMETSP0882,1679,4783
96,MMETSP1175,1697,7486
97,MMETSP1010,968,3672
98,MMETSP0141,1768,2615
99,MMETSP0380,3941,2362
100,MMETSP0216,4099,6313
101,MMETSP0378,3261,2706
102,MMETSP1075,3637,8512
103,MMETSP0041,2629,6152
104,MMETSP0814,1030,4781
105,MMETSP1322,1105,4057
106,MMETSP1463,1640,3483
107,MMETSP1329,1572,4273
108,MMETSP1169,1421,5290
109,MMETSP0903,1026,3151
110,MMETSP1007,1516,6240
111,MMETSP0156,837,2856
112,MMETSP0908,1569,4916
113,MMETSP1411,1023,3626
114,MMETSP1328,1013,3630
115,MMETSP1469,838,3126
116,MMETSP1462,4239,9038
117,MMETSP1323,1167,4201
