,MMETSP_id,NCGR,DIB
0,MMETSP1385,2120,6925
1,MMETSP0471,1290,5345
2,MMETSP0957,578,2930
3,MMETSP1058,700,2260
4,MMETSP1399,625,1728
5,MMETSP1420,1000,3436
6,MMETSP1361,987,3605
7,MMETSP0009,1125,3766
8,MMETSP0167,1800,4986
9,MMETSP1459,719,2677
10,MMETSP1452,1749,4824
11,MMETSP0088,4830,1061
12,MMETSP1161,745,3482
13,MMETSP1412,8268,3
14,MMETSP1353,647,2785
15,MMETSP0209,927,3765
16,MMETSP1085,595,1828
17,MMETSP0817,1898,6184
18,MMETSP1321,1086,3916
19,MMETSP1460,646,2405
20,MMETSP0315,1190,4642
21,MMETSP1176,737,3153
22,MMETSP0881,961,3180
23,MMETSP0766,1680,7319
24,MMETSP1018,172,772
25,MMETSP0142,945,2794
26,MMETSP0879,1011,3307
27,MMETSP0603,779,2786
28,MMETSP1405,1047,3793
29,MMETSP1104,1964,7060
30,MMETSP0965,1342,4561
31,MMETSP1336,844,2743
32,MMETSP1404,824,3245
33,MMETSP1345,761,3285
34,MMETSP0878,968,3273
35,MMETSP0916,1974,5329
36,MMETSP0143,3199,10310
37,MMETSP1019,175,4425
38,MMETSP0794,1088,6654
39,MMETSP0880,956,3138
40,MMETSP1177,728,4630
41,MMETSP0308,1433,6617
42,MMETSP0964,1405,4636
43,MMETSP0997,1804,6856
44,MMETSP0208,1290,4541
45,MMETSP1352,1059,3530
46,MMETSP1413,1047,3500
47,MMETSP1160,829,3271
48,MMETSP1005,702,2695
49,MMETSP0314,1727,4595
50,MMETSP1320,1097,3839
51,MMETSP0816,1277,4653
52,MMETSP1084,803,3044
53,MMETSP1360,1341,4427
54,MMETSP1393,659,3638
55,MMETSP1421,1034,3519
56,MMETSP0941,757,2833
57,MMETSP1453,952,3555
58,MMETSP0326,1295,3300
59,MMETSP0171,1619,4550
60,MMETSP1384,2277,8394
61,MMETSP1059,625,2409
62,MMETSP1451,1285,5142
63,MMETSP0417,1100,3931
64,MMETSP1423,948,3089
65,MMETSP1362,674,2381
66,MMETSP0233,163,3609
67,MMETSP0740,989,4618
68,MMETSP1446,1030,4038
69,MMETSP1386,741,2431
70,MMETSP1434,649,2305
71,MMETSP0173,1068,4104
72,MMETSP1147,41,365
73,MMETSP1107,777,7564
74,MMETSP1091,1836,7325
75,MMETSP0882,1679,4783
76,MMETSP1175,1697,7486
77,MMETSP1010,968,3672
78,MMETSP1075,3637,8512
79,MMETSP0814,1030,4781
80,MMETSP1322,1105,4057
81,MMETSP1463,1640,3483
82,MMETSP1329,1572,4273
83,MMETSP1169,1421,5290
84,MMETSP0903,1026,3151
85,MMETSP1007,1516,6240
86,MMETSP0156,837,2856
87,MMETSP0908,1569,4916
88,MMETSP1411,1023,3626
89,MMETSP1328,1013,3630
90,MMETSP1469,838,3126
91,MMETSP1462,4239,9038
92,MMETSP1323,1167,4201
93,MMETSP0040,984,5276
94,MMETSP1074,3318,8965
95,MMETSP1410,1058,3703
96,MMETSP0909,1454,4539
97,MMETSP1006,1517,6060
98,MMETSP1090,2011,5849
99,MMETSP0809,710,6189
100,MMETSP1174,1416,5161
101,MMETSP0883,1681,4810
102,MMETSP0955,664,3134
103,MMETSP1447,1193,4034
104,MMETSP1435,429,982
105,MMETSP1387,809,2677
106,MMETSP0225,8,133
107,MMETSP1374,1272,5242
108,MMETSP1128,1181,3716
109,MMETSP1450,4175,10954
110,MMETSP1311,854,3150
111,MMETSP0196,1062,1290
112,MMETSP0232,2641,211
113,MMETSP1363,2511,7026
114,MMETSP0580,698,2615
115,MMETSP1422,1058,3526
116,MMETSP0578,831,3020
117,MMETSP1403,838,3023
118,MMETSP0806,985,2812
119,MMETSP1067,1794,5308
120,MMETSP1471,698,2614
121,MMETSP1330,747,3519
122,MMETSP0906,1682,5008
123,MMETSP0158,847,2731
124,MMETSP1009,1319,5870
125,MMETSP1167,1122,6733
126,MMETSP0890,689,3291
127,MMETSP1414,1031,3420
128,MMETSP1355,1436,6258
129,MMETSP0693,705,1054
130,MMETSP0811,893,7482
131,MMETSP0044,88,104
132,MMETSP0705,746,2829
133,MMETSP1466,1307,4691
134,MMETSP1394,796,3163
135,MMETSP0199,944,3531
136,MMETSP0161,1730,6693
137,MMETSP0493,939,3405
138,MMETSP1127,1283,4284
139,MMETSP1049,1166,5103
140,MMETSP0113,1859,3956
141,MMETSP1370,1534,8385
142,MMETSP0593,1060,3553
143,MMETSP1388,2916,6573
144,MMETSP0018,44,4861
145,MMETSP1443,533,2138
146,MMETSP1309,848,3222
147,MMETSP0092,3723,2071
148,MMETSP0929,505,1674
149,MMETSP0753,1044,3864
150,MMETSP1148,16,19
151,MMETSP0922,1091,7573
152,MMETSP0404,1242,3876
153,MMETSP1389,2129,7694
154,MMETSP1371,1742,9005
155,MMETSP0105,1409,5907
156,MMETSP0098,1060,10550
157,MMETSP1449,968,3356
158,MMETSP1442,740,2295
159,MMETSP0160,1523,5000
160,MMETSP1395,787,7287
161,MMETSP0492,672,2435
162,MMETSP1354,889,3568
163,MMETSP1415,1016,3337
164,MMETSP0891,723,3004
165,MMETSP1166,1627,7430
166,MMETSP1008,1758,6852
