SAMPLE_NAME,PI_LAST_NAME,PI_FIRST_NAME,ORGANISM,STRAIN,EXP_DATE,EXP_GROWTH_MEDIUM,EXP_MODIF_GROWTH,EXP_TEMPERATURE,EXP_SALINITY,EXP_PH,EXP_LIGHT,EXP_DAY_PORTION_OF_DAY,EXP_NIGHT_PORTION_OF_DAY,EXP_NITRATE,EXP_AMMONIUM,EXP_PHOSPHATE,EXP_SILICATE,EXP_DISSOLVED_OXYGEN,EXP_TOTAL_FE,EXP_DOC,EXP_LIST_AA_AND_CONCENTRATIONS,EXP_TRACE_ELEMENTS_TOTAL,EXP_CO2_PPM,EXP_UREA,EXP_PREY_ORGANISM,ENV_LATITUDE,ENV_LONGITUDE,ENV_DEPTH,ENV_ELEVATION,ENV_SALINITY,ENV_TEMPERATURE,ENV_PH,ENV_COLLECTION_DATE,ENV_COLLECTION_TIME,GEO_LOC_NAME,BIOME,HABITAT_DESCRIPTION,CAMERA_SAMPLE_ACC,CLONAL,AXENIC
MMETSP0850,Jenkins,Bethany,Pseudo-nitzschia fraudulenta,WWA7,09-AUG-06,f/2 enriched seawater,,16,35,8.3,90,12,12,643,0,32,106.1,,,,,,390,,,34.0847,-119.05,1,,35,14,,27-MAR-10,06:30 AM,Pacific Ocean,Acquatic: marine,small cove with cobblestone/sand bottom,CAM_SMPL_002804,1,0
MMETSP0405,Katz,Laura,Trichosphaerium sp,Am-I-7 wt,11-MAY-11,ATCC medium 1405 (HESNW medium),,20,,8,,16,8,549,6,31,106,,,,,81,,,Chlamydomonas reinhardtii (ATCC PRA-142; heat killed),34.46809,-120.27233,0,0,,,,,,Atlantic Ocean,Organism-Associated,stipes of Sargassum muticum,CAM_SMPL_002555,0,0
MMETSP0851,Jenkins,Bethany,Pseudo-nitzschia fraudulenta,WWA7,09-AUG-06,f/2 enriched seawater,f/2 for all nutirents except the final concentration of sodium metasilicate was 10.6 uM,16,35,8.2,90,12,12,643,0,32,10.6,,,,,,390,,,34.0847,-119.05,1,,35,14,,27-MAR-10,06:30 AM,Pacific Ocean,Acquatic: marine,small cove with cobblestone/sand bottom,CAM_SMPL_002813,1,0
MMETSP0176,Beszteri,Bánk,Proboscia alata,PI-D3,,modified f/2 amended seawater,Using trace metal solution after Morel et al. 1979. medium set up using trace metal clean conditions and procedures.,3,33.6,8.15,35,16,8,28,0.09,28.45,60,,0,,,7.3,,,,-64.0038,-0.0025,,,,,,20-JAN-08,,Southern Ocean,Acquatic: marine,,CAM_SMPL_002452,1,0
MMETSP1328,Vaulot,Daniel,Pelagomonas calceolata,RCC969,15-JAN-12,K,,20,35,,10,12,12,,,,,,,,,,,,,-29.23333333,-101.4833333,160,,,,,22-NOV-04,,Pacific Ocean,Aquatic: marine,,CAM_SMPL_002901,0,0
MMETSP0041_2,Archibald,John,Lotharella globosa,LEX01,17-OCT-10,ESM medium,,20,35,8,55,12,12,1410,0,29,0,,,,,0,,,,32.86692,-117.25169,,,,,,26-APR-10,,OTHER,Acquatic: marine,,CAM_SMPL_002349,1,1
MMETSP0403,Jenkins,Bethany,Thalassiosira rotula,CCMP3096,11-JUL-11,f/2,,18,35,8.2,125,12,12,882,0,36.2,106,,,,,,,,,49.65,-127.4338,0,,,8,,13-MAY-07,08:00 PM,Pacific Ocean,Acquatic: marine,"Coastal waters, Northeast Pacific",CAM_SMPL_002553,1,1
MMETSP0141_2,Smith,G Jason,Pseudo-nitzschia australis,10249 10 AB,04-AUG-11,0.2u filtered Monterey Bay seawater with ES enrichments lacking N- source which is applied in experiment specific manner,"Continuous culture with dilution rate set to 0.29/d, UREA as N source",15,33,8.2,250,24,0,0,0,36.7,105.6,,6560,,,2687,,30,,36.60369,-121.88927,5,0,33,15,,06-SEP-10,10:00 AM,Pacific Ocean,Acquatic: marine,"coastal ocean bay, near small boat harbor",CAM_SMPL_002419,1,0
MMETSP0142_2,Smith,G Jason,Pseudo-nitzschia australis,10249 10 AB,04-AUG-11,0.2u filtered Monterey Bay seawater with ES enrichments lacking N- source which is applied in experiment specific manner,"Continuous culture with dilution rate set to 0.29/d, GLUTAMATE as N source",15,33,8.2,250,24,0,0,0,36.7,105.6,,6560,,"Glutamate, 80 umole/L",2687,,0,,36.60369,-121.88927,5,0,33,15,,06-SEP-10,10:00 AM,Pacific Ocean,Acquatic: marine,"coastal ocean bay, near small boat harbor",CAM_SMPL_002415,1,0
MMETSP1061,Armbrust,Virginia,Pseudo-nitzschia pungens,cf. pungens,,f/2,,13,21,8,166,16,8,882,0,36.2,106,,,,"thiamine, 200 mg; biotin, 10 mL; cyanocobalamin, 1 mL",24.6634,,,,47.6901,-122.40041,,,,,,01-JUL-10,,Pacific Ocean,Acquatic: marine,,CAM_SMPL_002616,1,0
MMETSP1060,Armbrust,Virginia,Pseudo-nitzschia pungens,cf. cingulata,07-DEC-11,f/2,,13,21,8,166,16,8,882,0,36.2,106,,,,"thiamine, 200 mg; biotin, 10 mL; cyanocobalamin, 1 mL",24.6634,,,,47.6901,-122.40041,,,,,,01-JUL-10,,Pacific Ocean,Acquatic: marine,,CAM_SMPL_002609,1,0
MMETSP1001,Rynearson,Tatiana,Ditylum brightwellii,GSO105,30-OCT-11,f/2 amended Sargasso seawater,f/2 for all nutrients except no Nitrate was added,14,36,7.9,180,12,12,2,,36.2,106,,,,,,,,,47.74,-122.417,0.5,,,,,12-MAY-07,,Pacific Ocean,Acquatic: marine,,CAM_SMPL_002705,1,1
MMETSP0467,McManus,George,Mesodinium pulex,SPMC105,22-JUN-11,F/2 amended seawater,none,15,30,8,100,12,12,900,0,36,0,,,,,10000,,,Heterocapsa rotundata MMETSP0503,48.5,-122.6,,,,,,01-JUN-03,,,,,CAM_SMPL_002570,,0
MMETSP0123,Lynn,Denis,Favella ehrenbergii,Fehren 1,13-OCT-11,Ciliate Media (filtered seawater ammended with dilute f/2 trace metals stock.),f/2 trace metals stock added to filtered seawater at a concentration of 0.5ml per Liter.,15,30,8.1,25,12,12,25,2,2.1,37,,,,,,,,"Heterocapsa triquetra, Mantoniella squamata, Isochrysis galbana",48.634,-122.868,1,,,,,26-JUL-11,,northern Puget Sound,Acquatic: marine,,CAM_SMPL_002400,1,0
MMETSP0410,Menden-Deuer,Susanne,Heterosigma akashiwo,CCMP3107,16-AUG-11,f/2-Si amended seawater,f/2 for all nutrients except eliminate Si,15,15,,75,12,12,882,,36.2,106,,,,,,,,,52.5758,-128.5003,0.5,,,,,15-SEP-08,,Pacific Ocean,Acquatic: marine,,CAM_SMPL_002557,1,0
MMETSP0886,Gobler,Christopher,Pelagomonas calceolata,CCMP1756,19-AUG-11,GSe media,Ammonium in place of nitrate,22,32,7.8,100,12,12,0,50,4,0,8,1100,2,none,1004,400,0,none,30.8333,-136.8333,5,0,35,25,8.1,17-FEB-73,12:00 PM,Pacific Ocean,Acquatic: marine,open ocean mixed layer,CAM_SMPL_002861,,0
MMETSP0882,Gobler,Christopher,Pelagococcus subviridis,CCMP1429,25-SEP-11,GSe media,Ammonium in place of nitrate,22,32,7.8,90,12,12,0,80,4,0,8,1100,2,none,1004,400,0,none,30.8333,-136.8333,5,0,35,25,8.1,17-FEB-73,12:00 PM,Pacific Ocean,Acquatic: marine,open ocean mixed layer,CAM_SMPL_002842,,0
MMETSP1336,Vaulot,Daniel,Chaetoceros cf. neogracile,RCC1993,15-JAN-12,K/2+Si,,4,35,,,12,12,,,,,,,,,,,,,70.68333333,-138.3666667,65,,,,,11-AUG-09,,,Aquatic: marine,,CAM_SMPL_002934,0,0
MMETSP0888,Gobler,Christopher,Pelagomonas calceolata,CCMP1756,19-AUG-11,GSe media,Ammonium in place of nitrate,22,32,7.8,100,12,12,0,100,0.25,0,8,1100,2,none,1004,400,0,none,30.8333,-136.8333,5,0,35,25,8.1,17-FEB-73,12:00 PM,Pacific Ocean,Acquatic: marine,open ocean mixed layer,CAM_SMPL_002713,,0
MMETSP0404_2,Jenkins,Bethany,Thalassiosira rotula,CCMP3096,11-JUL-11,f/2,,18,35,8.2,125,12,12,882,0,36.2,106,,,,,,,,,49.65,-127.4338,0,,,8,,13-MAY-07,08:00 PM,Pacific Ocean,Acquatic: marine,"Coastal waters, Northeast Pacific",CAM_SMPL_002554,1,1
MMETSP1002,Rynearson,Tatiana,Ditylum brightwellii,GSO103,31-AUG-11,f/2 amended seawater,f/2 for all nutrients,14,36,7.9,180,12,12,882,,36.2,106,,,,,,,,,49.654,-127.436,0.5,,,6.1,,13-MAY-07,,Pacific Ocean,Acquatic: marine,Coastal waters,CAM_SMPL_002583,1,1
MMETSP0734,Marchetti,Adrian,Fragilariopsis kerguelensis,L26-C5,01-NOV-11,Aquil,Standard Aquil with 100 uM EDTA,4,32,8.1,90,24,0,300,0,10,200,,1370,0,,1750,,0,,-48,-16,,,,,,,,,,polar open ocean mixed layer,CAM_SMPL_002718,1,0
MMETSP0735,Marchetti,Adrian,Fragilariopsis kerguelensis,L26-C5,01-MAR-12,Aquil,Standard Aquil with 100 uM EDTA,4,32,8.1,10,24,0,300,0,10,200,,3.1,0,,384,,0,,-48,-16,,,,,,,,,,polar open ocean mixed layer,CAM_SMPL_002719,1,0
MMETSP1327,Vaulot,Daniel,Micromonas pusilla,RCC2306,15-JAN-12,K/2,,4,35,,20,12,12,,,,,,,,,,,,,70.55,-140.8,70,,,,,12-AUG-09,,Arctic Ocean,Aquatic: marine,,CAM_SMPL_002900,0,
MMETSP1311,Wilson,Willie,Genus nov. species nov.,RCC856,15-JAN-12,K,,20,35,,100,12,12,,,,,,,,,,,,,-8.333333333,-141.25,10,,,,,29-OCT-04,,Pacific Ocean,Aquatic: marine,,CAM_SMPL_002940,0,0
