Investigator,HighLevelClassification,Phylum,Class,Order,Family,Genus,Species,Strain,SampleName
DavidCaron,"Stramenopila(SAR,Chromalveolata)",Ochrophyta,Synurophyceae,Ochromonadales,Ochromonadaceae,Ochromonas,sp.,CCMP1393,MMETSP0005
DavidCaron,"Stramenopila(SAR,Chromalveolata)",Ochrophyta,Synurophyceae,Ochromonadales,Ochromonadaceae,Ochromonas,sp.,CCMP1393,MMETSP0004
DavidCaron,"Haptophyta(Hacrobia,Chromalveolata)",Haptophyta,Prymnesiophyceae,Prymensiales,Prymenesiaceae,Prymnesium,parvum,Texoma1,MMETSP0007
DavidCaron,"Haptophyta(Hacrobia,Chromalveolata)",Haptophyta,Prymnesiophyceae,Prymensiales,Prymenesiaceae,Prymnesium,parvum,Texoma1,MMETSP0006
DavidCaron,"Haptophyta(Hacrobia,Chromalveolata)",Haptophyta,Prymnesiophyceae,Prymensiales,Prymenesiaceae,Prymnesium,parvum,Texoma1,MMETSP0008
GingerArmbrust,"Stramenopila(SAR,Chromalveolata)",Bacillariophyta,Bacillariophyceae,Striatellales,Striatellaceae,Grammatophora,oceanica,CCMP410,MMETSP0009
GingerArmbrust,"Stramenopila(SAR,Chromalveolata)",Bacillariophyta,Coscinodiscophyceae,Corethrales,Corethraceae,Corethron,hystrix,308,MMETSP0010
GingerArmbrust,Rhodophyta(Archaeplastida),Rhodophyta,Rhodellophyceae,Stylonematales,Stylonemataceae,Rhodosorus,marinus,CCMP769,MMETSP0011
GingerArmbrust,"Stramenopila(SAR,Chromalveolata)",Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,costatum,1716,MMETSP0013
GingerArmbrust,"Stramenopila(SAR,Chromalveolata)",Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,sp.,RCC80,MMETSP0014
GingerArmbrust,"Stramenopila(SAR,Chromalveolata)",Bacillariophyta,Coscinodiscophyceae,Triceratiales,Triceratiaceae,Odontella,aurita,isolate1302-5,MMETSP0015
GingerArmbrust,"Stramenopila(SAR,Chromalveolata)",Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Cylindrotheca,closterium,KMMCC:B-181,MMETSP0017
DavidCaron,"Alveolata(SAR,Chromalveolata)",Ciliophora,Oligohymenophorea,Philasterida,Uronematidae,Uronema,sp.,Bbcil,MMETSP0018
DavidCaron,"Stramenopila(SAR,Chromalveolata)",Ochrophyta,Synurophyceae,Ochromonadales,Dinobryaceae,Dinobryon,sp.,UTEXLB2267,MMETSP0019
DavidCaron,"Stramenopila(SAR,Chromalveolata)",Ochrophyta,Synurophyceae,Ochromonadales,Dinobryaceae,Dinobryon,sp.,UTEXLB2267,MMETSP0020
BorisWawrik,"Alveolata(SAR,Chromalveolata)",Dinophyta,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Karenia,brevis,CCMP2229,MMETSP0027
