MMETSP ID,Phylum,Class,Family,Genus,Species,Strain,Clonal *,Axenic *,PCRamp,Principle Investgator(s)
MMETSP0724,Bacillariophyta,Bacillariophyceae,Amphipleuraceae,Amphiprora,sp.,CCMP467,Yes,No,No, Sarah Smith
MMETSP0725,Bacillariophyta,Bacillariophyceae,Amphipleuraceae,Amphiprora,sp.,CCMP467,Yes,No,No, Sarah Smith
MMETSP0726,Bacillariophyta,Bacillariophyceae,Amphipleuraceae,Amphiprora,sp.,CCMP467,Yes,No,No, Sarah Smith
MMETSP0727,Bacillariophyta,Bacillariophyceae,Amphipleuraceae,Amphiprora,sp.,CCMP467,Yes,No,No, Sarah Smith
MMETSP1065,Bacillariophyta,Bacillariophyceae,Amphipleuraceae,Amphiprora,paludosa,CCMP125,Unknown,Unknown,No, E. Virginia Armbrust
MMETSP1449,Bacillariophyta,Coscinodiscophyceae,Attheyaceae,Attheya,septentrionalis,CCMP2084,Yes,No,No, Mike Preston
MMETSP1064,Bacillariophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseira,subarctica,CCAP 1002/5,Yes,No,No, E. Virginia Armbrust
MMETSP0014,Bacillariophyta,Bacillariophyceae,Bacillariaceae,Nitzschia,sp.,RCC80,Unknown,No,No, E. Virginia Armbrust
MMETSP0017,Bacillariophyta,Bacillariophyceae,Bacillariaceae,Cylindrotheca,closterium,KMMCC:B-181,Unknown,No,No, E. Virginia Armbrust
MMETSP0139,Bacillariophyta,Bacillariophyceae,Bacillariaceae,Pseudo-nitzschia,australis,10249 10 AB,Yes,No,No, G Jason Smith
MMETSP0140,Bacillariophyta,Bacillariophyceae,Bacillariaceae,Pseudo-nitzschia,australis,10249 10 AB,Yes,No,No, G Jason Smith
MMETSP0141,Bacillariophyta,Bacillariophyceae,Bacillariaceae,Pseudo-nitzschia,australis,10249 10 AB,Yes,No,No, G Jason Smith
MMETSP0142,Bacillariophyta,Bacillariophyceae,Bacillariaceae,Pseudo-nitzschia,australis,10249 10 AB,Yes,No,No, G Jason Smith
MMETSP0327,Bacillariophyta,Bacillariophyceae,Bacillariaceae,Pseudo-nitzschia,delicatissima,B596,Yes,No,No, Marina Montresor
MMETSP0329,Bacillariophyta,Bacillariophyceae,Bacillariaceae,Pseudo-nitzschia,arenysensis,B593,Yes,No,No, Marina Montresor
MMETSP0733,Bacillariophyta,Bacillariophyceae,Bacillariaceae,Fragilariopsis,kerguelensis,L26-C5,Yes,No,No, Adrian Marchetti
MMETSP0734,Bacillariophyta,Bacillariophyceae,Bacillariaceae,Fragilariopsis,kerguelensis,L26-C5,Yes,No,No, Adrian Marchetti
MMETSP0735,Bacillariophyta,Bacillariophyceae,Bacillariaceae,Fragilariopsis,kerguelensis,L26-C5,Yes,No,No, Adrian Marchetti
MMETSP0736,Bacillariophyta,Bacillariophyceae,Bacillariaceae,Fragilariopsis,kerguelensis,L26-C5,Yes,No,No, Adrian Marchetti
MMETSP0744,Bacillariophyta,Bacillariophyceae,Bacillariaceae,Nitzschia,punctata,CCMP561,Yes,No,No, Sarah Smith
MMETSP0745,Bacillariophyta,Bacillariophyceae,Bacillariaceae,Nitzschia,punctata,CCMP561,Yes,No,No, Sarah Smith
MMETSP0746,Bacillariophyta,Bacillariophyceae,Bacillariaceae,Nitzschia,punctata,CCMP561,Yes,No,No, Sarah Smith
MMETSP0747,Bacillariophyta,Bacillariophyceae,Bacillariaceae,Nitzschia,punctata,CCMP561,Yes,No,No, Sarah Smith
MMETSP0850,Bacillariophyta,Bacillariophyceae,Bacillariaceae,Pseudo-nitzschia,fraudulenta,WWA7,Yes,No,No, Bethany Jenkins
MMETSP0851,Bacillariophyta,Bacillariophyceae,Bacillariaceae,Pseudo-nitzschia,fraudulenta,WWA7,Yes,No,No, Bethany Jenkins
MMETSP0852,Bacillariophyta,Bacillariophyceae,Bacillariaceae,Pseudo-nitzschia,fraudulenta,WWA7,Yes,No,No, Bethany Jenkins
MMETSP0853,Bacillariophyta,Bacillariophyceae,Bacillariaceae,Pseudo-nitzschia,fraudulenta,WWA7,Yes,No,No, Bethany Jenkins
MMETSP0906,Bacillariophyta,Bacillariophyceae,Bacillariaceae,Fragilariopsis,kerguelensis,L2-C3,Yes,Yes,No, Thomas Mock
MMETSP0907,Bacillariophyta,Bacillariophyceae,Bacillariaceae,Fragilariopsis,kerguelensis,L2-C3,Yes,Yes,No, Thomas Mock
MMETSP0908,Bacillariophyta,Bacillariophyceae,Bacillariaceae,Fragilariopsis,kerguelensis,L2-C3,Yes,Yes,No, Thomas Mock
MMETSP0909,Bacillariophyta,Bacillariophyceae,Bacillariaceae,Fragilariopsis,kerguelensis,L2-C3,Yes,Yes,No, Thomas Mock
MMETSP1060,Bacillariophyta,Bacillariophyceae,Bacillariaceae,Pseudo-nitzschia,pungens,cf. cingulata,Yes,No,No, E. Virginia Armbrust
MMETSP1061,Bacillariophyta,Bacillariophyceae,Bacillariaceae,Pseudo-nitzschia,pungens,cf. pungens,Yes,No,No, E. Virginia Armbrust
MMETSP1423,Bacillariophyta,Bacillariophyceae,Bacillariaceae,Pseudo-nitzschia,heimii,UNC1101,Unknown,No,No, E. Virginia Armbrust
MMETSP1432,Bacillariophyta,Bacillariophyceae,Bacillariaceae,Pseudo-nitzschia,delicatissima,UNC1205,Unknown,No,No, Adrian Marchetti
MMETSP0316,Bacillariophyta,Bacillariophyceae,Catenulaceae,Amphora,coffeaeformis,CCMP127,Unknown,Yes,No, Peter Stief
MMETSP0317,Bacillariophyta,Bacillariophyceae,Catenulaceae,Amphora,coffeaeformis,CCMP127,Unknown,Yes,No, Peter Stief
MMETSP0318,Bacillariophyta,Bacillariophyceae,Catenulaceae,Amphora,coffeaeformis,CCMP127,Unknown,Yes,No, Peter Stief
MMETSP1336,Bacillariophyta,Bacillariophyceae,Chaetocerotaceae,Chaetoceros,cf. neogracile,RCC1993,No,No,No, Daniel Vaulot
MMETSP1435,Bacillariophyta,Bacillariophyceae,Chaetocerotaceae,Chaetoceros,brevis,CCMP164,Yes,No,No, Mike Preston
