domain_name	files	latitude	longitude	num_files	project_id	project_name	sample_id	sample_name	sample_type
eukarya	-	76.3208	-75.8172	5	104	Marine Microbial Eukaryote Transcriptome Sequencing Project (MMETSP)	1662	MMETSP0982	eukaryotes
eukarya	-	56	11	5	104	Marine Microbial Eukaryote Transcriptome Sequencing Project (MMETSP)	1663	MMETSP0503	eukaryotes
eukarya	-	-35.98917	-49.01944	5	104	Marine Microbial Eukaryote Transcriptome Sequencing Project (MMETSP)	1664	MMETSP0168	eukaryotes
eukarya	-			5	104	Marine Microbial Eukaryote Transcriptome Sequencing Project (MMETSP)	1665	MMETSP0784	eukaryotes
eukarya	-	48.75	-3.95	5	104	Marine Microbial Eukaryote Transcriptome Sequencing Project (MMETSP)	1666	MMETSP0017	eukaryotes
eukarya	-	41.745	-70.618	5	104	Marine Microbial Eukaryote Transcriptome Sequencing Project (MMETSP)	1667	MMETSP0018	eukaryotes
eukarya	-	38.702	-72.3667	5	104	Marine Microbial Eukaryote Transcriptome Sequencing Project (MMETSP)	1668	MMETSP0004	eukaryotes
eukarya	-	38.702	-72.3667	5	104	Marine Microbial Eukaryote Transcriptome Sequencing Project (MMETSP)	1669	MMETSP0005	eukaryotes
eukarya	-	33.98	-96.67	5	104	Marine Microbial Eukaryote Transcriptome Sequencing Project (MMETSP)	1670	MMETSP0006	eukaryotes
eukarya	-	33.98	-96.67	5	104	Marine Microbial Eukaryote Transcriptome Sequencing Project (MMETSP)	1671	MMETSP0007	eukaryotes
eukarya	-	33.98	-96.67	5	104	Marine Microbial Eukaryote Transcriptome Sequencing Project (MMETSP)	1672	MMETSP0008	eukaryotes
eukarya	-	37.86	144.93	5	104	Marine Microbial Eukaryote Transcriptome Sequencing Project (MMETSP)	1673	MMETSP0009	eukaryotes
eukarya	-	58.5	0.32	5	104	Marine Microbial Eukaryote Transcriptome Sequencing Project (MMETSP)	1674	MMETSP0010	eukaryotes
eukarya	-	20.5	156.8	5	104	Marine Microbial Eukaryote Transcriptome Sequencing Project (MMETSP)	1675	MMETSP0011	eukaryotes
eukarya	-	48.45	3.57	5	104	Marine Microbial Eukaryote Transcriptome Sequencing Project (MMETSP)	1676	MMETSP0013	eukaryotes
eukarya	-	48.43	3.59	5	104	Marine Microbial Eukaryote Transcriptome Sequencing Project (MMETSP)	1677	MMETSP0014	eukaryotes
