Sample	Sum of remaining over-represented sequences	Top over-represented sequence
SRR1264963.trim_1P	0.0	0.0
SRR1294380.trim_1P	0.0	0.13652526566897472
SRR1294381.trim_1P	0.0	0.14564298688215319
SRR1294382.trim_1P	0.0	0.14408834438441345
SRR1294383.trim_1P	0.0	0.14216352514004804
SRR1294384.trim_1P	0.0	0.0
SRR1294385.trim_1P	58.12943223403612	3.2756426653898996
SRR1294386.trim_1P	53.09040677943694	3.8833647184307893
SRR1294387.trim_1P	63.51675611911627	3.7433384604209916
SRR1294388.trim_1P	54.54061129214872	4.100297557806793
SRR1294389.trim_1P	0.0	0.0
SRR1294390.trim_1P	62.65908420147357	5.022525347403198
SRR1294391.trim_1P	52.40559218721313	3.104658690553055
SRR1294392.trim_1P	38.1093273375141	5.13075155317316
SRR1294393.trim_1P	45.92865872030959	5.437276408510771
SRR1294394.trim_1P	44.40822660890724	7.073938230481492
SRR1294395.trim_1P	0.0	0.0
SRR1294396.trim_1P	18.35940079101197	10.41743233544047
SRR1294397.trim_1P	3.7291835721981945	3.1880272948619117
SRR1294398.trim_1P	22.876648801398506	6.593062941585917
SRR1294399.trim_1P	0.3103347616634744	0.772737840961218
SRR1294400.trim_1P	0.0	0.0
SRR1294401.trim_1P	0.0	0.0
SRR1294402.trim_1P	0.0	0.0
SRR1294403.trim_1P	0.0	0.0
SRR1294404.trim_1P	0.0	0.0
SRR1294405.trim_1P	0.0	0.0
SRR1294406.trim_1P	0.0	0.0
SRR1294407.trim_1P	0.0	0.0
SRR1294408.trim_1P	0.0	0.0
SRR1294409.trim_1P	0.0	0.0
SRR1294410.trim_1P	0.0	0.0
SRR1294411.trim_1P	0.0	0.0
SRR1294412.trim_1P	0.0	0.0
SRR1294413.trim_1P	0.0	0.0
SRR1294414.trim_1P	0.0	0.0
SRR1294415.trim_1P	0.0	0.0
SRR1294416.trim_1P	0.0	0.0
SRR1294417.trim_1P	0.0	0.0
SRR1294418.trim_1P	0.0	0.0
SRR1294419.trim_1P	0.0	0.0
SRR1294420.trim_1P	0.0	0.0
SRR1294421.trim_1P	0.0	0.0
SRR1294422.trim_1P	0.0	0.0
SRR1294423.trim_1P	0.0	0.0
SRR1294424.trim_1P	0.0	0.0
SRR1294425.trim_1P	0.0	0.0
SRR1294426.trim_1P	0.0	0.0
SRR1294427.trim_1P	0.0	0.0
SRR1294428.trim_1P	0.0	0.0
SRR1294429.trim_1P	0.0	0.0
SRR1294430.trim_1P	0.0	0.0
SRR1294431.trim_1P	0.0	0.0
SRR1294432.trim_1P	0.0	0.0
SRR1294433.trim_1P	12.86274474161506	1.930552862573064
SRR1294434.trim_1P	14.17826644483424	1.9304000762862643
SRR1294435.trim_1P	14.117411262970444	1.9231902159462795
SRR1294436.trim_1P	13.940642971575077	1.8981505651208268
SRR1294437.trim_1P	0.0	0.0
SRR1294438.trim_1P	0.0	0.0
SRR1294439.trim_1P	0.0	0.0
