Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR1296776,22-Jul-15,27-Jul-15,19140554,1914055400,19140554,100,1047,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1296776,SRX551183,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS618892,SAMN02740283,simple,2829,Heterosigma akashiwo,MMETSP0410,,,,,,,no,,,,,NCGR,SRA166822,,public,3AF18E7F538950A2C92099F184E671B6,5A2AE4551E9881A45EC087D62E43FB98
SRR1296777,22-Jul-15,27-Jul-15,16176764,1617676400,16176764,100,888,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1296777,SRX551184,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS618893,SAMN02740284,simple,2829,Heterosigma akashiwo,MMETSP0411,,,,,,,no,,,,,NCGR,SRA166822,,public,AE9AC32B3D971D919BB871520D375B44,D66335CA09F14BC347F4BEC64CE7FC25
SRR1296778,22-Jul-15,27-Jul-15,12102460,1210246000,12102460,100,727,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1296778,SRX551185,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS618894,SAMN02740026,simple,35677,Pelagomonas calceolata,MMETSP0886,,,,,,,no,,,,,NCGR,SRA166822,,public,691FB25154D60DF80AE58D384AD3E186,F8D39FA869F34F0432566B89B4F55CBF
SRR1296779,22-Jul-15,26-Jul-15,13520570,1352057000,13520570,100,800,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1296779,SRX551186,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS618895,SAMN02740027,simple,35677,Pelagomonas calceolata,MMETSP0887,,,,,,,no,,,,,NCGR,SRA166822,,public,ACA808FC8EE4E8BDE17365ED5EBF1DD9,7A75B2C80CB52DFF7A16B4770984F74A
SRR1296780,22-Jul-15,26-Jul-15,21136731,2113673100,21136731,100,1265,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1296780,SRX551187,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS618896,SAMN02740028,simple,35677,Pelagomonas calceolata,MMETSP0888,,,,,,,no,,,,,NCGR,SRA166822,,public,004B0F1E1B28A8C8A09F1D9BAE022C9C,8B93B9CF18F5F3DD1FB8A9539EDE7387
SRR1296781,22-Jul-15,26-Jul-15,19281066,1928106600,19281066,100,1144,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1296781,SRX551188,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS618897,SAMN02740029,simple,35677,Pelagomonas calceolata,MMETSP0889,,,,,,,no,,,,,NCGR,SRA166822,,public,D54A3E8E5702AA6CFBBF14199FD48ED3,BC9B201D5D0534D046F0EB7252620BFC
SRR1296782,22-Jul-15,26-Jul-15,25778234,2577823400,25778234,100,1649,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1296782,SRX551189,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS618898,SAMN02740475,simple,1486929,Sexangularia sp. CB-2014,MMETSP0437,,,,,,,no,,,,,NCGR,SRA166822,,public,8F330641E1702D304095A76D608A1039,40A6955763A099148F696C87C49BE167
SRR1296783,22-Jul-15,26-Jul-15,27839201,2783920100,27839201,100,1699,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1296783,SRX551190,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS618899,SAMN02740072,simple,36767,Euplotes focardii,MMETSP0205,,,,,,,no,,,,,NCGR,SRA166822,,public,2207917F01CAB280FEFD8227FED08775,6A1033602CA17EAF982A8BC568AC70B3
SRR1296784,22-Jul-15,26-Jul-15,22828464,2282846400,22828464,100,1457,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1296784,SRX551191,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS618900,SAMN02740395,simple,39449,Prorocentrum minimum,MMETSP0053,,,,,,,no,,,,,NCGR,SRA166822,,public,711A7FBA014F5352DA7023B870C2EBC6,16FEDFE4D88075271FD4A282BEB24A41
SRR1296785,22-Jul-15,26-Jul-15,17870620,1787062000,17870620,100,1090,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1296785,SRX551192,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS618901,SAMN02740396,simple,39449,Prorocentrum minimum,MMETSP0055,,,,,,,no,,,,,NCGR,SRA166822,,public,72B5B21C9285EAAA39CCD26211290B5A,D970EE1E22B8DCC5EC0ACB5520471F5F
