assembly,n_seqs,smallest,largest,n_bases,mean_len,n_under_200,n_over_1k,n_over_10k,n_with_orf,mean_orf_percent,n90,n70,n50,n30,n10,gc,gc_skew,at_skew,cpg_ratio,bases_n,proportion_n,linguistic_complexity,CRBB_hits,n_contigs_with_CRBB,p_contigs_with_CRBB,rbh_per_reference,n_refs_with_CRBB,p_refs_with_CRBB,cov25,p_cov25,cov50,p_cov50,cov75,p_cov75,cov85,p_cov85,cov95,p_cov95,reference_coverage,score,optimal_score,cutoff,SampleName,Run
/mnt/scratch/ljcohen/mmetsp/MMETSP0593/trinity/MMETSP0593.Trinity.fixed.fasta,31357,201,8752,26553964,846.82731,0,9122,0,16223,82.681,363,802,1258,1846,3047,0.45113,0.01271,0.0081,1.80264,0,0.0,0.16136,29294,29294,0.93421,1.1705,23546,0.94082,21571,0.86191,21263,0.8496,20566,0.82175,20115,0.80373,19355,0.77336,0.82519,,,,MMETSP0593,MMETSP0593
/mnt/scratch/ljcohen/mmetsp/MMETSP1362/trinity/MMETSP1362.Trinity.fixed.fasta,29356,201,16377,26659768,908.15397,0,9301,5,14175,77.40281,375,890,1404,2059,3510,0.44767,0.00913,0.00122,2.07129,0,0.0,0.17006,27519,27519,0.93742,1.0497,24509,0.93489,22666,0.86459,22471,0.85715,22049,0.84105,21798,0.83148,21398,0.81622,0.85887,,,,MMETSP1362,MMETSP1362
/mnt/scratch/ljcohen/mmetsp/MMETSP1315/trinity/MMETSP1315.Trinity.fixed.fasta,23145,201,7784,17036932,736.09557,0,5291,0,11397,88.19292,311,658,1089,1625,2717,0.6745,0.01107,0.0053,2.44025,0,0.0,0.12679,21844,21844,0.94379,1.11052,18388,0.93482,16904,0.85938,16730,0.85053,16291,0.82822,16013,0.81408,15531,0.78958,0.80911,,,,MMETSP1315,MMETSP1315
/mnt/scratch/ljcohen/mmetsp/MMETSP1386/trinity/MMETSP1386.Trinity.fixed.fasta,12696,201,19890,22175178,1746.62713,0,7760,40,10096,76.58867,909,1752,2581,3674,6001,0.62178,0.0057,0.00107,2.29114,0,0.0,0.25423,12385,12385,0.9755,1.04833,10599,0.89716,9568,0.80989,9479,0.80235,9342,0.79076,9258,0.78365,9127,0.77256,0.78717,,,,MMETSP1386,MMETSP1386
/mnt/scratch/ljcohen/mmetsp/MMETSP1085/trinity/MMETSP1085.Trinity.fixed.fasta,10979,201,13406,14129642,1286.96985,0,5417,6,7943,79.92349,654,1284,1871,2636,4141,0.61647,0.01522,0.01344,1.83138,0,0.0,0.21176,10618,10618,0.96712,1.12134,8883,0.93811,8182,0.86408,8132,0.8588,8047,0.84983,7992,0.84402,7902,0.83451,0.85208,,,,MMETSP1085,MMETSP1085
/mnt/scratch/ljcohen/mmetsp/MMETSP0603/trinity/MMETSP0603.Trinity.fixed.fasta,26824,201,9752,24977503,931.1625,0,8997,0,15329,84.45698,415,896,1354,1982,3269,0.45267,0.01078,0.00632,1.81068,0,0.0,0.17566,25509,25509,0.95098,1.16976,20733,0.95075,19287,0.88444,19090,0.87541,18588,0.85239,18204,0.83478,17525,0.80364,0.85663,,,,MMETSP0603,MMETSP0603
/mnt/scratch/ljcohen/mmetsp/MMETSP0233/trinity/MMETSP0233.Trinity.fixed.fasta,9596,201,21000,9730469,1014.01303,0,2949,39,5059,72.45224,404,960,1626,2749,6693,0.35959,0.01252,0.00519,1.69982,0,0.0,0.1693,9558,9558,0.99604,1.0042,9374,0.98487,9225,0.96922,9218,0.96848,9203,0.9669,9198,0.96638,9177,0.96417,0.95151,,,,MMETSP0233,MMETSP0233
/mnt/scratch/ljcohen/mmetsp/MMETSP1061/trinity/MMETSP1061.Trinity.fixed.fasta,34725,201,15263,31378960,903.64176,0,10652,5,17057,77.76778,372,873,1430,2136,3538,0.49637,0.00514,0.00587,2.00925,0,0.0,0.16498,32063,32063,0.92334,1.07062,25830,0.86249,21393,0.71434,21045,0.70272,20204,0.67464,19656,0.65634,18717,0.62498,0.72601,,,,MMETSP1061,MMETSP1061
/mnt/scratch/ljcohen/mmetsp/MMETSP0881/trinity/MMETSP0881.Trinity.fixed.fasta,31920,201,12138,33329328,1044.15188,0,12512,2,19001,81.60121,475,1036,1550,2223,3529,0.46679,0.00582,0.00546,1.93532,0,0.0,0.19166,30631,30631,0.95962,1.18422,24542,0.94881,23006,0.88943,22755,0.87973,22199,0.85823,21777,0.84192,21017,0.81253,0.86607,,,,MMETSP0881,MMETSP0881
/mnt/scratch/ljcohen/mmetsp/MMETSP0962/trinity/MMETSP0962.Trinity.fixed.fasta,10585,201,4095,5381961,508.45168,0,1064,0,3648,88.79362,249,409,640,932,1415,0.62941,0.00779,0.0021,2.30588,0,0.0,0.10189,10132,10132,0.9572,1.04908,9335,0.96656,8801,0.91127,8767,0.90774,8562,0.88652,8432,0.87306,8255,0.85473,0.88181,,,,MMETSP0962,MMETSP0962
