assembly,n_seqs,smallest,largest,n_bases,mean_len,n_under_200,n_over_1k,n_over_10k,n_with_orf,mean_orf_percent,n90,n70,n50,n30,n10,gc,gc_skew,at_skew,cpg_ratio,bases_n,proportion_n,linguistic_complexity,CRBB_hits,n_contigs_with_CRBB,p_contigs_with_CRBB,rbh_per_reference,n_refs_with_CRBB,p_refs_with_CRBB,cov25,p_cov25,cov50,p_cov50,cov75,p_cov75,cov85,p_cov85,cov95,p_cov95,reference_coverage,score,optimal_score,cutoff,SampleName,Run
/mnt/home/ljcohen/mmetsp_assemblies_trinity_2.2.0_redoMarch2018/MMETSP0789.trinity_out_2.2.0.Trinity.fasta,34501,201,11951,30326143,878.99316,0,10517,1,17430,81.21297,366,851,1347,1994,3376,0.38613000000000003,0.01085,0.01065,1.55992,0,0.0,0.15945,25742,25742,0.74612,0.9493299999999999,17687,0.65227,8793,0.32427,7635,0.28157,6424,0.23690999999999998,5848,0.21566999999999997,4939,0.18214,0.28981,,,,MMETSP0789,MMETSP0789
/mnt/home/ljcohen/mmetsp_assemblies_trinity_2.2.0_redoMarch2018/MMETSP0044.trinity_out_2.2.0.Trinity.fasta,594,202,697,170920,287.74411000000003,0,0,0,25,92.68547,219,244,276,336,466,0.5370699999999999,0.02135,0.0012900000000000001,1.90355,0,0.0,0.06517,266,266,0.44781000000000004,0.60045,244,0.55079,93,0.20993,83,0.18736,58,0.13093,45,0.10157999999999999,35,0.07901,0.17852,,,,MMETSP0044,MMETSP0044
/mnt/home/ljcohen/mmetsp_assemblies_trinity_2.2.0_redoMarch2018/MMETSP0912.trinity_out_2.2.0.Trinity.fasta,30225,201,4635,19433789,642.97069,0,5634,0,12479,79.01151,298,581,868,1199,1729,0.48696000000000006,0.023530000000000002,0.01205,1.9287,0,0.0,0.13146,23063,23063,0.7630399999999999,1.13477,17368,0.85456,8894,0.43761000000000005,8403,0.41345,7642,0.37601,7281,0.35825,6746,0.33192,0.43201000000000006,,,,MMETSP0912,MMETSP0912
/mnt/home/ljcohen/mmetsp_assemblies_trinity_2.2.0_redoMarch2018/MMETSP1412.trinity_out_2.2.0.Trinity.fasta,32610,201,12302,32106307,984.5540300000001,0,11774,3,18325,79.86631,434,976,1482,2151,3484,0.46566,0.00763,0.0069900000000000006,1.9337900000000001,0,0.0,0.18228,25233,25233,0.77378,1.32276,15005,0.78659,7887,0.41345,7265,0.38085,6347,0.33271999999999996,5925,0.3106,5174,0.27123,0.43988999999999995,,,,MMETSP1412,MMETSP1412
/mnt/home/ljcohen/mmetsp_assemblies_trinity_2.2.0_redoMarch2018/MMETSP1329.trinity_out_2.2.0.Trinity.fasta,29578,201,8989,20355944,688.21232,0,5584,0,15103,88.30671,319,602,903,1310,2366,0.67679,0.00374,0.00133,2.4706099999999998,0,0.0,0.1199,23066,23066,0.77984,1.1429,17495,0.8668600000000001,9021,0.44698000000000004,8557,0.42399,7776,0.38529,7413,0.36730999999999997,6775,0.3357,0.45328999999999997,,,,MMETSP1329,MMETSP1329
/mnt/home/ljcohen/mmetsp_assemblies_trinity_2.2.0_redoMarch2018/MMETSP0200.trinity_out_2.2.0.Trinity.fasta,17602,201,15996,24786017,1408.1364,0,9056,19,11612,72.97738000000001,696,1419,2114,3105,5201,0.41168000000000005,0.00498,0.00343,1.66818,0,0.0,0.23446,15270,15270,0.8675200000000001,0.89945,10583,0.62337,5236,0.30841999999999997,4523,0.26642,3824,0.22525,3503,0.20634,2965,0.17465,0.26399,,,,MMETSP0200,MMETSP0200
/mnt/home/ljcohen/mmetsp_assemblies_trinity_2.2.0_redoMarch2018/MMETSP0319.trinity_out_2.2.0.Trinity.fasta,33129,201,15888,31893043,962.6926,0,11267,7,18787,82.28838,423,922,1423,2103,3640,0.45391000000000004,0.0104,0.00419,1.79637,0,0.0,0.17822000000000002,27006,27006,0.81518,0.88844,17498,0.57565,8416,0.27687,6921,0.22769,5438,0.1789,4817,0.15847,3923,0.12905999999999998,0.23012,,,,MMETSP0319,MMETSP0319
/mnt/home/ljcohen/mmetsp_assemblies_trinity_2.2.0_redoMarch2018/MMETSP0972.trinity_out_2.2.0.Trinity.fasta,37371,201,9673,31976200,855.6420800000001,0,10889,0,19623,85.24455999999999,365,807,1280,1898,3220,0.55748,0.00845,0.0088,2.03516,0,0.0,0.16062,27973,27973,0.74852,0.92653,19000,0.6293300000000001,9373,0.31046,7984,0.26445,6623,0.21936999999999998,5990,0.1984,5037,0.16684000000000002,0.2591,,,,MMETSP0972,MMETSP0972
/mnt/home/ljcohen/mmetsp_assemblies_trinity_2.2.0_redoMarch2018/MMETSP0169.trinity_out_2.2.0.Trinity.fasta,33597,201,3736,14171201,421.7996,0,1564,0,7917,87.72836,234,325,460,683,1187,0.5322600000000001,0.0234,0.01102,2.13259,0,0.0,0.08746,23314,23314,0.69393,0.9780200000000001,15341,0.64355,6839,0.28689000000000003,5036,0.21126,3788,0.15891,3454,0.14489000000000002,3101,0.13009,0.18868,,,,MMETSP0169,MMETSP0169
/mnt/home/ljcohen/mmetsp_assemblies_trinity_2.2.0_redoMarch2018/MMETSP1130.trinity_out_2.2.0.Trinity.fasta,16994,201,6491,9578971,563.66782,0,2319,0,4212,69.58133000000001,263,461,744,1093,1733,0.56408,0.01248,0.00105,2.15215,0,0.0,0.11696,14864,14864,0.87466,0.9953799999999999,11920,0.79823,5964,0.39938,5676,0.3801,5215,0.34923000000000004,5014,0.33576999999999996,4730,0.31675,0.43573999999999996,,,,MMETSP1130,MMETSP1130
