,Complete,Fragmented,Missing,Total,Complete_BUSCO_perc
Symbiodinium_sp._SRR1300265,191,55,183,429,0.445221445221
Ditylum_brightwellii_SRR1300294,183,80,166,429,0.426573426573
uncultured_eukaryote_SRR1300277,238,77,114,429,0.554778554779
Symbiodinium_kawagutii_SRR1300304,28,41,360,429,0.0652680652681
Bathycoccus_prasinos_SRR1300250,259,42,128,429,0.60372960373
Ditylum_brightwellii_SRR1300309,113,103,213,429,0.263403263403
uncultured_eukaryote_SRR1300339,248,71,110,429,0.578088578089
Thalassiosira_weissflogii_SRR1296933,283,29,117,429,0.659673659674
Noctiluca_scintillans_SRR1296929,263,32,134,429,0.613053613054
Mantoniella_antarctica_SRR1300318,234,86,109,429,0.545454545455
uncultured_eukaryote_SRR1300247,226,87,116,429,0.526806526807
Lingulodinium_polyedrum_SRR1300257,232,63,134,429,0.540792540793
Neoceratium_fusus_SRR1300301,237,51,141,429,0.552447552448
Aureococcus_anophagefferens_SRR1300278,195,105,129,429,0.454545454545
Micromonas_SRR1300295,239,72,118,429,0.55710955711
Ditylum_brightwellii_SRR1300292,189,80,160,429,0.440559440559
Ostreococcus_mediterraneus_SRR1300249,1,3,425,429,0.002331002331
Azadinium_spinosum_SRR1300307,198,74,157,429,0.461538461538
Phaeocystis_antarctica_SRR1300313,211,104,114,429,0.491841491841
Ostreococcus_mediterraneus_SRR1300253,267,39,123,429,0.622377622378
Azadinium_spinosum_SRR1300308,217,64,148,429,0.505827505828
Mayorella_SRR1296930,295,47,87,429,0.687645687646
Emiliania_huxleyi_SRR1300285,211,94,124,429,0.491841491841
Pavlova_SRR1300299,105,57,267,429,0.244755244755
Picochlorum_oklahomense_SRR1300323,229,69,131,429,0.5337995338
Aurantiochytrium_limacinum_SRR1300337,310,21,98,429,0.722610722611
uncultured_eukaryote_SRR1300328,235,66,128,429,0.547785547786
uncultured_eukaryote_SRR1300330,233,76,120,429,0.543123543124
Aureococcus_anophagefferens_SRR1300281,161,117,151,429,0.375291375291
Symbiodinium_kawagutii_SRR1300305,26,54,349,429,0.0606060606061
Ostreococcus_lucimarinus_SRR1300254,275,35,119,429,0.641025641026
Symbiodinium_sp._SRR1300266,182,53,194,429,0.424242424242
Pavlova_SRR1300270,167,66,196,429,0.389277389277
Gloeochaete_wittrockiana_SRR1300296,322,45,62,429,0.750582750583
uncultured_eukaryote_SRR1300276,234,79,116,429,0.545454545455
Rhodomonas_abbreviata_SRR1300314,189,85,155,429,0.440559440559
Emiliania_huxleyi_SRR1300286,199,104,126,429,0.463869463869
Paraphysomonas_bandaiensis_SRR1300316,301,30,98,429,0.701631701632
Thalassiosira_weissflogii_SRR1296932,245,60,124,429,0.571095571096
Symbiodinium_kawagutii_SRR1300302,31,50,348,429,0.0722610722611
Dinobryon_SRR1296865,179,82,168,429,0.417249417249
uncultured_eukaryote_SRR1296838,232,57,140,429,0.540792540793
Thalassiosira_gravida_SRR1296986,140,100,189,429,0.32634032634
Rhodosorus_marinus_SRR1296985,222,77,130,429,0.517482517483
Karenia_brevis_SRR1296851,220,62,147,429,0.512820512821
Emiliania_huxleyi_SRR1300230,160,106,163,429,0.37296037296
Oxyrrhis_marina_SRR1300211,0,7,422,429,0.0
Rhodella_maculata_SRR1296984,149,106,174,429,0.347319347319
