assembly,n_seqs,smallest,largest,n_bases,mean_len,n_under_200,n_over_1k,n_over_10k,n_with_orf,mean_orf_percent,n90,n70,n50,n30,n10,gc,gc_skew,at_skew,cpg_ratio,bases_n,proportion_n,linguistic_complexity,fragments,fragments_mapped,p_fragments_mapped,good_mappings,p_good_mapping,bad_mappings,potential_bridges,bases_uncovered,p_bases_uncovered,contigs_uncovbase,p_contigs_uncovbase,contigs_uncovered,p_contigs_uncovered,contigs_lowcovered,p_contigs_lowcovered,contigs_segmented,p_contigs_segmented,score,optimal_score,cutoff,SampleName
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0908.cds.fa.fixed.fa,19864,148,15748,19004275,931.25534,2931,6804,7,11149,95.90791999999999,501,1128,1713,2554,4813,0.42891,0.057710000000000004,0.10495,1.87011,42924,0.0022600000000000003,0.16509000000000001,14551276,10477511,0.72004,7951382,0.5464399999999999,2526129,10553,111822,0.00588,10364,0.52175,91,0.00458,5838,0.2939,530,0.026680000000000002,0.21695,0.36033000000000004,0.50742,MMETSP0908
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1012.cds.fa.fixed.fa,22648,148,10614,20357940,881.8503199999999,2223,7239,1,14035,98.27748000000001,464,934,1393,2049,3636,0.44156000000000006,0.07017999999999999,0.07805,1.7635900000000002,1876,9e-05,0.16542,26679164,18321228,0.68672,15326465,0.57447,2994763,2528,139363,0.00685,8208,0.36241999999999996,201,0.008870000000000001,7119,0.31433,5606,0.24753000000000003,0.20972,0.22651,0.04483,MMETSP1012
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0044.cds.fa.fixed.fa,331,148,542,66800,100.14804000000001,198,0,0,2,99.12516,214,253,542,542,542,0.56091,0.06371,0.01429,1.9673599999999998,0,0.0,0.0459,18366400,3529185,0.19215,20595,0.00112,3508590,136,152,0.00228,66,0.1994,0,0.0,0,0.0,124,0.37462,2.9999999999999997e-05,8e-05,0.1207,MMETSP0044
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0946.cds.fa.fixed.fa,7080,150,7091,7248528,1018.1731599999999,227,2863,0,5583,96.98306,562,956,1339,1827,2972,0.46461,0.08272,0.10464000000000001,2.01905,5834,0.0008,0.18908,22965306,4004108,0.17435,2651773,0.11547,1352335,510,702655,0.09694,3617,0.51088,633,0.08941,3892,0.54972,64,0.009040000000000001,0.056179999999999994,0.07841000000000001,0.40181999999999995,MMETSP0946
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1434.cds.fa.fixed.fa,9658,148,6816,5734139,575.89252,990,1300,0,5161,97.75927,339,574,799,1078,1818,0.5314,0.04573,0.03793,1.99807,9453,0.00165,0.12233,13446567,9260506,0.6886899999999999,5536321,0.41173000000000004,3724185,1840,25172,0.00439,2937,0.3041,16,0.0016600000000000002,2792,0.28909,1776,0.18389,0.12390999999999999,0.17190999999999998,0.26449,MMETSP1434
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0166.cds.fa.fixed.fa,14497,149,23944,17072010,1172.02504,464,6875,14,11792,94.05273000000001,645,1098,1542,2170,3562,0.41600000000000004,0.039389999999999994,0.0567,1.7512299999999998,25352,0.00149,0.20956,37200161,24438627,0.65695,21047200,0.5657800000000001,3391427,2303,2229945,0.13062,6149,0.42416000000000004,2075,0.14313,6157,0.42471000000000003,518,0.03573,0.25879,0.40626999999999996,0.5401699999999999,MMETSP0166
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0996.cds.fa.fixed.fa,19451,148,14169,16074723,804.3793599999999,2482,5600,6,11126,93.78749,431,893,1327,1941,3659,0.68879,-0.00201,0.0084,2.35975,48565,0.00302,0.13346,12233798,10371386,0.84777,8409790,0.68742,1961596,9823,92150,0.00573,5984,0.30764,67,0.00344,9432,0.48491000000000006,640,0.0329,0.29645,0.41308999999999996,0.51502,MMETSP0996
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1164.cds.fa.fixed.fa,16942,148,10365,16145225,931.6473900000001,2100,6014,1,10414,87.41489,515,1059,1590,2277,3678,0.6893600000000001,-0.02338,0.030119999999999997,2.51019,25314,0.00157,0.14197,24484463,20061785,0.81937,14542155,0.5939300000000001,5519630,8082,70132,0.00434,5619,0.33166,43,0.0025399999999999997,5243,0.30946999999999997,2715,0.16025,0.20601,0.21347,0.03153,MMETSP1164
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1170.cds.fa.fixed.fa,9058,148,8381,4461311,453.14164000000005,2080,966,0,3403,93.69766,285,537,801,1210,2533,0.64013,-0.06888999999999999,0.04467,2.26151,19459,0.00436,0.09247000000000001,6752471,5077487,0.75195,3416879,0.50602,1660608,3445,41361,0.00927,2154,0.2378,38,0.0042,2802,0.30934,850,0.09383999999999999,0.11441,0.20165999999999998,0.32066999999999996,MMETSP1170
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0468.cds.fa.fixed.fa,27472,148,11931,23488742,835.31694,3117,9032,4,16512,96.29739000000001,458,940,1359,1857,2905,0.58932,0.08856,0.00988,1.92724,48999,0.00209,0.15958,25388759,20857252,0.82152,16581641,0.6531100000000001,4275611,6902,83902,0.0035700000000000003,6722,0.24469000000000002,45,0.00164,9257,0.33696,3112,0.11327999999999999,0.2994,0.30532,0.06473999999999999,MMETSP0468
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1392.cds.fa.fixed.fa,17297,147,7466,15970024,904.5233300000001,1879,5996,0,10556,95.17027,480,1011,1494,2099,3480,0.60506,0.022580000000000003,0.07069,1.75498,58024,0.0036299999999999995,0.15775,32070325,20654913,0.64405,15184536,0.47348,5470377,4544,101760,0.006370000000000001,7428,0.42944,59,0.0034100000000000003,7204,0.41648999999999997,581,0.033589999999999995,0.223,0.27613000000000004,0.38835,MMETSP1392
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0005.cds.fa.fixed.fa,21252,147,10848,28026372,1310.3905,1024,11066,4,17084,93.4306,728,1280,1841,2634,4321,0.50343,0.05917000000000001,0.07028,2.01888,43383,0.00155,0.23123000000000002,28054262,19555538,0.69706,16011104,0.57072,3544434,5659,3972726,0.14175,12089,0.56884,3292,0.1549,10524,0.4952,896,0.04216,0.22807,0.37723,0.4363,MMETSP0005
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0296.cds.fa.fixed.fa,18860,148,9964,12379444,637.08478,2104,3506,0,10015,96.98853000000001,351,641,950,1374,2517,0.56688,0.06009,0.09181,1.93793,43881,0.0035399999999999997,0.12494000000000001,28087514,17102997,0.60892,11741800,0.41803999999999997,5361197,4367,95127,0.007679999999999999,6239,0.33081,61,0.00323,6188,0.3281,1942,0.10297,0.15773,0.1807,0.26033,MMETSP0296
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0747.cds.fa.fixed.fa,18458,148,8534,19633890,1057.89603,617,7781,0,14570,95.48419,583,993,1401,1926,3124,0.48078999999999994,0.04629,0.07592,1.82505,34652,0.00176,0.19760999999999998,28843363,22270075,0.7721,18108693,0.62783,4161382,2504,1769612,0.09013,8871,0.4806,1831,0.0992,5952,0.32245999999999997,7627,0.41321,0.14432999999999999,0.17362,0.03415,MMETSP0747
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0235.cds.fa.fixed.fa,2639,150,11514,2490977,934.9875,135,936,1,1924,97.07319,506,903,1287,1740,3030,0.38606999999999997,0.08688,0.07906,1.6249799999999999,10587,0.00425,0.17160999999999998,6148733,1737695,0.28261,1495642,0.24324,242053,268,15183,0.0061,1198,0.45396000000000003,2,0.0007599999999999999,1367,0.518,39,0.014780000000000001,0.14574,0.17188,0.6249399999999999,MMETSP0235
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1161.cds.fa.fixed.fa,5740,149,10833,6295077,1083.91864,425,2552,1,4037,91.23468000000001,601,1158,1626,2294,3494,0.47533000000000003,0.13213,0.051410000000000004,1.70642,9101,0.00145,0.19839,20974718,13153148,0.6271,10283265,0.49027,2869883,2013,17469,0.00278,1933,0.33676,8,0.00139,1356,0.23624,753,0.13118,0.21184,0.25287,0.40518000000000004,MMETSP1161
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1148.cds.fa.fixed.fa,91,150,430,19042,102.78022,55,0,0,0,97.95787,221,273,430,430,430,0.56801,0.05085,0.08874,1.9478799999999998,0,0.0,0.045219999999999996,29462369,4709492,0.15985,45221,0.0015300000000000001,4664271,82,14,0.00074,6,0.06592999999999999,0,0.0,0,0.0,47,0.51648,2e-05,7e-05,0.1626,MMETSP1148
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1371.cds.fa.fixed.fa,37756,148,11545,30809605,796.43185,4292,11469,1,22808,95.65756,444,875,1266,1744,2749,0.5471699999999999,0.06894,0.04734,1.8564,163839,0.00532,0.1543,19587198,11481365,0.58617,8453386,0.43158,3027979,8473,243056,0.007890000000000001,13061,0.34593,128,0.00339,19655,0.52058,1214,0.03215,0.19571,0.26004,0.4531,MMETSP1371
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0917.cds.fa.fixed.fa,24128,148,20125,21180283,861.2213199999999,2310,7080,22,15529,95.45685999999999,473,859,1297,1961,3875,0.68516,-0.00677,0.04633,2.51309,46640,0.0022,0.13288,22216172,19252897,0.8666200000000001,15848830,0.71339,3404067,9330,1937512,0.09147999999999999,10294,0.42663999999999996,2011,0.08335,7534,0.31225,1498,0.06209,0.25011,0.4262,0.48213,MMETSP0917
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0057.cds.fa.fixed.fa,80034,147,7453,66158465,807.52089,8828,25044,0,48808,93.24354,457,885,1276,1742,2667,0.6634,0.03268,0.05105,2.10588,118504,0.00179,0.14407,23358333,17287744,0.74011,13516471,0.5786600000000001,3771273,24687,7164920,0.1083,35152,0.43921000000000004,7927,0.09905,39525,0.49385,4605,0.05754,0.22296,0.33762,0.41813999999999996,MMETSP0057
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0754.cds.fa.fixed.fa,24109,148,13486,35163330,1451.1462099999999,1026,14010,11,20064,93.98568,815,1405,2007,2842,4605,0.39363000000000004,0.07973,0.10327,1.7145099999999998,51748,0.00147,0.23792,30848412,22375852,0.72535,18980847,0.61529,3395005,7078,4956363,0.14095,15269,0.6333300000000001,4033,0.16727999999999998,8740,0.36252,2065,0.08565,0.22723000000000002,0.36662,0.37106999999999996,MMETSP0754
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0879.cds.fa.fixed.fa,15284,147,10413,21630117,1405.6582,847,8493,4,12012,95.95545,804,1434,2049,2909,4590,0.4827,0.02925,0.08886000000000001,1.9302400000000002,43070,0.00199,0.24090999999999999,25200435,20808444,0.8257200000000001,16702683,0.66279,4105761,6253,77047,0.0035600000000000002,6961,0.45543999999999996,42,0.00275,3257,0.2131,351,0.022969999999999997,0.39639,0.45896000000000003,0.43277,MMETSP0879
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0125.cds.fa.fixed.fa,13505,148,19755,11053076,803.18882,1189,2861,50,6456,66.14893000000001,387,740,1247,2248,8120,0.41068000000000005,0.03017,0.10578,1.34863,18186,0.00165,0.13699,36781339,16343684,0.44435,11671145,0.31731,4672539,1974,1758411,0.15909,8435,0.62458,2871,0.21259,5524,0.40903,337,0.02495,0.08052999999999999,0.19443,0.47843,MMETSP0125
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1008.cds.fa.fixed.fa,16937,148,15098,13410574,767.02669,2448,4631,3,9218,93.06866,413,875,1316,1923,3761,0.68971,-0.0033399999999999997,0.00713,2.36642,28626,0.00213,0.12775999999999998,16951542,14446931,0.85225,11856794,0.69945,2590137,9393,68739,0.00513,5626,0.33216999999999997,79,0.00466,7213,0.42586999999999997,732,0.04322,0.28596,0.39794,0.46718000000000004,MMETSP1008
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0210.cds.fa.fixed.fa,1818,148,2049,590176,281.21342000000004,456,12,0,234,91.51876,243,324,425,615,2049,0.40895,0.20409000000000002,0.11025,1.48851,1308,0.0022199999999999998,0.06672,26036178,4049735,0.15554,2475944,0.0951,1573791,287,61446,0.10411,841,0.4626,258,0.14190999999999998,331,0.18207,115,0.06326,0.01685,0.04654,0.3964,MMETSP0210
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0786.cds.fa.fixed.fa,22192,149,17765,28813659,1293.4755300000002,628,11450,13,18690,93.7791,708,1179,1677,2445,4295,0.43878,0.06091,0.07216,1.91635,27872,0.0009699999999999999,0.22846,25633170,19509342,0.7611,16033201,0.62549,3476141,3891,4372507,0.15175,12259,0.5524100000000001,3602,0.16230999999999998,8602,0.38761999999999996,1119,0.05042,0.22891999999999998,0.39178,0.38995,MMETSP0786
