,Complete,Fragmented,Missing,Total,Complete_BUSCO_perc
MMETSP0789,232,40,31,303,0.7656765676567657
MMETSP0044,3,11,289,303,0.009900990099009901
MMETSP0912,92,115,96,303,0.30363036303630364
MMETSP1412,213,51,39,303,0.7029702970297029
MMETSP1329,186,60,57,303,0.6138613861386139
MMETSP0200,247,25,31,303,0.8151815181518152
MMETSP0319,222,49,32,303,0.7326732673267327
MMETSP0972,209,52,42,303,0.6897689768976898
MMETSP0169,19,69,215,303,0.0627062706270627
MMETSP1130,57,54,192,303,0.18811881188118812
MMETSP0886,184,47,72,303,0.6072607260726073
MMETSP0933,246,13,44,303,0.8118811881188119
MMETSP1126,239,45,19,303,0.7887788778877888
MMETSP1165,182,51,70,303,0.6006600660066007
MMETSP1057,229,38,36,303,0.7557755775577558
MMETSP1390,267,10,26,303,0.8811881188118812
MMETSP1418,228,43,32,303,0.7524752475247525
MMETSP0754,232,37,34,303,0.7656765676567657
MMETSP1394,213,51,39,303,0.7029702970297029
MMETSP1409,215,54,34,303,0.7095709570957096
MMETSP0880,218,51,34,303,0.7194719471947195
MMETSP1137,141,73,89,303,0.46534653465346537
MMETSP1010,151,75,77,303,0.49834983498349833
MMETSP0937,225,22,56,303,0.7425742574257426
MMETSP1080,244,28,31,303,0.8052805280528053
MMETSP0751,230,37,36,303,0.759075907590759
MMETSP1177,239,34,30,303,0.7887788778877888
MMETSP1039,165,58,80,303,0.5445544554455446
MMETSP0753,223,46,34,303,0.735973597359736
MMETSP0698,230,44,29,303,0.759075907590759
MMETSP1082,262,16,25,303,0.8646864686468647
MMETSP0920,137,98,68,303,0.4521452145214521
MMETSP0295,152,102,49,303,0.5016501650165016
MMETSP0850,175,65,63,303,0.5775577557755776
