SampleName,Phylum,Unique_kmers_assembly,Unique_kmers
MMETSP0004,Ochrophyta,19837761.0,9187479.0
MMETSP0005,Ochrophyta,20350054.0,8874387.0
MMETSP0006,Haptophyta,25286098.0,9558658.0
MMETSP0007,Haptophyta,12496793.0,6672958.0
MMETSP0008,Haptophyta,22149727.0,11925639.0
MMETSP0008,Haptophyta,22149727.0,11925639.0
MMETSP0008,Haptophyta,22149727.0,11925639.0
MMETSP0008,Haptophyta,22149727.0,11925639.0
MMETSP0009,Bacillariophyta,30074483.0,17983358.0
MMETSP0010,Bacillariophyta,24840436.0,9639736.0
MMETSP0011,Rhodophyta,19018154.0,8659798.0
MMETSP0013,Bacillariophyta,33217106.0,15564602.0
MMETSP0014,Bacillariophyta,42853543.0,23866479.0
MMETSP0015,Bacillariophyta,48027372.0,13897791.0
MMETSP0017,Bacillariophyta,34291803.0,16888168.0
MMETSP0018,Ciliophora,9666691.0,26864.0
MMETSP0019,Ochrophyta,27041974.0,10729756.0
MMETSP0029,Dinophyta,95463019.0,66432810.0
MMETSP0030,Dinophyta,68025968.0,77910515.0
MMETSP0040,Cercozoa,23878073.0,14826337.0
MMETSP0041,Cercozoa,22194734.0,8846735.0
MMETSP0042,Cercozoa,37786394.0,11026263.0
MMETSP0043,Cryptophyta,37553635.0,20930649.0
MMETSP0044,Dinophyta,60693.0,62526.0
MMETSP0045,Chlorarachniophyta,8599174.0,16588847.0
MMETSP0046,Cryptophyta,38094806.0,22711010.0
MMETSP0047,Cryptophyta,35832341.0,16754329.0
MMETSP0052,Chlorophyta,26346674.0,13588033.0
MMETSP0053,Dinophyta,61369051.0,34065931.0
MMETSP0055,Dinophyta,52179420.0,38806287.0
MMETSP0056,Dinophyta,69925155.0,48814364.0
MMETSP0057,Dinophyta,69993611.0,41315903.0
MMETSP0058,Chlorophyta,41916799.0,17948011.0
MMETSP0059,Chlorophyta,46951782.0,18288589.0
MMETSP0086,Unknown,14021684.0,6381850.0
MMETSP0087,Unknown,40376230.0,23601471.0
MMETSP0088,Bacillariophyta,1636238.0,7228650.0
MMETSP0088,Bacillariophyta,1636238.0,7228650.0
MMETSP0088,Bacillariophyta,1636238.0,7228650.0
MMETSP0088,Bacillariophyta,1636238.0,7228650.0
MMETSP0088,Bacillariophyta,1636238.0,7228650.0
MMETSP0088,Bacillariophyta,1636238.0,7228650.0
MMETSP0088,Bacillariophyta,1636238.0,7228650.0
MMETSP0088,Bacillariophyta,1636238.0,7228650.0
MMETSP0088,Bacillariophyta,1636238.0,7228650.0
MMETSP0088,Bacillariophyta,1636238.0,7228650.0
MMETSP0088,Bacillariophyta,1636238.0,7228650.0
MMETSP0088,Bacillariophyta,1636238.0,7228650.0
MMETSP0088,Bacillariophyta,1636238.0,7228650.0
MMETSP0088,Bacillariophyta,1636238.0,7228650.0
MMETSP0088,Bacillariophyta,1636238.0,7228650.0
MMETSP0088,Bacillariophyta,1636238.0,7228650.0
MMETSP0090,Bacillariophyta,18728525.0,12912915.0
MMETSP0091,Bacillariophyta,12174874.0,9066730.0
MMETSP0092,Bacillariophyta,4022670.0,7123883.0
MMETSP0092,Bacillariophyta,4022670.0,7123883.0
MMETSP0092,Bacillariophyta,4022670.0,7123883.0
MMETSP0092,Bacillariophyta,4022670.0,7123883.0
MMETSP0092,Bacillariophyta,4022670.0,7123883.0
MMETSP0092,Bacillariophyta,4022670.0,7123883.0
MMETSP0092,Bacillariophyta,4022670.0,7123883.0
MMETSP0092,Bacillariophyta,4022670.0,7123883.0
MMETSP0092,Bacillariophyta,4022670.0,7123883.0
MMETSP0092,Bacillariophyta,4022670.0,7123883.0
MMETSP0092,Bacillariophyta,4022670.0,7123883.0
MMETSP0092,Bacillariophyta,4022670.0,7123883.0
MMETSP0092,Bacillariophyta,4022670.0,7123883.0
MMETSP0092,Bacillariophyta,4022670.0,7123883.0
MMETSP0092,Bacillariophyta,4022670.0,7123883.0
MMETSP0092,Bacillariophyta,4022670.0,7123883.0
MMETSP0092,Bacillariophyta,4022670.0,7123883.0
MMETSP0092,Bacillariophyta,4022670.0,7123883.0
MMETSP0092,Bacillariophyta,4022670.0,7123883.0
MMETSP0092,Bacillariophyta,4022670.0,7123883.0
MMETSP0092,Bacillariophyta,4022670.0,7123883.0
MMETSP0092,Bacillariophyta,4022670.0,7123883.0
MMETSP0092,Bacillariophyta,4022670.0,7123883.0
MMETSP0092,Bacillariophyta,4022670.0,7123883.0
MMETSP0092,Bacillariophyta,4022670.0,7123883.0
MMETSP0093,Dinophyta,71410898.0,46411816.0
MMETSP0095,Dinophyta,73796399.0,50663417.0
MMETSP0096,Dinophyta,74778760.0,46999834.0
MMETSP0097,Dinophyta,79964232.0,56705474.0
MMETSP0098,Unknown,33789397.0,13596725.0
MMETSP0099,Unknown,14048484.0,6613643.0
MMETSP0100,Unknown,18202923.0,8478312.0
MMETSP0101,Ochrophyta,30251499.0,12206242.0
MMETSP0102,Ochrophyta,22235523.0,8701766.0
MMETSP0103,Ochrophyta,31093513.0,11765427.0
MMETSP0104,Ochrophyta,26489549.0,9603011.0
MMETSP0105,Sarcomastigophora,24265229.0,16283751.0
MMETSP0106,Sarcomastigophora,24148252.0,17543096.0
MMETSP0107,Cryptophyta,31964242.0,11134131.0
MMETSP0108,Cryptophyta,45443674.0,14830810.0
MMETSP0109,Cercozoa,29201255.0,13580525.0
MMETSP0110,Cercozoa,3100891.0,11687445.0
MMETSP0111,Cercozoa,24477830.0,13768110.0
