Sample	avg_sequence_length	per_base_sequence_content	basic_statistics	per_base_n_content	adapter_content	sequence_duplication_levels	overrepresented_sequences	File type	Sequences flagged as poor quality	total_deduplicated_percentage	per_sequence_gc_content	%GC	kmer_content	per_base_sequence_quality	sequence_length_distribution	Encoding	Total Sequences	Filename	per_sequence_quality_scores	Sequence length	per_tile_sequence_quality
SRR1264963.trim_1P	49.99893767752667	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	41.42717114258376	pass	56.0	fail	pass	warn	Sanger / Illumina 1.9	35946712.0	SRR1264963.trim_1P.fq	pass	33-50	
SRR1294380.trim_1P	49.996423946538755	fail	pass	pass	pass	warn	warn	Conventional base calls	0.0	57.397647193369075	pass	67.0	fail	pass	warn	Sanger / Illumina 1.9	5591639.0	SRR1294380.trim_1P.fq	pass	25-50	
SRR1294381.trim_1P	49.99576060241389	fail	pass	pass	pass	warn	warn	Conventional base calls	0.0	61.913036697480564	pass	67.0	fail	pass	warn	Sanger / Illumina 1.9	5612354.0	SRR1294381.trim_1P.fq	pass	25-50	
SRR1294382.trim_1P	49.995925645385526	fail	pass	pass	pass	warn	warn	Conventional base calls	0.0	51.83269881201841	pass	67.0	fail	pass	warn	Sanger / Illumina 1.9	5727042.0	SRR1294382.trim_1P.fq	pass	25-50	
SRR1294383.trim_1P	49.996159756631364	fail	pass	pass	pass	warn	warn	Conventional base calls	0.0	53.249093359935706	pass	67.0	fail	pass	warn	Sanger / Illumina 1.9	5743386.0	SRR1294383.trim_1P.fq	pass	25-50	
SRR1294384.trim_1P	49.99872591500616	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	39.873034936058026	pass	48.0	fail	pass	warn	Sanger / Illumina 1.9	25044640.0	SRR1294384.trim_1P.fq	pass	25-50	
SRR1294385.trim_1P	49.99986824641699	fail	pass	pass	pass	fail	fail	Conventional base calls	0.0	11.739089857157973	fail	57.0	fail	pass	warn	Sanger / Illumina 1.9	4022661.0	SRR1294385.trim_1P.fq	pass	31-50	
SRR1294386.trim_1P	49.999512964131426	fail	pass	pass	pass	fail	fail	Conventional base calls	0.0	27.10949215233201	warn	57.0	fail	pass	warn	Sanger / Illumina 1.9	4689593.0	SRR1294386.trim_1P.fq	pass	32-50	
SRR1294387.trim_1P	49.997326118347324	fail	pass	pass	pass	fail	fail	Conventional base calls	0.0	14.536134966638969	fail	57.0	fail	pass	warn	Sanger / Illumina 1.9	9389346.0	SRR1294387.trim_1P.fq	pass	25-50	
SRR1294388.trim_1P	49.99982634069637	fail	pass	pass	pass	fail	fail	Conventional base calls	0.0	14.643678454324515	warn	57.0	fail	pass	warn	Sanger / Illumina 1.9	5263179.0	SRR1294388.trim_1P.fq	pass	31-50	
SRR1294389.trim_1P	49.996681108245845	fail	pass	pass	pass	pass	pass	Conventional base calls	0.0	85.94248428465806	fail	52.0	fail	pass	warn	Sanger / Illumina 1.9	212119.0	SRR1294389.trim_1P.fq	pass	26-50	
