assembly,n_seqs,smallest,largest,n_bases,mean_len,n_under_200,n_over_1k,n_over_10k,n_with_orf,mean_orf_percent,n90,n70,n50,n30,n10,gc,gc_skew,at_skew,cpg_ratio,bases_n,proportion_n,linguistic_complexity,CRBB_hits,n_contigs_with_CRBB,p_contigs_with_CRBB,rbh_per_reference,n_refs_with_CRBB,p_refs_with_CRBB,cov25,p_cov25,cov50,p_cov50,cov75,p_cov75,cov85,p_cov85,cov95,p_cov95,reference_coverage,score,optimal_score,cutoff
/mnt/scratch/ljcohen/mmetsp/Symbiodinium_sp./SRR1300265/trinity/Symbiodinium_sp._SRR1300265.Trinity.fixed.fasta,65914,201,8219,40963035,621.46183,0,11977,0,28694,89.52445,275,543,875,1253,1876,0.5697,0.00789,0.00332,1.96405,0,0.0,0.12616,33939,33939,0.5149,0.94577,29781,0.8299,16337,0.45526,15511,0.43224,14356,0.40006,13740,0.38289,12920,0.36004,0.42871,,,
/mnt/scratch/ljcohen/mmetsp/Ditylum_brightwellii/SRR1300294/trinity/Ditylum_brightwellii_SRR1300294.Trinity.fixed.fasta,32033,201,9975,26300504,821.04405,0,8718,0,13558,77.79667,318,796,1353,2028,3399,0.42542,0.0122,0.00688,1.77323,0,0.0,0.15313,17337,17337,0.54122,1.12996,13631,0.88842,7604,0.4956,7101,0.46282,6317,0.41172,5982,0.38988,5577,0.36349,0.4849,,,
/mnt/scratch/ljcohen/mmetsp/uncultured_eukaryote/SRR1300277/trinity/uncultured_eukaryote_SRR1300277.Trinity.fixed.fasta,34057,201,12043,26292769,772.02246,0,8161,3,16478,83.82905,332,687,1118,1685,2998,0.58982,0.02307,0.01664,1.82974,0,0.0,0.14151,22916,22916,0.67287,0.901,18740,0.73681,11144,0.43815,10230,0.40222,8949,0.35185,8333,0.32763,7410,0.29134,0.36918,,,
/mnt/scratch/ljcohen/mmetsp/Symbiodinium_kawagutii/SRR1300304/trinity/Symbiodinium_kawagutii_SRR1300304.Trinity.fixed.fasta,14970,224,1979,5884814,393.10715,0,210,0,2724,87.36322,249,315,409,538,808,0.51465,0.00186,-7e-05,1.81851,0,0.0,0.08527,18,18,0.0012,0.00071,13,0.00051,5,0.0002,1,4e-05,1,4e-05,1,4e-05,1,4e-05,5e-05,,,
/mnt/scratch/ljcohen/mmetsp/Bathycoccus_prasinos/SRR1300250/trinity/Bathycoccus_prasinos_SRR1300250.Trinity.fixed.fasta,10763,224,21306,14845589,1379.31701,0,5242,45,7677,79.06935,646,1327,2058,3073,5590,0.48196,0.01069,0.01196,2.53537,0,0.0,0.21871,8120,8120,0.75444,1.0062,5570,0.69021,3082,0.38191,2730,0.33829,2332,0.28897,2104,0.26072,1752,0.2171,0.31778,,,
/mnt/scratch/ljcohen/mmetsp/Ditylum_brightwellii/SRR1300309/trinity/Ditylum_brightwellii_SRR1300309.Trinity.fixed.fasta,25864,224,6485,19001738,734.67901,0,6241,0,11066,75.90891,329,654,1025,1447,2214,0.4243,0.0198,0.00914,1.76916,0,0.0,0.14488,14645,14645,0.56623,1.17291,11342,0.90838,6609,0.52931,6312,0.50553,5750,0.46052,5491,0.43977,5223,0.41831,0.5258,,,
/mnt/scratch/ljcohen/mmetsp/uncultured_eukaryote/SRR1300339/trinity/uncultured_eukaryote_SRR1300339.Trinity.fixed.fasta,45143,201,12584,33737546,747.34834,0,10995,2,20230,82.39752,308,707,1114,1628,2721,0.63003,0.00821,0.00334,2.39855,0,0.0,0.13343,29559,29559,0.65479,0.86879,22783,0.66964,12067,0.35467,10637,0.31264,9067,0.2665,8340,0.24513,7305,0.21471,0.32428,,,
/mnt/scratch/ljcohen/mmetsp/Thalassiosira_weissflogii/SRR1296933/trinity/Thalassiosira_weissflogii_SRR1296933.Trinity.fixed.fasta,25940,201,13409,30658372,1181.89561,0,11573,4,15875,80.78402,536,1229,1837,2628,4160,0.46665,0.00531,0.00591,1.93351,0,0.0,0.20964,17555,17555,0.67675,1.14536,13991,0.91283,7771,0.50701,7317,0.47739,6616,0.43166,6315,0.41202,6008,0.39199,0.49707,,,
/mnt/scratch/ljcohen/mmetsp/Noctiluca_scintillans/SRR1296929/trinity/Noctiluca_scintillans_SRR1296929.Trinity.fixed.fasta,61628,201,10010,55450675,899.76431,0,20779,1,34463,87.72916,384,903,1370,1900,2937,0.55782,0.00323,0.00182,1.95345,0,0.0,0.17058,40314,40314,0.65415,1.00624,34365,0.85775,17535,0.43767,16494,0.41169,15017,0.37483,14489,0.36165,13842,0.3455,0.45007,,,
/mnt/scratch/ljcohen/mmetsp/Mantoniella_antarctica/SRR1300318/trinity/Mantoniella_antarctica_SRR1300318.Trinity.fixed.fasta,38427,201,17263,29085862,756.91212,0,8843,8,17414,82.30076,318,661,1131,1755,3113,0.62125,0.01916,0.00624,2.14907,0,0.0,0.1377,23016,23016,0.59895,0.96881,17445,0.73431,9820,0.41335,8527,0.35893,7096,0.29869,6449,0.27146,5672,0.23875,0.32368,,,
/mnt/scratch/ljcohen/mmetsp/uncultured_eukaryote/SRR1300247/trinity/uncultured_eukaryote_SRR1300247.Trinity.fixed.fasta,76582,201,14121,54616312,713.17427,0,16542,6,34746,84.91476,308,632,1021,1519,2641,0.56876,0.01529,0.01048,2.1057,0,0.0,0.13624,52566,52566,0.6864,0.79844,39084,0.59366,21392,0.32493,17527,0.26622,13713,0.20829,12141,0.18441,10256,0.15578,0.25404,,,
/mnt/scratch/ljcohen/mmetsp/Lingulodinium_polyedrum/SRR1300257/trinity/Lingulodinium_polyedrum_SRR1300257.Trinity.fixed.fasta,116784,201,7550,73933089,633.0755,0,21823,0,54617,94.41446,279,547,897,1310,1985,0.67391,0.00646,0.00313,2.10123,0,0.0,0.11655,74318,74318,0.63637,0.89015,61301,0.73424,32595,0.39041,29505,0.3534,25822,0.30929,23929,0.28661,21434,0.25673,0.35577,,,
/mnt/scratch/ljcohen/mmetsp/Neoceratium_fusus/SRR1300301/trinity/Neoceratium_fusus_SRR1300301.Trinity.fixed.fasta,128958,201,10115,89177976,691.52729,0,28441,1,57773,90.52415,289,610,1055,1555,2384,0.53893,0.00927,0.00423,1.96036,0,0.0,0.13654,70808,70808,0.54908,0.96882,56277,0.77,31393,0.42953,28593,0.39122,24886,0.3405,23562,0.32238,21776,0.29795,0.46059,,,
/mnt/scratch/ljcohen/mmetsp/Aureococcus_anophagefferens/SRR1300278/trinity/Aureococcus_anophagefferens_SRR1300278.Trinity.fixed.fasta,34625,201,13623,24956977,720.77912,0,6842,7,17886,91.28095,319,611,986,1571,3147,0.68591,0.0028,-0.00119,2.54134,0,0.0,0.11646,24924,24924,0.71983,0.88862,19755,0.70433,10091,0.35978,8749,0.31193,7038,0.25093,6237,0.22237,5200,0.1854,0.27712,,,
/mnt/scratch/ljcohen/mmetsp/Micromonas/SRR1300295/trinity/Micromonas_SRR1300295.Trinity.fixed.fasta,17247,224,11858,18218064,1056.30336,0,6763,4,11938,85.69986,488,1003,1518,2163,3542,0.66752,0.00384,0.00145,2.57373,0,0.0,0.16406,14199,14199,0.82327,1.07642,9674,0.73338,5130,0.3889,4280,0.32446,3468,0.26291,3132,0.23743,2735,0.20734,0.30492,,,
/mnt/scratch/ljcohen/mmetsp/Ditylum_brightwellii/SRR1300292/trinity/Ditylum_brightwellii_SRR1300292.Trinity.fixed.fasta,30813,201,9306,27698928,898.93642,0,9900,0,14086,74.63733,355,923,1454,2099,3378,0.42286,0.01634,0.00998,1.78038,0,0.0,0.16624,17089,17089,0.5546,1.1303,13700,0.90614,8001,0.5292,7577,0.50116,6940,0.45903,6661,0.44057,6278,0.41524,0.52577,,,
/mnt/scratch/ljcohen/mmetsp/Ostreococcus_mediterraneus/SRR1300249/trinity/Ostreococcus_mediterraneus_SRR1300249.Trinity.fixed.fasta,617,224,2703,247691,401.44408,0,21,0,136,92.33359,242,298,402,619,1040,0.56999,0.01182,0.0071,2.8241,0,0.0,0.0824,442,442,0.71637,0.05457,418,0.05161,85,0.0105,36,0.00444,22,0.00272,19,0.00235,17,0.0021,0.00519,,,
/mnt/scratch/ljcohen/mmetsp/Azadinium_spinosum/SRR1300307/trinity/Azadinium_spinosum_SRR1300307.Trinity.fixed.fasta,133685,201,7942,80240297,600.21915,0,21325,0,52018,93.86848,260,476,859,1393,2374,0.59924,0.00901,0.00164,2.03743,0,0.0,0.11775,62157,62157,0.46495,0.93803,49297,0.74396,26167,0.3949,23331,0.3521,20037,0.30239,18428,0.2781,16455,0.24833,0.34123,,,
/mnt/scratch/ljcohen/mmetsp/Phaeocystis_antarctica/SRR1300313/trinity/Phaeocystis_antarctica_SRR1300313.Trinity.fixed.fasta,72335,201,9536,41089521,568.04481,0,9463,0,27998,92.57827,261,451,743,1164,2082,0.66754,0.01119,0.00615,2.30362,0,0.0,0.10488,40411,40411,0.55866,0.75955,32865,0.61772,17185,0.323,14911,0.28026,12065,0.22677,10721,0.20151,9091,0.17087,0.2533,,,
/mnt/scratch/ljcohen/mmetsp/Ostreococcus_mediterraneus/SRR1300253/trinity/Ostreococcus_mediterraneus_SRR1300253.Trinity.fixed.fasta,9259,224,17475,12710226,1372.74284,0,4776,18,6782,81.04473,687,1346,1984,2827,4769,0.55726,-0.00144,0.00099,2.76453,0,0.0,0.22278,7402,7402,0.79944,0.95782,5738,0.74249,2831,0.36633,2594,0.33566,2337,0.30241,2182,0.28235,1950,0.25233,0.31437,,,
/mnt/scratch/ljcohen/mmetsp/Azadinium_spinosum/SRR1300308/trinity/Azadinium_spinosum_SRR1300308.Trinity.fixed.fasta,132535,201,6294,83420201,629.42016,0,23471,0,55031,93.91772,268,518,921,1455,2405,0.60085,0.00849,0.00212,2.04017,0,0.0,0.12253,66083,66083,0.49861,0.93385,51950,0.73413,27703,0.39148,24627,0.34802,21016,0.29699,19280,0.27245,17089,0.24149,0.33752,,,
/mnt/scratch/ljcohen/mmetsp/Mayorella/SRR1296930/trinity/Mayorella_SRR1296930.Trinity.fixed.fasta,18129,201,13651,20242345,1116.57262,0,7367,6,11994,88.69818,510,1103,1684,2485,4016,0.5647,0.01095,0.00682,2.04239,0,0.0,0.19163,13786,13786,0.76044,1.34393,9391,0.91548,4680,0.45623,4122,0.40183,3485,0.33973,3234,0.31527,2860,0.27881,0.42276,,,
/mnt/scratch/ljcohen/mmetsp/Emiliania_huxleyi/SRR1300285/trinity/Emiliania_huxleyi_SRR1300285.Trinity.fixed.fasta,46848,201,7164,32884121,701.93223,0,9662,0,25164,89.40086,330,622,926,1331,2174,0.6917,0.00953,0.00401,2.36543,0,0.0,0.12247,35284,35284,0.75316,0.88894,27326,0.68845,14460,0.36431,12297,0.30981,9790,0.24665,8718,0.21964,7291,0.18369,0.28616,,,
/mnt/scratch/ljcohen/mmetsp/Pavlova/SRR1300299/trinity/Pavlova_SRR1300299.Trinity.fixed.fasta,19691,224,7858,13805107,701.08715,0,4369,0,8413,79.45351,310,613,990,1407,2214,0.63395,0.00363,0.00338,2.14873,0,0.0,0.13392,14526,14526,0.7377,1.12257,11006,0.85054,5960,0.46059,5578,0.43107,5073,0.39204,4879,0.37705,4665,0.36051,0.47759,,,
/mnt/scratch/ljcohen/mmetsp/Picochlorum_oklahomense/SRR1300323/trinity/Picochlorum_oklahomense_SRR1300323.Trinity.fixed.fasta,11257,201,14172,11508983,1022.38456,0,3812,3,5820,70.9351,396,1061,1835,2688,4068,0.46759,0.02036,0.00531,1.72984,0,0.0,0.18351,6180,6180,0.54899,1.07666,5282,0.92021,3017,0.52561,2896,0.50453,2704,0.47108,2615,0.45557,2528,0.44042,0.53012,,,
/mnt/scratch/ljcohen/mmetsp/Aurantiochytrium_limacinum/SRR1300337/trinity/Aurantiochytrium_limacinum_SRR1300337.Trinity.fixed.fasta,22599,224,7927,26198864,1159.29307,0,10031,0,11930,71.96395,500,1232,1806,2465,3672,0.48706,0.00379,0.00305,2.05093,0,0.0,0.21224,13486,13486,0.59675,0.98144,10359,0.75388,5476,0.39852,5127,0.37312,4734,0.34452,4515,0.32858,4233,0.30806,0.36403,,,
/mnt/scratch/ljcohen/mmetsp/uncultured_eukaryote/SRR1300328/trinity/uncultured_eukaryote_SRR1300328.Trinity.fixed.fasta,33265,201,12349,28367726,852.77998,0,9761,4,19421,89.6007,375,804,1226,1789,3090,0.66981,0.00231,0.00037,2.55162,0,0.0,0.14036,25853,25853,0.77718,0.90872,20204,0.71016,10376,0.36471,9027,0.31729,7664,0.26938,7037,0.24735,6184,0.21736,0.30786,,,
/mnt/scratch/ljcohen/mmetsp/uncultured_eukaryote/SRR1300330/trinity/uncultured_eukaryote_SRR1300330.Trinity.fixed.fasta,74824,201,10116,51153561,683.65178,0,15385,1,32801,84.58354,297,601,975,1442,2374,0.56963,0.0156,0.01203,2.10331,0,0.0,0.13225,50092,50092,0.66946,1.08926,33878,0.73669,20362,0.44278,17787,0.38678,14623,0.31798,13327,0.2898,11583,0.25188,0.45824,,,
/mnt/scratch/ljcohen/mmetsp/Aureococcus_anophagefferens/SRR1300281/trinity/Aureococcus_anophagefferens_SRR1300281.Trinity.fixed.fasta,31434,224,13083,22005024,700.03894,0,5547,23,16669,90.84949,328,569,882,1393,2837,0.67483,0.00428,0.00152,2.52543,0,0.0,0.11759,24329,24329,0.77397,1.00833,18187,0.75377,9336,0.38694,8326,0.34508,6951,0.28809,6213,0.2575,5288,0.21916,0.3119,,,
/mnt/scratch/ljcohen/mmetsp/Symbiodinium_kawagutii/SRR1300305/trinity/Symbiodinium_kawagutii_SRR1300305.Trinity.fixed.fasta,21562,224,1882,8147543,377.86583,0,201,0,3642,89.12433,247,305,386,503,735,0.51639,-0.00253,-0.00272,1.82002,0,0.0,0.08248,11,11,0.00051,0.00046,11,0.00046,2,8e-05,1,4e-05,0,0.0,0,0.0,0,0.0,4e-05,,,
/mnt/scratch/ljcohen/mmetsp/Ostreococcus_lucimarinus/SRR1300254/trinity/Ostreococcus_lucimarinus_SRR1300254.Trinity.fixed.fasta,8302,201,15644,11720971,1411.82498,0,4301,5,6173,80.33619,703,1407,2115,3059,5031,0.5923,0.0023,0.00083,2.7924,0,0.0,0.21493,6805,6805,0.81968,0.87977,5581,0.72153,2873,0.37143,2637,0.34092,2307,0.29825,2118,0.27382,1735,0.22431,0.32015,,,
