,Complete,Fragmented,Missing,Total,Complete_BUSCO_perc
MMETSP1403,201,15,18,234,0.8589743589743589
MMETSP0292,131,35,68,234,0.5598290598290598
MMETSP1316,142,29,63,234,0.6068376068376068
MMETSP1042,140,27,67,234,0.5982905982905983
MMETSP0228,171,26,37,234,0.7307692307692307
MMETSP0944,157,34,43,234,0.6709401709401709
MMETSP0017,212,9,13,234,0.905982905982906
MMETSP0372,86,43,105,234,0.36752136752136755
MMETSP1355,102,28,104,234,0.4358974358974359
MMETSP0878,206,19,9,234,0.8803418803418803
MMETSP0038,147,30,57,234,0.6282051282051282
MMETSP1001,155,22,57,234,0.6623931623931624
MMETSP0800,149,23,62,234,0.6367521367521367
MMETSP0733,203,20,11,234,0.8675213675213675
MMETSP1440,166,18,50,234,0.7094017094017094
MMETSP0467,174,12,48,234,0.7435897435897436
MMETSP0789,211,9,14,234,0.9017094017094017
MMETSP0907,199,15,20,234,0.8504273504273504
MMETSP0797,180,26,28,234,0.7692307692307693
MMETSP1106,182,23,29,234,0.7777777777777778
MMETSP0121,166,25,43,234,0.7094017094017094
MMETSP0047,176,29,29,234,0.7521367521367521
MMETSP0059,189,12,33,234,0.8076923076923077
MMETSP1060,208,12,14,234,0.8888888888888888
MMETSP1142,184,33,17,234,0.7863247863247863
MMETSP0313,126,30,78,234,0.5384615384615384
MMETSP1334,177,21,36,234,0.7564102564102564
MMETSP0418,130,32,72,234,0.5555555555555556
MMETSP1421,200,23,11,234,0.8547008547008547
MMETSP0752,216,8,10,234,0.9230769230769231
MMETSP1167,179,14,41,234,0.7649572649572649
MMETSP0140,205,13,16,234,0.8760683760683761
MMETSP1390,201,19,14,234,0.8589743589743589
MMETSP1462,160,35,39,234,0.6837606837606838
MMETSP0956,158,22,54,234,0.6752136752136753
MMETSP0004,184,17,33,234,0.7863247863247863
MMETSP1180,162,18,54,234,0.6923076923076923
MMETSP1369,170,24,40,234,0.7264957264957265
MMETSP1377,103,30,101,234,0.44017094017094016
MMETSP1124,134,22,78,234,0.5726495726495726
MMETSP0103,175,22,37,234,0.7478632478632479
MMETSP0118,178,19,37,234,0.7606837606837606
MMETSP0925,0,0,234,234,0.0
MMETSP0898,190,26,18,234,0.811965811965812
MMETSP0886,136,32,66,234,0.5811965811965812
MMETSP0790,169,28,37,234,0.7222222222222222
MMETSP0900,196,25,13,234,0.8376068376068376
MMETSP0126,195,8,31,234,0.8333333333333334
MMETSP1101,149,21,64,234,0.6367521367521367
MMETSP0272,175,17,42,234,0.7478632478632479
MMETSP1006,111,25,98,234,0.47435897435897434
MMETSP1018,63,31,140,234,0.2692307692307692
MMETSP0020,129,34,71,234,0.5512820512820513
MMETSP1352,151,21,62,234,0.6452991452991453
MMETSP0902,198,18,18,234,0.8461538461538461
MMETSP1459,122,35,77,234,0.5213675213675214
MMETSP1447,160,26,48,234,0.6837606837606838
MMETSP0734,195,21,18,234,0.8333333333333334
MMETSP0807,212,14,8,234,0.905982905982906
MMETSP0689,203,10,21,234,0.8675213675213675
MMETSP0697,222,8,4,234,0.9487179487179487
MMETSP0819,186,27,21,234,0.7948717948717948
MMETSP1142,184,33,17,234,0.7863247863247863
MMETSP1015,169,14,51,234,0.7222222222222222
MMETSP0943,170,32,32,234,0.7264957264957265
MMETSP0190,106,11,117,234,0.452991452991453
MMETSP1404,181,25,28,234,0.7735042735042735
MMETSP0580,214,6,14,234,0.9145299145299145
MMETSP0328,53,12,169,234,0.2264957264957265
MMETSP0295,128,34,72,234,0.5470085470085471
MMETSP1311,114,31,89,234,0.48717948717948717
MMETSP1080,203,13,18,234,0.8675213675213675
MMETSP0104,180,11,43,234,0.7692307692307693
MMETSP1123,138,16,80,234,0.5897435897435898
MMETSP0881,203,22,9,234,0.8675213675213675
MMETSP0922,4,20,210,234,0.017094017094017096
MMETSP0998,144,27,63,234,0.6153846153846154
MMETSP0716,0,0,234,234,0.0
MMETSP0708,95,34,105,234,0.405982905982906
MMETSP0986,185,32,17,234,0.7905982905982906
MMETSP1465,104,43,87,234,0.4444444444444444
MMETSP1370,139,27,68,234,0.594017094017094
MMETSP0961,209,9,16,234,0.8931623931623932
MMETSP0213,145,16,73,234,0.6196581196581197
MMETSP1397,201,19,14,234,0.8589743589743589
MMETSP1389,105,38,91,234,0.44871794871794873
MMETSP0147,148,27,59,234,0.6324786324786325
MMETSP1160,202,14,18,234,0.8632478632478633
MMETSP1333,176,21,37,234,0.7521367521367521
MMETSP0314,100,48,86,234,0.42735042735042733
MMETSP0923,0,0,234,234,0.0
MMETSP1067,184,23,27,234,0.7863247863247863
MMETSP0040,142,27,65,234,0.6068376068376068
MMETSP0878,206,19,9,234,0.8803418803418803
MMETSP1438,137,14,83,234,0.5854700854700855
MMETSP1426,185,16,33,234,0.7905982905982906
MMETSP1367,181,22,31,234,0.7735042735042735
MMETSP0014,210,12,12,234,0.8974358974358975
MMETSP1033,185,27,22,234,0.7905982905982906
MMETSP0991,173,34,27,234,0.7393162393162394
MMETSP1472,81,33,120,234,0.34615384615384615
MMETSP0888,171,24,39,234,0.7307692307692307
MMETSP0896,82,33,119,234,0.3504273504273504
MMETSP0259,196,11,27,234,0.8376068376068376
MMETSP1089,212,12,10,234,0.905982905982906
MMETSP0113,146,39,49,234,0.6239316239316239
MMETSP1097,26,25,183,234,0.1111111111111111
MMETSP0484,179,21,34,234,0.7649572649572649
MMETSP0915,152,39,43,234,0.6495726495726496
MMETSP0416,117,52,65,234,0.5
MMETSP0987,189,27,18,234,0.8076923076923077
MMETSP1324,121,30,83,234,0.5170940170940171
MMETSP0057,161,31,42,234,0.688034188034188
MMETSP1070,212,10,12,234,0.905982905982906
MMETSP0058,183,14,37,234,0.782051282051282
MMETSP1380,144,16,74,234,0.6153846153846154
MMETSP0884,154,30,50,234,0.6581196581196581
MMETSP1177,207,13,14,234,0.8846153846153846
MMETSP1169,173,24,37,234,0.7393162393162394
MMETSP0150,214,11,9,234,0.9145299145299145
MMETSP0976,191,23,20,234,0.8162393162393162
