assembly,n_seqs,smallest,largest,n_bases,mean_len,n_under_200,n_over_1k,n_over_10k,n_with_orf,mean_orf_percent,n90,n70,n50,n30,n10,gc,gc_skew,at_skew,cpg_ratio,bases_n,proportion_n,linguistic_complexity,fragments,fragments_mapped,p_fragments_mapped,good_mappings,p_good_mapping,bad_mappings,potential_bridges,bases_uncovered,p_bases_uncovered,contigs_uncovbase,p_contigs_uncovbase,contigs_uncovered,p_contigs_uncovered,contigs_lowcovered,p_contigs_lowcovered,contigs_segmented,p_contigs_segmented,score,optimal_score,cutoff,SampleName
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP1353.nt.fa.fixed.fa,8149,150,13798,9969953,1208.02638,724,4028,1,5234,71.48904,724,1359,1899,2611,3953,0.58186,0.0006,-0.00033,2.64439,26868,0.0026899999999999997,0.20831,9858735,9369865,0.9504100000000001,8067707,0.81833,1302158,3313,36164,0.0036299999999999995,2262,0.27758,5,0.00061,3582,0.43956000000000006,761,0.09339,0.38528,0.39392,0.03537,MMETSP1353
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP1354.nt.fa.fixed.fa,8747,150,9980,9559776,1070.45764,1139,3633,0,4829,71.84899,625,1318,1931,2738,4248,0.5505899999999999,-0.0036299999999999995,0.00043,2.37132,11995,0.00125,0.19087,12504946,11849916,0.94762,9962520,0.79669,1887396,4657,28602,0.00299,2935,0.33554,13,0.00149,3230,0.36927,759,0.08677,0.32611,0.34886,0.27184,MMETSP1354
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP1345.nt.fa.fixed.fa,10034,150,17706,14154431,1399.73819,631,5324,12,7461,75.3381,783,1459,2152,3079,4845,0.42513999999999996,7e-05,-0.0006900000000000001,1.43812,16910,0.00119,0.22357,25575770,24833181,0.9709700000000001,21812835,0.8528700000000001,3020346,4881,25873,0.00183,2387,0.23789000000000002,3,0.0003,1484,0.1479,1758,0.1752,0.38915,0.3932,0.02851,MMETSP1345
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP1322.nt.fa.fixed.fa,16157,150,8116,16161476,978.55759,2030,6361,0,9560,83.66539,582,1145,1638,2281,3844,0.55289,-0.00359,-0.0039700000000000004,2.0495200000000002,33021,0.0020399999999999997,0.18148,10841166,10001420,0.9225399999999999,8376579,0.77266,1624841,7489,64653,0.004,5173,0.32016999999999995,42,0.0026,7243,0.44828999999999997,773,0.04784,0.34963,0.41175,0.38239,MMETSP1322
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP1174.nt.fa.fixed.fa,39890,150,10957,30725084,738.19318,7428,11050,3,15506,70.60266,395,953,1395,2009,3871,0.50952,-0.00275,0.0,1.94449,172211,0.0056,0.14709,20175678,17464390,0.8656200000000001,13866147,0.6872699999999999,3598243,19106,265604,0.00864,12751,0.31965,156,0.00391,20324,0.5095,2210,0.0554,0.25116,0.35272,0.39508000000000004,MMETSP1174
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP1360.nt.fa.fixed.fa,25787,150,12193,21136667,788.37612,4684,7436,5,11361,75.33270999999999,429,1002,1526,2270,4099,0.45399999999999996,-0.00572,-0.00672,1.7483799999999998,75721,0.00358,0.15093,15298804,13835493,0.90435,11263968,0.73626,2571525,13656,130208,0.0061600000000000005,8402,0.32582,77,0.00299,11021,0.42738999999999994,2349,0.09109,0.27368000000000003,0.32625,0.31088000000000005,MMETSP1360
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP1361.nt.fa.fixed.fa,19327,150,15775,23777395,1208.9012300000002,2403,8918,12,11369,72.09968,747,1370,2055,3004,4829,0.46758999999999995,-0.00365,-0.0017699999999999999,1.97744,43077,0.0018100000000000002,0.21466,25603431,24633091,0.9621,20816963,0.81305,3816128,8824,86172,0.0036200000000000004,5979,0.30935999999999997,59,0.00305,5797,0.29994,2476,0.12811,0.36357,0.37081,0.04077,MMETSP1361
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP1362.nt.fa.fixed.fa,19105,150,17692,21081519,1078.58864,2749,8019,12,10202,74.36599,679,1285,1873,2723,4914,0.45018,-0.00494,7e-05,2.06129,51995,0.00247,0.19465,19919232,18565780,0.93205,15901272,0.7982899999999999,2664508,10341,90173,0.00428,6227,0.32594,62,0.00325,6933,0.36289,1263,0.06611,0.38550999999999996,0.4379,0.30775,MMETSP1362
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP1394.nt.fa.fixed.fa,15711,150,13388,18795382,1179.39164,1536,7381,4,10024,78.42627,718,1298,1862,2646,4231,0.42315,-0.0030399999999999997,-0.00223,1.73268,43597,0.00232,0.20786999999999997,13213324,12461183,0.9430799999999999,11203640,0.8479,1257543,6157,68947,0.00367,4185,0.26637,23,0.00146,6954,0.44261999999999996,1246,0.07931,0.42583999999999994,0.43875,0.25983,MMETSP1394
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP1423.nt.fa.fixed.fa,16361,150,13808,22164723,1335.06943,1859,8536,8,10431,76.79111,864,1565,2207,3103,5012,0.49555,-0.00135,0.00468,2.13346,50041,0.0022600000000000003,0.22380999999999998,17170611,16550043,0.96386,14911779,0.86845,1638264,9302,77753,0.00351,4821,0.29466,36,0.0022,6617,0.40444,871,0.053239999999999996,0.44463,0.5290199999999999,0.45557,MMETSP1423
