Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR1300370,22-Jul-15,29-May-14,20264809,2026480900,20264809,100,1211,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300370,SRX554175,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621461,SAMN02740197,simple,418940,Scyphosphaera apsteinii,MMETSP1333,,,,,,,no,,,,,NCGR,SRA167331,,public,DE12A80D6DDCE65AE158453EE09049AC,23693700D8B376C122A21905070F512A
SRR1300371,22-Jul-15,29-May-14,22202199,2220219900,22202199,100,1352,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300371,SRX554176,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621462,SAMN02740190,simple,127549,Calcidiscus leptoporus,MMETSP1334,,,,,,,no,,,,,NCGR,SRA167331,,public,C3DDC74E41EB44E9853F83955DFBBC6C,6928B76F86D8CF4B9FD8BB32EAE458D6
SRR1300372,22-Jul-15,29-May-14,21636280,2163628000,21636280,100,1322,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300372,SRX554177,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621463,SAMN02740171,simple,259385,Chrysoculter rhomboideus,MMETSP1335,,,,,,,no,,,,,NCGR,SRA167331,,public,8693DA7E6E24D551740490D662B455A3,C5DF3019C5A909C79C0567FBFF580871
SRR1300373,22-Jul-15,29-May-14,14943164,1494316400,14943164,100,859,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300373,SRX554178,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621465,SAMN02740319,simple,1048532,Chaetoceros cf. neogracile,MMETSP1336,,,,,,,no,,,,,NCGR,SRA167331,,public,C44E38158EB44F9842BB5AF9824CB932,22CA4613C196749498F7FCFDB6940699
SRR1300374,22-Jul-15,29-May-14,22594397,2259439700,22594397,100,1303,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300374,SRX554179,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621464,SAMN02740376,simple,100272,uncultured eukaryote,MMETSP1317,,,,,,,no,,,,,NCGR,SRA167331,,public,62F4ED0B01798E2141169A2A9F048937,3B7C2FE402958091000DBAD690133461
SRR1300375,22-Jul-15,29-May-14,20768235,2076823500,20768235,100,1271,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300375,SRX554180,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621466,SAMN02740561,simple,40639,Isochrysis sp.,MMETSP1130,,,,,,,no,,,,,NCGR,SRA167331,,public,C3BF314F058F3D10375CE363AF9C30DA,F955445B383932A9A293C1F91DB1F537
SRR1300376,22-Jul-15,29-May-14,18367414,1836741400,18367414,100,1120,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300376,SRX554181,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621467,SAMN02740562,simple,40639,Isochrysis sp.,MMETSP1131,,,,,,,no,,,,,NCGR,SRA167331,,public,D0EADC21440993337763A12270010A4C,BDCA940F6D2AF9A3BCAF0BAD3D34AE3F
SRR1300377,22-Jul-15,29-May-14,25504015,2550401500,25504015,100,1552,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300377,SRX554182,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621468,SAMN02740585,simple,94617,Fibrocapsa japonica,MMETSP1339,,,,,,,no,,,,,NCGR,SRA167331,,public,997C1C473C2550586583A3A02C733FC4,E91F3C95B1F61D3A71027E7F26E35705
SRR1300378,22-Jul-15,29-May-14,22470384,2247038400,22470384,100,1353,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300378,SRX554183,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621469,SAMN02739975,simple,1411642,Pyramimonas obovata,MMETSP1169,,,,,,,no,,,,,NCGR,SRA167331,,public,C8CFAD8F6F7E842FCF7EC63015A273E2,2D57CAC60DE0DC8A6DA94CDA3AAC7D45
SRR1300379,22-Jul-15,29-May-14,21413545,2141354500,21413545,100,1280,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300379,SRX554184,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621470,SAMN02740583,simple,3052,Chlamydomonas,MMETSP1180,,,,,,,no,,,,,NCGR,SRA167331,,public,A2398CB0CEAF376871236414A2FCAEB6,33097E4D1BC20B9456D4DD1B7F9A4007
