assembly,n_seqs,smallest,largest,n_bases,mean_len,n_under_200,n_over_1k,n_over_10k,n_with_orf,mean_orf_percent,n90,n70,n50,n30,n10,gc,gc_skew,at_skew,cpg_ratio,bases_n,proportion_n,linguistic_complexity,fragments,fragments_mapped,p_fragments_mapped,good_mappings,p_good_mapping,bad_mappings,potential_bridges,bases_uncovered,p_bases_uncovered,contigs_uncovbase,p_contigs_uncovbase,contigs_uncovered,p_contigs_uncovered,contigs_lowcovered,p_contigs_lowcovered,contigs_segmented,p_contigs_segmented,score,optimal_score,cutoff
/mnt/scratch/ljcohen/mmetsp/Karlodinium_veneficum/SRR1300327/trinity/trinity_out/Karlodinium_veneficum_SRR1300327.Trinity.fixed.fa,119074,201,10580,78433619,658.69643,0,22531,1,50443,91.70707,280,548,971,1512,2556,0.49709,0.01013,0.00309,2.13254,0,0.0,0.13161,20127416,17326425,0.86084,14531600,0.72198,2794825,64752,407956,0.0052,24222,0.20342,301,0.00253,92768,0.77908,1900,0.01596,0.37814,0.49301,0.56288
/mnt/scratch/ljcohen/mmetsp/Geminigera/SRR1300315/trinity/trinity_out/Geminigera_SRR1300315.Trinity.fixed.fa,90599,201,18794,50604839,558.55847,0,11181,10,25897,82.27441,254,421,728,1262,2467,0.52157,0.02254,0.01186,2.0668,0,0.0,0.10974,26130808,21673811,0.82944,16764687,0.64157,4909124,63113,571057,0.01128,28159,0.31081,502,0.00554,61619,0.68013,5575,0.06153,0.22241,0.31163,0.41569
/mnt/scratch/ljcohen/mmetsp/Symbiodinium_sp./SRR1300267/trinity/trinity_out/Symbiodinium_sp._SRR1300267.Trinity.fixed.fa,71235,201,9385,53518324,751.29254,0,17955,0,36359,91.90136,316,701,1121,1618,2485,0.57244,0.00906,0.00296,1.95927,0,0.0,0.14597,29668428,27527920,0.92785,24995391,0.84249,2532529,33547,258727,0.00483,12803,0.17973,208,0.00292,44869,0.62987,1892,0.02656,0.50799,0.58392,0.53278
/mnt/scratch/ljcohen/mmetsp/Emiliania_huxleyi/SRR1300288/trinity/trinity_out/Emiliania_huxleyi_SRR1300288.Trinity.fixed.fa,47224,201,7948,33104113,701.00188,0,9758,0,24952,88.3993,327,620,932,1347,2202,0.68902,0.00992,0.00279,2.3579,0,0.0,0.1228,23364557,21579293,0.92359,18582914,0.79535,2996379,35954,390832,0.01181,17209,0.36441,350,0.00741,21966,0.46514,2852,0.06039,0.37634,0.43562,0.41802
/mnt/scratch/ljcohen/mmetsp/Euplotes_focardii/SRR1296928/trinity/trinity_out/Euplotes_focardii_SRR1296928.Trinity.fixed.fa,22968,224,7209,12648741,550.71147,0,2451,0,6848,75.61511,284,446,655,945,1481,0.40656,0.01973,0.02613,1.75669,0,0.0,0.11018,13603823,12007116,0.88263,10828234,0.79597,1178882,8371,381221,0.03014,4472,0.19471,847,0.03688,14917,0.64947,1048,0.04563,0.34642,0.47212,0.34721
/mnt/scratch/ljcohen/mmetsp/Emiliania_huxleyi/SRR1300287/trinity/trinity_out/Emiliania_huxleyi_SRR1300287.Trinity.fixed.fa,48013,201,9221,34635962,721.38717,0,10643,0,26056,87.64118,335,648,966,1379,2231,0.68799,0.01016,0.00278,2.35648,0,0.0,0.12584,27739768,25651195,0.92471,22263621,0.80259,3387574,37634,384781,0.01111,18178,0.37861,324,0.00675,19978,0.4161,3252,0.06773,0.38316,0.44688,0.40724
/mnt/scratch/ljcohen/mmetsp/Aplanochytrium/SRR1300334/trinity/trinity_out/Aplanochytrium_SRR1300334.Trinity.fixed.fa,343,227,6348,300032,874.72886,0,105,0,166,68.90465,385,784,1241,1798,2806,0.41582,0.01479,0.00925,1.86659,0,0.0,0.16996,27615658,368337,0.01334,344497,0.01247,23840,99,5531,0.01843,65,0.1895,12,0.03499,162,0.4723,40,0.11662,0.0052,0.00621,0.08365
/mnt/scratch/ljcohen/mmetsp/Thalassiosira_weissflogii/SRR1296931/trinity/trinity_out/Thalassiosira_weissflogii_SRR1296931.Trinity.fixed.fa,25798,201,11290,31143506,1207.20622,0,11814,2,15984,80.2034,555,1260,1854,2672,4220,0.46631,0.00466,0.00403,1.93396,0,0.0,0.21335,26021363,25140147,0.96613,23306451,0.89567,1833696,17152,204687,0.00657,6835,0.26494,110,0.00426,11592,0.44934,1274,0.04938,0.52701,0.55808,0.32833
/mnt/scratch/ljcohen/mmetsp/Symbiodinium_kawagutii/SRR1300303/trinity/trinity_out/Symbiodinium_kawagutii_SRR1300303.Trinity.fixed.fa,13150,224,1674,4927867,374.74274,0,101,0,1900,86.11681,246,305,382,495,717,0.50323,0.0026,0.0006,1.81812,0,0.0,0.08191,11054332,3408523,0.30834,403976,0.03654,3004547,11128,402313,0.08164,8013,0.60935,959,0.07293,7669,0.58319,1246,0.09475,0.00097,0.0093,0.22
/mnt/scratch/ljcohen/mmetsp/Ditylum_brightwellii/SRR1300273/trinity/trinity_out/Ditylum_brightwellii_SRR1300273.Trinity.fixed.fa,35091,201,14390,35610130,1014.79382,0,13015,7,17699,75.99746,410,1076,1625,2332,3949,0.42114,0.01066,0.00754,1.77019,0,0.0,0.18099,42891540,40892508,0.95339,37340740,0.87059,3551768,23223,364692,0.01024,11110,0.31661,226,0.00644,16343,0.46573,3868,0.11023,0.41982,0.4474,0.08324
