assembly,n_seqs,smallest,largest,n_bases,mean_len,n_under_200,n_over_1k,n_over_10k,n_with_orf,mean_orf_percent,n90,n70,n50,n30,n10,gc,gc_skew,at_skew,cpg_ratio,bases_n,proportion_n,linguistic_complexity,CRBB_hits,n_contigs_with_CRBB,p_contigs_with_CRBB,rbh_per_reference,n_refs_with_CRBB,p_refs_with_CRBB,cov25,p_cov25,cov50,p_cov50,cov75,p_cov75,cov85,p_cov85,cov95,p_cov95,reference_coverage,score,optimal_score,cutoff,SampleName,Run
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP0271.trinity_out_2.2.0.Trinity.fasta,153198,201,14115,105343189,687.6277,0,31210,12,68611,92.73649,289,586,1029,1599,2654,0.5968899999999999,0.00894,0.00206,2.07837,0,0.0,0.1309,88123,88123,0.57522,0.89718,65349,0.66532,34577,0.35203,30351,0.309,25753,0.26219000000000003,23660,0.24088,20934,0.21313000000000001,0.31669,,,,MMETSP0271,MMETSP0271
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP1366.trinity_out_2.2.0.Trinity.fasta,52229,201,7708,41734430,799.06623,0,14375,0,30948,86.48185,378,748,1084,1504,2359,0.68403,0.00993,0.00374,2.34983,0,0.0,0.13687,41468,41468,0.79397,1.23719,27376,0.81676,15277,0.45578,13804,0.41184,11897,0.35494000000000003,11156,0.33284,9906,0.29554,0.45616,,,,MMETSP1366,MMETSP1366
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP1103.trinity_out_2.2.0.Trinity.fasta,27001,201,12574,31189705,1155.13148,0,11452,3,15981,83.50166,527,1149,1731,2552,4333,0.43913,0.01487,0.00227,1.80067,0,0.0,0.21063,16387,16387,0.6069,1.18729,13254,0.9603,7575,0.54883,7328,0.53094,6954,0.50384,6783,0.49145,6583,0.47696000000000005,0.54132,,,,MMETSP1103,MMETSP1103
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP0014.trinity_out_2.2.0.Trinity.fasta,63046,201,18219,86687899,1374.99443,0,30842,17,38948,74.16254,631,1489,2224,3155,4800,0.46635,0.00294,0.007659999999999999,1.87973,0,0.0,0.22899999999999998,41176,41176,0.6531100000000001,0.9565799999999999,22233,0.51651,11553,0.26839,10225,0.23754,8439,0.19605,7593,0.1764,6753,0.15688,0.2325,,,,MMETSP0014,MMETSP0014
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP0916.trinity_out_2.2.0.Trinity.fasta,32727,201,11857,23346435,713.36924,0,6303,8,16987,90.45321,318,604,958,1503,3130,0.67507,0.00443,-0.00105,2.53024,0,0.0,0.11824000000000001,24144,24144,0.73774,1.13914,18478,0.8718100000000001,9542,0.4502,8986,0.42396999999999996,8055,0.38004,7624,0.35971,6996,0.33008000000000004,0.4414,,,,MMETSP0916,MMETSP0916
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP0719.trinity_out_2.2.0.Trinity.fasta,7884,201,5948,3801556,482.1862,0,628,0,1925,79.20223,244,363,541,904,1958,0.5765899999999999,0.01162,0.00583,2.2795,0,0.0,0.09821,4966,4966,0.62988,1.21092,3664,0.89344,1977,0.48208,1880,0.45842,1725,0.42063,1663,0.40551,1539,0.37527,0.45508000000000004,,,,MMETSP0719,MMETSP0719
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP1358.trinity_out_2.2.0.Trinity.fasta,36004,201,7507,24156090,670.92795,0,7203,0,14849,82.46065,287,581,978,1463,2396,0.47172,0.012190000000000001,0.013569999999999999,1.94038,0,0.0,0.13344,26158,26158,0.72653,1.45597,15300,0.8516100000000001,9074,0.50507,6781,0.37744,4893,0.27235,4203,0.23394,3511,0.19542,0.43049,,,,MMETSP1358,MMETSP1358
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP0164.trinity_out_2.2.0.Trinity.fasta,53504,201,6590,32173729,601.33315,0,8853,0,19808,81.21745,277,503,822,1186,1797,0.6079399999999999,0.01223,0.00088,2.21115,0,0.0,0.11886,28404,28404,0.53088,1.1124399999999999,23468,0.91912,12724,0.49833999999999995,12158,0.47617,11119,0.43548000000000003,10770,0.42181,10299,0.40336,0.49382,,,,MMETSP0164,MMETSP0164
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP0727.trinity_out_2.2.0.Trinity.fasta,29922,201,14819,26473576,884.7528900000001,0,8753,6,15397,84.65133,359,846,1414,2130,3627,0.50126,0.00436,0.0009599999999999999,1.95815,0,0.0,0.16342,16673,16673,0.5572199999999999,0.92335,12679,0.70217,6532,0.36174,5877,0.32547,5160,0.28576,4791,0.26533,4363,0.24161999999999997,0.31083,,,,MMETSP0727,MMETSP0727
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP0384.trinity_out_2.2.0.Trinity.fasta,183765,201,11456,109178892,594.12234,0,29406,5,73801,93.19071,263,481,832,1293,2079,0.62489,0.00954,0.00425,2.07514,0,0.0,0.11447,91531,91531,0.49809,0.9507399999999999,73573,0.7642100000000001,38836,0.40339,35338,0.36706,31175,0.32382,29098,0.30224,26072,0.27081,0.36198,,,,MMETSP0384,MMETSP0384
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP1402.trinity_out_2.2.0.Trinity.fasta,15692,201,11749,14865995,947.36139,0,5061,1,9467,84.08789,412,898,1432,2178,3715,0.64504,0.008709999999999999,0.00852,2.61741,0,0.0,0.14751,11525,11525,0.73445,1.2677399999999999,8234,0.9057299999999999,4518,0.49698000000000003,4109,0.45198999999999995,3621,0.39831,3405,0.37455,3070,0.3377,0.47138,,,,MMETSP1402,MMETSP1402
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP1154.trinity_out_2.2.0.Trinity.fasta,52243,201,6643,36651421,701.55659,0,10897,0,27798,88.80211,328,621,936,1335,2137,0.68998,0.01065,0.00309,2.3569999999999998,0,0.0,0.12242,39161,39161,0.74959,0.96216,28528,0.70092,15031,0.3693,13097,0.32179,10709,0.26311,9681,0.23786,8401,0.20640999999999998,0.29971,,,,MMETSP1154,MMETSP1154
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP0091.trinity_out_2.2.0.Trinity.fasta,25981,201,5278,17491685,673.24911,0,5465,0,11442,80.36516,300,611,944,1314,1985,0.42046000000000006,0.01851,0.01464,1.72472,0,0.0,0.13464,17133,17133,0.6594399999999999,1.23973,12192,0.8822,7186,0.5199699999999999,6831,0.49428,6095,0.44103000000000003,5735,0.41498,5305,0.38386,0.52294,,,,MMETSP0091,MMETSP0091
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP0043.trinity_out_2.2.0.Trinity.fasta,63330,201,17707,40777347,643.88674,0,10631,9,26667,89.85468,283,525,887,1406,2654,0.6089399999999999,0.02862,0.01737,1.8659400000000002,0,0.0,0.12150999999999999,35298,35298,0.55737,1.01665,28620,0.82431,17457,0.50279,16641,0.47928999999999994,15424,0.44423999999999997,14718,0.42391,13729,0.39542,0.45103999999999994,,,,MMETSP0043,MMETSP0043
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP0368.trinity_out_2.2.0.Trinity.fasta,107051,201,6764,73352769,685.2133,0,23836,0,50614,91.89698,292,613,1020,1464,2195,0.61815,0.00587,0.0009199999999999999,2.12317,0,0.0,0.13042,63241,63241,0.5907600000000001,0.91374,48744,0.70428,25084,0.36243000000000003,22436,0.32416999999999996,19353,0.27962,17904,0.25869000000000003,15942,0.23034000000000002,0.33551,,,,MMETSP0368,MMETSP0368
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP0941.trinity_out_2.2.0.Trinity.fasta,14102,201,15779,20170673,1430.3413,0,7496,21,10128,74.48765,725,1453,2134,3004,4730,0.5823699999999999,0.0034100000000000003,0.0022,2.08411,0,0.0,0.24204,11316,11316,0.8024399999999999,1.34235,7367,0.8739,3909,0.4637,3722,0.44151999999999997,3450,0.40925,3313,0.39299999999999996,3098,0.3675,0.48723999999999995,,,,MMETSP0941,MMETSP0941
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP0993.trinity_out_2.2.0.Trinity.fasta,89404,201,8807,57118457,638.88033,0,15919,0,37970,85.89947,291,546,868,1274,2031,0.56972,0.01797,0.01377,2.10335,0,0.0,0.12519,59004,59004,0.65997,1.28306,34939,0.75976,21102,0.45887,18906,0.41112,15785,0.34325,14435,0.31389,12680,0.27573000000000003,0.4823,,,,MMETSP0993,MMETSP0993
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP0314.trinity_out_2.2.0.Trinity.fasta,25394,201,7772,17399637,685.18693,0,4786,0,10343,81.68929,306,574,940,1488,2652,0.5997899999999999,0.0337,0.00112,2.14521,0,0.0,0.12866,16121,16121,0.63484,1.17517,12107,0.88256,6272,0.45721000000000006,5914,0.43111000000000005,5382,0.39233,5150,0.37542,4782,0.34859,0.46387,,,,MMETSP0314,MMETSP0314
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP1128.trinity_out_2.2.0.Trinity.fasta,29099,201,14451,30762858,1057.17922,0,11229,8,14869,71.62187,442,1103,1686,2417,3952,0.55096,0.01407,0.00584,1.7954700000000001,0,0.0,0.18056,17659,17659,0.6068600000000001,1.30277,12459,0.91914,7613,0.5616399999999999,7061,0.52091,6373,0.47016,6084,0.44883999999999996,5750,0.4242,0.54435,,,,MMETSP1128,MMETSP1128
