assembly,n_seqs,smallest,largest,n_bases,mean_len,n_under_200,n_over_1k,n_over_10k,n_with_orf,mean_orf_percent,n90,n70,n50,n30,n10,gc,gc_skew,at_skew,cpg_ratio,bases_n,proportion_n,linguistic_complexity,fragments,fragments_mapped,p_fragments_mapped,good_mappings,p_good_mapping,bad_mappings,potential_bridges,bases_uncovered,p_bases_uncovered,contigs_uncovbase,p_contigs_uncovbase,contigs_uncovered,p_contigs_uncovered,contigs_lowcovered,p_contigs_lowcovered,contigs_segmented,p_contigs_segmented,score,optimal_score,cutoff,SampleName
/mnt/home/ljcohen/oysterriver_assemblies/finished/DRR053698.trinity_out_2.2.0.Trinity.fasta,108769,201,14995,115113026,1058.3256800000001,0,42793,2,43154,55.009859999999996,444,1117,1706,2349,3581,0.40363000000000004,0.00677,0.00135,1.50532,0,0.0,0.1876,125323724,116841490,0.93232,108195486,0.8633299999999999,8646004,46754,24141661,0.20972,70994,0.6527,20496,0.18844,67239,0.6181800000000001,14278,0.13127,0.20354,0.45302,0.25040999999999997,DRR053698
/mnt/home/ljcohen/oysterriver_assemblies/finished/ERR489297.trinity_out_2.2.0.Trinity.fasta,123403,201,15032,128110962,1038.15111,0,41965,26,38800,51.82306,391,1108,1885,2822,4586,0.48533999999999994,0.00703,0.00701,2.2675400000000003,0,0.0,0.17915999999999999,203956592,189924004,0.9312,173151814,0.84896,16772190,60365,19058747,0.14877,80640,0.65347,21100,0.17098,77483,0.62789,16828,0.13637,0.18458,0.4003,0.13789,ERR489297
/mnt/home/ljcohen/oysterriver_assemblies/finished/DRR030368.trinity_out_2.2.0.Trinity.fasta,79221,201,16224,92002324,1161.33757,0,33960,30,37872,56.81875,514,1238,1857,2644,4161,0.48035,0.00621,0.00283,1.94672,0,0.0,0.2113,70690754,66567029,0.9416700000000001,60304562,0.85308,6262467,16550,34291761,0.37273,52536,0.6631600000000001,22205,0.28029,61762,0.77962,10249,0.12937,0.16011,0.43511000000000005,0.18303,DRR030368
/mnt/home/ljcohen/oysterriver_assemblies/finished/DRR031870.trinity_out_2.2.0.Trinity.fasta,91804,201,8616,87193828,949.78245,0,31865,0,38296,62.52451,403,953,1475,2110,3280,0.42222,0.014209999999999999,-0.00059,1.52185,0,0.0,0.17501,57101097,53190668,0.9315200000000001,47418409,0.8304299999999999,5772259,26641,22499754,0.25804,60192,0.65566,18944,0.20635,65340,0.71173,13255,0.14438,0.18805,0.4093,0.11263,DRR031870
/mnt/home/ljcohen/oysterriver_assemblies/finished/DRR046632.trinity_out_2.2.0.Trinity.fasta,157270,201,8437,96654184,614.57483,0,25370,0,33207,59.13064,265,482,879,1485,2590,0.4743,0.00972,0.00541,1.33696,0,0.0,0.11946,79530985,68530476,0.8616799999999999,57672038,0.72515,10858438,71550,13662725,0.14135999999999999,87963,0.5593100000000001,22368,0.14223,113898,0.72422,18816,0.11964000000000001,0.14917,0.37235,0.39359,DRR046632
/mnt/home/ljcohen/oysterriver_assemblies/finished/DRR069093.trinity_out_2.2.0.Trinity.fasta,113646,201,17069,120650032,1061.63026,0,44296,40,48018,61.14864,443,1130,1731,2417,3770,0.40972,-0.00151,0.00013000000000000002,1.4969999999999999,0,0.0,0.18707000000000001,102144878,92748248,0.90801,69561271,0.68101,23186977,55172,23154681,0.19192,81808,0.71985,24467,0.21529,70198,0.61769,15009,0.13207,0.11657999999999999,0.28856,0.106,DRR069093
/mnt/home/ljcohen/oysterriver_assemblies/finished/ERR058009.trinity_out_2.2.0.Trinity.fasta,20589,201,7477,18353212,891.4086199999999,0,6411,0,10091,71.86366,388,851,1333,1943,3108,0.27221999999999996,0.02885,0.024659999999999998,1.12055,0,0.0,0.13451,67846661,59526103,0.87736,47171431,0.6952699999999999,12354672,8141,2768650,0.15085,11765,0.5714199999999999,3180,0.15445,9596,0.46607,4207,0.20432999999999998,0.16107,0.31655,0.04542,ERR058009
/mnt/home/ljcohen/oysterriver_assemblies/finished/ERR1016675.trinity_out_2.2.0.Trinity.fasta,130260,201,16848,159663269,1225.72754,0,51238,109,58948,55.35279,464,1435,2293,3337,5302,0.4701,0.00418,0.00392,2.19275,0,0.0,0.19738,50536243,46149949,0.9132,42001753,0.8311200000000001,4148196,26307,56897743,0.35636,85876,0.65927,33331,0.25588,104658,0.80345,9193,0.07057000000000001,0.2154,0.44355,0.033260000000000005,ERR1016675
/mnt/home/ljcohen/oysterriver_assemblies/finished/SRR2086412.trinity_out_2.2.0.Trinity.fasta,171775,201,19638,159016158,925.7235199999999,0,42197,196,32696,42.62858,316,916,2009,3322,5634,0.48033000000000003,0.0095,0.00164,1.31291,0,0.0,0.15579,52457319,48854946,0.9313299999999999,44571898,0.8496799999999999,4283048,24998,35686235,0.22441999999999998,75672,0.44053000000000003,24828,0.14454,151900,0.8843,8086,0.04707,0.36789,0.5250199999999999,0.03265,SRR2086412
/mnt/home/ljcohen/oysterriver_assemblies/finished/SRR1789336.trinity_out_2.2.0.Trinity.fasta,113338,201,13949,93732207,827.01483,0,26491,21,29064,57.88361999999999,292,775,1626,2686,4681,0.50136,0.00975,0.00521,1.56534,0,0.0,0.1429,28990870,26981816,0.9307,23739875,0.81887,3241941,18563,14433569,0.15399000000000002,49794,0.43933999999999995,15954,0.14076,92419,0.81543,8898,0.07851,0.30709000000000003,0.49663999999999997,0.15558,SRR1789336
