assembly,n_seqs,smallest,largest,n_bases,mean_len,n_under_200,n_over_1k,n_over_10k,n_with_orf,mean_orf_percent,n90,n70,n50,n30,n10,gc,gc_skew,at_skew,cpg_ratio,bases_n,proportion_n,linguistic_complexity,CRBB_hits,n_contigs_with_CRBB,p_contigs_with_CRBB,rbh_per_reference,n_refs_with_CRBB,p_refs_with_CRBB,cov25,p_cov25,cov50,p_cov50,cov75,p_cov75,cov85,p_cov85,cov95,p_cov95,reference_coverage,score,optimal_score,cutoff,weighted
/mnt/MMETSP_assemblies/MMETSP1417.cds.fa.fixed.fa,15131,150,15507,20220972,1324.96643,988,7755,11,11412,99.86284,753,1377,2013,2886,4674,0.4841,0.0291,0.08811,1.93021,57784,0.00286,0.22809,14478,14478,0.95684,0.48329,13875,0.46316,7223,0.24111,6498,0.21691,4653,0.15532,3226,0.10769,1192,0.03979,0.27441,,,,
/mnt/MMETSP_assemblies/MMETSP1394.cds.fa.fixed.fa,13083,150,13305,14583591,1104.73057,747,5791,1,9724,99.82801,618,1113,1578,2238,3705,0.43321,0.05804,0.07688,1.72992,46683,0.0032,0.19882,12555,12555,0.95964,0.45866,12160,0.44423,6615,0.24166,5903,0.21565,3975,0.14522,2546,0.09301,878,0.03208,0.28171,,,,
/mnt/MMETSP_assemblies/MMETSP1420.cds.fa.fixed.fa,14988,150,15507,19852731,1313.40793,958,7638,7,11294,99.87761,744,1362,1995,2883,4554,0.48442,0.02951,0.08895,1.93128,59770,0.00301,0.22691,14268,14268,0.95196,0.47189,13786,0.45595,7373,0.24385,6630,0.21928,4733,0.15654,3285,0.10865,1279,0.0423,0.27746,,,,
/mnt/MMETSP_assemblies/MMETSP1439.cds.fa.fixed.fa,38542,150,19752,24991298,619.67573,6348,7896,5,19130,99.89822,336,726,1062,1503,2628,0.62931,0.02118,0.05744,1.96653,163466,0.00654,0.12228,31708,31708,0.82269,0.44574,30117,0.42338,14908,0.20957,13982,0.19656,11702,0.1645,9948,0.13985,6289,0.08841,0.25579,,,,
/mnt/MMETSP_assemblies/MMETSP1424.cds.fa.fixed.fa,20532,150,11364,18285021,874.50687,1894,7110,2,12888,99.88542,465,960,1386,1899,2973,0.5922,0.08681,0.02007,1.96093,81762,0.00447,0.16414,19155,19155,0.93293,0.4929,18794,0.48361,10213,0.2628,9602,0.24708,7567,0.19471,5627,0.14479,1979,0.05092,0.32952,,,,
/mnt/MMETSP_assemblies/MMETSP1174.cds.fa.fixed.fa,27278,150,9579,20416083,723.3152,3949,6734,0,14533,99.78356,384,813,1233,1821,3495,0.5323,0.04615,0.07588,1.95341,168613,0.00826,0.14353,24314,24314,0.89134,0.41664,23327,0.39973,12903,0.2211,11274,0.19319,7386,0.12657,5010,0.08585,2414,0.04137,0.24061,,,,
/mnt/MMETSP_assemblies/MMETSP1401.cds.fa.fixed.fa,10366,150,28923,14492697,1387.93469,606,5465,14,7942,99.96053,771,1455,2142,2994,4857,0.67101,0.04253,0.0583,2.57522,43097,0.00297,0.19471,9926,9926,0.95755,0.61852,9632,0.6002,4739,0.2953,4528,0.28215,3783,0.23573,3070,0.1913,1330,0.08288,0.32004,,,,
/mnt/MMETSP_assemblies/MMETSP1402.cds.fa.fixed.fa,9091,150,17529,10284003,1116.36663,773,3783,7,6175,99.95137,600,1203,1812,2667,4509,0.6665,0.05098,0.08273,2.61384,34134,0.00332,0.16062,8417,8417,0.92586,0.51121,8215,0.49894,4208,0.25557,3948,0.23978,3208,0.19484,2602,0.15803,1293,0.07853,0.27672,,,,
/mnt/MMETSP_assemblies/MMETSP1429.cds.fa.fixed.fa,14366,150,9027,9178761,612.20904,2209,2870,0,7624,99.73616,354,702,987,1332,2112,0.48105,0.07165,0.07739,1.81637,61132,0.00666,0.12859,12352,12352,0.85981,0.57259,12144,0.56295,6861,0.31805,6389,0.29617,4683,0.21709,3251,0.1507,1062,0.04923,0.30134,,,,
/mnt/MMETSP_assemblies/MMETSP1434.cds.fa.fixed.fa,9658,150,6816,5744871,577.52858,957,1302,0,5225,99.72866,336,573,798,1074,1809,0.5314,0.04573,0.03793,2.00159,20185,0.00351,0.12228,9135,9135,0.94585,0.49461,8921,0.48303,4647,0.25161,4098,0.22189,2598,0.14067,1595,0.08636,486,0.02631,0.23701,,,,
/mnt/MMETSP_assemblies/MMETSP1360.cds.fa.fixed.fa,19020,150,10686,15435903,789.7276,2387,5408,2,10912,99.79626,426,876,1314,1911,3303,0.46703,0.01058,0.10171,1.76385,83448,0.00541,0.15234,17138,17138,0.90105,0.4497,16527,0.43367,8663,0.22732,7855,0.20611,5648,0.1482,4034,0.10585,1620,0.04251,0.24805,,,,
/mnt/MMETSP_assemblies/MMETSP1432.cds.fa.fixed.fa,11617,150,7452,11674218,996.3259,570,5066,0,9244,99.79741,618,987,1308,1692,2403,0.49529,0.02785,0.10043,1.97412,26968,0.00231,0.19218,11287,11287,0.97159,0.5519,10987,0.53724,6005,0.29363,5432,0.26561,3779,0.18478,2538,0.1241,658,0.03217,0.31283,,,,
/mnt/MMETSP_assemblies/MMETSP1345.cds.fa.fixed.fa,7765,150,13569,9565389,1226.15699,254,3939,6,6351,99.88471,678,1164,1608,2322,3783,0.43004,-0.02034,0.15893,1.43692,19151,0.002,0.20488,7515,7515,0.9678,0.47506,7390,0.46716,4278,0.27043,3860,0.24401,3061,0.1935,2464,0.15576,949,0.05999,0.29388,,,,
/mnt/MMETSP_assemblies/MMETSP1380.cds.fa.fixed.fa,12458,150,8793,9400473,737.77364,1202,3120,0,7255,99.77576,393,753,1122,1641,2808,0.40469,0.06755,0.17339,1.35909,37377,0.00398,0.13892,11844,11844,0.95071,0.32736,11433,0.316,6775,0.18726,5570,0.15395,4051,0.11197,3254,0.08994,2062,0.05699,0.22701,,,,
/mnt/MMETSP_assemblies/MMETSP1440.cds.fa.fixed.fa,32168,150,15276,21754983,640.38473,6668,6932,9,14184,99.84554,336,816,1296,1944,4089,0.57425,0.0509,0.05451,1.9256,125187,0.00575,0.12496,26266,26266,0.81653,0.38945,24449,0.36251,12245,0.18156,10681,0.15837,7586,0.11248,5619,0.08331,2622,0.03888,0.21275,,,,
/mnt/MMETSP_assemblies/MMETSP0252.cds.fa.fixed.fa,423,150,876,101130,164.14184,183,0,0,15,99.70187,222,270,351,876,876,0.54981,0.06871,0.17151,1.97618,598,0.00591,0.0509,391,391,0.92435,0.04504,359,0.04135,162,0.01866,57,0.00657,10,0.00115,5,0.00058,1,0.00012,0.01201,,,,
/mnt/MMETSP_assemblies/MMETSP1147.cds.fa.fixed.fa,325,150,420,69216,119.68615,175,0,0,0,99.85346,219,264,339,420,420,0.53033,0.08073,0.17542,2.06865,496,0.00717,0.04577,255,255,0.78462,0.11849,249,0.11571,113,0.05251,76,0.03532,25,0.01162,14,0.00651,0,0.0,0.03764,,,,
/mnt/MMETSP_assemblies/MMETSP1361.cds.fa.fixed.fa,15650,150,14892,17447661,1102.03706,1152,6942,7,11386,99.83148,630,1134,1602,2322,3885,0.47456,0.04884,0.05008,1.96527,48434,0.00278,0.2021,14756,14756,0.94288,0.47895,14187,0.46048,7306,0.23714,6518,0.21156,4738,0.15379,3430,0.11133,1229,0.03989,0.25721,,,,
/mnt/MMETSP_assemblies/MMETSP1450.cds.fa.fixed.fa,31672,150,10905,21894747,662.18038,5311,6917,1,14851,99.92113,342,771,1236,1869,3570,0.63124,0.01767,0.03497,2.57674,121259,0.00554,0.11598,26614,26614,0.8403,0.49016,25528,0.47015,13411,0.24699,12465,0.22957,9550,0.17588,7473,0.13763,3978,0.07326,0.25562,,,,
/mnt/MMETSP_assemblies/MMETSP1462.cds.fa.fixed.fa,65057,150,15450,47252601,698.30106,10480,15807,32,32397,99.95613,363,831,1272,1827,3522,0.64643,0.04512,0.01674,2.26066,293846,0.00622,0.12844,55983,55983,0.86052,0.567,52148,0.52816,26854,0.27198,24853,0.25171,18947,0.1919,14583,0.1477,6696,0.06782,0.29837,,,,
/mnt/MMETSP_assemblies/MMETSP1399.cds.fa.fixed.fa,5638,150,36195,9575142,1695.11121,102,3836,19,5092,99.88677,954,1548,2181,3084,5271,0.49868,0.13759,0.15869,2.60461,10396,0.00109,0.26039,5497,5497,0.97499,0.64112,5296,0.61768,2596,0.30278,2297,0.2679,1643,0.19163,1214,0.14159,374,0.04362,0.27961,,,,
/mnt/MMETSP_assemblies/MMETSP1466.cds.fa.fixed.fa,16256,150,15456,13917777,833.55432,2107,4882,16,9431,99.91248,450,936,1377,2001,4395,0.6713,-0.02008,0.02781,2.22926,56953,0.00409,0.14163,14833,14833,0.91246,0.5428,14098,0.5159,7010,0.25652,6352,0.23244,4757,0.17408,3537,0.12943,1321,0.04834,0.27402,,,,
