Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR1300445,22-Jul-15,30-May-14,26275221,2627522100,26275221,100,1609,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300445,SRX554250,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621538,SAMN02740587,simple,342563,Fabrea salina,MMETSP1345,,,,,,,no,,,,,NCGR,SRA167331,,public,CAFD9FFA0873E9A659B618D822C67500,2B35A6706EE676FA0638FE5B3C414369
SRR1300446,22-Jul-15,30-May-14,11192891,1119289100,11192891,100,655,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300446,SRX554251,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621535,SAMN02740315,simple,265543,Minutocellus polymorphus,MMETSP1322,,,,,,,no,,,,,NCGR,SRA167331,,public,1D7A2A32524F3F893E6FB8746ACBDECD,4F0B8EC0273008CE37DA6CF4715E1194
SRR1300448,22-Jul-15,30-May-14,15768765,1576876500,15768765,100,933,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300448,SRX554253,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621537,SAMN02740206,simple,515479,Licmophora paradoxa,MMETSP1360,,,,,,,no,,,,,NCGR,SRA167331,,public,CE3228364FA4CFD0787BE6CF3A5AB164,5E17B680B1746000A3F5E7FC2B3E2364
SRR1300449,22-Jul-15,30-May-14,26489101,2648910100,26489101,100,1625,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300449,SRX554254,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621539,SAMN02740236,simple,210615,Staurosira,MMETSP1361,,,,,,,no,,,,,NCGR,SRA167331,,public,E1E8C167E51971E9D008CA30F25892C4,C621DABD99C395EE4CFB0533ED779B3F
SRR1300450,22-Jul-15,30-May-14,19930703,1993070300,19930703,100,1135,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300450,SRX554255,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621540,SAMN02740137,simple,163516,Leptocylindrus danicus,MMETSP1362,,,,,,,no,,,,,NCGR,SRA167331,,public,5B4DD6CAD1EB214B856FACDE5D815790,4663D45DC028F706E31669150D42724A
SRR1300451,22-Jul-15,30-May-14,13221196,1322119600,13221196,100,749,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300451,SRX554256,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621541,SAMN02740108,simple,33640,Asterionellopsis glacialis,MMETSP1394,,,,,,,no,,,,,NCGR,SRA167331,,public,0536E49E6C3A2267650DC47513FA6969,876D548CC2342C945DAB6034ACFAE9FA
SRR1300452,22-Jul-15,30-May-14,17181029,1718102900,17181029,100,1002,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300452,SRX554257,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621542,SAMN02740374,simple,476441,Pseudo-nitzschia heimii,MMETSP1423,,,,,,,no,,,,,NCGR,SRA167331,,public,9E4EF6C2D538277CCE47AACC2C200CA7,9C8D5B85BA859307D5486A135283138E
SRR1300453,22-Jul-15,30-May-14,21543470,2154347000,21543470,100,1248,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300453,SRX554258,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621543,SAMN02740064,simple,41875,Bathycoccus prasinos,MMETSP1399,,,,,,,no,,,,,NCGR,SRA167331,,public,CE63A24BF110EB493F3F93E964F69557,F21E1CE2E3E8D9B29731FCAACD47BB6C
SRR1300454,22-Jul-15,30-May-14,21328638,2132863800,21328638,100,1364,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300454,SRX554259,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621544,SAMN02740050,simple,38832,Micromonas,MMETSP1400,,,,,,,no,,,,,NCGR,SRA167331,,public,5236B122EC6A6C76C28DB430F5D925FA,8FC439F74FF250CB33DB681937863474
SRR1300459,22-Jul-15,30-May-14,17471807,1747180700,17471807,100,956,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300459,SRX554264,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621549,SAMN02740603,simple,5936,Moneuplotes crassus,MMETSP1380,,,,,,,no,,,,,NCGR,SRA167331,,public,7D388AF00E165C373E3A4A10567F7485,E6ACA6F679D543098F5F62BD461FC815
SRR1300460,22-Jul-15,30-May-14,23828999,2382899900,23828999,100,1464,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300460,SRX554265,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621550,SAMN02740377,simple,311385,Pseudokeronopsis,MMETSP1396,,,,,,,no,,,,,NCGR,SRA167331,,public,F0B8478283D253AEC64A305026109024,5456D063016205EF01312FF751597261
SRR1300462,22-Jul-15,30-May-14,20929170,2092917000,20929170,100,1173,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300462,SRX554267,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621552,SAMN02740609,simple,267567,Skeletonema marinoi,MMETSP1428,,,,,,,no,,,,,NCGR,SRA167331,,public,9EC0F903F251CFDD1372873FC3CB982D,C6515F64003984F21BEB471E958FB80E
SRR1300463,22-Jul-15,30-May-14,16951181,1695118100,16951181,100,950,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300463,SRX554268,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621553,SAMN02740610,simple,49240,Chaetoceros sp.,MMETSP1429,,,,,,,no,,,,,NCGR,SRA167331,,public,2ECC5CE89B7B8F145F8586162D94E1DD,DA10BA8FCADDB52E6CB82E7988224186
SRR1300464,22-Jul-15,30-May-14,13299930,1329993000,13299930,100,754,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300464,SRX554269,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621554,SAMN02740611,simple,44447,Pseudo-nitzschia delicatissima,MMETSP1432,,,,,,,no,,,,,NCGR,SRA167331,,public,5AD63EFEC6B1696DBF6BA57A6AA07B51,D20BA377C964AE9468E7D488376713C0
SRR1300465,22-Jul-15,30-May-14,30299389,6059877800,30299389,200,3664,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300465,SRX554270,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621555,SAMN02740099,simple,39448,Prorocentrum lima,MMETSP0252,,,,,,,no,,,,,NCGR,SRA167331,,public,CB6757C73892985DA3196B88CC508FEE,509043EFD12DB18EB6DD90AAA9E9C0D9
