assembly,n_seqs,smallest,largest,n_bases,mean_len,n_under_200,n_over_1k,n_over_10k,n_with_orf,mean_orf_percent,n90,n70,n50,n30,n10,gc,gc_skew,at_skew,cpg_ratio,bases_n,proportion_n,linguistic_complexity,CRBB_hits,n_contigs_with_CRBB,p_contigs_with_CRBB,rbh_per_reference,n_refs_with_CRBB,p_refs_with_CRBB,cov25,p_cov25,cov50,p_cov50,cov75,p_cov75,cov85,p_cov85,cov95,p_cov95,reference_coverage,score,optimal_score,cutoff,SampleName,Run
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP0950.nt.fa.fixed.fa,27471,150,14014,36172177,1304.78563,1907,15044,22,19072,74.3625,788,1312,1803,2514,4436,0.42895,0.00258,0.00327,1.55749,82930,0.00229,0.22387,25903,25903,0.94292,0.70035,18148,0.49067,10510,0.28416,9781,0.26445,8438,0.22814,7345,0.19859,3737,0.10104,0.40892,,,,MMETSP0950,MMETSP0950
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP0593.nt.fa.fixed.fa,17432,150,15424,20529477,1153.87316,2402,7650,1,10047,76.41846,713,1412,2101,2956,4605,0.45415,-0.00525,-0.00157,1.79191,29411,0.00143,0.20426,15075,15075,0.86479,0.60235,13946,0.55724,6838,0.27322,6369,0.25449,5394,0.21553,4589,0.18336,2241,0.08954,0.33171,,,,MMETSP0593,MMETSP0593
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP0470.nt.fa.fixed.fa,32594,150,12159,27907820,834.99037,3987,10612,3,17617,87.11969,448,969,1419,1943,3093,0.58459,-0.00907,0.00372,1.92548,68647,0.00246,0.15932,30224,30224,0.92729,0.50655,29247,0.49018,14319,0.23999,13664,0.22901,11489,0.19256,9600,0.1609,5066,0.08491,0.31231,,,,MMETSP0470,MMETSP0470
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP1362.nt.fa.fixed.fa,19105,150,17692,21081519,1078.58864,2749,8019,12,10202,74.36599,679,1285,1873,2723,4914,0.45018,-0.00494,7e-05,2.06129,51995,0.00247,0.19465,15896,15896,0.83203,0.60635,14817,0.56519,7328,0.27952,6883,0.26255,6073,0.23165,5429,0.20709,2940,0.11215,0.34667,,,,MMETSP1362,MMETSP1362
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP1315.nt.fa.fixed.fa,15102,150,15328,13090771,833.97861,2881,4461,8,7046,81.45647,430,1124,1763,2636,4879,0.67416,-0.00224,0.00058,2.43654,35518,0.00271,0.13558,12934,12934,0.85644,0.65755,12294,0.62501,6019,0.306,5751,0.29237,4705,0.2392,3801,0.19324,1739,0.08841,0.31663,,,,MMETSP1315,MMETSP1315
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP0494.nt.fa.fixed.fa,17944,150,15192,21300848,1162.68809,2533,7648,7,9657,69.12904,693,1438,2161,3153,5248,0.48966,-0.00542,-0.00359,1.96262,63884,0.003,0.20389,16075,16075,0.89584,0.51054,15011,0.47675,7265,0.23074,6776,0.21521,5672,0.18014,4860,0.15435,2736,0.0869,0.29925,,,,MMETSP0494,MMETSP0494
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP0820.nt.fa.fixed.fa,26124,150,13800,25889576,961.00857,4523,9842,14,12876,74.35398,566,1288,1850,2599,4442,0.63775,-0.00292,-0.00027,2.1592,121361,0.00469,0.16204,23196,23196,0.88792,0.5624,20762,0.50338,10040,0.24342,9094,0.22049,7262,0.17607,6142,0.14892,3458,0.08384,0.29732,,,,MMETSP0820,MMETSP0820
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP1386.nt.fa.fixed.fa,8793,150,20835,17004419,1920.2328,697,5494,64,6859,76.0855,1083,2096,3049,4347,7867,0.63654,-0.00104,0.00344,2.28003,10819,0.00064,0.26146,7970,7970,0.9064,0.67462,7744,0.65549,3808,0.32233,3698,0.31302,3349,0.28348,2975,0.25182,1684,0.14254,0.34473,,,,MMETSP1386,MMETSP1386
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP0147.nt.fa.fixed.fa,32593,150,11131,26682796,797.46762,4003,9291,1,17211,80.38254,431,880,1296,1874,3464,0.65442,-0.00646,0.00218,2.36904,126858,0.00475,0.13952,29417,29417,0.90256,0.39203,28099,0.37446,13225,0.17624,12349,0.16457,10613,0.14144,9673,0.12891,7642,0.10184,0.24352,,,,MMETSP0147,MMETSP0147
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP1166.nt.fa.fixed.fa,16897,150,15674,19770239,1155.20601,1445,7508,4,11080,80.51748,637,1262,1838,2654,4365,0.63305,-0.00233,0.00721,2.2131,500,3e-05,0.17942,15377,15377,0.91004,0.53221,13342,0.46177,6563,0.22715,5647,0.19545,4569,0.15814,3959,0.13702,2343,0.08109,0.2539,,,,MMETSP1166,MMETSP1166
