assembly,n_seqs,smallest,largest,n_bases,mean_len,n_under_200,n_over_1k,n_over_10k,n_with_orf,mean_orf_percent,n90,n70,n50,n30,n10,gc,gc_skew,at_skew,cpg_ratio,bases_n,proportion_n,linguistic_complexity,CRBB_hits,n_contigs_with_CRBB,p_contigs_with_CRBB,rbh_per_reference,n_refs_with_CRBB,p_refs_with_CRBB,cov25,p_cov25,cov50,p_cov50,cov75,p_cov75,cov85,p_cov85,cov95,p_cov95,reference_coverage,score,optimal_score,cutoff,SampleName,Run
/mnt/scratch/ljcohen/mmetsp/Fragilariopsis_kerguelensis/SRR1296820/trinity/Fragilariopsis_kerguelensis_SRR1296820.Trinity.fixed.fasta,45190,201,7353,30484433,674.5836,0,9067,0,13644,68.78362,276,572,1052,1656,2690,0.39984,0.01209,0.01398,1.84892,0,0.0,0.12799,31549,31549,0.69814,0.91425,22873,0.66283,12076,0.34995,10444,0.30265,8419,0.24397,7532,0.21827,6235,0.18068,0.39087,,,,MMETSP0909,SRR1296820
/mnt/scratch/ljcohen/mmetsp/Pleurochrysis_carterae/SRR1300349/trinity/Pleurochrysis_carterae_SRR1300349.Trinity.fixed.fasta,41714,201,9909,29450488,706.00968,0,9669,0,15368,73.10308,287,633,1128,1635,2494,0.58979,0.0089,0.00294,2.39853,0,0.0,0.1351,22449,22449,0.53816,0.8611,17783,0.68213,9069,0.34787,7886,0.30249,6608,0.25347,6048,0.23199,5240,0.201,0.28758,,,,MMETSP1138,SRR1300349
/mnt/scratch/ljcohen/mmetsp/Amphora_coffeiformis/SRR1296715/trinity/Amphora_coffeiformis_SRR1296715.Trinity.fixed.fasta,16962,201,8944,13657203,805.16466,0,4499,0,7889,84.03032,325,759,1276,1871,3165,0.49214,0.00633,0.00476,1.98931,0,0.0,0.15494,9512,9512,0.56078,0.83461,8249,0.72379,4270,0.37466,3992,0.35027,3575,0.31368,3361,0.2949,3064,0.26884,0.32689,,,,MMETSP0317,SRR1296715
/mnt/scratch/ljcohen/mmetsp/Peridinium_aciculiferum/SRR1294439/trinity/Peridinium_aciculiferum_SRR1294439.Trinity.fixed.fasta,100629,201,5930,62013692,616.26064,0,18236,0,43098,91.92579,270,521,889,1317,1967,0.61521,0.00845,0.00084,2.1151,0,0.0,0.12039,60399,60399,0.60021,0.93298,50639,0.78221,25936,0.40063,23903,0.36923,21072,0.3255,20018,0.30922,18750,0.28963,0.42,,,,MMETSP0370,SRR1294439
/mnt/scratch/ljcohen/mmetsp/Thalassiosira_weissflogii/SRR1300482/trinity/Thalassiosira_weissflogii_SRR1300482.Trinity.fixed.fasta,26626,201,10522,30936082,1161.87493,0,11431,4,15744,78.12117,510,1219,1846,2674,4232,0.46525,0.00849,0.00678,1.93472,0,0.0,0.20584,20288,20288,0.76196,1.06354,15124,0.79283,7883,0.41324,7289,0.3821,6380,0.33445,6009,0.315,5457,0.28607,0.44591,,,,MMETSP1412,SRR1300482
/mnt/scratch/ljcohen/mmetsp/Ostreococcus_lucimarinus/SRR1300254/trinity/Ostreococcus_lucimarinus_SRR1300254.Trinity.fixed.fasta,8302,201,15644,11720971,1411.82498,0,4301,5,6173,80.33619,703,1407,2115,3059,5031,0.5923,0.0023,0.00083,2.7924,0,0.0,0.21493,7127,7127,0.85847,0.89908,5702,0.71931,2903,0.36622,2629,0.33165,2294,0.28939,2136,0.26946,1736,0.219,0.31674,,,,MMETSP0939,SRR1300254
/mnt/scratch/ljcohen/mmetsp/Pelagococcus_subviridis/SRR1296945/trinity/Pelagococcus_subviridis_SRR1296945.Trinity.fixed.fasta,31975,201,16727,23593952,737.88747,0,6546,30,15242,83.89303,313,632,1051,1691,3482,0.65743,0.00401,0.00027,2.59923,0,0.0,0.12406,23592,23592,0.73783,1.05908,18105,0.81276,9339,0.41924,8422,0.37808,7201,0.32326,6659,0.29893,5809,0.26077,0.42005,,,,MMETSP0883,SRR1296945
/mnt/scratch/ljcohen/mmetsp/Karenia_brevis/SRR1296851/trinity/Karenia_brevis_SRR1296851.Trinity.fixed.fasta,151973,201,12709,92381743,607.8826,0,24362,3,58242,92.81109,261,482,873,1432,2487,0.53505,0.00848,0.00387,1.95676,0,0.0,0.12071,72255,72255,0.47545,0.88642,57620,0.70688,29618,0.36335,26492,0.325,22934,0.28135,21027,0.25796,18731,0.22979,0.3281,,,,MMETSP0527,SRR1296851
/mnt/scratch/ljcohen/mmetsp/Lingulodinium_polyedrum/SRR1300256/trinity/Lingulodinium_polyedrum_SRR1300256.Trinity.fixed.fasta,115880,201,7553,76885607,663.49333,0,23785,0,55975,94.44104,287,584,960,1398,2123,0.6756,0.00636,0.00283,2.10412,0,0.0,0.12022,77405,77405,0.66798,0.8863,63104,0.72255,32447,0.37152,29228,0.33467,25431,0.29119,23513,0.26923,20839,0.23861,0.33727,,,,MMETSP1033,SRR1300256
/mnt/scratch/ljcohen/mmetsp/Chaetoceros_affinis/SRR1294450/trinity/Chaetoceros_affinis_SRR1294450.Trinity.fixed.fasta,8404,201,3223,3958258,470.99691,0,508,0,2238,81.01465,249,377,568,784,1158,0.42708,0.0272,0.01473,1.71463,0,0.0,0.10021,7634,7634,0.90838,0.40518,6031,0.3201,2630,0.13959,1191,0.06321,547,0.02903,377,0.02001,203,0.01077,0.14118,,,,MMETSP0092,SRR1294450
/mnt/scratch/ljcohen/mmetsp/Symbiodinium_sp./SRR1300432/trinity/Symbiodinium_sp._SRR1300432.Trinity.fixed.fasta,73226,201,5844,48820583,666.71105,0,15398,0,33148,91.34703,282,594,990,1437,2185,0.54532,0.00742,0.00169,1.86875,0,0.0,0.13279,43490,43490,0.59391,1.00994,38449,0.89288,19574,0.45455,18582,0.43152,17253,0.40065,16849,0.39127,16361,0.37994,0.462,,,,MMETSP1374,SRR1300432
/mnt/scratch/ljcohen/mmetsp/Bolidomonas_pacifica/SRR1300363/trinity/Bolidomonas_pacifica_SRR1300363.Trinity.fixed.fasta,30591,201,11040,20780446,679.29934,0,6116,1,14569,90.25026,305,596,935,1365,2249,0.57778,0.01879,0.01783,1.84429,0,0.0,0.13136,22182,22182,0.72512,1.06542,18596,0.89318,9616,0.46186,9033,0.43386,8172,0.39251,7825,0.37584,7228,0.34717,0.4589,,,,MMETSP1319,SRR1300363
/mnt/scratch/ljcohen/mmetsp/Chrysoreinhardia/SRR1294438/trinity/Chrysoreinhardia_SRR1294438.Trinity.fixed.fasta,28893,201,13583,27597747,955.1707,0,9745,7,17621,79.71796,435,900,1358,2023,3527,0.62839,0.00284,0.00426,2.2138,0,0.0,0.15924,21917,21917,0.75856,1.29709,12545,0.74244,7025,0.41575,5847,0.34604,4553,0.26946,3991,0.2362,3279,0.19406,0.41074,,,,MMETSP1166,SRR1294438
/mnt/scratch/ljcohen/mmetsp/Crypthecodinium_cohnii/SRR1296960/trinity/Crypthecodinium_cohnii_SRR1296960.Trinity.fixed.fasta,39633,201,6085,18522190,467.34262,0,2721,0,8981,78.85089,246,369,547,802,1243,0.54467,0.00906,0.00673,1.88512,0,0.0,0.09821,29796,29796,0.7518,0.92477,27744,0.86108,13942,0.43271,13516,0.41949,12612,0.39143,12206,0.37883,11413,0.35422,0.43651,,,,MMETSP0323,SRR1296960
