,Complete,Fragmented,Missing,Total,Complete_BUSCO_perc
MMETSP0052,86,5,124,215,0.4
MMETSP1370,95,4,116,215,0.4418604651162791
MMETSP0941,118,4,93,215,0.5488372093023256
MMETSP0574,116,2,97,215,0.5395348837209303
MMETSP0167,56,2,157,215,0.26046511627906976
MMETSP0164,102,1,112,215,0.4744186046511628
MMETSP0942,43,1,171,215,0.2
MMETSP0699,81,2,132,215,0.3767441860465116
MMETSP0718,35,3,177,215,0.16279069767441862
MMETSP0057,99,4,112,215,0.4604651162790698
MMETSP0944,93,5,117,215,0.4325581395348837
MMETSP1439,82,2,131,215,0.3813953488372093
MMETSP0947,132,2,81,215,0.6139534883720931
MMETSP0161,105,4,106,215,0.4883720930232558
MMETSP0308,169,4,42,215,0.786046511627907
MMETSP1098,119,3,93,215,0.5534883720930233
MMETSP0447,153,4,58,215,0.7116279069767442
MMETSP1435,26,0,189,215,0.12093023255813953
MMETSP0717,24,1,190,215,0.11162790697674418
MMETSP0058,118,3,94,215,0.5488372093023256
MMETSP1094,89,6,120,215,0.413953488372093
MMETSP1097,11,0,204,215,0.05116279069767442
MMETSP0448,100,4,111,215,0.46511627906976744
MMETSP0693,19,2,194,215,0.08837209302325581
MMETSP1110,117,4,94,215,0.5441860465116279
MMETSP0232,0,0,215,215,0.0
MMETSP1436,53,6,156,215,0.24651162790697675
MMETSP0948,131,4,80,215,0.6093023255813953
MMETSP0234,54,0,161,215,0.25116279069767444
MMETSP0168,139,2,74,215,0.6465116279069767
MMETSP1091,52,1,162,215,0.24186046511627907
MMETSP1116,96,4,115,215,0.44651162790697674
MMETSP0286,48,3,164,215,0.22325581395348837
MMETSP0696,59,2,154,215,0.2744186046511628
MMETSP0878,94,4,117,215,0.4372093023255814
MMETSP1115,108,4,103,215,0.5023255813953489
MMETSP1433,143,1,71,215,0.6651162790697674
MMETSP0578,59,0,156,215,0.2744186046511628
MMETSP0100,98,2,115,215,0.4558139534883721
MMETSP0087,141,2,72,215,0.6558139534883721
MMETSP1317,11,0,204,215,0.05116279069767442
MMETSP0494,78,0,137,215,0.3627906976744186
MMETSP0369,113,5,97,215,0.5255813953488372
MMETSP0994,78,5,132,215,0.3627906976744186
MMETSP0810,70,0,145,215,0.32558139534883723
MMETSP0997,70,6,139,215,0.32558139534883723
MMETSP0925,16,1,198,215,0.07441860465116279
MMETSP1048,80,4,131,215,0.37209302325581395
MMETSP0103,105,1,109,215,0.4883720930232558
MMETSP0923,17,2,196,215,0.07906976744186046
MMETSP1312,106,4,105,215,0.4930232558139535
MMETSP0491,94,10,111,215,0.4372093023255814
MMETSP0105,107,3,105,215,0.49767441860465117
MMETSP0259,119,4,92,215,0.5534883720930233
MMETSP0816,57,1,157,215,0.2651162790697674
MMETSP0030,116,2,97,215,0.5395348837209303
MMETSP0991,87,2,126,215,0.4046511627906977
MMETSP0420,83,2,130,215,0.386046511627907
MMETSP0033,110,6,99,215,0.5116279069767442
MMETSP0992,73,4,138,215,0.3395348837209302
MMETSP1178,66,1,148,215,0.30697674418604654
MMETSP0815,98,3,114,215,0.4558139534883721
MMETSP0106,109,4,102,215,0.5069767441860465
MMETSP0649,103,2,110,215,0.4790697674418605
MMETSP0920,54,2,159,215,0.25116279069767444
MMETSP1311,59,1,155,215,0.2744186046511628
MMETSP0492,48,4,163,215,0.22325581395348837
MMETSP1174,119,1,95,215,0.5534883720930233
MMETSP0819,107,4,104,215,0.49767441860465117
MMETSP1452,68,4,143,215,0.31627906976744186
MMETSP1041,88,5,122,215,0.40930232558139534
MMETSP1451,158,3,54,215,0.7348837209302326
MMETSP1042,82,5,128,215,0.3813953488372093
MMETSP0109,113,4,98,215,0.5255813953488372
MMETSP1177,127,4,84,215,0.5906976744186047
MMETSP0360,119,3,93,215,0.5534883720930233
MMETSP1171,54,0,161,215,0.25116279069767444
MMETSP0088,18,2,195,215,0.08372093023255814
MMETSP1318,98,2,115,215,0.4558139534883721
MMETSP0929,116,1,98,215,0.5395348837209303
MMETSP0253,126,0,89,215,0.586046511627907
MMETSP1047,113,3,99,215,0.5255813953488372
MMETSP0998,88,1,126,215,0.40930232558139534
MMETSP0039,99,2,114,215,0.4604651162790698
MMETSP1172,67,2,146,215,0.3116279069767442
MMETSP0118,125,1,89,215,0.5813953488372093
MMETSP1440,88,3,124,215,0.40930232558139534
MMETSP0371,115,4,96,215,0.5348837209302325
MMETSP1166,84,1,130,215,0.39069767441860465
MMETSP1165,88,3,124,215,0.40930232558139534
