SampleName	Unique_kmers
MMETSP0896	3013812
MMETSP0472	18654337
MMETSP0378	11445573
MMETSP0320	11595084
MMETSP0228	45605742
MMETSP0198	6701845
MMETSP0093	46411816
MMETSP1335	9483963
MMETSP0111	13768110
MMETSP0745	6868783
MMETSP0965	9868070
MMETSP0196	1430197
MMETSP1008	12461053
MMETSP1436	18319315
MMETSP0109	13580525
MMETSP0104	9603011
MMETSP0648	42001587
MMETSP1152	12576631
MMETSP0099	6613643
MMETSP0171	18453861
MMETSP0988	21763415
MMETSP1324	17592345
MMETSP1472	5119738
MMETSP1043	16742202
MMETSP1359	11031676
MMETSP0494	14222001
MMETSP1395	5830379
MMETSP0409	3870316
MMETSP0259	39325852
MMETSP1338	44041452
MMETSP1127	18753534
MMETSP1162	12055802
MMETSP0563	15793401
MMETSP1352	11662488
MMETSP1161	6745996
MMETSP1160	13569746
MMETSP1155	14471000
MMETSP0991	15746600
MMETSP1405	19362538
MMETSP0604	13538852
MMETSP1408	21414519
MMETSP1081	13165398
MMETSP0717	10389286
MMETSP0932	8763240
MMETSP1012	17676966
MMETSP0880	21524707
MMETSP1117	18502052
MMETSP0141	12469054
MMETSP0993	29785192
MMETSP1400	13207850
MMETSP0173	10715137
MMETSP0007	6672958
MMETSP0234	3821568
MMETSP1333	22949595
MMETSP0955	6144126
MMETSP0120	53808270
MMETSP1147	57297
MMETSP1434	5686209
MMETSP0448	39183310
MMETSP0313	10400553
MMETSP0898	21657484
MMETSP0986	21412624
MMETSP1452	10750877
MMETSP1038	51791124
MMETSP0468	23005652
MMETSP0998	17226083
MMETSP0147	21057304
MMETSP0324	33741557
MMETSP0469	37526755
MMETSP1169	14946656
MMETSP0698	14355305
MMETSP0105	16283751
MMETSP0216	10324094
MMETSP1399	10769575
MMETSP1094	24455566
MMETSP1067	22076359
MMETSP1131	2958351
MMETSP0706	6305508
MMETSP0108	14830810
MMETSP0811	13076957
MMETSP1074	51841480
MMETSP1441	26293822
MMETSP1137	6011130
MMETSP1106	15471214
MMETSP0881	21377265
MMETSP0419	10299217
MMETSP0753	14512256
MMETSP0892	9907385
MMETSP0367	38844622
MMETSP1424	17714194
MMETSP0697	14537473
MMETSP1095	4129984
MMETSP0047	16754329
MMETSP0096	46999834
MMETSP1410	21011734
MMETSP1103	18545464
MMETSP0909	12381111
MMETSP1439	20261964
MMETSP0267	31571586
MMETSP0739	16514377
MMETSP1062	12010785
MMETSP0574	65254582
MMETSP0992	11335373
MMETSP1052	16844310
MMETSP0899	19935821
MMETSP1063	12124478
MMETSP0447	15922583
MMETSP0938	7275730
MMETSP0807	6519399
MMETSP0942	10448084
MMETSP0149	16314999
MMETSP1015	30780752
MMETSP0796	57520440
MMETSP1422	20928978
MMETSP1387	14564934
MMETSP1105	9668177
MMETSP0740	7955412
MMETSP0056	48814364
MMETSP0780	8646825
MMETSP1371	24321887
MMETSP0888	17997762
MMETSP0886	11719666
MMETSP0718	2970329
MMETSP0295	7635401
MMETSP0449	6072584
MMETSP0911	10113918
MMETSP0042	11026263
MMETSP0990	9665325
MMETSP0118	40986461
MMETSP1466	14379847
MMETSP1394	15174781
MMETSP0005	8874387
MMETSP1384	24420824
MMETSP0984	20752529
MMETSP0113	13458714
MMETSP1364	23738966
MMETSP0727	10044038
MMETSP0201	52380120
MMETSP0785	13906392
MMETSP1142	14525658
MMETSP0043	20930649
MMETSP1411	17408155
MMETSP1154	13808844
MMETSP1176	11476608
MMETSP0895	3977746
MMETSP0803	14732460
MMETSP0797	28585643
MMETSP0369	46288889
MMETSP0380	11445573
MMETSP1148	15928
MMETSP0734	15229438
MMETSP0011	8659798
MMETSP0119	34885034
MMETSP1353	7805163
MMETSP0010	9639736
MMETSP0906	18643282
MMETSP0269	36387739
MMETSP0930	6805540
MMETSP1392	17742968
MMETSP1363	24186499
MMETSP0095	50663417
MMETSP0912	11804455
MMETSP0168	17723176
MMETSP0328	4564716
MMETSP1443	6069397
MMETSP0103	11765427
MMETSP1356	14282439
MMETSP0150	19209775
MMETSP0580	11516638
MMETSP0884	15905837
MMETSP0319	14003707
MMETSP1080	13052649
MMETSP1116	20458046
MMETSP1330	9181043
MMETSP0786	12011611
MMETSP0015	13897791
MMETSP1406	17569943
MMETSP1140	11871622
MMETSP0258	37381827
MMETSP1138	8560632
MMETSP1058	23079918
MMETSP0318	7365402
MMETSP1460	6708018
MMETSP0209	14411468
MMETSP0145	16851980
MMETSP1444	12125693
MMETSP0044	62526
MMETSP1391	14176879
MMETSP1126	11314499
MMETSP1065	16472879
MMETSP1166	14288666
MMETSP1446	6224658
MMETSP0202	38076823
MMETSP0316	5313264
MMETSP0167	9965637
MMETSP0058	17948011
MMETSP0997	16636484
MMETSP0816	10684857
MMETSP1336	13774138
MMETSP1071	13070871
MMETSP0972	9958050
MMETSP0815	10683115
MMETSP0055	38806287
MMETSP1089	19695426
MMETSP0359	71242705
MMETSP0961	15053945
MMETSP0029	66432810
MMETSP1175	12253741
MMETSP0733	13440802
MMETSP1054	17003918
MMETSP0944	18806452
MMETSP0091	9066730
MMETSP1445	13928281
MMETSP0747	5979321
MMETSP0451	257826
MMETSP0802	12403763
MMETSP0296	13232740
MMETSP0014	23866479
MMETSP1355	15969140
MMETSP0200	10188076
MMETSP1345	9200161
MMETSP0410	5153379
MMETSP1385	20367908
MMETSP0995	15280185
MMETSP1357	17314257
MMETSP0413	5049491
MMETSP1320	14487094
MMETSP0752	9906885
MMETSP1473	11814563
MMETSP0795	13489649
MMETSP1096	21515873
MMETSP0595	17010170
MMETSP0689	40188216
MMETSP0107	11134131
MMETSP0127	8023017
MMETSP0463	3113857
MMETSP0751	7699406
MMETSP1174	18353089
MMETSP0370	43865812
MMETSP0959	12087302
MMETSP1059	17669023
MMETSP1407	19648925
MMETSP0382	63420686
MMETSP0053	34065931
MMETSP0252	77421
MMETSP1374	29625865
MMETSP1463	9437529
MMETSP0904	16497760
MMETSP1102	12874021
MMETSP1334	21121209
MMETSP1388	27334279
MMETSP1354	5567223
MMETSP0578	12075053
MMETSP0114	16000330
MMETSP0913	8567067
MMETSP1060	14815165
MMETSP1156	13611904
MMETSP0117	20062838
MMETSP1068	27796565
MMETSP0889	14471399
MMETSP0199	10857145
MMETSP1180	6713975
MMETSP1393	7145631
MMETSP0484	20662836
MMETSP1123	14910667
MMETSP1075	54362467
MMETSP0800	9099039
MMETSP1125	24411680
MMETSP1339	7067037
MMETSP1328	13490603
MMETSP0253	34730976
MMETSP1347	5267993
MMETSP0156	16244231
MMETSP1036	46681796
MMETSP0164	16853425
MMETSP1327	12045831
MMETSP1329	11955007
MMETSP0092	7123883
MMETSP1369	33149899
MMETSP0726	8074168
MMETSP1157	15244642
MMETSP0110	11687445
MMETSP1037	48920640
MMETSP0851	33517227
MMETSP0719	2214698
MMETSP0962	2966296
MMETSP1143	14841446
MMETSP1002	8838085
MMETSP1049	17215713
MMETSP0125	3837680
MMETSP1475	10283057
MMETSP1064	12836198
MMETSP1167	13070871
MMETSP1159	3546521
MMETSP1128	15917426
MMETSP1417	21147334
MMETSP0744	8539022
MMETSP1366	26687306
MMETSP1035	56100489
MMETSP0287	15991545
MMETSP1469	9819739
MMETSP0759	13616736
MMETSP0205	2953374
MMETSP0090	12912915
MMETSP0158	16456334
MMETSP1346	8512818
MMETSP1311	5492877
MMETSP0087	23601471
MMETSP1163	15256619
MMETSP0882	17628625
MMETSP0527	47645481
MMETSP0812	10738840
MMETSP0270	66132110
MMETSP0996	14605915
MMETSP0327	9943453
MMETSP0227	12488434
MMETSP1129	12581561
MMETSP0994	14550787
MMETSP0008	11925639
MMETSP0315	8487095
MMETSP0885	16604345
MMETSP1413	19032652
MMETSP0360	42751045
MMETSP1390	12784449
MMETSP0696	15258247
MMETSP0649	45754991
MMETSP0693	2102353
MMETSP0151	13691647
MMETSP0384	58495907
MMETSP0503	22374856
MMETSP1432	10965497
MMETSP0121	31922723
MMETSP0562	7641057
MMETSP1104	12748597
MMETSP0317	4516494
MMETSP0817	18911142
MMETSP1122	30854340
MMETSP1348	8170381
MMETSP1403	12339926
MMETSP1164	14826896
MMETSP1468	12232823
MMETSP1389	9795095
MMETSP0325	41637453
MMETSP1141	13233185
MMETSP1165	10943563
MMETSP1322	13832768
MMETSP0974	18980745
MMETSP0057	41315903
MMETSP0960	13074348
MMETSP1171	8631664
MMETSP0206	4288345
MMETSP0166	6303941
MMETSP0766	44027892
MMETSP0224	27356029
MMETSP1462	43708565
MMETSP0977	18913188
MMETSP0191	3843983
MMETSP1415	18785339
MMETSP0288	16729737
MMETSP0403	11252335
MMETSP1429	7628309
MMETSP0736	13745250
MMETSP1097	2988751
MMETSP1039	8516505
MMETSP0973	21905339
MMETSP0661	31665655
MMETSP0210	261091
MMETSP1009	9022160
MMETSP0211	8777323
MMETSP1377	23940585
MMETSP1124	15236520
MMETSP0142	15907124
MMETSP1471	6804892
MMETSP0143	32228842
MMETSP0933	9098197
MMETSP1001	15731953
MMETSP0987	21722538
MMETSP0916	12159051
MMETSP1464	12767016
MMETSP0798	5861667
MMETSP1358	19936200
MMETSP1041	15903264
MMETSP0910	16260016
MMETSP0573	50212978
MMETSP0160	12150046
MMETSP0593	16999140
MMETSP0794	18070130
MMETSP0705	6942025
MMETSP1361	16815947
MMETSP1178	10712947
MMETSP0233	3743565
MMETSP1101	21590298
MMETSP0102	8701766
MMETSP1177	11496415
MMETSP0268	39665517
MMETSP1110	46883556
MMETSP0493	13794433
MMETSP1173	15984070
MMETSP0929	8466993
MMETSP0699	12834941
MMETSP0754	10162930
MMETSP0948	8259969
MMETSP1085	9853249
MMETSP0852	11718094
MMETSP1144	14276735
MMETSP0152	14645491
MMETSP0878	21950046
MMETSP1409	20266672
MMETSP0983	20458312
MMETSP0901	20173097
MMETSP0100	8478312
MMETSP0235	2252245
MMETSP0784	54646716
MMETSP1136	11393177
MMETSP1098	19385925
MMETSP0417	17156000
MMETSP1412	21154160
MMETSP1047	22880490
MMETSP1365	25583039
MMETSP0936	7311988
MMETSP1360	12584782
MMETSP0939	8120857
MMETSP1404	11747150
MMETSP0161	17538890
MMETSP1442	7943239
MMETSP1459	9183509
MMETSP0893	8899291
MMETSP1362	15640128
MMETSP0467	22508535
MMETSP1402	9004032
MMETSP1139	12996982
MMETSP0492	8257627
MMETSP1418	22866520
MMETSP1447	12141793
MMETSP1423	16555410
MMETSP1419	25074070
MMETSP1435	1916446
MMETSP0946	3583625
MMETSP0943	17113814
MMETSP0006	9558658
MMETSP0123	7264707
MMETSP0890	11137600
MMETSP0321	11727530
MMETSP0308	16555933
MMETSP0491	8461891
MMETSP1040	7951471
MMETSP1414	20982583
MMETSP0017	16888168
MMETSP0272	55029028
MMETSP0799	20170511
MMETSP0900	22580270
MMETSP0169	19044174
MMETSP1151	9596449
MMETSP0098	13596725
MMETSP1349	5471172
MMETSP1083	8937724
MMETSP1449	13594023
MMETSP0922	1404131
MMETSP0789	9689618
MMETSP0368	40461399
MMETSP0985	18364017
MMETSP0290	15475171
MMETSP0372	2065426
