,Complete,Fragmented,Missing,Total,Complete_BUSCO_perc
MMETSP1403,117,0,98,215,0.5441860465116279
MMETSP0292,92,7,116,215,0.42790697674418604
MMETSP1316,51,2,162,215,0.2372093023255814
MMETSP1042,84,4,127,215,0.39069767441860465
MMETSP0228,106,4,105,215,0.4930232558139535
MMETSP0944,96,2,117,215,0.44651162790697674
MMETSP0372,45,0,170,215,0.20930232558139536
MMETSP1355,50,3,162,215,0.23255813953488372
MMETSP0038,96,3,116,215,0.44651162790697674
MMETSP1001,93,2,120,215,0.4325581395348837
MMETSP0800,77,4,134,215,0.3581395348837209
MMETSP0733,110,1,104,215,0.5116279069767442
MMETSP1440,102,2,111,215,0.4744186046511628
MMETSP0467,113,4,98,215,0.5255813953488372
MMETSP0789,120,1,94,215,0.5581395348837209
MMETSP0907,112,1,102,215,0.5209302325581395
MMETSP0797,115,2,98,215,0.5348837209302325
MMETSP1106,113,3,99,215,0.5255813953488372
MMETSP0121,108,5,102,215,0.5023255813953489
MMETSP0047,120,4,91,215,0.5581395348837209
MMETSP0059,134,4,77,215,0.6232558139534884
MMETSP1060,122,1,92,215,0.5674418604651162
MMETSP0313,61,1,153,215,0.2837209302325581
MMETSP1334,113,4,98,215,0.5255813953488372
MMETSP0418,66,2,147,215,0.30697674418604654
MMETSP1421,112,4,99,215,0.5209302325581395
MMETSP0752,126,2,87,215,0.586046511627907
MMETSP1167,113,2,100,215,0.5255813953488372
MMETSP0140,112,0,103,215,0.5209302325581395
MMETSP1390,112,1,102,215,0.5209302325581395
MMETSP1462,106,4,105,215,0.4930232558139535
MMETSP0004,111,1,103,215,0.5162790697674419
MMETSP1180,101,1,113,215,0.4697674418604651
MMETSP1369,107,3,105,215,0.49767441860465117
MMETSP1377,71,3,141,215,0.3302325581395349
MMETSP1124,79,4,132,215,0.3674418604651163
MMETSP0103,106,1,108,215,0.4930232558139535
MMETSP0925,0,0,215,215,0.0
MMETSP0898,106,3,106,215,0.4930232558139535
MMETSP0886,81,5,129,215,0.3767441860465116
MMETSP0790,112,4,99,215,0.5209302325581395
MMETSP0900,108,2,105,215,0.5023255813953489
MMETSP0126,116,1,98,215,0.5395348837209303
MMETSP1101,96,1,118,215,0.44651162790697674
MMETSP0272,118,5,92,215,0.5488372093023256
MMETSP1006,66,3,146,215,0.30697674418604654
MMETSP1018,19,1,195,215,0.08837209302325581
MMETSP1352,95,0,120,215,0.4418604651162791
MMETSP1459,44,2,169,215,0.20465116279069767
MMETSP1447,80,5,130,215,0.37209302325581395
MMETSP0734,107,1,107,215,0.49767441860465117
MMETSP0807,140,1,74,215,0.6511627906976745
MMETSP0689,125,2,88,215,0.5813953488372093
MMETSP0697,136,1,78,215,0.6325581395348837
MMETSP0819,126,5,84,215,0.586046511627907
MMETSP1142,117,1,97,215,0.5441860465116279
MMETSP0943,99,5,111,215,0.4604651162790698
MMETSP1404,119,0,96,215,0.5534883720930233
MMETSP0580,113,1,101,215,0.5255813953488372
MMETSP0328,31,2,182,215,0.14418604651162792
MMETSP0295,89,4,122,215,0.413953488372093
MMETSP1311,62,0,153,215,0.28837209302325584
MMETSP1080,118,1,96,215,0.5488372093023256
MMETSP0104,110,1,104,215,0.5116279069767442
MMETSP1123,82,1,132,215,0.3813953488372093
MMETSP0881,114,5,96,215,0.5302325581395348
MMETSP0922,1,0,214,215,0.004651162790697674
MMETSP0998,89,3,123,215,0.413953488372093
MMETSP0716,0,0,215,215,0.0
MMETSP0708,52,3,160,215,0.24186046511627907
MMETSP0986,123,3,89,215,0.5720930232558139
MMETSP1465,58,3,154,215,0.26976744186046514
MMETSP1370,90,2,123,215,0.4186046511627907
MMETSP0961,122,2,91,215,0.5674418604651162
MMETSP0213,40,1,174,215,0.18604651162790697
MMETSP1397,97,0,118,215,0.4511627906976744
MMETSP1389,63,1,151,215,0.2930232558139535
MMETSP0147,99,1,115,215,0.4604651162790698
MMETSP1160,115,3,97,215,0.5348837209302325
MMETSP1333,118,2,95,215,0.5488372093023256
MMETSP0314,51,5,159,215,0.2372093023255814
MMETSP1067,105,4,106,215,0.4883720930232558
MMETSP0040,82,1,132,215,0.3813953488372093
MMETSP0878,110,3,102,215,0.5116279069767442
MMETSP1438,85,1,129,215,0.3953488372093023
MMETSP1426,115,0,100,215,0.5348837209302325
MMETSP1367,122,3,90,215,0.5674418604651162
MMETSP0014,131,2,82,215,0.6093023255813953
MMETSP1033,119,4,92,215,0.5534883720930233
MMETSP0991,105,1,109,215,0.4883720930232558
MMETSP1472,27,1,187,215,0.12558139534883722
MMETSP0888,88,3,124,215,0.40930232558139534
MMETSP0896,51,6,158,215,0.2372093023255814
MMETSP0259,121,2,92,215,0.5627906976744186
MMETSP1089,171,2,42,215,0.7953488372093023
MMETSP0113,85,3,127,215,0.3953488372093023
MMETSP1097,12,2,201,215,0.05581395348837209
MMETSP0416,88,3,124,215,0.40930232558139534
MMETSP1324,74,3,138,215,0.34418604651162793
MMETSP0057,104,5,106,215,0.48372093023255813
MMETSP1070,127,2,86,215,0.5906976744186047
MMETSP1380,53,0,162,215,0.24651162790697675
MMETSP1177,131,5,79,215,0.6093023255813953
MMETSP1169,124,5,86,215,0.5767441860465117
MMETSP0150,125,1,89,215,0.5813953488372093
MMETSP0976,113,2,100,215,0.5255813953488372
MMETSP1450,89,2,124,215,0.413953488372093
MMETSP0469,125,0,90,215,0.5813953488372093
MMETSP0810,70,2,143,215,0.32558139534883723
MMETSP1345,87,5,123,215,0.4046511627906977
MMETSP1116,95,3,117,215,0.4418604651162791
MMETSP0092,52,4,159,215,0.24186046511627907
MMETSP0917,84,6,125,215,0.39069767441860465
MMETSP0799,117,0,98,215,0.5441860465116279
MMETSP0909,62,3,150,215,0.28837209302325584
MMETSP1052,107,4,104,215,0.49767441860465117
MMETSP1318,99,2,114,215,0.4604651162790698
MMETSP0321,117,1,97,215,0.5441860465116279
MMETSP1413,96,4,115,215,0.44651162790697674
MMETSP0434,62,1,152,215,0.28837209302325584
MMETSP0853,70,2,143,215,0.32558139534883723
MMETSP0954,120,1,94,215,0.5581395348837209
MMETSP1155,108,3,104,215,0.5023255813953489
MMETSP1170,41,2,172,215,0.19069767441860466
MMETSP0149,120,1,94,215,0.5581395348837209
MMETSP1387,124,1,90,215,0.5767441860465117
MMETSP1399,83,2,130,215,0.386046511627907
MMETSP0971,114,2,99,215,0.5302325581395348
MMETSP1428,107,2,106,215,0.49767441860465117
MMETSP0411,64,5,146,215,0.29767441860465116
MMETSP1436,52,4,159,215,0.24186046511627907
MMETSP0745,81,5,129,215,0.3767441860465116
MMETSP1323,56,3,156,215,0.26046511627906976
MMETSP0891,103,2,110,215,0.4790697674418605
MMETSP0932,109,2,104,215,0.5069767441860465
MMETSP0114,85,1,129,215,0.3953488372093023
MMETSP1090,77,7,131,215,0.3581395348837209
MMETSP1034,111,3,101,215,0.5162790697674419
MMETSP0013,123,2,90,215,0.5720930232558139
MMETSP1360,78,4,133,215,0.3627906976744186
MMETSP0359,140,3,72,215,0.6511627906976745
MMETSP0347,2,0,213,215,0.009302325581395349
MMETSP0452,0,0,215,215,0.0
MMETSP1475,113,0,102,215,0.5255813953488372
MMETSP0706,53,0,162,215,0.24651162790697675
MMETSP0988,121,2,92,215,0.5627906976744186
MMETSP0996,77,3,135,215,0.3581395348837209
MMETSP0718,31,1,183,215,0.14418604651162792
MMETSP0382,131,5,79,215,0.6093023255813953
MMETSP1152,113,2,100,215,0.5255813953488372
MMETSP0326,45,3,167,215,0.20930232558139536
MMETSP1055,94,5,116,215,0.4372093023255814
MMETSP1414,106,5,104,215,0.4930232558139535
MMETSP0095,121,3,91,215,0.5627906976744186
MMETSP0780,96,3,116,215,0.44651162790697674
MMETSP0910,87,6,122,215,0.4046511627906977
MMETSP0699,99,0,116,215,0.4604651162790698
MMETSP0817,120,6,89,215,0.5581395348837209
MMETSP0724,106,1,108,215,0.4930232558139535
MMETSP0809,55,1,159,215,0.2558139534883721
MMETSP1449,88,2,125,215,0.40930232558139534
MMETSP0470,107,0,108,215,0.49767441860465117
MMETSP1016,97,3,115,215,0.4511627906976744
MMETSP1008,70,5,140,215,0.32558139534883723
MMETSP0031,102,1,112,215,0.4744186046511628
MMETSP0369,118,5,92,215,0.5488372093023256
MMETSP1445,132,2,81,215,0.6139534883720931
MMETSP0736,109,1,105,215,0.5069767441860465
MMETSP0902,105,4,106,215,0.4883720930232558
MMETSP0087,140,2,73,215,0.6511627906976745
MMETSP1103,151,2,62,215,0.7023255813953488
MMETSP0099,75,2,138,215,0.3488372093023256
MMETSP0270,121,4,90,215,0.5627906976744186
MMETSP1406,101,5,109,215,0.4697674418604651
MMETSP1418,113,4,98,215,0.5255813953488372
MMETSP1059,120,2,93,215,0.5581395348837209
MMETSP1047,115,1,99,215,0.5348837209302325
MMETSP1140,90,1,124,215,0.4186046511627907
MMETSP0167,53,3,159,215,0.24651162790697675
MMETSP0233,48,0,167,215,0.22325581395348837
MMETSP0941,124,3,88,215,0.5767441860465117
MMETSP0984,129,4,82,215,0.6
MMETSP1467,83,1,131,215,0.386046511627907
MMETSP1038,116,2,97,215,0.5395348837209303
MMETSP0252,2,0,213,215,0.009302325581395349
MMETSP0118,129,2,84,215,0.6
MMETSP1082,120,0,95,215,0.5581395348837209
MMETSP0106,115,2,98,215,0.5348837209302325
MMETSP0920,66,1,148,215,0.30697674418604654
MMETSP0883,81,3,131,215,0.3767441860465116
MMETSP0316,37,0,178,215,0.17209302325581396
MMETSP0308,163,5,47,215,0.7581395348837209
MMETSP0042,121,5,89,215,0.5627906976744186
MMETSP1065,96,3,116,215,0.44651162790697674
MMETSP1424,89,1,125,215,0.413953488372093
MMETSP0403,104,5,106,215,0.48372093023255813
MMETSP0963,64,2,149,215,0.29767441860465116
MMETSP0211,52,0,163,215,0.24186046511627907
MMETSP1395,81,2,132,215,0.3767441860465116
MMETSP1162,76,3,136,215,0.35348837209302325
MMETSP0145,78,1,136,215,0.3627906976744186
MMETSP0234,51,0,164,215,0.2372093023255814
MMETSP0397,58,1,156,215,0.26976744186046514
MMETSP1159,91,1,123,215,0.4232558139534884
MMETSP0160,91,3,121,215,0.4232558139534884
MMETSP1147,0,0,215,215,0.0
