assembly,n_seqs,smallest,largest,n_bases,mean_len,n_under_200,n_over_1k,n_over_10k,n_with_orf,mean_orf_percent,n90,n70,n50,n30,n10,gc,gc_skew,at_skew,cpg_ratio,bases_n,proportion_n,linguistic_complexity,CRBB_hits,n_contigs_with_CRBB,p_contigs_with_CRBB,rbh_per_reference,n_refs_with_CRBB,p_refs_with_CRBB,cov25,p_cov25,cov50,p_cov50,cov75,p_cov75,cov85,p_cov85,cov95,p_cov95,reference_coverage,score,optimal_score,cutoff,SampleName,Run
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0271.cds.fa.fixed.fa,98222,148,18788,107570555,1078.08889,9728,41513,101,67179,92.40997,613,1176,1685,2375,4316,0.59754,0.05864,0.021159999999999998,2.06377,240208,0.00223,0.18689,87210,87210,0.88789,0.56926,62949,0.4109,32544,0.21243,29983,0.19571,23623,0.1542,18339,0.11971,8213,0.053610000000000005,0.28928000000000004,,,,MMETSP0271,MMETSP0271
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1366.cds.fa.fixed.fa,33518,148,12091,28337311,820.20362,4926,10353,2,19499,91.59274,476,947,1379,1967,3549,0.69434,-0.0024,-0.0087,2.36688,50606,0.00179,0.13468,30376,30376,0.9062600000000001,0.5815899999999999,28075,0.53754,14437,0.27642,13266,0.254,9749,0.18666,6855,0.13125,2566,0.04913,0.27066999999999997,,,,MMETSP1366,MMETSP1366
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1103.cds.fa.fixed.fa,13802,148,12312,20106581,1450.56782,493,7658,12,11453,97.10911,792,1368,2026,3037,5235,0.45866999999999997,0.08797,0.027989999999999998,1.8026400000000002,35677,0.0017699999999999999,0.25508000000000003,13514,13514,0.97913,0.5005,13276,0.49168999999999996,7323,0.27121,6890,0.25518,5045,0.18684,3101,0.11485,704,0.02607,0.33046,,,,MMETSP1103,MMETSP1103
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0014.cds.fa.fixed.fa,43045,51,15972,72401610,1674.00713,2186,28182,68,36808,94.45761999999999,975,1666,2314,3165,4977,0.48482,0.0348,0.09925,1.88862,344359,0.00476,0.26694,40949,40949,0.95131,0.64951,22079,0.3502,11099,0.17605,8565,0.13585,5081,0.08059,3088,0.04898,861,0.01366,0.19565,,,,MMETSP0014,MMETSP0014
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0916.cds.fa.fixed.fa,21195,148,23038,15050963,686.34433,2910,4562,8,10897,96.27783000000001,365,731,1144,1737,3518,0.69317,-0.00851,0.04915,2.52104,17030,0.0011300000000000001,0.1123,19606,19606,0.9250299999999999,0.5990800000000001,18640,0.5695600000000001,9269,0.28321999999999997,8619,0.26336,6110,0.1867,4099,0.12525,1207,0.03688,0.26245999999999997,,,,MMETSP0916,MMETSP0916
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0719.cds.fa.fixed.fa,4101,148,10505,2224913,511.37332000000004,731,513,1,1265,82.08185,274,487,974,1807,4656,0.60482,0.02544,0.02932,2.29073,15479,0.006959999999999999,0.10253,3710,3710,0.90466,0.47057,3663,0.46461,1900,0.24099,1800,0.22830999999999999,1380,0.17504,1102,0.13978,655,0.08308,0.23951999999999998,,,,MMETSP0719,MMETSP0719
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1358.cds.fa.fixed.fa,17966,148,13998,19667740,1084.03011,1109,7876,6,13408,95.61079000000001,623,1082,1521,2136,3642,0.49117,0.06706000000000001,0.12599000000000002,1.9352900000000002,54469,0.00277,0.20034000000000002,15538,15538,0.8648600000000001,0.43156000000000005,15317,0.42541999999999996,8392,0.23309000000000002,8005,0.22234,6682,0.18559,5328,0.14798,3385,0.09402,0.26561,,,,MMETSP1358,MMETSP1358
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0164.cds.fa.fixed.fa,25533,147,6421,17207096,652.11499,3218,5548,0,13552,94.23969,363,712,1022,1398,2283,0.62128,-0.00185,0.01904,2.25412,71393,0.00415,0.12787,24398,24398,0.95555,0.456,23517,0.43954,12206,0.22813000000000003,10523,0.19668,6579,0.12295999999999999,4241,0.07927000000000001,1732,0.032369999999999996,0.24921999999999997,,,,MMETSP0164,MMETSP0164
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0727.cds.fa.fixed.fa,18057,148,19553,25874669,1426.29933,691,10264,16,15100,92.93153000000001,788,1374,1928,2775,4471,0.5083,0.011479999999999999,0.09516000000000001,1.96,27980,0.00108,0.24266,17603,17603,0.9748600000000001,0.5883,12267,0.40997,6135,0.20503000000000002,5563,0.18592,4155,0.13885999999999998,2939,0.09822,1181,0.03947,0.27571999999999997,,,,MMETSP0727,MMETSP0727
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0384.cds.fa.fixed.fa,96273,147,13129,91493368,935.37312,8306,36804,13,66371,94.56572,543,991,1380,1866,2916,0.62995,0.03828,0.04257,2.04057,149848,0.00164,0.16672,89182,89182,0.9263399999999999,0.4853,71195,0.38742,36937,0.201,34723,0.18895,28857,0.15703,23583,0.12833,12761,0.06944,0.28031,,,,MMETSP0384,MMETSP0384
