,Complete,Fragmented,Missing,Total,Complete_BUSCO_perc
MMETSP0850,158,58,213,429,0.368298368298
MMETSP0405,165,64,200,429,0.384615384615
MMETSP0851,225,62,142,429,0.524475524476
MMETSP0176,245,43,141,429,0.571095571096
MMETSP1328,181,41,207,429,0.421911421911
MMETSP0041,272,46,111,429,0.634032634033
MMETSP0403,236,51,142,429,0.550116550117
MMETSP0141,243,47,139,429,0.566433566434
MMETSP0142,254,30,145,429,0.592074592075
MMETSP1061,245,33,151,429,0.571095571096
MMETSP1060,237,31,161,429,0.552447552448
MMETSP1001,186,61,182,429,0.433566433566
MMETSP0467,199,52,178,429,0.463869463869
MMETSP0123,114,50,265,429,0.265734265734
MMETSP0410,100,83,246,429,0.2331002331
MMETSP0886,189,37,203,429,0.440559440559
MMETSP0882,182,82,165,429,0.424242424242
MMETSP1336,228,47,154,429,0.531468531469
MMETSP0888,219,52,158,429,0.51048951049
MMETSP0404,265,35,129,429,0.617715617716
MMETSP1002,90,84,255,429,0.20979020979
MMETSP0734,243,40,146,429,0.566433566434
MMETSP0735,254,31,144,429,0.592074592075
MMETSP1327,214,40,175,429,0.498834498834
MMETSP1311,139,75,215,429,0.324009324009
MMETSP1329,192,55,182,429,0.447552447552
MMETSP1325,69,51,309,429,0.160839160839
MMETSP0883,179,77,173,429,0.417249417249
MMETSP0169,211,77,141,429,0.491841491841
MMETSP0158,267,23,139,429,0.622377622378
MMETSP0397,110,88,231,429,0.25641025641
MMETSP0909,137,68,224,429,0.319347319347
MMETSP0151,219,43,167,429,0.51048951049
MMETSP0186,3,4,422,429,0.00699300699301
MMETSP0173,230,57,142,429,0.536130536131
MMETSP0152,256,25,148,429,0.596736596737
MMETSP0736,259,31,139,429,0.60372960373
MMETSP0733,248,35,146,429,0.578088578089
MMETSP0907,240,27,162,429,0.559440559441
MMETSP0908,233,34,162,429,0.543123543124
MMETSP0971,240,47,142,429,0.559440559441
MMETSP0994,164,67,198,429,0.382284382284
MMETSP0996,162,61,206,429,0.377622377622
MMETSP0997,160,70,199,429,0.37296037296
MMETSP0995,166,65,198,429,0.386946386946
MMETSP0944,215,56,158,429,0.501165501166
MMETSP0166,247,46,136,429,0.575757575758
MMETSP0900,239,44,146,429,0.55710955711
