assembly,n_seqs,smallest,largest,n_bases,mean_len,n_under_200,n_over_1k,n_over_10k,n_with_orf,mean_orf_percent,n90,n70,n50,n30,n10,gc,gc_skew,at_skew,cpg_ratio,bases_n,proportion_n,linguistic_complexity,CRBB_hits,n_contigs_with_CRBB,p_contigs_with_CRBB,rbh_per_reference,n_refs_with_CRBB,p_refs_with_CRBB,cov25,p_cov25,cov50,p_cov50,cov75,p_cov75,cov85,p_cov85,cov95,p_cov95,reference_coverage,score,optimal_score,cutoff,SampleName,Run
/mnt/scratch/ljcohen/mmetsp/MMETSP0717/Chaetoceros_curvisetus_SRR1294454.Trinity.fixed.fasta,31622,201,6324,23325198,737.62564,0,8078,0,14292,74.95171,326,702,1042,1426,2111,0.42734,0.01426,0.00984,1.69344,0,0.0,0.14659,30878,30878,0.97647,0.96878,28919,0.90732,25376,0.79616,25134,0.78857,24491,0.76839,24081,0.75553,22959,0.72033,0.76829,,,,MMETSP0717,SRR1294454
/mnt/scratch/ljcohen/mmetsp/MMETSP0717/Chaetoceros_curvisetus_SRR1294455.Trinity.fixed.fasta,13027,201,4914,6847068,525.6059,0,1027,0,4519,80.45879,277,452,635,841,1205,0.42808,0.02945,0.0182,1.6829,0,0.0,0.11124,12015,12015,0.92232,0.37696,10254,0.32171,4974,0.15606,2615,0.08204,1032,0.03238,684,0.02146,384,0.01205,0.13538,,,,MMETSP0717,SRR1294455
/mnt/scratch/ljcohen/mmetsp/MMETSP0717/Chaetoceros_curvisetus_SRR1294456.Trinity.fixed.fasta,13091,201,4823,6877775,525.38194,0,1028,0,4558,80.64633,276,451,634,838,1219,0.42791,0.02679,0.01598,1.68021,0,0.0,0.11117,12082,12082,0.92292,0.37907,10301,0.32319,4942,0.15505,2590,0.08126,991,0.03109,657,0.02061,368,0.01155,0.13541,,,,MMETSP0717,SRR1294456
/mnt/scratch/ljcohen/mmetsp/MMETSP0717/Chaetoceros_curvisetus_SRR1294457.Trinity.fixed.fasta,13013,201,4849,6830760,524.91816,0,1000,0,4539,80.71873,276,454,632,838,1218,0.42788,0.02835,0.01903,1.68137,0,0.0,0.11111,11991,11991,0.92146,0.37621,10258,0.32184,5043,0.15822,2658,0.08339,1048,0.03288,681,0.02137,378,0.01186,0.13683,,,,MMETSP0717,SRR1294457
/mnt/scratch/ljcohen/mmetsp/MMETSP0088/Chaetoceros_affinis_SRR1294445.Trinity.fixed.fasta,28753,201,4099,16978158,590.48301,0,4487,0,10441,78.92881,271,499,796,1159,1765,0.42183,0.01491,0.01194,1.72507,0,0.0,0.12044,27816,27816,0.96741,0.96123,26247,0.90701,22857,0.78986,22623,0.78177,22017,0.76083,21578,0.74566,20492,0.70813,0.76015,,,,MMETSP0088,SRR1294445
/mnt/scratch/ljcohen/mmetsp/MMETSP0088/Chaetoceros_affinis_SRR1294446.Trinity.fixed.fasta,7135,201,3297,3313815,464.44499,0,461,0,1863,82.79548,243,367,548,800,1208,0.43318,0.02882,0.01368,1.70766,0,0.0,0.09891,6482,6482,0.90848,0.224,5493,0.18982,2497,0.08629,1317,0.04551,725,0.02505,538,0.01859,304,0.01051,0.09256,,,,MMETSP0088,SRR1294446
/mnt/scratch/ljcohen/mmetsp/MMETSP0088/Chaetoceros_affinis_SRR1294447.Trinity.fixed.fasta,7206,201,3285,3349541,464.82667,0,448,0,1865,82.94157,246,366,544,794,1204,0.43302,0.02891,0.01518,1.70862,0,0.0,0.099,6620,6620,0.91868,0.22876,5552,0.19186,2509,0.0867,1306,0.04513,686,0.02371,516,0.01783,273,0.00943,0.09263,,,,MMETSP0088,SRR1294447
/mnt/scratch/ljcohen/mmetsp/MMETSP0088/Chaetoceros_affinis_SRR1294448.Trinity.fixed.fasta,7179,201,3251,3322093,462.7515,0,475,0,1852,82.80753,243,366,544,799,1195,0.43323,0.02462,0.00924,1.70703,0,0.0,0.09849,6589,6589,0.91782,0.22769,5518,0.19068,2506,0.0866,1272,0.04396,673,0.02326,493,0.01704,262,0.00905,0.09216,,,,MMETSP0088,SRR1294448
/mnt/scratch/ljcohen/mmetsp/MMETSP1002/Ditylum_brightwellii_SRR1294414.Trinity.fixed.fasta,39246,201,5021,20773722,529.32075,0,4511,0,10874,76.83039,255,418,673,1021,1659,0.42817,0.01844,0.00839,1.77127,0,0.0,0.10945,38023,38023,0.96884,0.95091,35925,0.89844,31301,0.7828,31006,0.77542,30145,0.75389,29544,0.73886,27780,0.69474,0.73969,,,,MMETSP1002,SRR1294414
/mnt/scratch/ljcohen/mmetsp/MMETSP1002/Ditylum_brightwellii_SRR1294415.Trinity.fixed.fasta,7567,201,7121,3465820,458.01771,0,514,0,1631,78.93543,239,352,533,816,1314,0.4416,0.03003,0.00982,1.74772,0,0.0,0.09709,6899,6899,0.91172,0.17254,5887,0.14723,2691,0.0673,1424,0.03561,734,0.01836,527,0.01318,291,0.00728,0.07537,,,,MMETSP1002,SRR1294415
