assembly,n_seqs,smallest,largest,n_bases,mean_len,n_under_200,n_over_1k,n_over_10k,n_with_orf,mean_orf_percent,n90,n70,n50,n30,n10,gc,gc_skew,at_skew,cpg_ratio,bases_n,proportion_n,linguistic_complexity,CRBB_hits,n_contigs_with_CRBB,p_contigs_with_CRBB,rbh_per_reference,n_refs_with_CRBB,p_refs_with_CRBB,cov25,p_cov25,cov50,p_cov50,cov75,p_cov75,cov85,p_cov85,cov95,p_cov95,reference_coverage,score,optimal_score,cutoff,SampleName,Run
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP0271.trinity_out_2.2.0.Trinity.fasta,153198,201,14115,105343189,687.6277,0,31210,12,68611,92.73649,289,586,1029,1599,2654,0.5968899999999999,0.00894,0.00206,2.07837,0,0.0,0.1309,94225,94225,0.61505,0.88671,70001,0.65875,35679,0.33576,31170,0.29333000000000004,26461,0.24900999999999998,24168,0.22743000000000002,21109,0.19865,0.30276,,,,MMETSP0271,MMETSP0271
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP1366.trinity_out_2.2.0.Trinity.fasta,52229,201,7708,41734430,799.06623,0,14375,0,30948,86.48185,378,748,1084,1504,2359,0.68403,0.00993,0.00374,2.34983,0,0.0,0.13687,43699,43699,0.83668,1.18773,28773,0.78205,15227,0.41386999999999996,13710,0.37264,11645,0.31651,10851,0.29493,9444,0.25669000000000003,0.42596000000000006,,,,MMETSP1366,MMETSP1366
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP1103.trinity_out_2.2.0.Trinity.fasta,27001,201,12574,31189705,1155.13148,0,11452,3,15981,83.50166,527,1149,1731,2552,4333,0.43913,0.01487,0.00227,1.80067,0,0.0,0.21063,21410,21410,0.79293,1.10038,17566,0.90281,8968,0.46091000000000004,8641,0.44411000000000006,8077,0.41512,7857,0.40381,7495,0.38521,0.46875,,,,MMETSP1103,MMETSP1103
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP0014.trinity_out_2.2.0.Trinity.fasta,63046,201,18219,86687899,1374.99443,0,30842,17,38948,74.16254,631,1489,2224,3155,4800,0.46635,0.00294,0.007659999999999999,1.87973,0,0.0,0.22899999999999998,45136,45136,0.71592,0.96896,23642,0.50754,11532,0.24756,9835,0.21113,7827,0.16802999999999998,6872,0.14752,5784,0.12417,0.21761999999999998,,,,MMETSP0014,MMETSP0014
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP0916.trinity_out_2.2.0.Trinity.fasta,32727,201,11857,23346435,713.36924,0,6303,8,16987,90.45321,318,604,958,1503,3130,0.67507,0.00443,-0.00105,2.53024,0,0.0,0.11824000000000001,24936,24936,0.76194,1.1339700000000001,18862,0.85775,9652,0.43893000000000004,9091,0.41341999999999995,8114,0.36899,7669,0.34875,6902,0.31387,0.43205,,,,MMETSP0916,MMETSP0916
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP1358.trinity_out_2.2.0.Trinity.fasta,36004,201,7507,24156090,670.92795,0,7203,0,14849,82.46065,287,581,978,1463,2396,0.47172,0.012190000000000001,0.013569999999999999,1.94038,0,0.0,0.13344,30728,30728,0.85346,1.22101,18138,0.72073,9702,0.38552,7226,0.28713,5114,0.20321,4263,0.1694,3086,0.12262999999999999,0.37175,,,,MMETSP1358,MMETSP1358
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP0164.trinity_out_2.2.0.Trinity.fasta,53504,201,6590,32173729,601.33315,0,8853,0,19808,81.21745,277,503,822,1186,1797,0.6079399999999999,0.01223,0.00088,2.21115,0,0.0,0.11886,34258,34258,0.6402899999999999,1.0947799999999999,27839,0.88965,14135,0.45171000000000006,13286,0.42458,11981,0.38288,11549,0.36907,10867,0.34728000000000003,0.44615,,,,MMETSP0164,MMETSP0164
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP0727.trinity_out_2.2.0.Trinity.fasta,29922,201,14819,26473576,884.7528900000001,0,8753,6,15397,84.65133,359,846,1414,2130,3627,0.50126,0.00436,0.0009599999999999999,1.95815,0,0.0,0.16342,18395,18395,0.6147699999999999,0.9620799999999999,13506,0.70638,6706,0.35073000000000004,5942,0.31077,5077,0.26553000000000004,4662,0.24383000000000002,4116,0.21527,0.29548,,,,MMETSP0727,MMETSP0727
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP0384.trinity_out_2.2.0.Trinity.fasta,183765,201,11456,109178892,594.12234,0,29406,5,73801,93.19071,263,481,832,1293,2079,0.62489,0.00954,0.00425,2.07514,0,0.0,0.11447,99840,99840,0.5433,0.9360200000000001,80661,0.75622,41089,0.38522,37200,0.34876,32845,0.30793000000000004,30630,0.28715999999999997,27234,0.25533,0.34563,,,,MMETSP0384,MMETSP0384
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP1402.trinity_out_2.2.0.Trinity.fasta,15692,201,11749,14865995,947.36139,0,5061,1,9467,84.08789,412,898,1432,2178,3715,0.64504,0.008709999999999999,0.00852,2.61741,0,0.0,0.14751,11958,11958,0.7620399999999999,1.22898,8432,0.8666,4407,0.45293,3994,0.41048,3454,0.35498,3243,0.3333,2853,0.29322,0.4479,,,,MMETSP1402,MMETSP1402
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP1154.trinity_out_2.2.0.Trinity.fasta,52243,201,6643,36651421,701.55659,0,10897,0,27798,88.80211,328,621,936,1335,2137,0.68998,0.01065,0.00309,2.3569999999999998,0,0.0,0.12242,40944,40944,0.78372,0.9602700000000001,29627,0.69485,15203,0.35656,13092,0.30705,10633,0.24938000000000002,9504,0.2229,7947,0.18638,0.29096,,,,MMETSP1154,MMETSP1154
