assembly,n_seqs,smallest,largest,n_bases,mean_len,n_under_200,n_over_1k,n_over_10k,n_with_orf,mean_orf_percent,n90,n70,n50,n30,n10,gc,gc_skew,at_skew,cpg_ratio,bases_n,proportion_n,linguistic_complexity,CRBB_hits,n_contigs_with_CRBB,p_contigs_with_CRBB,rbh_per_reference,n_refs_with_CRBB,p_refs_with_CRBB,cov25,p_cov25,cov50,p_cov50,cov75,p_cov75,cov85,p_cov85,cov95,p_cov95,reference_coverage,score,optimal_score,cutoff,SampleName,Run
/mnt/research/ged/data/mmetsp/figshare_renamed/Emiliania_huxleyi_CCMP370_SRR1300289_MMETSP1157.Trinity.fasta,48097,201,10119,35017739,728.06493,0,10682,1,26223,87.62321999999999,338,653,971,1405,2303,0.68863,0.0105,0.00391,2.3574,0,0.0,0.12637,46748,46748,0.97195,0.8936200000000001,43008,0.8221299999999999,36368,0.6952,35502,0.67865,33720,0.64458,32736,0.6257699999999999,30466,0.58238,0.66789,,,,MMETSP1157,MMETSP1157
/mnt/research/ged/data/mmetsp/figshare_renamed/Chaetoceros_neogracile_CCMP1317_SRR1296835_MMETSP0753.Trinity.fasta,25132,201,8986,25398753,1010.6140800000001,0,9534,0,13248,76.86707,429,1049,1582,2229,3532,0.37983,0.012740000000000001,0.009309999999999999,1.7113900000000002,0,0.0,0.1785,24525,24525,0.97585,0.77067,23089,0.72554,20651,0.64893,20345,0.63932,19690,0.61873,19406,0.6098100000000001,18728,0.5885100000000001,0.6777,,,,MMETSP0753,MMETSP0753
/mnt/research/ged/data/mmetsp/figshare_renamed/Pycnococcus_provasolii_RCC733_SRR1300541_MMETSP1471.Trinity.fasta,13182,201,6681,8856498,671.8629900000001,0,2606,0,6185,87.40704000000001,300,589,926,1376,2208,0.5757800000000001,0.0066099999999999996,0.00361,2.38484,0,0.0,0.12974000000000002,12961,12961,0.9832299999999999,0.89374,12522,0.8634700000000001,11460,0.7902399999999999,11367,0.78382,11153,0.76907,11004,0.75879,10679,0.73638,0.76045,,,,MMETSP1471,MMETSP1471
/mnt/research/ged/data/mmetsp/figshare_renamed/Ditylum_brightwellii_Pop1--SS4-_SRR1300272_MMETSP1062.Trinity.fasta,37025,201,13310,35571540,960.7438199999999,0,13128,5,18201,76.32292,385,1014,1530,2190,3601,0.42052,0.01254,0.00928,1.7659799999999999,0,0.0,0.17389000000000002,36302,36302,0.9804700000000001,0.84844,34382,0.80356,31468,0.73546,31085,0.72651,30325,0.7087399999999999,29901,0.6988300000000001,29029,0.67845,0.73625,,,,MMETSP1062,MMETSP1062
/mnt/research/ged/data/mmetsp/figshare_renamed/Pelagomonas_calceolata_CCMP1756_SRR1296780_MMETSP0888.Trinity.fasta,26683,201,16389,26183404,981.27662,0,8791,53,15937,85.17723000000001,425,923,1427,2226,4644,0.62249,0.0044,0.00128,2.4769400000000004,0,0.0,0.16535,26430,26430,0.9905200000000001,0.9522299999999999,25294,0.9113,23779,0.85672,23571,0.8492200000000001,23131,0.83337,22897,0.82494,22419,0.80772,0.76436,,,,MMETSP0888,MMETSP0888
/mnt/research/ged/data/mmetsp/figshare_renamed/Pycnococcus_provasolii_RCC251_SRR1300542_MMETSP1472.Trinity.fasta,11341,201,5870,7421535,654.39864,0,1968,0,5787,83.17138,320,601,840,1111,1700,0.56323,0.00556,-0.001,2.3784400000000003,0,0.0,0.13021,11222,11222,0.98951,0.9265200000000001,10912,0.90092,10130,0.83636,10053,0.83,9884,0.81605,9788,0.80812,9547,0.78823,0.81277,,,,MMETSP1472,MMETSP1472
/mnt/research/ged/data/mmetsp/figshare_renamed/Pseudo-nitzschia_pungens_cf.-pungens_SRR1300394_MMETSP1061.Trinity.fasta,29948,201,15263,27824463,929.0925300000001,0,9138,8,14124,77.26357,361,923,1573,2396,3974,0.49672,0.00496,0.0105,2.00811,0,0.0,0.16735999999999998,28790,28790,0.9613299999999999,0.82909,25818,0.7435,21556,0.6207600000000001,20909,0.60213,19566,0.5634600000000001,18918,0.54479,17512,0.50431,0.6249,,,,MMETSP1061,MMETSP1061
/mnt/research/ged/data/mmetsp/figshare_renamed/Emiliania_huxleyi_CCMP370_SRR1300286_MMETSP1154.Trinity.fasta,48438,201,6868,33554021,692.7210200000001,0,9738,0,25192,88.60811,322,609,922,1330,2193,0.6895600000000001,0.01056,0.0030800000000000003,2.35901,0,0.0,0.12147999999999999,47078,47078,0.9719200000000001,0.9011399999999999,43628,0.8351,37411,0.7161,36624,0.70103,34903,0.66809,34001,0.65082,31835,0.60936,0.68193,,,,MMETSP1154,MMETSP1154
/mnt/research/ged/data/mmetsp/figshare_renamed/Thraustochytrium_sp._LLF1b_SRR1296846_MMETSP0198_2.Trinity.fasta,19067,201,17937,20453276,1072.70551,0,7372,10,10713,79.78138,447,1133,1743,2507,4147,0.51226,0.00864,0.00854,2.05924,0,0.0,0.19660999999999998,18742,18742,0.98295,0.77781,18181,0.75452,16905,0.70157,16797,0.69709,16543,0.68655,16401,0.68065,16082,0.6674100000000001,0.72431,,,,MMETSP0198,MMETSP0198
/mnt/research/ged/data/mmetsp/figshare_renamed/Rhodopseudomonas_CCMP768_SRR1300440_MMETSP1389.Trinity.fasta,45920,201,12367,24155797,526.04088,0,4941,3,15417,87.09737,251,414,664,1012,1715,0.59004,0.013590000000000001,0.01098,2.05189,0,0.0,0.1065,44417,44417,0.9672700000000001,0.82181,43193,0.79916,40049,0.7409899999999999,39894,0.73812,39187,0.72504,38843,0.71868,38017,0.70339,0.72533,,,,MMETSP1389,MMETSP1389
/mnt/research/ged/data/mmetsp/figshare_renamed/Dinobryon_UTEXLB2267_SRR1296864_MMETSP0019_2.Trinity.fasta,28940,201,9710,29149483,1007.2385300000001,0,10663,0,14741,72.10171,433,1023,1576,2272,3550,0.43843000000000004,0.01008,0.00475,1.91588,0,0.0,0.18398,28353,28353,0.97972,0.82257,26547,0.77017,24068,0.69825,23804,0.6905899999999999,23193,0.67287,22896,0.66425,22321,0.64757,0.70486,,,,MMETSP0019,MMETSP0019
/mnt/research/ged/data/mmetsp/figshare_renamed/Emiliania_huxleyi_PLY-M219_SRR1300284_MMETSP1152.Trinity.fasta,47866,201,7053,33552431,700.9658400000001,0,9818,0,25772,89.81929000000001,328,622,923,1327,2166,0.6913699999999999,0.01005,0.00298,2.36396,0,0.0,0.12247000000000001,46399,46399,0.96935,0.8786200000000001,43063,0.81545,36693,0.69482,35847,0.6788,34131,0.64631,33182,0.62834,31053,0.58802,0.66399,,,,MMETSP1152,MMETSP1152
/mnt/research/ged/data/mmetsp/figshare_renamed/Scrippsiella_trochoidea_CCMP3099_SRR1296759_MMETSP0270.Trinity.fasta,140984,201,17259,98545388,698.9827799999999,0,29728,14,63938,92.94023,290,601,1066,1639,2703,0.5977,0.00837,0.0022199999999999998,2.07945,0,0.0,0.1328,138425,138425,0.98185,0.92709,133072,0.89123,124367,0.83293,123128,0.8246399999999999,120404,0.8063899999999999,119024,0.79715,116048,0.77722,0.81086,,,,MMETSP0270,MMETSP0270
/mnt/research/ged/data/mmetsp/figshare_renamed/Imantonia_RCC918_SRR1300544_MMETSP1474.Trinity.fasta,38128,201,10770,25874604,678.6247400000001,0,7598,3,18346,91.54808,302,593,940,1379,2279,0.44448000000000004,0.01286,0.0129,2.32476,0,0.0,0.12055999999999999,37712,37712,0.9890899999999999,0.94495,36856,0.9235,35202,0.8820600000000001,35011,0.8772700000000001,34527,0.8651399999999999,34278,0.8589,33785,0.84655,0.85795,,,,MMETSP1474,MMETSP1474
