assembly,n_seqs,smallest,largest,n_bases,mean_len,n_under_200,n_over_1k,n_over_10k,n_with_orf,mean_orf_percent,n90,n70,n50,n30,n10,gc,gc_skew,at_skew,cpg_ratio,bases_n,proportion_n,linguistic_complexity,CRBB_hits,n_contigs_with_CRBB,p_contigs_with_CRBB,rbh_per_reference,n_refs_with_CRBB,p_refs_with_CRBB,cov25,p_cov25,cov50,p_cov50,cov75,p_cov75,cov85,p_cov85,cov95,p_cov95,reference_coverage,score,optimal_score,cutoff,SampleName,Run
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1407.cds.fa.fixed.fa,15766,150,13995,18704133,1173.54954,1160,7266,4,11317,99.85673,654,1248,1809,2580,4152,0.4852,0.03122,0.08626,1.92887,67732,0.00362,0.2085,85,85,0.00539,0.00188,76,0.00168,22,0.00049,18,0.0004,12,0.00027,9,0.0002,8,0.00018,0.00054,,,,MMETSP0909,SRR1296820
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1407.cds.fa.fixed.fa,15766,150,13995,18704133,1173.54954,1160,7266,4,11317,99.85673,654,1248,1809,2580,4152,0.4852,0.03122,0.08626,1.92887,67732,0.00362,0.2085,27,27,0.00171,0.00065,24,0.00058,8,0.00019,5,0.00012,1,2e-05,0,0.0,0,0.0,0.00032,,,,MMETSP1138,SRR1300349
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1407.cds.fa.fixed.fa,15766,150,13995,18704133,1173.54954,1160,7266,4,11317,99.85673,654,1248,1809,2580,4152,0.4852,0.03122,0.08626,1.92887,67732,0.00362,0.2085,52,52,0.0033,0.00307,48,0.00283,19,0.00112,13,0.00077,6,0.00035,3,0.00018,1,6e-05,0.00131,,,,MMETSP0317,SRR1296715
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1407.cds.fa.fixed.fa,15766,150,13995,18704133,1173.54954,1160,7266,4,11317,99.85673,654,1248,1809,2580,4152,0.4852,0.03122,0.08626,1.92887,67732,0.00362,0.2085,15,15,0.00095,0.00015,15,0.00015,3,3e-05,1,1e-05,0,0.0,0,0.0,0,0.0,4e-05,,,,MMETSP0370,SRR1294439
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1407.cds.fa.fixed.fa,15766,150,13995,18704133,1173.54954,1160,7266,4,11317,99.85673,654,1248,1809,2580,4152,0.4852,0.03122,0.08626,1.92887,67732,0.00362,0.2085,14689,14689,0.93169,0.55168,13143,0.49362,6932,0.26035,5620,0.21107,3319,0.12465,1973,0.0741,533,0.02002,0.27255,,,,MMETSP1412,SRR1300482
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1407.cds.fa.fixed.fa,15766,150,13995,18704133,1173.54954,1160,7266,4,11317,99.85673,654,1248,1809,2580,4152,0.4852,0.03122,0.08626,1.92887,67732,0.00362,0.2085,9,9,0.00057,0.00108,9,0.00108,1,0.00012,0,0.0,0,0.0,0,0.0,0,0.0,5e-05,,,,MMETSP0939,SRR1300254
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1407.cds.fa.fixed.fa,15766,150,13995,18704133,1173.54954,1160,7266,4,11317,99.85673,654,1248,1809,2580,4152,0.4852,0.03122,0.08626,1.92887,67732,0.00362,0.2085,21,21,0.00133,0.00066,21,0.00066,9,0.00028,5,0.00016,1,3e-05,0,0.0,0,0.0,0.00032,,,,MMETSP0883,SRR1296945
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1407.cds.fa.fixed.fa,15766,150,13995,18704133,1173.54954,1160,7266,4,11317,99.85673,654,1248,1809,2580,4152,0.4852,0.03122,0.08626,1.92887,67732,0.00362,0.2085,16,16,0.00101,0.00011,16,0.00011,6,4e-05,4,3e-05,2,1e-05,1,1e-05,0,0.0,4e-05,,,,MMETSP0527,SRR1296851
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1407.cds.fa.fixed.fa,15766,150,13995,18704133,1173.54954,1160,7266,4,11317,99.85673,654,1248,1809,2580,4152,0.4852,0.03122,0.08626,1.92887,67732,0.00362,0.2085,23,23,0.00146,0.0002,22,0.00019,5,4e-05,4,3e-05,2,2e-05,1,1e-05,0,0.0,4e-05,,,,MMETSP1033,SRR1300256
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1407.cds.fa.fixed.fa,15766,150,13995,18704133,1173.54954,1160,7266,4,11317,99.85673,654,1248,1809,2580,4152,0.4852,0.03122,0.08626,1.92887,67732,0.00362,0.2085,63,63,0.004,0.0075,59,0.00702,36,0.00428,28,0.00333,14,0.00167,8,0.00095,4,0.00048,0.00562,,,,MMETSP0092,SRR1294450
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1407.cds.fa.fixed.fa,15766,150,13995,18704133,1173.54954,1160,7266,4,11317,99.85673,654,1248,1809,2580,4152,0.4852,0.03122,0.08626,1.92887,67732,0.00362,0.2085,15,15,0.00095,0.0002,15,0.0002,4,5e-05,3,4e-05,1,1e-05,1,1e-05,0,0.0,5e-05,,,,MMETSP1374,SRR1300432
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1407.cds.fa.fixed.fa,15766,150,13995,18704133,1173.54954,1160,7266,4,11317,99.85673,654,1248,1809,2580,4152,0.4852,0.03122,0.08626,1.92887,67732,0.00362,0.2085,81,81,0.00514,0.00265,72,0.00235,34,0.00111,28,0.00092,11,0.00036,5,0.00016,2,7e-05,0.00168,,,,MMETSP1319,SRR1300363
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1407.cds.fa.fixed.fa,15766,150,13995,18704133,1173.54954,1160,7266,4,11317,99.85673,654,1248,1809,2580,4152,0.4852,0.03122,0.08626,1.92887,67732,0.00362,0.2085,40,40,0.00254,0.00138,37,0.00128,8,0.00028,4,0.00014,2,7e-05,1,3e-05,1,3e-05,0.00033,,,,MMETSP1166,SRR1294438
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1407.cds.fa.fixed.fa,15766,150,13995,18704133,1173.54954,1160,7266,4,11317,99.85673,654,1248,1809,2580,4152,0.4852,0.03122,0.08626,1.92887,67732,0.00362,0.2085,13,13,0.00082,0.00033,13,0.00033,2,5e-05,0,0.0,0,0.0,0,0.0,0,0.0,2e-05,,,,MMETSP0323,SRR1296960
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1407.cds.fa.fixed.fa,15766,150,13995,18704133,1173.54954,1160,7266,4,11317,99.85673,654,1248,1809,2580,4152,0.4852,0.03122,0.08626,1.92887,67732,0.00362,0.2085,6,6,0.00038,0.00037,6,0.00037,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1e-05,,,,MMETSP0955,SRR1294425
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1407.cds.fa.fixed.fa,15766,150,13995,18704133,1173.54954,1160,7266,4,11317,99.85673,654,1248,1809,2580,4152,0.4852,0.03122,0.08626,1.92887,67732,0.00362,0.2085,17,17,0.00108,0.00014,17,0.00014,6,5e-05,4,3e-05,1,1e-05,1,1e-05,0,0.0,7e-05,,,,MMETSP0056,SRR1296787
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1407.cds.fa.fixed.fa,15766,150,13995,18704133,1173.54954,1160,7266,4,11317,99.85673,654,1248,1809,2580,4152,0.4852,0.03122,0.08626,1.92887,67732,0.00362,0.2085,17,17,0.00108,0.00046,17,0.00046,4,0.00011,2,5e-05,0,0.0,0,0.0,0,0.0,0.00018,,,,MMETSP0943,SRR1300331
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1407.cds.fa.fixed.fa,15766,150,13995,18704133,1173.54954,1160,7266,4,11317,99.85673,654,1248,1809,2580,4152,0.4852,0.03122,0.08626,1.92887,67732,0.00362,0.2085,23,23,0.00146,0.00052,22,0.0005,4,9e-05,2,5e-05,0,0.0,0,0.0,0,0.0,6e-05,,,,MMETSP0308,SRR1296981
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1407.cds.fa.fixed.fa,15766,150,13995,18704133,1173.54954,1160,7266,4,11317,99.85673,654,1248,1809,2580,4152,0.4852,0.03122,0.08626,1.92887,67732,0.00362,0.2085,34,34,0.00216,0.00108,34,0.00108,8,0.00025,3,0.0001,1,3e-05,1,3e-05,0,0.0,0.00028,,,,MMETSP0975,SRR1300245
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1407.cds.fa.fixed.fa,15766,150,13995,18704133,1173.54954,1160,7266,4,11317,99.85673,654,1248,1809,2580,4152,0.4852,0.03122,0.08626,1.92887,67732,0.00362,0.2085,23,23,0.00146,0.00041,23,0.00041,4,7e-05,1,2e-05,1,2e-05,0,0.0,0,0.0,6e-05,,,,MMETSP1050,SRR1300356
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1407.cds.fa.fixed.fa,15766,150,13995,18704133,1173.54954,1160,7266,4,11317,99.85673,654,1248,1809,2580,4152,0.4852,0.03122,0.08626,1.92887,67732,0.00362,0.2085,16,16,0.00101,0.00718,15,0.00673,9,0.00404,7,0.00314,6,0.00269,4,0.0018,1,0.00045,0.00634,,,,MMETSP0693,SRR1328075
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1407.cds.fa.fixed.fa,15766,150,13995,18704133,1173.54954,1160,7266,4,11317,99.85673,654,1248,1809,2580,4152,0.4852,0.03122,0.08626,1.92887,67732,0.00362,0.2085,23,23,0.00146,0.00063,22,0.00061,1,3e-05,1,3e-05,0,0.0,0,0.0,0,0.0,9e-05,,,,MMETSP0052,SRR1296876
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1407.cds.fa.fixed.fa,15766,150,13995,18704133,1173.54954,1160,7266,4,11317,99.85673,654,1248,1809,2580,4152,0.4852,0.03122,0.08626,1.92887,67732,0.00362,0.2085,2,2,0.00013,6e-05,2,6e-05,2,6e-05,1,3e-05,1,3e-05,0,0.0,0,0.0,2e-05,,,,MMETSP0209,SRR1296935
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1407.cds.fa.fixed.fa,15766,150,13995,18704133,1173.54954,1160,7266,4,11317,99.85673,654,1248,1809,2580,4152,0.4852,0.03122,0.08626,1.92887,67732,0.00362,0.2085,28,28,0.00178,0.00063,25,0.00056,8,0.00018,7,0.00016,2,5e-05,2,5e-05,1,2e-05,0.00021,,,,MMETSP1364,SRR1300425
