assembly,n_seqs,smallest,largest,n_bases,mean_len,n_under_200,n_over_1k,n_over_10k,n_with_orf,mean_orf_percent,n90,n70,n50,n30,n10,gc,gc_skew,at_skew,cpg_ratio,bases_n,proportion_n,linguistic_complexity,CRBB_hits,n_contigs_with_CRBB,p_contigs_with_CRBB,rbh_per_reference,n_refs_with_CRBB,p_refs_with_CRBB,cov25,p_cov25,cov50,p_cov50,cov75,p_cov75,cov85,p_cov85,cov95,p_cov95,reference_coverage,score,optimal_score,cutoff,SampleName,Run
/mnt/scratch/ljcohen/mmetsp/MMETSP0717/MMETSP0717.Trinity.fixed.fasta,31873,201,6324,23666494,742.52483,0,8258,0,14350,74.69465,327,710,1057,1454,2146,0.42722,0.01425,0.00983,1.69417,0,0.0,0.14727,25129,25129,0.78841,1.26594,17516,0.88242,9212,0.46408,8508,0.42861,7521,0.37889,7085,0.35693,6521,0.32851,0.45201,,,,MMETSP0717,MMETSP0717
/mnt/scratch/ljcohen/mmetsp/MMETSP0088/MMETSP0088.Trinity.fixed.fasta,28938,201,4376,17144795,592.46648,0,4589,0,10473,78.84624,271,500,803,1171,1777,0.42153,0.0162,0.01331,1.72648,0,0.0,0.12072,21852,21852,0.75513,1.12959,17098,0.88385,8824,0.45614,8334,0.43081,7567,0.39116,7114,0.36774,6552,0.33869,0.44579,,,,MMETSP0088,MMETSP0088
/mnt/scratch/ljcohen/mmetsp/MMETSP1002/MMETSP1002.Trinity.fixed.fasta,39986,201,5143,21268308,531.89386,0,4732,0,11066,76.59567,254,420,682,1044,1690,0.42808,0.0179,0.00762,1.77078,0,0.0,0.10975,29698,29698,0.74271,1.17342,22366,0.88372,11616,0.45897,10836,0.42815,9617,0.37998,8981,0.35485,8202,0.32407,0.44488,,,,MMETSP1002,MMETSP1002
/mnt/scratch/ljcohen/mmetsp/MMETSP0398/MMETSP0398.Trinity.fixed.fasta,9506,201,3391,3981427,418.83305,0,261,0,2564,91.62212,239,335,467,639,944,0.53454,0.00557,0.00136,1.85291,0,0.0,0.09038,5504,5504,0.579,0.70791,4786,0.61556,2494,0.32077,2262,0.29093,1798,0.23125,1549,0.19923,1059,0.13621,0.28511,,,,MMETSP0398,MMETSP0398
/mnt/scratch/ljcohen/mmetsp/MMETSP0196/MMETSP0196.Trinity.fixed.fasta,5894,201,2464,2304917,391.06159,0,198,0,1223,90.63606,226,298,419,618,1029,0.55105,0.00919,0.00454,1.88151,0,0.0,0.08495,4026,4026,0.68307,0.51143,3574,0.45401,1831,0.2326,1568,0.19919,1122,0.14253,862,0.1095,525,0.06669,0.20618,,,,MMETSP0196,MMETSP0196
/mnt/scratch/ljcohen/mmetsp/MMETSP0008/MMETSP0008.Trinity.fixed.fasta,52198,201,18736,67626222,1295.57113,0,25678,113,34629,74.12928,654,1268,1832,2673,5122,0.59298,0.00825,0.00527,2.26072,0,0.0,0.21641,34389,34389,0.65882,0.92352,21997,0.59073,10856,0.29154,10257,0.27545,9442,0.25357,9062,0.24336,8514,0.22864,0.28221,,,,MMETSP0008,MMETSP0008
/mnt/scratch/ljcohen/mmetsp/MMETSP0693/MMETSP0693.Trinity.fixed.fasta,8336,201,1791,3182775,381.81082,0,161,0,1301,82.50338,229,301,407,555,871,0.43566,0.02164,0.01182,1.91079,0,0.0,0.08352,8006,8006,0.96041,0.69684,7485,0.65149,3640,0.31682,3508,0.30534,3079,0.268,2816,0.2451,2415,0.2102,0.3532,,,,MMETSP0693,MMETSP0693
/mnt/scratch/ljcohen/mmetsp/MMETSP0223/MMETSP0223.Trinity.fixed.fasta,846,201,2043,241432,285.38061,0,7,0,28,85.12708,208,230,265,332,567,0.49363,0.0202,0.03714,1.97222,0,0.0,0.06147,160,160,0.18913,0.42105,148,0.38947,64,0.16842,64,0.16842,60,0.15789,50,0.13158,28,0.07368,0.18999,,,,MMETSP0223,MMETSP0223
/mnt/scratch/ljcohen/mmetsp/MMETSP0115/MMETSP0115.Trinity.fixed.fasta,28484,201,16131,20168074,708.04922,0,5557,11,13250,93.28267,295,593,1044,1709,3307,0.70006,0.01147,0.00406,2.51516,0,0.0,0.11431,17218,17218,0.60448,1.12713,13442,0.87994,7099,0.46472,6377,0.41745,5493,0.35958,5165,0.33811,4608,0.30165,0.43955,,,,MMETSP0115,MMETSP0115
/mnt/scratch/ljcohen/mmetsp/MMETSP0092/MMETSP0092.Trinity.fixed.fasta,27826,201,4419,17205069,618.3091,0,4928,0,10530,77.46979,277,546,859,1213,1804,0.41921,0.01841,0.0141,1.7267,0,0.0,0.12526,21423,21423,0.76989,1.13704,16426,0.87182,8516,0.45199,7996,0.42439,7089,0.37625,6656,0.35327,6064,0.32185,0.44831,,,,MMETSP0092,MMETSP0092
