assembly,n_seqs,smallest,largest,n_bases,mean_len,n_under_200,n_over_1k,n_over_10k,n_with_orf,mean_orf_percent,n90,n70,n50,n30,n10,gc,gc_skew,at_skew,cpg_ratio,bases_n,proportion_n,linguistic_complexity,CRBB_hits,n_contigs_with_CRBB,p_contigs_with_CRBB,rbh_per_reference,n_refs_with_CRBB,p_refs_with_CRBB,cov25,p_cov25,cov50,p_cov50,cov75,p_cov75,cov85,p_cov85,cov95,p_cov95,reference_coverage,score,optimal_score,cutoff,SampleName,Run
/mnt/scratch/ljcohen/mmetsp_assemblies/Chattonella_subsalsa_CCMP2191_SRR1300240_MMETSP0950.Trinity.fixed.fasta,36986,201,12660,31196014,843.45466,0,11070,8,17295,80.73451,330,851,1358,1932,3181,0.42409,0.01484,0.01113,1.56578,0,0.0,0.15565,36406,36406,0.98432,0.86724,35663,0.84954,33611,0.80066,33461,0.79709,33049,0.78727,32813,0.78165,32193,0.76688,0.79445,,,,MMETSP0950,MMETSP0950
/mnt/scratch/ljcohen/mmetsp_assemblies/Skeletonema_japonicum_CCMP2506_SRR1296995_MMETSP0593.Trinity.fixed.fasta,25027,201,9656,24649577,984.91937,0,8856,0,13518,80.99892,403,1018,1595,2326,3664,0.45096,0.01294,0.00861,1.80169,0,0.0,0.18079,22398,22398,0.89495,0.71429,21383,0.68192,19545,0.62331,19345,0.61693,18938,0.60395,18736,0.59751,18281,0.583,0.64261,,,,MMETSP0593,MMETSP0593
/mnt/scratch/ljcohen/mmetsp_assemblies/Leptocylindrus_danicus_CCMP1856_SRR1300450_MMETSP1362.Trinity.fixed.fasta,26216,201,11929,24816761,946.62653,0,8881,5,13107,77.34499,388,956,1484,2156,3604,0.44744,0.00951,0.0014,2.07496,0,0.0,0.17595,25612,25612,0.97696,0.87246,24504,0.83472,22680,0.77258,22473,0.76553,21994,0.74922,21754,0.74104,21160,0.72081,0.78958,,,,MMETSP1362,MMETSP1362
/mnt/scratch/ljcohen/mmetsp_assemblies/Prasinoderma_singularis_RCC927_SRR1300361_MMETSP1315.Trinity.fixed.fasta,19670,201,10457,15631989,794.7122,0,5038,2,9802,86.91178,321,742,1252,1871,3197,0.6746,0.0117,0.00717,2.44166,0,0.0,0.13305,19260,19260,0.97916,0.83215,18323,0.79166,16887,0.72962,16733,0.72296,16390,0.70814,16191,0.69955,15792,0.68231,0.71327,,,,MMETSP1315,MMETSP1315
/mnt/scratch/ljcohen/mmetsp_assemblies/Thalassiosira_gravida_GMp14c1_SRR1296987_MMETSP0494.Trinity.fixed.fasta,31486,201,12472,27579685,875.93486,0,8711,5,13536,73.41677,333,846,1502,2358,4132,0.48722,0.0144,0.00851,1.96259,0,0.0,0.16144,30950,30950,0.98298,0.88901,29536,0.84839,27420,0.78761,27140,0.77957,26514,0.76159,26206,0.75274,25523,0.73312,0.74947,,,,MMETSP0494,MMETSP0494
/mnt/scratch/ljcohen/mmetsp_assemblies/Tetraselmis_striata_LANL1001_SRR1296730_MMETSP0820.Trinity.fixed.fasta,41245,201,13292,33554900,813.55073,0,11499,9,18143,77.85519,321,790,1322,1915,3110,0.63312,0.00939,0.00165,2.14897,0,0.0,0.14438,40301,40301,0.97711,0.82645,38558,0.79071,35039,0.71854,34712,0.71184,33915,0.69549,33478,0.68653,32366,0.66373,0.70221,,,,MMETSP0820,MMETSP0820
/mnt/scratch/ljcohen/mmetsp_assemblies/Micromonas_NEPCC29_SRR1300437_MMETSP1386.Trinity.fixed.fasta,11814,201,20478,19714057,1668.70298,0,6919,51,9294,77.22878,850,1650,2487,3588,6086,0.62686,0.00501,0.00036,2.28723,0,0.0,0.2444,11681,11681,0.98874,0.92005,10609,0.83562,9633,0.75874,9446,0.74401,9159,0.72141,8997,0.70865,8792,0.6925,0.71001,,,,MMETSP1386,MMETSP1386
/mnt/scratch/ljcohen/mmetsp_assemblies/Chrysoreinhardia_CCMP3193_SRR1294438_MMETSP1166.Trinity.fixed.fasta,28893,201,13583,27597747,955.1707,0,9745,7,17621,79.71796,435,900,1358,2023,3527,0.62839,0.00284,0.00426,2.2138,0,0.0,0.15924,28392,28392,0.98266,0.73032,25833,0.6645,19013,0.48907,18498,0.47582,17474,0.44948,16216,0.41712,12205,0.31395,0.47443,,,,MMETSP1166,MMETSP1166
/mnt/scratch/ljcohen/mmetsp_assemblies/Pycnococcus_CCMP1998_SRR1300422_MMETSP1085.Trinity.fixed.fasta,9469,201,13406,12412033,1310.80716,0,4752,5,6902,79.74311,672,1321,1907,2700,4321,0.61732,0.01631,0.01564,1.83211,0,0.0,0.21457,9361,9361,0.98859,0.85263,8879,0.80873,8203,0.74715,8128,0.74032,7995,0.72821,7917,0.7211,7767,0.70744,0.74957,,,,MMETSP1085,MMETSP1085
/mnt/scratch/ljcohen/mmetsp_assemblies/Skeletonema_menzellii_CCMP793_SRR1296800_MMETSP0603_alt_Skeletonema_menzelii.Trinity.fixed.fasta,21807,201,12242,23410605,1073.53625,0,8556,1,12840,83.01827,470,1092,1670,2431,3954,0.45255,0.01105,0.00733,1.81305,0,0.0,0.19478,21460,21460,0.98409,0.80003,20725,0.77263,19277,0.71865,19135,0.71335,18800,0.70086,18618,0.69408,18315,0.68278,0.74282,,,,MMETSP0603,MMETSP0603
/mnt/scratch/ljcohen/mmetsp_assemblies/Debaryomyces_hansenii_J26_SRR1296969_MMETSP0233.Trinity.fixed.fasta,9518,201,20210,9391506,986.71002,0,2856,35,4965,73.44701,394,929,1565,2606,6283,0.35931,0.01358,0.00588,1.70116,0,0.0,0.16648,9488,9488,0.99685,0.98875,9377,0.97718,9228,0.96165,9220,0.96082,9183,0.95696,9168,0.9554,9116,0.94998,0.91805,,,,MMETSP0233,MMETSP0233
/mnt/scratch/ljcohen/mmetsp_assemblies/Pseudo-nitzschia_pungens_cf.-pungens_SRR1300394_MMETSP1061.Trinity.fixed.fasta,29948,201,15263,27824463,929.09253,0,9138,8,14124,77.26357,361,923,1573,2396,3974,0.49672,0.00496,0.0105,2.00811,0,0.0,0.16736,28790,28790,0.96133,0.82909,25818,0.7435,21556,0.62076,20909,0.60213,19566,0.56346,18918,0.54479,17512,0.50431,0.6249,,,,MMETSP1061,MMETSP1061
/mnt/scratch/ljcohen/mmetsp_assemblies/Micromonas_pusilla_RCC2306_SRR1300367_MMETSP1327.Trinity.fixed.fasta,14737,201,19516,17904889,1214.96159,0,6485,10,9882,83.78361,563,1224,1860,2755,4616,0.60076,0.00686,0.00423,2.40916,0,0.0,0.19953,14575,14575,0.98901,0.91219,13843,0.86638,12860,0.80486,12723,0.79628,12456,0.77957,12330,0.77169,12106,0.75767,0.77358,,,,MMETSP1327,MMETSP1327
/mnt/scratch/ljcohen/mmetsp_assemblies/Thalassiosira_weissflogii_CCMP1336_SRR1296934_MMETSP0881.Trinity.fixed.fasta,25866,201,10420,31300233,1210.09174,0,11843,1,15993,80.24685,558,1260,1870,2669,4229,0.46645,0.00534,0.00661,1.93505,0,0.0,0.21364,25507,25507,0.98612,0.79909,24509,0.76783,22953,0.71908,22784,0.71378,22418,0.70232,22239,0.69671,21859,0.68481,0.75308,,,,MMETSP0881,MMETSP0881
/mnt/scratch/ljcohen/mmetsp_assemblies/Schizochytrium_aggregatum_ATCC28209_SRR1300410_MMETSP0962.Trinity.fixed.fasta,9658,201,4884,5102475,528.3159,0,1140,0,3435,88.15775,250,425,695,1013,1516,0.62977,0.00722,0.00384,2.30376,0,0.0,0.1051,9484,9484,0.98198,0.89598,9324,0.88087,8793,0.8307,8767,0.82825,8680,0.82003,8636,0.81587,8486,0.8017,0.81699,,,,MMETSP0962,MMETSP0962
/mnt/scratch/ljcohen/mmetsp_assemblies/Tetraselmis_striata_LANL1001_SRR1296732_MMETSP0818.Trinity.fixed.fasta,40538,201,11527,32222662,794.87547,0,10984,2,18102,79.26793,318,765,1273,1853,2955,0.63526,0.00884,0.00274,2.15045,0,0.0,0.14227,39657,39657,0.97827,0.82836,38150,0.79688,34979,0.73065,34679,0.72438,33919,0.70851,33531,0.7004,32495,0.67876,0.71665,,,,MMETSP0818,MMETSP0818
/mnt/scratch/ljcohen/mmetsp_assemblies/Ochromonas_CCMP1393_SRR1296767_MMETSP0005.Trinity.fixed.fasta,30447,201,8865,25107499,824.62965,0,8530,0,14884,80.16813,340,786,1263,1861,3034,0.47741,0.01225,0.00741,2.01713,0,0.0,0.15876,29670,29670,0.97448,0.90391,27004,0.82269,23465,0.71487,22911,0.698,21828,0.665,21298,0.64885,20208,0.61565,0.66859,,,,MMETSP0005,MMETSP0005
/mnt/scratch/ljcohen/mmetsp_assemblies/Pteridomonas_danica_PT_SRR1296725_MMETSP0102.Trinity.fixed.fasta,33187,201,32654,26051211,784.9824,0,7161,43,14324,87.83151,306,681,1237,2117,4935,0.39193,0.02053,0.0118,1.62942,0,0.0,0.13656,32370,32370,0.97538,0.89919,30051,0.83477,27124,0.75347,26632,0.7398,25603,0.71121,25093,0.69705,23998,0.66663,0.68449,,,,MMETSP0102,MMETSP0102
/mnt/scratch/ljcohen/mmetsp_assemblies/Dinobryon_UTEXLB2267_SRR1294384_MMETSP0812.Trinity.fixed.fasta,28252,201,12724,23881215,845.2929,0,7652,2,12494,76.89793,341,791,1331,2078,3569,0.44753,0.01354,0.00751,1.90997,0,0.0,0.15771,27797,27797,0.98389,0.856,26603,0.81923,24780,0.7631,24585,0.75709,24108,0.7424,23860,0.73476,23346,0.71894,0.74757,,,,MMETSP0812,MMETSP0812
/mnt/scratch/ljcohen/mmetsp_assemblies/uncultured_eukaryote_CCMP1205_SRR1300539_MMETSP1469.Trinity.fixed.fasta,13298,201,11915,13619991,1024.21349,0,4844,1,7410,77.48924,413,1073,1699,2430,3989,0.57001,0.01636,0.01501,1.79412,0,0.0,0.17585,13063,13063,0.98233,0.89198,12201,0.83312,10852,0.741,10703,0.73083,10402,0.71028,10212,0.6973,9739,0.66501,0.69991,,,,MMETSP1469,MMETSP1469
/mnt/scratch/ljcohen/mmetsp_assemblies/Thalassiosira_FW_SRR1300392_MMETSP1059.Trinity.fixed.fasta,17546,201,20363,25231387,1438.01362,0,8816,34,11752,78.89338,693,1491,2283,3358,5601,0.476,0.00466,-9e-05,1.73982,0,0.0,0.23995,17368,17368,0.98986,0.77126,16647,0.73924,15515,0.68897,15411,0.68436,15193,0.67467,15101,0.67059,14888,0.66113,0.72862,,,,MMETSP1059,MMETSP1059
/mnt/scratch/ljcohen/mmetsp_assemblies/Isochrysis_sp._CCMP1324_SRR1300346_MMETSP1129.Trinity.fixed.fasta,26754,201,14065,25743277,962.22161,0,9280,8,13192,76.81588,373,1025,1596,2265,3767,0.59215,0.01177,0.00466,2.19812,0,0.0,0.17399,26516,26516,0.9911,0.93574,25840,0.91188,24579,0.86738,24457,0.86308,24251,0.85581,24134,0.85168,23744,0.83792,0.82753,,,,MMETSP1129,MMETSP1129
/mnt/scratch/ljcohen/mmetsp_assemblies/Pavlova_lutheri_RCC1537_SRR1300507_MMETSP1463.Trinity.fixed.fasta,19864,201,9233,12011603,604.69206,0,2997,0,8892,88.62788,280,508,797,1187,1922,0.68659,0.00457,0.00096,2.63794,0,0.0,0.10779,19551,19551,0.98424,0.89152,19005,0.86662,17793,0.81135,17678,0.80611,17384,0.7927,17248,0.7865,16926,0.77182,0.78196,,,,MMETSP1463,MMETSP1463
/mnt/scratch/ljcohen/mmetsp_assemblies/Thalassiosira_weissflogii_CCMP1010_SRR1300484_MMETSP1414.Trinity.fixed.fasta,26109,201,10774,28593371,1095.15382,0,10708,1,15541,82.50368,478,1131,1696,2476,3927,0.46834,0.00615,0.00608,1.9338,0,0.0,0.19737,25760,25760,0.98663,0.80154,24861,0.77357,23344,0.72637,23171,0.72098,22867,0.71153,22700,0.70633,22325,0.69466,0.75243,,,,MMETSP1414,MMETSP1414
/mnt/scratch/ljcohen/mmetsp_assemblies/Thalassiothrix_antarctica_L6-D1_SRR1296921_MMETSP0154.Trinity.fixed.fasta,37097,201,11129,28409414,765.81432,0,9232,1,16724,84.08394,312,711,1185,1764,2899,0.39637,0.01218,0.01198,1.8939,0,0.0,0.14319,36089,36089,0.97283,0.81978,34967,0.79429,32175,0.73087,31942,0.72558,31203,0.70879,30826,0.70022,29980,0.68101,0.74747,,,,MMETSP0154,MMETSP0154
