assembly,n_seqs,smallest,largest,n_bases,mean_len,n_under_200,n_over_1k,n_over_10k,n_with_orf,mean_orf_percent,n90,n70,n50,n30,n10,gc,gc_skew,at_skew,cpg_ratio,bases_n,proportion_n,linguistic_complexity,CRBB_hits,n_contigs_with_CRBB,p_contigs_with_CRBB,rbh_per_reference,n_refs_with_CRBB,p_refs_with_CRBB,cov25,p_cov25,cov50,p_cov50,cov75,p_cov75,cov85,p_cov85,cov95,p_cov95,reference_coverage,score,optimal_score,cutoff,SampleName,Run
/mnt/home/ljcohen/oysterriver_assemblies/finished/DRR030368.trinity_out_2.2.0.Trinity.fasta,79221,201,16224,92002324,1161.33757,0,33960,30,37872,56.81875,514,1238,1857,2644,4161,0.48035,0.00621,0.00283,1.94672,0,0.0,0.2113,75445,75445,0.95234,0.94089,41751,0.52068,26340,0.32849,25550,0.31864000000000003,23853,0.29746999999999996,22999,0.28681999999999996,21780,0.27162,0.36163,,,,DRR030368,DRR030368
/mnt/home/ljcohen/oysterriver_assemblies/finished/ERR1016675.trinity_out_2.2.0.Trinity.fasta,130260,201,16848,159663269,1225.72754,0,51238,109,58948,55.35279,464,1435,2293,3337,5302,0.4701,0.00418,0.00392,2.19275,0,0.0,0.19738,122417,122417,0.93979,0.99641,68936,0.5611,44494,0.36216,42452,0.34554,38899,0.31661999999999996,37011,0.30125,34292,0.27912,0.32979,,,,ERR1016675,ERR1016675
/mnt/home/ljcohen/oysterriver_assemblies/finished/DRR069093.trinity_out_2.2.0.Trinity.fasta,113646,201,17069,120650032,1061.63026,0,44296,40,48018,61.14864,443,1130,1731,2417,3770,0.40972,-0.00151,0.00013000000000000002,1.4969999999999999,0,0.0,0.18707000000000001,103654,103654,0.9120799999999999,1.11622,54397,0.58578,31635,0.34067,29191,0.31435,26000,0.27999,24246,0.2611,21460,0.2311,0.33862,,,,DRR069093,DRR069093
/mnt/home/ljcohen/oysterriver_assemblies/finished/DRR053698.trinity_out_2.2.0.Trinity.fasta,108769,201,14995,115113026,1058.3256800000001,0,42793,2,43154,55.009859999999996,444,1117,1706,2349,3581,0.40363000000000004,0.00677,0.00135,1.50532,0,0.0,0.1876,101866,101866,0.9365399999999999,1.0369,57968,0.59006,35099,0.35727,32390,0.3297,28620,0.29131999999999997,26735,0.27214,23973,0.24402,0.3395,,,,DRR053698,DRR053698
/mnt/home/ljcohen/oysterriver_assemblies/finished/DRR031870.trinity_out_2.2.0.Trinity.fasta,91804,201,8616,87193828,949.78245,0,31865,0,38296,62.52451,403,953,1475,2110,3280,0.42222,0.014209999999999999,-0.00059,1.52185,0,0.0,0.17501,85866,85866,0.93532,1.06316,50203,0.62159,31629,0.39161999999999997,30111,0.37282,27651,0.34236,26344,0.32618,24590,0.30446,0.39271999999999996,,,,DRR031870,DRR031870
/mnt/home/ljcohen/oysterriver_assemblies/finished/ERR489297.trinity_out_2.2.0.Trinity.fasta,123403,201,15032,128110962,1038.15111,0,41965,26,38800,51.82306,391,1108,1885,2822,4586,0.48533999999999994,0.00703,0.00701,2.2675400000000003,0,0.0,0.17915999999999999,112135,112135,0.90869,0.8417399999999999,63687,0.47807,36934,0.27724,33067,0.24821999999999997,28112,0.21101999999999999,25866,0.19416,23157,0.17382999999999998,0.26295,,,,ERR489297,ERR489297
/mnt/home/ljcohen/oysterriver_assemblies/finished/DRR046632.trinity_out_2.2.0.Trinity.fasta,157270,201,8437,96654184,614.57483,0,25370,0,33207,59.13064,265,482,879,1485,2590,0.4743,0.00972,0.00541,1.33696,0,0.0,0.11946,137674,137674,0.8754,0.82421,94492,0.5657,60670,0.36321,56270,0.33687,48667,0.29135,44565,0.2668,39664,0.23746,0.35573,,,,DRR046632,DRR046632
/mnt/home/ljcohen/oysterriver_assemblies/finished/SRR1789336.trinity_out_2.2.0.Trinity.fasta,113338,201,13949,93732207,827.01483,0,26491,21,29064,57.88361999999999,292,775,1626,2686,4681,0.50136,0.00975,0.00521,1.56534,0,0.0,0.1429,105789,105789,0.9333899999999999,0.7176100000000001,82573,0.56012,54066,0.36675,52485,0.35603,49125,0.33323,47274,0.32068,44721,0.30336,0.38079,,,,SRR1789336,SRR1789336
/mnt/home/ljcohen/oysterriver_assemblies/finished/ERR058009.trinity_out_2.2.0.Trinity.fasta,20589,201,7477,18353212,891.4086199999999,0,6411,0,10091,71.86366,388,851,1333,1943,3108,0.27221999999999996,0.02885,0.024659999999999998,1.12055,0,0.0,0.13451,18353,18353,0.8914,0.78819,12400,0.5325300000000001,6409,0.27524,6060,0.26025,5559,0.23874,5261,0.22594,4769,0.20481,0.30526,,,,ERR058009,ERR058009
/mnt/home/ljcohen/oysterriver_assemblies/finished/SRR2086412.trinity_out_2.2.0.Trinity.fasta,171775,201,19638,159016158,925.7235199999999,0,42197,196,32696,42.62858,316,916,2009,3322,5634,0.48033000000000003,0.0095,0.00164,1.31291,0,0.0,0.15579,162383,162383,0.94532,0.73506,128432,0.5813699999999999,88595,0.40104,85084,0.38515,77955,0.35288,74335,0.33649,70028,0.317,0.37534,,,,SRR2086412,SRR2086412
/mnt/home/ljcohen/oysterriver_assemblies/finished/DRR082659.trinity_out_2.2.0.Trinity.fasta,325214,201,9111,194527321,598.15174,0,49196,0,60792,57.8073,268,467,819,1368,2358,0.44163,0.01761,0.0006799999999999999,1.7910599999999999,0,0.0,0.11890999999999999,291457,291457,0.8962,0.75705,188507,0.48963999999999996,112868,0.29317,100941,0.26219000000000003,80837,0.20997,71386,0.18542,60840,0.15803,0.28642,,,,DRR082659,DRR082659
