assembly,n_seqs,smallest,largest,n_bases,mean_len,n_under_200,n_over_1k,n_over_10k,n_with_orf,mean_orf_percent,n90,n70,n50,n30,n10,gc,gc_skew,at_skew,cpg_ratio,bases_n,proportion_n,linguistic_complexity,CRBB_hits,n_contigs_with_CRBB,p_contigs_with_CRBB,rbh_per_reference,n_refs_with_CRBB,p_refs_with_CRBB,cov25,p_cov25,cov50,p_cov50,cov75,p_cov75,cov85,p_cov85,cov95,p_cov95,reference_coverage,score,optimal_score,cutoff,SampleName,Run
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP0271.trinity_out_2.2.0.Trinity.fasta,153198,201,14115,105343189,687.6277,0,31210,12,68611,92.73649,289,586,1029,1599,2654,0.5968899999999999,0.00894,0.00206,2.07837,0,0.0,0.1309,146223,146223,0.95447,1.01265,136324,0.94409,127235,0.88115,126597,0.8767299999999999,125041,0.86595,123989,0.85867,122441,0.84795,0.86219,,,,MMETSP0271,MMETSP0271
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP1366.trinity_out_2.2.0.Trinity.fasta,52229,201,7708,41734430,799.06623,0,14375,0,30948,86.48185,378,748,1084,1504,2359,0.68403,0.00993,0.00374,2.34983,0,0.0,0.13687,49184,49184,0.9417,1.02158,42540,0.8835799999999999,35406,0.7354,34938,0.72568,33845,0.70298,33126,0.68805,31963,0.66389,0.7105600000000001,,,,MMETSP1366,MMETSP1366
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP1103.trinity_out_2.2.0.Trinity.fasta,27001,201,12574,31189705,1155.13148,0,11452,3,15981,83.50166,527,1149,1731,2552,4333,0.43913,0.01487,0.00227,1.80067,0,0.0,0.21063,26365,26365,0.97645,1.03311,24654,0.9660700000000001,23588,0.92429,23520,0.92163,23364,0.9155200000000001,23248,0.9109700000000001,23095,0.9049799999999999,0.92625,,,,MMETSP1103,MMETSP1103
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP0014.trinity_out_2.2.0.Trinity.fasta,63046,201,18219,86687899,1374.99443,0,30842,17,38948,74.16254,631,1489,2224,3155,4800,0.46635,0.00294,0.007659999999999999,1.87973,0,0.0,0.22899999999999998,56994,56994,0.9040100000000001,1.18201,37537,0.77849,26695,0.5536300000000001,25872,0.53656,24522,0.50857,23771,0.49299,22597,0.46863999999999995,0.5565,,,,MMETSP0014,MMETSP0014
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP0916.trinity_out_2.2.0.Trinity.fasta,32727,201,11857,23346435,713.36924,0,6303,8,16987,90.45321,318,604,958,1503,3130,0.67507,0.00443,-0.00105,2.53024,0,0.0,0.11824000000000001,31067,31067,0.9492799999999999,1.0311,27766,0.9215399999999999,24522,0.81387,24307,0.80674,23672,0.78566,23277,0.77255,22631,0.75111,0.7698,,,,MMETSP0916,MMETSP0916
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP0719.trinity_out_2.2.0.Trinity.fasta,7884,201,5948,3801556,482.1862,0,628,0,1925,79.20223,244,363,541,904,1958,0.5765899999999999,0.01162,0.00583,2.2795,0,0.0,0.09821,7464,7464,0.94673,1.08237,6600,0.9570799999999999,6304,0.91415,6283,0.9111100000000001,6219,0.9018299999999999,6196,0.89849,6150,0.8918200000000001,0.87384,,,,MMETSP0719,MMETSP0719
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP1358.trinity_out_2.2.0.Trinity.fasta,36004,201,7507,24156090,670.92795,0,7203,0,14849,82.46065,287,581,978,1463,2396,0.47172,0.012190000000000001,0.013569999999999999,1.94038,0,0.0,0.13344,33032,33032,0.91745,0.78732,23898,0.5696100000000001,14637,0.34886999999999996,11562,0.27558,8454,0.2015,7142,0.17023,5129,0.12225,0.35743,,,,MMETSP1358,MMETSP1358
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP0164.trinity_out_2.2.0.Trinity.fasta,53504,201,6590,32173729,601.33315,0,8853,0,19808,81.21745,277,503,822,1186,1797,0.6079399999999999,0.01223,0.00088,2.21115,0,0.0,0.11886,51807,51807,0.9682799999999999,1.02436,48897,0.9668200000000001,45878,0.9071299999999999,45748,0.90456,45281,0.8953200000000001,44938,0.88854,44217,0.87429,0.89156,,,,MMETSP0164,MMETSP0164
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP0727.trinity_out_2.2.0.Trinity.fasta,29922,201,14819,26473576,884.7528900000001,0,8753,6,15397,84.65133,359,846,1414,2130,3627,0.50126,0.00436,0.0009599999999999999,1.95815,0,0.0,0.16342,29008,29008,0.96945,1.03674,26274,0.9390299999999999,24522,0.87641,24339,0.86987,23936,0.8554700000000001,23691,0.8467100000000001,23242,0.8306600000000001,0.8577100000000001,,,,MMETSP0727,MMETSP0727
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0_zenodo/MMETSP0384.trinity_out_2.2.0.Trinity.fasta,183765,201,11456,109178892,594.12234,0,29406,5,73801,93.19071,263,481,832,1293,2079,0.62489,0.00954,0.00425,2.07514,0,0.0,0.11447,178456,178456,0.97111,1.00378,170942,0.96152,162813,0.91579,162389,0.91341,161030,0.90576,160122,0.90065,158648,0.89236,0.9016700000000001,,,,MMETSP0384,MMETSP0384
