,Complete,Fragmented,Missing,Total,Complete_BUSCO_perc
MMETSP1321,150,30,54,234,0.6410256410256411
MMETSP0378,49,22,163,234,0.2094017094017094
MMETSP0053,156,38,40,234,0.6666666666666666
MMETSP1144,175,43,16,234,0.7478632478632479
MMETSP0983,177,31,26,234,0.7564102564102564
MMETSP0208,165,18,51,234,0.7051282051282052
MMETSP0123,159,23,52,234,0.6794871794871795
MMETSP1034,177,29,28,234,0.7564102564102564
MMETSP1412,0,0,234,234,0.0
MMETSP0737,174,35,25,234,0.7435897435897436
MMETSP0938,201,16,17,234,0.8589743589743589
MMETSP0174,146,50,38,234,0.6239316239316239
MMETSP1348,137,42,55,234,0.5854700854700855
MMETSP1063,191,23,20,234,0.8162393162393162
MMETSP0580,179,31,24,234,0.7649572649572649
MMETSP1445,182,30,22,234,0.7777777777777778
MMETSP0004,168,31,35,234,0.717948717948718
MMETSP0906,186,24,24,234,0.7948717948717948
MMETSP0198,163,37,34,234,0.6965811965811965
MMETSP1407,163,44,27,234,0.6965811965811965
MMETSP0046,188,25,21,234,0.8034188034188035
MMETSP1151,147,46,41,234,0.6282051282051282
MMETSP0996,119,49,66,234,0.5085470085470085
MMETSP0799,160,42,32,234,0.6837606837606838
MMETSP0944,164,29,41,234,0.7008547008547008
MMETSP1334,157,39,38,234,0.6709401709401709
MMETSP0108,151,45,38,234,0.6452991452991453
MMETSP1439,135,29,70,234,0.5769230769230769
MMETSP1048,133,22,79,234,0.5683760683760684
MMETSP1363,157,42,35,234,0.6709401709401709
MMETSP0011,197,17,20,234,0.8418803418803419
MMETSP1106,170,35,29,234,0.7264957264957265
MMETSP0437,122,30,82,234,0.5213675213675214
MMETSP0913,83,35,116,234,0.3547008547008547
MMETSP0161,173,29,32,234,0.7393162393162394
MMETSP0595,179,27,28,234,0.7649572649572649
MMETSP1450,126,53,55,234,0.5384615384615384
MMETSP1138,145,35,54,234,0.6196581196581197
MMETSP0409,76,48,110,234,0.3247863247863248
MMETSP1139,104,23,107,234,0.4444444444444444
MMETSP0160,124,50,60,234,0.5299145299145299
MMETSP1451,185,24,25,234,0.7905982905982906
MMETSP0010,176,32,26,234,0.7521367521367521
MMETSP1107,155,44,35,234,0.6623931623931624
MMETSP0436,142,26,66,234,0.6068376068376068
MMETSP0912,3,2,229,234,0.01282051282051282
MMETSP1362,190,18,26,234,0.811965811965812
MMETSP1049,89,51,94,234,0.3803418803418803
MMETSP0578,108,45,81,234,0.46153846153846156
MMETSP1335,118,33,83,234,0.5042735042735043
MMETSP0109,185,26,23,234,0.7905982905982906
MMETSP0604,174,34,26,234,0.7435897435897436
MMETSP1438,140,28,66,234,0.5982905982905983
MMETSP0047,178,29,27,234,0.7606837606837606
MMETSP0095,172,35,27,234,0.7350427350427351
MMETSP1150,155,41,38,234,0.6623931623931624
MMETSP0997,122,43,69,234,0.5213675213675214
MMETSP0798,123,31,80,234,0.5256410256410257
MMETSP0945,167,33,34,234,0.7136752136752137
MMETSP1406,155,43,36,234,0.6623931623931624
MMETSP0380,47,24,163,234,0.20085470085470086
MMETSP1377,110,37,87,234,0.4700854700854701
MMETSP0199,163,34,37,234,0.6965811965811965
MMETSP0005,161,33,40,234,0.688034188034188
MMETSP0708,83,45,106,234,0.3547008547008547
MMETSP0907,178,27,29,234,0.7606837606837606
MMETSP1062,192,27,15,234,0.8205128205128205
MMETSP1349,108,37,89,234,0.46153846153846156
MMETSP1444,140,26,68,234,0.5982905982905983
MMETSP0736,192,27,15,234,0.8205128205128205
