assembly,n_seqs,smallest,largest,n_bases,mean_len,n_under_200,n_over_1k,n_over_10k,n_with_orf,mean_orf_percent,n90,n70,n50,n30,n10,gc,gc_skew,at_skew,cpg_ratio,bases_n,proportion_n,linguistic_complexity,CRBB_hits,n_contigs_with_CRBB,p_contigs_with_CRBB,rbh_per_reference,n_refs_with_CRBB,p_refs_with_CRBB,cov25,p_cov25,cov50,p_cov50,cov75,p_cov75,cov85,p_cov85,cov95,p_cov95,reference_coverage,score,optimal_score,cutoff,SampleName,Run
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP0789.nt.fa.fixed.fa,27116,150,13551,36879529,1344.72544,2411,14208,12,18433,74.05516,797,1412,2057,2948,4800,0.38865,0.00229,0.00398,1.53147,70203,0.0019,0.22246,24680,24680,0.9101600000000001,0.71534,16941,0.49103,9823,0.28472,9087,0.26338,7769,0.22518000000000002,6626,0.19205,3225,0.09348,0.37392,,,,MMETSP0789,MMETSP0789
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP0044.nt.fa.fixed.fa,443,150,882,92186,112.00903000000001,246,0,0,2,95.82225,213,245,360,882,882,0.55734,-0.03739,0.01807,1.95688,41,0.00044,0.04734,249,249,0.56208,0.41918999999999995,242,0.40741,88,0.14815,64,0.10774,21,0.03535,10,0.01684,2,0.00337,0.09679,,,,MMETSP0044,MMETSP0044
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP0912.nt.fa.fixed.fa,20324,150,6682,15377640,733.72048,2686,5556,0,10021,74.82874,440,827,1137,1536,2443,0.48893000000000003,-0.0045,-0.00099,1.9329,116765,0.00759,0.14825,18197,18197,0.89535,0.60205,17500,0.57899,8656,0.28639000000000003,8356,0.27646,7292,0.24126,6190,0.2048,3384,0.11195999999999999,0.31623,,,,MMETSP0912,MMETSP0912
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP1412.nt.fa.fixed.fa,19076,150,13688,25175591,1293.47038,2925,9425,4,11501,76.33623,877,1563,2297,3274,5271,0.46953999999999996,-0.00329,-0.0035299999999999997,1.9282700000000002,43146,0.0017100000000000001,0.22241999999999998,17039,17039,0.8932200000000001,0.52251,15536,0.47641999999999995,7515,0.23045,7017,0.21518,6045,0.18537,5328,0.16339,2859,0.08767,0.28329,,,,MMETSP1412,MMETSP1412
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP1329.nt.fa.fixed.fa,20182,150,13843,14312619,684.5889400000001,2863,4483,2,10328,88.7971,379,753,1103,1611,3206,0.68435,-0.00245,0.00744,2.45707,13828,0.0009699999999999999,0.11890999999999999,18738,18738,0.92845,0.63351,17765,0.6006199999999999,8816,0.29806,8383,0.28342,6508,0.22003000000000003,4789,0.16191,1635,0.055279999999999996,0.29535,,,,MMETSP1329,MMETSP1329
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP0200.nt.fa.fixed.fa,16977,150,18638,36745292,2156.24545,806,12428,99,13873,67.76791,1222,2119,3082,4356,7021,0.41558,0.00107,0.00232,1.66482,60318,0.00164,0.32075,16090,16090,0.94775,0.9141,9959,0.56579,6064,0.34451,5767,0.32763000000000003,5181,0.29434,4641,0.26366,2525,0.14345,0.43201999999999996,,,,MMETSP0200,MMETSP0200
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP0319.nt.fa.fixed.fa,30397,150,15814,51338621,1677.04866,2100,18709,63,22933,75.12201,966,1732,2508,3558,5842,0.45698999999999995,0.00139,0.0012900000000000001,1.77813,162045,0.00316,0.27129000000000003,28259,28259,0.92966,0.853,16195,0.48885,10027,0.30267,9324,0.28145,8070,0.24359,7103,0.2144,4019,0.12130999999999999,0.41148999999999997,,,,MMETSP0319,MMETSP0319
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP0972.nt.fa.fixed.fa,30191,150,20755,43696872,1434.15554,2314,16654,21,21921,78.07341,830,1493,2157,3095,5084,0.5566300000000001,0.00099,0.0037799999999999995,2.03684,149067,0.0034100000000000003,0.23953000000000002,28026,28026,0.92829,0.7499399999999999,17961,0.48061000000000004,10698,0.28626,9904,0.26502,8398,0.22471999999999998,7256,0.19416,3909,0.1046,0.3837,,,,MMETSP0972,MMETSP0972
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP0169.nt.fa.fixed.fa,23838,150,11574,23254949,954.1359199999999,2957,9059,5,13335,82.56083000000001,539,1117,1581,2232,3889,0.51948,-0.00183,0.00207,2.09491,43351,0.00186,0.17332999999999998,16510,16510,0.6925899999999999,0.49141,15440,0.45956,7617,0.22671999999999998,7018,0.20889000000000002,5326,0.15853,4177,0.12433,2438,0.07257000000000001,0.23475,,,,MMETSP0169,MMETSP0169
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP1130.nt.fa.fixed.fa,14933,150,7249,7934390,489.36107999999996,3648,2257,0,3275,65.56449,282,632,1015,1468,3248,0.5643,-0.00162,0.00124,2.16043,34541,0.00435,0.10815999999999999,12142,12142,0.8131,0.71449,11954,0.7034199999999999,5815,0.34218000000000004,5704,0.33565,5053,0.29734,4388,0.25821,2859,0.16824,0.3395,,,,MMETSP1130,MMETSP1130
/mnt/research/ged/lisa/mmetsp/imicrobe/nt/MMETSP0886.nt.fa.fixed.fa,13104,150,16423,13648554,1023.5709699999999,1360,4890,25,7992,85.4012,548,1108,1656,2559,5222,0.62342,-0.00337,0.00253,2.44037,31416,0.0023,0.17143,12498,12498,0.95375,0.51523,11878,0.48967,5789,0.23865,5516,0.2274,4556,0.18782000000000001,3728,0.15369000000000002,1566,0.06456,0.27114,,,,MMETSP0886,MMETSP0886
