assembly,n_seqs,smallest,largest,n_bases,mean_len,n_under_200,n_over_1k,n_over_10k,n_with_orf,mean_orf_percent,n90,n70,n50,n30,n10,gc,gc_skew,at_skew,cpg_ratio,bases_n,proportion_n,linguistic_complexity,fragments,fragments_mapped,p_fragments_mapped,good_mappings,p_good_mapping,bad_mappings,potential_bridges,bases_uncovered,p_bases_uncovered,contigs_uncovbase,p_contigs_uncovbase,contigs_uncovered,p_contigs_uncovered,contigs_lowcovered,p_contigs_lowcovered,contigs_segmented,p_contigs_segmented,score,optimal_score,cutoff,SampleName
/mnt/home/ljcohen/mmetsp_assemblies_trinity_2.2.0_redoMarch2018/MMETSP0789.trinity_out_2.2.0.Trinity.fasta,34501,201,11951,30326143,878.99316,0,10517,1,17430,81.21297,366,851,1347,1994,3376,0.38613000000000003,0.01085,0.01065,1.55992,0,0.0,0.15945,26689061,25042242,0.9383,22713732,0.85105,2328510,22047,1038312,0.03424,12194,0.35344000000000003,1244,0.03606,16849,0.48836,2857,0.08281000000000001,0.33399,0.4603,0.31281,MMETSP0789
/mnt/home/ljcohen/mmetsp_assemblies_trinity_2.2.0_redoMarch2018/MMETSP0044.trinity_out_2.2.0.Trinity.fasta,594,202,697,170920,287.74411000000003,0,0,0,25,92.68547,219,244,276,336,466,0.5370699999999999,0.02135,0.0012900000000000001,1.90355,0,0.0,0.06517,18366400,8163767,0.44448999999999994,1943950,0.10584,6219817,577,3422,0.02002,187,0.31481,13,0.02189,134,0.22559,318,0.53535,0.00465,0.024990000000000002,0.11824000000000001,MMETSP0044
/mnt/home/ljcohen/mmetsp_assemblies_trinity_2.2.0_redoMarch2018/MMETSP0912.trinity_out_2.2.0.Trinity.fasta,30225,201,4635,19433789,642.97069,0,5634,0,12479,79.01151,298,581,868,1199,1729,0.48696000000000006,0.023530000000000002,0.01205,1.9287,0,0.0,0.13146,13303478,11789558,0.8862,10565468,0.79419,1224090,16022,858039,0.04415,9332,0.30875,1632,0.054000000000000006,16236,0.53717,4347,0.14382,0.27368000000000003,0.3513,0.04317,MMETSP0912
/mnt/home/ljcohen/mmetsp_assemblies_trinity_2.2.0_redoMarch2018/MMETSP1412.trinity_out_2.2.0.Trinity.fasta,32610,201,12302,32106307,984.5540300000001,0,11774,3,18325,79.86631,434,976,1482,2151,3484,0.46566,0.00763,0.0069900000000000006,1.9337900000000001,0,0.0,0.18228,25586643,23127728,0.9039,19051847,0.7446,4075881,23119,1124144,0.03501,14005,0.42946999999999996,1494,0.045810000000000003,15806,0.4847,2204,0.06759,0.30119,0.38515,0.26805,MMETSP1412
/mnt/home/ljcohen/mmetsp_assemblies_trinity_2.2.0_redoMarch2018/MMETSP1329.trinity_out_2.2.0.Trinity.fasta,29578,201,8989,20355944,688.21232,0,5584,0,15103,88.30671,319,602,903,1310,2366,0.67679,0.00374,0.00133,2.4706099999999998,0,0.0,0.1199,24903534,22695981,0.9113600000000001,19157670,0.76928,3538311,17551,1022783,0.05024,12136,0.4103,1478,0.04997,14304,0.4836,1995,0.06745,0.29288000000000003,0.43528,0.44073,MMETSP1329
/mnt/home/ljcohen/mmetsp_assemblies_trinity_2.2.0_redoMarch2018/MMETSP0200.trinity_out_2.2.0.Trinity.fasta,17602,201,15996,24786017,1408.1364,0,9056,19,11612,72.97738000000001,696,1419,2114,3105,5201,0.41168000000000005,0.00498,0.00343,1.66818,0,0.0,0.23446,31886226,30604263,0.9598,28410233,0.89099,2194030,13638,686004,0.02768,6470,0.36757,637,0.03619,4385,0.24911999999999998,1774,0.10078,0.42713999999999996,0.5456,0.3953,MMETSP0200
/mnt/home/ljcohen/mmetsp_assemblies_trinity_2.2.0_redoMarch2018/MMETSP0319.trinity_out_2.2.0.Trinity.fasta,33129,201,15888,31893043,962.6926,0,11267,7,18787,82.28838,423,922,1423,2103,3640,0.45391000000000004,0.0104,0.00419,1.79637,0,0.0,0.17822000000000002,39164273,36910949,0.9424600000000001,32948683,0.84129,3962266,25326,856208,0.02685,13563,0.4094,1318,0.03978,13341,0.4027,2535,0.07652,0.35125,0.46637,0.38716,MMETSP0319
/mnt/home/ljcohen/mmetsp_assemblies_trinity_2.2.0_redoMarch2018/MMETSP0972.trinity_out_2.2.0.Trinity.fasta,37371,201,9673,31976200,855.6420800000001,0,10889,0,19623,85.24455999999999,365,807,1280,1898,3220,0.55748,0.00845,0.0088,2.03516,0,0.0,0.16062,21201857,19668716,0.92769,17242355,0.81325,2426361,26253,1031330,0.03225,14610,0.39094,1546,0.04137,19536,0.52276,1900,0.050839999999999996,0.33139,0.50245,0.48633999999999994,MMETSP0972
/mnt/home/ljcohen/mmetsp_assemblies_trinity_2.2.0_redoMarch2018/MMETSP0169.trinity_out_2.2.0.Trinity.fasta,33597,201,3736,14171201,421.7996,0,1564,0,7917,87.72836,234,325,460,683,1187,0.5322600000000001,0.0234,0.01102,2.13259,0,0.0,0.08746,25726418,10686949,0.41541000000000006,6942179,0.26985,3744770,17692,242145,0.01709,8186,0.24365,585,0.01741,19881,0.59175,2929,0.08718,0.07844,0.13167,0.36609,MMETSP0169
/mnt/home/ljcohen/mmetsp_assemblies_trinity_2.2.0_redoMarch2018/MMETSP1130.trinity_out_2.2.0.Trinity.fasta,16994,201,6491,9578971,563.66782,0,2319,0,4212,69.58133000000001,263,461,744,1093,1733,0.56408,0.01248,0.00105,2.15215,0,0.0,0.11696,20743751,18230380,0.87884,16210773,0.7814800000000001,2019607,8052,564421,0.05892000000000001,5164,0.30387,1291,0.07597000000000001,6914,0.40685,1445,0.08503,0.23265,0.44385,0.46799999999999997,MMETSP1130
