,Complete,Fragmented,Missing,Total,Complete_BUSCO_perc
MMETSP0789,185,23,26,234,0.7905982905982906
MMETSP0044,3,7,224,234,0.01282051282051282
MMETSP0912,84,45,105,234,0.358974358974359
MMETSP1412,165,42,27,234,0.7051282051282052
MMETSP1329,142,37,55,234,0.6068376068376068
MMETSP0200,191,26,17,234,0.8162393162393162
MMETSP0319,183,32,19,234,0.782051282051282
MMETSP0972,167,39,28,234,0.7136752136752137
MMETSP0169,17,18,199,234,0.07264957264957266
MMETSP1130,54,26,154,234,0.23076923076923078
MMETSP0886,148,28,58,234,0.6324786324786325
MMETSP0933,185,20,29,234,0.7905982905982906
MMETSP1126,179,19,36,234,0.7649572649572649
MMETSP1165,150,29,55,234,0.6410256410256411
MMETSP1057,170,33,31,234,0.7264957264957265
MMETSP1390,194,21,19,234,0.8290598290598291
MMETSP1418,170,42,22,234,0.7264957264957265
MMETSP0754,174,37,23,234,0.7435897435897436
MMETSP1394,181,23,30,234,0.7735042735042735
MMETSP1409,167,46,21,234,0.7136752136752137
MMETSP0880,168,47,19,234,0.717948717948718
MMETSP1137,115,35,84,234,0.49145299145299143
MMETSP1010,125,36,73,234,0.5341880341880342
MMETSP0937,182,19,33,234,0.7777777777777778
MMETSP1080,192,20,22,234,0.8205128205128205
MMETSP0751,181,31,22,234,0.7735042735042735
MMETSP1177,202,18,14,234,0.8632478632478633
MMETSP1039,127,30,77,234,0.5427350427350427
MMETSP0753,184,28,22,234,0.7863247863247863
MMETSP0698,175,32,27,234,0.7478632478632479
MMETSP1082,197,18,19,234,0.8418803418803419
MMETSP0920,103,52,79,234,0.44017094017094016
MMETSP0295,125,45,64,234,0.5341880341880342
MMETSP0850,140,32,62,234,0.5982905982905983
