,Complete,Fragmented,Missing,Total,Complete_BUSCO_prop,Complete_BUSCO_perc
MMETSP1321,182,54,67,303,0.600660066,60.0660066
MMETSP0378,47,64,192,303,0.155115512,15.51155116
MMETSP0053,198,43,62,303,0.653465347,65.34653465
MMETSP1144,227,43,33,303,0.749174917,74.91749175
MMETSP0983,244,32,27,303,0.805280528,80.52805281
MMETSP0208,201,24,78,303,0.663366337,66.33663366
MMETSP0123,198,36,69,303,0.653465347,65.34653465
MMETSP1034,227,29,47,303,0.749174917,74.91749175
MMETSP1412,0,0,303,303,0,0
MMETSP0737,215,53,35,303,0.709570957,70.95709571
MMETSP0938,247,13,43,303,0.815181518,81.51815182
MMETSP0174,204,65,34,303,0.673267327,67.32673267
MMETSP1348,209,56,38,303,0.689768977,68.97689769
MMETSP1063,239,32,32,303,0.788778878,78.87788779
MMETSP0580,231,37,35,303,0.762376238,76.23762376
MMETSP1445,235,50,18,303,0.775577558,77.55775578
MMETSP0004,210,48,45,303,0.693069307,69.30693069
MMETSP0906,226,43,34,303,0.745874587,74.58745875
MMETSP0198,235,40,28,303,0.775577558,77.55775578
MMETSP1407,200,66,37,303,0.660066007,66.00660066
MMETSP0046,265,19,19,303,0.874587459,87.45874587
MMETSP1151,207,64,32,303,0.683168317,68.31683168
MMETSP0996,157,74,72,303,0.518151815,51.81518152
MMETSP0799,226,54,23,303,0.745874587,74.58745875
MMETSP0944,209,56,38,303,0.689768977,68.97689769
MMETSP1334,217,48,38,303,0.716171617,71.61716172
MMETSP0108,226,56,21,303,0.745874587,74.58745875
MMETSP1439,149,66,88,303,0.491749175,49.17491749
MMETSP1048,188,48,67,303,0.620462046,62.04620462
MMETSP1363,210,54,39,303,0.693069307,69.30693069
MMETSP0011,280,11,12,303,0.924092409,92.40924092
MMETSP1106,235,42,26,303,0.775577558,77.55775578
MMETSP0437,195,44,64,303,0.643564356,64.35643564
MMETSP0913,86,93,124,303,0.283828383,28.38283828
MMETSP0161,235,41,27,303,0.775577558,77.55775578
MMETSP0595,225,43,35,303,0.742574257,74.25742574
MMETSP1450,201,81,21,303,0.663366337,66.33663366
MMETSP1138,202,47,54,303,0.666666667,66.66666667
MMETSP0409,86,110,107,303,0.283828383,28.38283828
MMETSP1139,135,36,132,303,0.445544554,44.55445545
MMETSP0160,170,79,54,303,0.561056106,56.10561056
MMETSP1451,211,48,44,303,0.696369637,69.6369637
MMETSP0010,223,42,38,303,0.735973597,73.59735974
MMETSP1107,183,71,49,303,0.603960396,60.3960396
MMETSP0436,174,49,80,303,0.574257426,57.42574257
MMETSP0912,5,10,288,303,0.01650165,1.650165017
