,Run,Complete,Fragmented,Missing,Total,Complete_BUSCO_perc
Symbiodinium_sp._SRR1300265,SRR1300265,191,55,183,429,0.445221445
Ditylum_brightwellii_SRR1300294,SRR1300294,183,80,166,429,0.426573427
uncultured_eukaryote_SRR1300277,SRR1300277,238,77,114,429,0.554778555
Symbiodinium_kawagutii_SRR1300304,SRR1300304,28,41,360,429,0.065268065
Bathycoccus_prasinos_SRR1300250,SRR1300250,259,42,128,429,0.603729604
Ditylum_brightwellii_SRR1300309,SRR1300309,113,103,213,429,0.263403263
uncultured_eukaryote_SRR1300339,SRR1300339,248,71,110,429,0.578088578
Thalassiosira_weissflogii_SRR1296933,SRR1296933,283,29,117,429,0.65967366
Noctiluca_scintillans_SRR1296929,SRR1296929,263,32,134,429,0.613053613
Mantoniella_antarctica_SRR1300318,SRR1300318,234,86,109,429,0.545454545
uncultured_eukaryote_SRR1300247,SRR1300247,226,87,116,429,0.526806527
Lingulodinium_polyedrum_SRR1300257,SRR1300257,232,63,134,429,0.540792541
Neoceratium_fusus_SRR1300301,SRR1300301,237,51,141,429,0.552447552
Aureococcus_anophagefferens_SRR1300278,SRR1300278,195,105,129,429,0.454545455
Micromonas_SRR1300295,SRR1300295,239,72,118,429,0.557109557
Ditylum_brightwellii_SRR1300292,SRR1300292,189,80,160,429,0.440559441
Ostreococcus_mediterraneus_SRR1300249,SRR1300249,1,3,425,429,0.002331002
Azadinium_spinosum_SRR1300307,SRR1300307,198,74,157,429,0.461538462
Phaeocystis_antarctica_SRR1300313,SRR1300313,211,104,114,429,0.491841492
Ostreococcus_mediterraneus_SRR1300253,SRR1300253,267,39,123,429,0.622377622
Azadinium_spinosum_SRR1300308,SRR1300308,217,64,148,429,0.505827506
Mayorella_SRR1296930,SRR1296930,295,47,87,429,0.687645688
Emiliania_huxleyi_SRR1300285,SRR1300285,211,94,124,429,0.491841492
Pavlova_SRR1300299,SRR1300299,105,57,267,429,0.244755245
Picochlorum_oklahomense_SRR1300323,SRR1300323,229,69,131,429,0.533799534
Aurantiochytrium_limacinum_SRR1300337,SRR1300337,310,21,98,429,0.722610723
uncultured_eukaryote_SRR1300328,SRR1300328,235,66,128,429,0.547785548
uncultured_eukaryote_SRR1300330,SRR1300330,233,76,120,429,0.543123543
Aureococcus_anophagefferens_SRR1300281,SRR1300281,161,117,151,429,0.375291375
Symbiodinium_kawagutii_SRR1300305,SRR1300305,26,54,349,429,0.060606061
Ostreococcus_lucimarinus_SRR1300254,SRR1300254,275,35,119,429,0.641025641
Symbiodinium_sp._SRR1300266,SRR1300266,182,53,194,429,0.424242424
Pavlova_SRR1300270,SRR1300270,167,66,196,429,0.389277389
Gloeochaete_wittrockiana_SRR1300296,SRR1300296,322,45,62,429,0.750582751
uncultured_eukaryote_SRR1300276,SRR1300276,234,79,116,429,0.545454545
Rhodomonas_abbreviata_SRR1300314,SRR1300314,189,85,155,429,0.440559441
Emiliania_huxleyi_SRR1300286,SRR1300286,199,104,126,429,0.463869464
Paraphysomonas_bandaiensis_SRR1300316,SRR1300316,301,30,98,429,0.701631702
Thalassiosira_weissflogii_SRR1296932,SRR1296932,245,60,124,429,0.571095571
Symbiodinium_kawagutii_SRR1300302,SRR1300302,31,50,348,429,0.072261072
Dinobryon_SRR1296865,SRR1296865,179,82,168,429,0.417249417
uncultured_eukaryote_SRR1296838,SRR1296838,232,57,140,429,0.540792541
Thalassiosira_gravida_SRR1296986,SRR1296986,140,100,189,429,0.326340326
Rhodosorus_marinus_SRR1296985,SRR1296985,222,77,130,429,0.517482517
Karenia_brevis_SRR1296851,SRR1296851,220,62,147,429,0.512820513
Emiliania_huxleyi_SRR1300230,SRR1300230,160,106,163,429,0.372960373
Oxyrrhis_marina_SRR1300211,SRR1300211,0,7,422,429,0
Rhodella_maculata_SRR1296984,SRR1296984,149,106,174,429,0.347319347
Thalassiosira_rotula_SRR1296990,SRR1296990,99,109,221,429,0.230769231
Hemiselmis_andersenii_SRR1296870,SRR1296870,207,94,128,429,0.482517483
Gloeochaete_wittrockiana_SRR1296981,SRR1296981,317,42,70,429,0.738927739
Pseudo-nitzschia_australis_SRR1296849,SRR1296849,246,63,120,429,0.573426573
Karenia_brevis_SRR1296854,SRR1296854,220,68,141,429,0.512820513
Lotharella_globosa_SRR1296868,SRR1296868,268,55,106,429,0.624708625
Emiliania_huxleyi_SRR1300233,SRR1300233,121,88,220,429,0.282051282
Chaetoceros_neogracile_SRR1296834,SRR1296834,291,31,107,429,0.678321678
Chattonella_subsalsa_SRR1300237,SRR1300237,268,56,105,429,0.624708625
Kryptoperidinium_foliaceum_SRR1296840,SRR1296840,180,97,152,429,0.41958042
Heterosigma_akashiwo_SRR1296858,SRR1296858,96,71,262,429,0.223776224
Alexandrium_fundyense_SRR1300214,SRR1300214,83,28,318,429,0.193473193
Heterosigma_akashiwo_SRR1296857,SRR1296857,105,84,240,429,0.244755245
Oxyrrhis_marina_SRR1300320,SRR1300320,43,49,337,429,0.1002331
Porphyridium_aerugineum_SRR1296983,SRR1296983,188,88,153,429,0.438228438
Perkinsus_chesapeaki_SRR1300220,SRR1300220,30,94,305,429,0.06993007
Emiliania_huxleyi_SRR1300234,SRR1300234,110,100,219,429,0.256410256
uncultured_eukaryote_SRR1296996,SRR1296996,332,19,78,429,0.773892774
Emiliania_huxleyi_SRR1300229,SRR1300229,152,112,165,429,0.354312354
Prasinococcus_capsulatus_SRR1300224,SRR1300224,287,43,99,429,0.668997669
Chaetoceros_neogracile_SRR1296833,SRR1296833,282,31,116,429,0.657342657
Lankesteria_abbotti_SRR1300212,SRR1300212,123,93,213,429,0.286713287
Thalassiosira_oceanica_SRR1300225,SRR1300225,217,69,143,429,0.505827506
Tetraselmis_chuii_SRR1296875,SRR1296875,206,103,120,429,0.48018648
Alexandrium_tamarense_SRR1300222,SRR1300222,46,48,335,429,0.107226107
Goniomonas_pacifica_SRR1296845,SRR1296845,199,115,115,429,0.463869464
Perkinsus_chesapeaki_SRR1300219,SRR1300219,48,101,280,429,0.111888112
Chlamydomonas_euryale_SRR1296991,SRR1296991,195,93,141,429,0.454545455
Asterionellopsis_glacialis_SRR1296977,SRR1296977,256,58,115,429,0.596736597
Emiliania_huxleyi_SRR1300232,SRR1300232,151,106,172,429,0.351981352
Vaucheria_litorea_SRR1300218,SRR1300218,197,83,149,429,0.459207459
Chaetoceros_neogracile_SRR1296835,SRR1296835,275,38,116,429,0.641025641
Chattonella_subsalsa_SRR1300238,SRR1300238,237,71,121,429,0.552447552
Pseudo-nitzschia_australis_SRR1296847,SRR1296847,275,35,119,429,0.641025641
Oxyrrhis_marina_SRR1300319,SRR1300319,32,16,381,429,0.074592075
Heterosigma_akashiwo_SRR1296859,SRR1296859,78,86,265,429,0.181818182
Alveolata_SRR1296979,SRR1296979,242,63,124,429,0.564102564
Heterocapsa_triquetra_SRR1296978,SRR1296978,207,61,161,429,0.482517483
Compsopogon_caeruleus_SRR1296982,SRR1296982,282,26,121,429,0.657342657
Skeletonema_japonicum_SRR1296995,SRR1296995,221,56,152,429,0.515151515
