"","Run","SampleName.x","assembly.x","n_seqs.x","smallest.x","largest.x","n_bases.x","mean_len.x","n_under_200.x","n_over_1k.x","n_over_10k.x","n_with_orf.x","mean_orf_percent.x","n90.x","n70.x","n50.x","n30.x","n10.x","gc.x","gc_skew.x","at_skew.x","cpg_ratio.x","bases_n.x","proportion_n.x","linguistic_complexity.x","fragments","fragments_mapped","p_fragments_mapped","good_mappings","p_good_mapping","bad_mappings","potential_bridges","bases_uncovered","p_bases_uncovered","contigs_uncovbase","p_contigs_uncovbase","contigs_uncovered","p_contigs_uncovered","contigs_lowcovered","p_contigs_lowcovered","contigs_segmented","p_contigs_segmented","score","optimal_score","cutoff","assembly.y","n_seqs.y","smallest.y","largest.y","n_bases.y","mean_len.y","n_under_200.y","n_over_1k.y","n_over_10k.y","n_with_orf.y","mean_orf_percent.y","n90.y","n70.y","n50.y","n30.y","n10.y","gc.y","gc_skew.y","at_skew.y","cpg_ratio.y","bases_n.y","proportion_n.y","linguistic_complexity.y","CRBB_hits","n_contigs_with_CRBB","p_contigs_with_CRBB","rbh_per_reference","n_refs_with_CRBB","p_refs_with_CRBB","cov25","p_cov25","cov50","p_cov50","cov75","p_cov75","cov85","p_cov85","cov95","p_cov95","reference_coverage","ID","Complete","Fragmented","Missing","Total","Complete_BUSCO_perc","Input.Reads","Surviving.Reads","Percent.Surviving","Unique_kmers","Investigator","HighLevelClassification","Phylum","Class","Order","Family","Genus","Species","Strain","ReleaseDate","LoadDate","spots","bases","spots_with_mates","avgLength","size_MB","AssemblyName","download_path","Experiment","LibraryName","LibraryStrategy","LibrarySelection","LibrarySource","LibraryLayout","InsertSize","InsertDev","Platform","Model","SRAStudy","BioProject","Study_Pubmed_id","ProjectID","Sample","BioSample","SampleType","TaxID","ScientificName","SampleName.y","g1k_pop_code","source","g1k_analysis_group","Subject_ID","Sex","Disease","Tumor","Affection_Status","Analyte_Type","Histological_Type","Body_Site","CenterName","Submission","dbgap_study_accession","Consent","RunHash","ReadHash"
"1","SRR1294380","MMETSP0115","/mnt/scratch/ljcohen/mmetsp/Bicosoecida_sp._CB-2014/SRR1294380/trinity/trinity_out/Bicosoecida_sp._CB-2014_SRR1294380.Trinity.fixed.fa",16638,201,19295,9498128,570.86958,0,2264,1,6467,95.08075,259,445,758,1240,2241,0.69405,0.01463,0.00641,2.49284,0,0,0.10001,5591639,4932325,0.88209,3942233,0.70502,990092,7765,92588,0.00975,5809,0.34914,38,0.00228,13219,0.79451,523,0.03143,0.28049,0.32981,0.27102,"/mnt/scratch/ljcohen/mmetsp/Bicosoecida_sp._CB-2014/SRR1294380/trinity/Bicosoecida_sp._CB-2014_SRR1294380.Trinity.fixed.fasta",16638,201,19295,9498128,570.86958,0,2264,1,6467,95.08075,259,445,758,1240,2241,0.69405,0.01463,0.00641,2.49284,0,0,0.10001,14108,14108,0.84794,0.92354,8529,0.55833,3985,0.26087,2637,0.17262,1714,0.1122,1330,0.08706,813,0.05322,0.26615,"Bicosoecida_sp._CB-2014_SRR1294380",122,82,225,429,0.284382284,5598230,5591639,99.88,11031328,"JohnArchibald","Stramenopila(SAR,Chromalveolata)","Bicosoecida","Bicosoecophyceae","Bicosoecales","Unknown","Bicosoecid","sp.","ms1","22-Jul-15","21-May-14",5598230,559823000,5598230,100,330,NA,"http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294380","SRX548994",NA,"RNA-Seq","RANDOM PCR","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina Genome Analyzer IIx","SRP042159","PRJNA248394",NA,248394,"SRS616843","SAMN02740342","simple",1486930,"Bicosoecida sp. CB-2014","MMETSP0115",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"NCGR","SRA166613",NA,"public","5A4EBFCD9EB3047E84BC15A5E78A34B6","6AF5B8D85E7547E69E0833064348319E"
"2","SRR1294381","MMETSP0115","/mnt/scratch/ljcohen/mmetsp/Bicosoecida_sp._CB-2014/SRR1294381/trinity/trinity_out/Bicosoecida_sp._CB-2014_SRR1294381.Trinity.fixed.fa",16853,201,10253,9665225,573.50175,0,2296,1,6609,95.22976,260,447,764,1233,2255,0.69428,0.01397,0.00644,2.49219,0,0,0.10035,5612354,4930027,0.87842,3869098,0.68939,1060929,7832,89756,0.00929,6171,0.36617,29,0.00172,13436,0.79725,524,0.03109,0.27312,0.32109,0.46533,"/mnt/scratch/ljcohen/mmetsp/Bicosoecida_sp._CB-2014/SRR1294381/trinity/Bicosoecida_sp._CB-2014_SRR1294381.Trinity.fixed.fasta",16853,201,10253,9665225,573.50175,0,2296,1,6609,95.22976,260,447,764,1233,2255,0.69428,0.01397,0.00644,2.49219,0,0,0.10035,14366,14366,0.85243,0.94043,8602,0.56311,4154,0.27193,2731,0.17878,1688,0.1105,1300,0.0851,811,0.05309,0.26918,"Bicosoecida_sp._CB-2014_SRR1294381",129,72,228,429,0.300699301,5619178,5612354,99.88,11576949,"JohnArchibald","Stramenopila(SAR,Chromalveolata)","Bicosoecida","Bicosoecophyceae","Bicosoecales","Unknown","Bicosoecid","sp.","ms1","22-Jul-15","21-May-14",5619178,561917800,5619178,100,327,NA,"http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294381","SRX548995",NA,"RNA-Seq","RANDOM PCR","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina Genome Analyzer IIx","SRP042159","PRJNA248394",NA,248394,"SRS616843","SAMN02740342","simple",1486930,"Bicosoecida sp. CB-2014","MMETSP0115",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"NCGR","SRA166613",NA,"public","93F1979465ADB93008EBF12E7C4003B7","148D4581B8C88D91E2DE0346BEB20680"
"3","SRR1294382","MMETSP0115","/mnt/scratch/ljcohen/mmetsp/Bicosoecida_sp._CB-2014/SRR1294382/trinity/trinity_out/Bicosoecida_sp._CB-2014_SRR1294382.Trinity.fixed.fa",17324,201,11517,9908086,571.92831,0,2350,2,6755,95.11489,260,445,756,1239,2229,0.69457,0.01258,0.00468,2.4931,0,0,0.10019,5727042,5056435,0.88291,4051309,0.7074,1005126,8312,94692,0.00956,6120,0.35327,35,0.00202,13800,0.79658,552,0.03186,0.28179,0.33966,0.30567,"/mnt/scratch/ljcohen/mmetsp/Bicosoecida_sp._CB-2014/SRR1294382/trinity/Bicosoecida_sp._CB-2014_SRR1294382.Trinity.fixed.fasta",17324,201,11517,9908086,571.92831,0,2350,2,6755,95.11489,260,445,756,1239,2229,0.69457,0.01258,0.00468,2.4931,0,0,0.10019,14894,14894,0.85973,0.97499,8805,0.57639,4259,0.2788,2859,0.18716,1775,0.1162,1390,0.09099,915,0.0599,0.28345,"Bicosoecida_sp._CB-2014_SRR1294382",121,81,227,429,0.282051282,5734028,5727042,99.88,11185757,"JohnArchibald","Stramenopila(SAR,Chromalveolata)","Bicosoecida","Bicosoecophyceae","Bicosoecales","Unknown","Bicosoecid","sp.","ms1","22-Jul-15","21-May-14",5734028,573402800,5734028,100,330,NA,"http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294382","SRX548996",NA,"RNA-Seq","RANDOM PCR","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina Genome Analyzer IIx","SRP042159","PRJNA248394",NA,248394,"SRS616843","SAMN02740342","simple",1486930,"Bicosoecida sp. CB-2014","MMETSP0115",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"NCGR","SRA166613",NA,"public","75538D796C740754CF4A58AE784CE422","2706D401E3ADDF7927BF27D4813F7DC8"
"4","SRR1294383","MMETSP0115","/mnt/scratch/ljcohen/mmetsp/Bicosoecida_sp._CB-2014/SRR1294383/trinity/trinity_out/Bicosoecida_sp._CB-2014_SRR1294383.Trinity.fixed.fa",17341,201,14719,9921941,572.1666,0,2319,2,6768,94.95374,258,447,758,1241,2287,0.69464,0.01361,0.00736,2.49319,0,0,0.09995,5743386,5055740,0.88027,4041487,0.70368,1014253,8249,92004,0.00927,6185,0.35667,31,0.00179,13821,0.79701,528,0.03045,0.28262,0.3459,0.36086,"/mnt/scratch/ljcohen/mmetsp/Bicosoecida_sp._CB-2014/SRR1294383/trinity/Bicosoecida_sp._CB-2014_SRR1294383.Trinity.fixed.fasta",17341,201,14719,9921941,572.1666,0,2319,2,6768,94.95374,258,447,758,1241,2287,0.69464,0.01361,0.00736,2.49319,0,0,0.09995,14641,14641,0.8443,0.95843,8823,0.57757,4268,0.27939,2839,0.18585,1760,0.11521,1392,0.09112,905,0.05924,0.27654,"Bicosoecida_sp._CB-2014_SRR1294383",122,85,222,429,0.284382284,5750254,5743386,99.88,12155304,"JohnArchibald","Stramenopila(SAR,Chromalveolata)","Bicosoecida","Bicosoecophyceae","Bicosoecales","Unknown","Bicosoecid","sp.","ms1","22-Jul-15","21-May-14",5750254,575025400,5750254,100,330,NA,"http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294383","SRX548997",NA,"RNA-Seq","RANDOM PCR","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina Genome Analyzer IIx","SRP042159","PRJNA248394",NA,248394,"SRS616843","SAMN02740342","simple",1486930,"Bicosoecida sp. CB-2014","MMETSP0115",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"NCGR","SRA166613",NA,"public","35266C5DBD2326A89A81500DCF9E54BF","3CE63B7933C042984C897D180F3412BE"
"5","SRR1294384","MMETSP0812","/mnt/scratch/ljcohen/mmetsp/Dinobryon/SRR1294384/trinity/trinity_out/Dinobryon_SRR1294384.Trinity.fixed.fa",28252,201,12724,23881215,845.2929,0,7652,2,12494,76.89793,341,791,1331,2078,3569,0.44753,0.01354,0.00751,1.90997,0,0,0.15771,25044640,23378129,0.93346,20340032,0.81215,3038097,17469,386611,0.01619,9060,0.32069,238,0.00842,16844,0.59621,1964,0.06952,0.36605,0.43033,0.37371,"/mnt/scratch/ljcohen/mmetsp/Dinobryon/SRR1294384/trinity/Dinobryon_SRR1294384.Trinity.fixed.fasta",28252,201,12724,23881215,845.2929,0,7652,2,12494,76.89793,341,791,1331,2078,3569,0.44753,0.01354,0.00751,1.90997,0,0,0.15771,19004,19004,0.67266,1.0344,14411,0.7844,7564,0.41171,6946,0.37808,6067,0.33023,5687,0.30955,5167,0.28124,0.43804,"Dinobryon_SRR1294384",199,75,155,429,0.463869464,25047716,25044640,99.99,22406889,"DavidCaron","Stramenopila(SAR,Chromalveolata)","Ochrophyta","Synurophyceae","Ochromonadales","Dinobryaceae","Dinobryon","sp.","UTEXLB2267","22-Jul-15","21-May-14",25047716,2504771600,25047716,100,1439,NA,"http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294384","SRX548998",NA,"RNA-Seq","RANDOM PCR","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP042159","PRJNA248394",NA,248394,"SRS616844","SAMN02740034","simple",98059,"Dinobryon","MMETSP0812",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"NCGR","SRA166613",NA,"public","F61EBACD4BF6246BFBDE217413DDA621","C448E4441DA1C1AD78C03B117E466AC9"
"6","SRR1294385","MMETSP0196","/mnt/scratch/ljcohen/mmetsp/Alexandrium_fundyense/SRR1294385/trinity/trinity_out/Alexandrium_fundyense_SRR1294385.Trinity.fixed.fa",1038,201,2078,357290,344.21002,0,17,0,141,91.11338,215,265,345,479,798,0.55199,0.00951,0.01015,1.86552,0,0,0.0753,4022661,2406377,0.59821,11612,0.00289,2394765,991,10491,0.02936,400,0.38536,75,0.07225,924,0.89017,75,0.07225,7e-05,0.00031,0.09143,"/mnt/scratch/ljcohen/mmetsp/Alexandrium_fundyense/SRR1294385/trinity/Alexandrium_fundyense_SRR1294385.Trinity.fixed.fasta",1038,201,2078,357290,344.21002,0,17,0,141,91.11338,215,265,345,479,798,0.55199,0.00951,0.01015,1.86552,0,0,0.0753,942,942,0.90751,0.11966,845,0.10734,402,0.05107,293,0.03722,151,0.01918,84,0.01067,31,0.00394,0.05067,"Alexandrium_fundyense_SRR1294385",7,11,411,429,0.016317016,4022666,4022661,100,346391,"SenjieLin","Alveolata(SAR,Chromalveolata)","Dinophyta","Dinophyceae","Gonyualacales","Goniodomataceae","Alexandrium","fundyense","CCMP1719","22-Jul-15","21-May-14",4022666,402266600,4022666,100,221,NA,"http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294385","SRX548999",NA,"RNA-Seq","RANDOM PCR","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP042159","PRJNA248394",NA,248394,"SRS616845","SAMN02740432","simple",2932,"Alexandrium fundyense","MMETSP0196",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"NCGR","SRA166613",NA,"public","970CF3B721F2A7D9C270028E0386CDF8","FFE60149B64DA1AB9C1A4C2347AAEAE7"
"7","SRR1294386","MMETSP0196","/mnt/scratch/ljcohen/mmetsp/Alexandrium_fundyense/SRR1294386/trinity/trinity_out/Alexandrium_fundyense_SRR1294386.Trinity.fixed.fa",2692,201,2990,1003097,372.62147,0,74,0,471,90.93308,224,282,384,560,969,0.54684,0.01488,0.01071,1.86767,0,0,0.08106,4689593,2310046,0.49259,54545,0.01163,2255501,1763,65548,0.06535,1913,0.71062,86,0.03195,2316,0.86033,162,0.06018,0.00054,0.00274,0.22283,"/mnt/scratch/ljcohen/mmetsp/Alexandrium_fundyense/SRR1294386/trinity/Alexandrium_fundyense_SRR1294386.Trinity.fixed.fasta",2692,201,2990,1003097,372.62147,0,74,0,471,90.93308,224,282,384,560,969,0.54684,0.01488,0.01071,1.86767,0,0,0.08106,2161,2161,0.80275,0.27452,1944,0.24695,968,0.12297,768,0.09756,463,0.05882,290,0.03684,158,0.02007,0.11441,"Alexandrium_fundyense_SRR1294386",15,13,401,429,0.034965035,4689638,4689593,100,825990,"SenjieLin","Alveolata(SAR,Chromalveolata)","Dinophyta","Dinophyceae","Gonyualacales","Goniodomataceae","Alexandrium","fundyense","CCMP1719","22-Jul-15","21-May-14",4689638,468963800,4689638,100,287,NA,"http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294386","SRX549000",NA,"RNA-Seq","RANDOM PCR","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP042159","PRJNA248394",NA,248394,"SRS616845","SAMN02740432","simple",2932,"Alexandrium fundyense","MMETSP0196",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"NCGR","SRA166613",NA,"public","688019EE71ACBD511B330D1164B62CA6","93FE1956D7AF75E8633ED3F233953012"
"8","SRR1294387","MMETSP0196","/mnt/scratch/ljcohen/mmetsp/Alexandrium_fundyense/SRR1294387/trinity/trinity_out/Alexandrium_fundyense_SRR1294387.Trinity.fixed.fa",3307,201,2330,1256925,380.08013,0,94,0,647,90.98729,224,290,403,590,968,0.55252,0.0127,0.01157,1.87069,0,0,0.08267,9389346,5098726,0.54303,68848,0.00733,5029878,2562,103021,0.08196,2647,0.80042,178,0.05383,2885,0.87239,161,0.04868,0.00035,0.00185,0.22278,"/mnt/scratch/ljcohen/mmetsp/Alexandrium_fundyense/SRR1294387/trinity/Alexandrium_fundyense_SRR1294387.Trinity.fixed.fasta",3307,201,2330,1256925,380.08013,0,94,0,647,90.98729,224,290,403,590,968,0.55252,0.0127,0.01157,1.87069,0,0,0.08267,2708,2708,0.81887,0.344,2406,0.30564,1217,0.1546,979,0.12436,630,0.08003,430,0.05462,264,0.03354,0.14124,"Alexandrium_fundyense_SRR1294387",17,15,397,429,0.03962704,9392254,9389346,99.97,1187672,"SenjieLin","Alveolata(SAR,Chromalveolata)","Dinophyta","Dinophyceae","Gonyualacales","Goniodomataceae","Alexandrium","fundyense","CCMP1719","22-Jul-15","21-May-14",9392254,939225400,9392254,100,569,NA,"http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294387","SRX549001",NA,"RNA-Seq","RANDOM PCR","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP042159","PRJNA248394",NA,248394,"SRS616845","SAMN02740432","simple",2932,"Alexandrium fundyense","MMETSP0196",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"NCGR","SRA166613",NA,"public","65ACC8C7403C6EC369986E93A186B63A","BCFAB5B8532281A5C2CEE2EDF9130354"
"9","SRR1294388","MMETSP0197","/mnt/scratch/ljcohen/mmetsp/Alexandrium_fundyense/SRR1294388/trinity/trinity_out/Alexandrium_fundyense_SRR1294388.Trinity.fixed.fa",2190,201,1887,768392,350.86393,0,30,0,303,91.33697,222,276,354,482,779,0.55291,0.00426,0.00742,1.85925,0,0,0.07689,5263179,2737390,0.5201,39261,0.00746,2698129,1344,85605,0.11141,1873,0.85525,193,0.08813,1930,0.88128,104,0.04749,0.00028,0.00135,0.24094,"/mnt/scratch/ljcohen/mmetsp/Alexandrium_fundyense/SRR1294388/trinity/Alexandrium_fundyense_SRR1294388.Trinity.fixed.fasta",2190,201,1887,768392,350.86393,0,30,0,303,91.33697,222,276,354,482,779,0.55291,0.00426,0.00742,1.85925,0,0,0.07689,5,5,0.00228,0.01475,5,0.01475,0,0,0,0,0,0,0,0,0,0,0,"Alexandrium_fundyense_SRR1294388",11,15,403,429,0.025641026,5263188,5263179,100,747961,"SenjieLin","Alveolata(SAR,Chromalveolata)","Dinophyta","Dinophyceae","Gonyualacales","Goniodomataceae","Alexandrium","fundyense","CCMP1719","22-Jul-15","21-May-14",5263188,526318800,5263188,100,293,NA,"http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294388","SRX549002",NA,"RNA-Seq","RANDOM PCR","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP042159","PRJNA248394",NA,248394,"SRS616846","SAMN02740433","simple",2932,"Alexandrium fundyense","MMETSP0197",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"NCGR","SRA166613",NA,"public","9C02169CCCD6D357E8289514A626ECB3","FA06B488D7030117F55911E7A1046A88"
"10","SRR1294389","MMETSP0197","/mnt/scratch/ljcohen/mmetsp/Alexandrium_fundyense/SRR1294389/trinity/trinity_out/Alexandrium_fundyense_SRR1294389.Trinity.fixed.fa",613,201,2318,249932,407.71941,0,26,0,138,90.38458,225,310,441,677,1199,0.49823,0.02666,0.01882,1.83155,0,0,0.08776,212119,51337,0.24202,19441,0.09165,31896,154,3490,0.01396,210,0.34258,4,0.00653,511,0.83361,14,0.02284,0.01275,0.03706,0.35033,"/mnt/scratch/ljcohen/mmetsp/Alexandrium_fundyense/SRR1294389/trinity/Alexandrium_fundyense_SRR1294389.Trinity.fixed.fasta",613,201,2318,249932,407.71941,0,26,0,138,90.38458,225,310,441,677,1199,0.49823,0.02666,0.01882,1.83155,0,0,0.08776,1,1,0.00163,0.00011,1,0.00011,1,0.00011,0,0,0,0,0,0,0,0,4e-05,"Alexandrium_fundyense_SRR1294389",9,6,414,429,0.020979021,262340,212119,80.86,183100,"SenjieLin","Alveolata(SAR,Chromalveolata)","Dinophyta","Dinophyceae","Gonyualacales","Goniodomataceae","Alexandrium","fundyense","CCMP1719","22-Jul-15","21-May-14",262340,26234000,262340,100,19,NA,"http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294389","SRX549003",NA,"RNA-Seq","RANDOM PCR","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP042159","PRJNA248394",NA,248394,"SRS616846","SAMN02740433","simple",2932,"Alexandrium fundyense","MMETSP0197",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"NCGR","SRA166613",NA,"public","290DD23E4CAA3D167DDEB946AFD43285","6329E8DD3FA275FE41F6E1AE5D90112D"
