assembly,n_seqs,smallest,largest,n_bases,mean_len,n_under_200,n_over_1k,n_over_10k,n_with_orf,mean_orf_percent,n90,n70,n50,n30,n10,gc,gc_skew,at_skew,cpg_ratio,bases_n,proportion_n,linguistic_complexity,fragments,fragments_mapped,p_fragments_mapped,good_mappings,p_good_mapping,bad_mappings,potential_bridges,bases_uncovered,p_bases_uncovered,contigs_uncovbase,p_contigs_uncovbase,contigs_uncovered,p_contigs_uncovered,contigs_lowcovered,p_contigs_lowcovered,contigs_segmented,p_contigs_segmented,score,optimal_score,cutoff,SampleName
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0/MMETSP1102.trinity_out_2.2.0.Trinity.fasta,100847,201,14341,55390309,549.2509299999999,0,12194,2,28587,81.54071,256,418,701,1180,2204,0.51969,0.02471,0.01157,2.05849,0,0.0,0.10784,26130808,21273467,0.81411,16582064,0.63458,4691403,70707,1687010,0.03046,31734,0.31467,2912,0.02888,67843,0.67273,6881,0.06823,0.19251,0.32001999999999997,0.43046,MMETSP1102
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0/MMETSP1416.trinity_out_2.2.0.Trinity.fasta,32717,201,9345,31700139,968.91949,0,11513,0,18908,83.9636,434,940,1421,2086,3417,0.46956000000000003,0.007670000000000001,0.004370000000000001,1.9347299999999998,0,0.0,0.18015,22437943,20843676,0.92895,17357463,0.77358,3486213,22203,1257437,0.03967,13601,0.41572,1741,0.05321,16408,0.50151,1526,0.04664,0.33582,0.45388999999999996,0.33274000000000004,MMETSP1416
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0/MMETSP0883.trinity_out_2.2.0.Trinity.fasta,35078,201,16541,25939483,739.4801,0,7331,21,17132,83.55496,318,637,1037,1657,3250,0.65486,0.00505,-0.00183,2.59625,0,0.0,0.12554,17004738,15535726,0.91361,13621355,0.80103,1914371,23870,1502940,0.05794,11770,0.33554,1447,0.04125,19702,0.56166,1888,0.05382000000000001,0.31668,0.49988999999999995,0.52635,MMETSP0883
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0/MMETSP0042.trinity_out_2.2.0.Trinity.fasta,35570,201,19515,33760198,949.11999,0,12195,22,20101,85.2833,418,923,1388,1993,3555,0.48286999999999997,0.009040000000000001,0.00765,1.87484,0,0.0,0.17808,39662301,37387163,0.9426399999999999,34294089,0.86465,3093074,23768,1590928,0.04712,12610,0.35451,2113,0.0594,14632,0.41136000000000006,1863,0.052379999999999996,0.3895,0.59841,0.49616000000000005,MMETSP0042
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0/MMETSP0380.trinity_out_2.2.0.Trinity.fasta,38153,201,2759,14903245,390.61791,0,993,0,6629,84.287,229,303,421,598,943,0.57171,0.00488,-0.005370000000000001,1.98128,0,0.0,0.08344,13696405,10133573,0.73987,6903772,0.5040600000000001,3229801,31652,337741,0.02266,7747,0.20305,789,0.02068,14557,0.38154,6954,0.18227000000000002,0.12455,0.20092000000000002,0.23493000000000003,MMETSP0380
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0/MMETSP0734.trinity_out_2.2.0.Trinity.fasta,65906,201,13510,44309838,672.31873,0,12248,10,22178,79.33808,276,550,1020,1676,3118,0.40915,0.01181,0.013340000000000001,1.83887,0,0.0,0.12462999999999999,21475779,18139373,0.84464,14260877,0.66404,3878496,51263,1362413,0.03075,25755,0.39078,2050,0.0311,37530,0.56945,3860,0.058570000000000004,0.19512000000000002,0.38104,0.49656999999999996,MMETSP0734
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0/MMETSP0989.trinity_out_2.2.0.Trinity.fasta,70975,201,15674,44225690,623.11645,0,11391,13,28266,89.84461999999999,274,501,859,1385,2604,0.63126,0.019809999999999998,0.01462,2.04957,0,0.0,0.11552,29830712,26063064,0.8737,21844055,0.73227,4219009,43522,1248607,0.02823,16468,0.23203000000000001,1500,0.02113,45577,0.6421600000000001,4209,0.0593,0.30561,0.43396,0.50084,MMETSP0989
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0/MMETSP0924.trinity_out_2.2.0.Trinity.fasta,31378,201,1847,11279682,359.4774,0,140,0,3760,83.47844,230,295,376,483,683,0.45907,0.00294,0.0039299999999999995,1.8082900000000002,0,0.0,0.07929,16787344,4975336,0.29636999999999997,1384601,0.08248,3590735,25741,1607048,0.14247,23612,0.7525,4140,0.13194,17447,0.55603,3748,0.11945,0.0014199999999999998,0.03901,0.47143,MMETSP0924
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0/MMETSP1352.trinity_out_2.2.0.Trinity.fasta,29115,201,15704,23862356,819.58976,0,7642,4,13676,84.66859000000001,323,765,1317,2027,3571,0.5283399999999999,0.00507,0.00604,2.2176099999999996,0,0.0,0.14822000000000002,21486729,19255066,0.8961399999999999,16164957,0.75232,3090109,19730,904673,0.03791,11969,0.41108999999999996,1241,0.04262,16832,0.57812,1670,0.05736,0.2646,0.41098,0.42113999999999996,MMETSP1352
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0/MMETSP1062.trinity_out_2.2.0.Trinity.fasta,42787,201,13310,38510035,900.04055,0,13901,3,20507,77.01165999999999,371,900,1401,2010,3313,0.42063,0.01124,0.00778,1.76288,0,0.0,0.16559000000000001,40315471,37737977,0.9360700000000001,33911113,0.84114,3826864,29327,1369169,0.03555,15844,0.3703,1728,0.040389999999999995,21368,0.4994,5004,0.11695,0.31511,0.39895,0.07389,MMETSP1062
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0/MMETSP0294.trinity_out_2.2.0.Trinity.fasta,52840,201,13981,33110939,626.6264,0,8875,3,19652,79.61202,288,526,841,1251,2020,0.52946,0.016390000000000002,0.009590000000000001,1.9484400000000002,0,0.0,0.12230999999999999,31138571,28240770,0.90694,24637750,0.79123,3603020,31661,1032064,0.03117,16189,0.30638000000000004,1770,0.0335,30364,0.5746399999999999,3177,0.06012000000000001,0.2963,0.41026,0.3317,MMETSP0294
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0/MMETSP0810.trinity_out_2.2.0.Trinity.fasta,89969,201,14627,50709406,563.63198,0,11241,10,17490,69.82939,247,407,767,1516,3007,0.55406,0.011609999999999999,0.0015400000000000001,1.77416,0,0.0,0.11026,27015178,23237509,0.86016,20338694,0.7528600000000001,2898815,46629,1061005,0.020919999999999998,20320,0.22585999999999998,1092,0.01214,77201,0.85808,2024,0.0225,0.32189,0.45338,0.56867,MMETSP0810
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0/MMETSP1083.trinity_out_2.2.0.Trinity.fasta,44417,201,10471,33185498,747.13506,0,10356,1,19789,82.51799,315,671,1099,1661,2863,0.59578,0.01319,0.0050100000000000006,2.25067,0,0.0,0.14053,26334325,24507615,0.93063,21956511,0.8337600000000001,2551104,26218,939079,0.0283,13160,0.29628000000000004,1328,0.0299,28739,0.64703,1776,0.03998,0.39307,0.49086,0.45913999999999994,MMETSP1083
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0/MMETSP0699.trinity_out_2.2.0.Trinity.fasta,40222,201,13903,37658921,936.27669,0,12150,5,18369,68.38167,362,931,1601,2488,4131,0.51085,0.00665,0.00451,2.03943,0,0.0,0.17309000000000002,29763917,27803620,0.93414,24861445,0.83529,2942175,27770,1560471,0.04144,16731,0.41597,1669,0.04149,23503,0.58433,4219,0.10489000000000001,0.32132,0.39175,0.06001,MMETSP0699
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0/MMETSP0995.trinity_out_2.2.0.Trinity.fasta,40537,201,13821,25715245,634.36478,0,6799,2,17815,89.38324,285,529,859,1318,2243,0.6809,0.01023,0.0035299999999999997,2.34234,0,0.0,0.11348,14125885,12881797,0.9119299999999999,11280702,0.7985800000000001,1601095,23121,587005,0.02283,10105,0.24928000000000003,888,0.02191,29580,0.7297,1524,0.0376,0.34725,0.4798,0.47711000000000003,MMETSP0995
/mnt/home/ljcohen/mmetsp_assemblies_trinity2.2.0/MMETSP0227.trinity_out_2.2.0.Trinity.fasta,103802,201,11588,59720431,575.33025,0,14462,2,37449,90.62943,259,448,776,1268,2236,0.57112,0.0094,-0.00312,1.9446700000000001,0,0.0,0.11323,29710303,24037882,0.80908,17828018,0.60006,6209864,75600,1462271,0.02449,31887,0.30719,2597,0.02502,65329,0.62936,5827,0.056139999999999995,0.20002,0.34608,0.5312,MMETSP0227
